SOS_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
SOS27,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
SOS29,..,12,0,12,0,12,..,99,51,148,0,146,..,3,5,7,0,7,..,14,0,19,0,19,..,25,0,27,0,27,..,23,0,27,0,27,..,3,0,3,0,3,..,4,0,4,0,4,..,33,5,35,0,35,..,5,0,5,0,5,..,14,0,16,0,16,..,15,0,17,0,17,..,10,0,15,0,15,..,8,0,8,0,8,..,98,5,100,0,100,..,30,4,33,0,41,..,3,0,6,0,6,..,6,0,8,0,8,..,5,3,11,0,11,..,10,0,10,0,10,..,3,0,3,0,3,..,17,4,21,0,25,..,7,0,7,0,7,..,5,0,5,0,5,..,11,0,12,0,12,..,6,0,11,0,11,..,8,5,16,0,16,..,18,4,21,0,21,..,11,3,12,0,16,..,10,0,10,0,10,..,13,0,17,0,17,..,51,9,57,0,61,..,40,7,48,0,48,..,6
SOS30,..,2666,865,3535,18,3543,..,84130,23468,107603,927,108532,..,3039,385,3424,29,3454,..,9637,441,10075,119,10191,..,10824,316,11144,142,11284,..,8698,912,9614,65,9678,..,3870,236,4109,25,4133,..,8408,606,9011,82,9096,..,18903,774,19680,154,19837,..,9896,1000,10894,112,11007,..,25262,2416,27679,355,28033,..,6897,272,7176,42,7219,..,6525,481,7007,63,7076,..,3456,141,3601,36,3634,..,83222,5933,89154,878,90035,..,12638,1152,13792,124,13913,..,14320,2070,16393,134,16525,..,1830,641,2471,20,2488,..,15526,5046,20573,163,20738,..,1175,136,1309,7,1319,..,10815,598,11415,121,11535,..,7088,1027,8112,76,8186,..,4535,386,4921,42,4962,..,12672,1023,13702,189,13887,..,6126,723,6851,60,6910,..,14335,1376,15711,170,15878,..,4271,650,4918,30,4953,..,10517,297,10816,100,10913,..,4625,329,4956,59,5013,..,15376,414,15792,101,15892,..,3866,148,4010,43,4052,..,34385,1190,35572,296,35872,..,23895,2358,26252,259,26511,..,6178
SOS31,..,107,62,164,0,170,..,3286,1484,4768,47,4815,..,234,30,265,0,270,..,1176,56,1232,21,1253,..,1973,73,2043,20,2064,..,494,45,537,10,540,..,380,26,406,4,407,..,579,59,635,3,642,..,1153,53,1200,18,1223,..,891,75,966,12,971,..,2067,236,2305,36,2339,..,584,37,625,11,634,..,452,36,486,4,490,..,166,18,186,0,186,..,6277,539,6818,84,6897,..,2136,297,2430,37,2465,..,759,125,879,18,892,..,166,34,196,0,196,..,654,286,941,6,945,..,35,0,35,0,35,..,1150,89,1242,18,1260,..,222,23,250,6,251,..,405,25,433,6,439,..,607,123,731,15,741,..,511,58,567,4,567,..,467,82,547,12,561,..,182,5,185,0,185,..,3038,127,3164,31,3201,..,516,42,557,10,566,..,3758,134,3891,41,3939,..,855,106,966,8,976,..,8169,413,8580,92,8672,..,1906,144,2046,25,2074,..,562
SOS32,..,9,0,5,0,5,..,178,38,212,8,221,..,26,0,28,0,28,..,174,4,181,8,188,..,358,8,365,6,371,..,53,7,61,0,61,..,12,3,15,0,15,..,17,0,19,0,19,..,72,0,75,0,72,..,35,0,39,0,39,..,95,18,118,0,118,..,19,0,24,0,24,..,19,0,19,0,19,..,15,0,15,0,15,..,295,29,324,0,326,..,263,43,304,3,310,..,101,5,108,0,104,..,8,6,11,0,11,..,35,15,52,0,52,..,5,0,5,0,5,..,18,0,26,0,26,..,14,0,14,0,14,..,30,3,31,0,31,..,78,9,82,0,79,..,33,10,40,0,41,..,21,0,21,0,21,..,17,4,21,0,21,..,195,3,196,3,199,..,50,0,51,0,50,..,220,7,230,0,230,..,47,10,59,0,59,..,511,21,529,3,536,..,158,4,166,6,169,..,15
SOS33,..,32,18,57,0,57,..,852,241,1094,13,1106,..,165,11,175,5,177,..,602,16,614,7,623,..,1425,38,1458,13,1475,..,167,14,177,5,178,..,17,0,24,0,24,..,27,0,27,0,27,..,189,17,201,0,201,..,28,4,34,0,34,..,328,35,362,11,367,..,72,6,80,0,80,..,70,12,78,0,78,..,32,3,33,0,33,..,759,65,828,9,833,..,1138,77,1216,13,1233,..,345,35,374,3,378,..,111,54,163,0,163,..,101,38,138,0,138,..,15,7,22,0,22,..,163,9,175,0,177,..,33,4,31,0,34,..,179,9,184,0,185,..,189,24,215,0,215,..,181,35,212,0,212,..,121,15,137,7,147,..,77,19,98,0,95,..,352,16,370,5,374,..,144,13,158,0,158,..,497,18,519,5,526,..,160,31,188,0,187,..,1152,77,1228,14,1244,..,698,38,739,8,742,..,54
SOS37,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,15,0,18,0,18,..,0,0,0,0,0,..,0
SOS39,..,5,0,5,0,5,..,100,45,146,0,148,..,4,0,4,0,4,..,95,0,95,0,95,..,67,0,71,3,71,..,15,0,15,0,9,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,11,0,15,..,0,0,8,0,8,..,12,0,12,0,12,..,0,0,0,0,0,..,15,0,17,0,17,..,0,0,0,0,0,..,48,8,56,0,60,..,57,0,57,0,57,..,15,4,19,0,19,..,0,0,0,0,0,..,17,14,30,0,30,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,10,0,10,..,8,0,8,0,8,..,25,0,25,0,25,..,10,0,10,0,10,..,10,4,10,0,10,..,3,0,3,0,3,..,10,5,12,0,12,..,22,3,23,0,23,..,12,0,12,0,12,..,15,0,15,0,17,..,54,3,63,0,61,..,141,10,150,0,150,..,0
SOS40,..,1195,383,1581,7,1585,..,33383,8374,41760,359,42114,..,2231,303,2538,25,2562,..,2113,84,2195,27,2219,..,3782,107,3893,47,3940,..,17116,2765,19884,121,20002,..,2595,150,2738,16,2757,..,6689,529,7219,68,7284,..,9144,376,9520,60,9585,..,7635,1711,9350,95,9442,..,16772,1566,18340,222,18560,..,3666,188,3852,34,3894,..,4370,354,4725,58,4788,..,1659,78,1740,12,1751,..,52531,4955,57484,574,58058,..,18690,2861,21555,152,21712,..,1835,147,1976,24,1999,..,2904,1384,4292,31,4325,..,2821,713,3531,21,3555,..,509,50,557,4,562,..,4344,250,4595,39,4637,..,4219,1007,5230,40,5263,..,4162,547,4709,26,4736,..,2280,193,2467,16,2484,..,2838,433,3271,24,3293,..,171,13,183,0,183,..,3327,773,4102,19,4116,..,3648,92,3737,32,3771,..,1448,108,1554,6,1563,..,5112,157,5263,33,5299,..,1592,87,1678,24,1703,..,11799,435,12238,99,12333,..,5979,622,6597,63,6663,..,2949
SOS41,..,50,28,78,0,75,..,1010,410,1421,19,1439,..,240,26,263,10,271,..,312,23,335,4,338,..,912,25,939,10,947,..,859,154,1012,8,1024,..,72,4,80,3,83,..,82,5,90,0,90,..,239,8,249,0,251,..,150,8,164,0,167,..,938,125,1063,19,1080,..,291,16,303,4,309,..,226,19,245,0,250,..,41,10,50,0,50,..,2042,192,2240,34,2272,..,1196,113,1311,20,1332,..,213,18,230,5,236,..,90,32,122,0,123,..,101,16,114,0,114,..,26,7,29,0,29,..,149,12,161,3,165,..,92,9,97,0,97,..,229,22,250,9,254,..,119,18,134,4,141,..,153,19,173,0,173,..,23,16,38,0,38,..,108,18,124,0,122,..,769,31,801,9,808,..,144,9,149,3,155,..,885,32,921,4,923,..,404,70,468,6,472,..,2199,138,2340,17,2354,..,398,28,425,3,432,..,167
SOS42,..,0,0,0,0,0,..,84,19,99,6,103,..,6,0,12,0,12,..,35,0,35,0,35,..,107,7,115,0,115,..,30,3,33,0,33,..,7,0,7,0,7,..,9,0,14,0,14,..,6,0,6,0,6,..,26,0,26,0,26,..,36,0,40,0,40,..,9,0,9,0,9,..,6,0,6,0,9,..,4,0,4,0,4,..,111,4,111,0,116,..,80,3,84,0,84,..,16,0,16,0,16,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,3,0,3,..,3,0,3,0,3,..,40,7,43,0,43,..,7,4,14,0,14,..,16,3,17,0,17,..,0,0,0,0,0,..,3,0,3,0,3,..,64,5,70,0,70,..,16,0,13,0,13,..,69,3,77,0,77,..,34,0,36,0,41,..,180,13,199,0,198,..,20,0,17,0,23,..,5
SOS43,..,9,3,13,0,13,..,205,69,274,0,280,..,49,7,51,0,51,..,144,4,151,0,149,..,419,15,429,6,432,..,697,117,810,8,817,..,14,0,11,0,11,..,28,0,28,0,32,..,33,5,37,0,37,..,25,6,29,0,29,..,240,67,307,7,317,..,11,0,9,0,9,..,0,0,0,0,0,..,10,0,10,0,10,..,358,75,434,5,444,..,603,74,679,8,691,..,44,4,46,0,46,..,96,54,146,0,146,..,17,0,21,0,22,..,10,4,12,4,15,..,11,0,11,0,11,..,26,7,32,0,32,..,87,10,90,3,97,..,29,4,38,6,36,..,70,5,70,4,74,..,9,4,9,0,9,..,44,11,54,0,54,..,114,0,117,0,121,..,61,8,65,0,65,..,126,3,131,0,135,..,63,47,113,0,113,..,372,64,429,3,436,..,137,4,142,0,142,..,27
SOS47,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
SOS49,..,0,0,0,0,0,..,34,5,40,0,40,..,5,0,5,0,5,..,10,0,10,0,10,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,6,0,6,0,6,..,4,3,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,3,20,0,20,..,20,0,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,11,0,11,..,18,0,18,0,18,..,0
SOS50,..,3227,517,3752,19,3768,..,56815,14801,71608,647,72255,..,4181,540,4720,30,4747,..,7930,314,8245,116,8361,..,6656,206,6864,88,6950,..,3736,383,4116,38,4154,..,3386,242,3629,31,3654,..,8923,753,9675,81,9753,..,10604,600,11201,108,11313,..,4389,322,4710,58,4765,..,17918,1697,19609,258,19867,..,5636,287,5930,34,5961,..,7483,468,7947,89,8036,..,2436,144,2582,16,2595,..,60768,4509,65281,675,65953,..,20217,2222,22440,179,22627,..,4862,737,5605,55,5656,..,1109,408,1518,12,1535,..,4845,1655,6502,53,6555,..,4984,701,5684,33,5720,..,8374,487,8859,82,8944,..,6343,972,7311,58,7374,..,4711,443,5152,44,5197,..,6775,742,7518,93,7609,..,3143,339,3484,28,3513,..,717,70,783,10,796,..,4623,771,5400,29,5421,..,9676,255,9926,91,10016,..,10422,1007,11432,120,11548,..,13824,453,14273,104,14372,..,7137,551,7691,62,7752,..,41056,2262,43321,365,43691,..,10561,975,11537,134,11670,..,7766
SOS51,..,58,13,74,0,71,..,1733,511,2239,24,2261,..,151,10,159,0,159,..,834,38,869,16,879,..,1029,38,1064,22,1089,..,213,16,229,9,243,..,138,6,146,0,146,..,272,32,301,0,305,..,494,26,521,4,524,..,214,16,234,4,234,..,560,44,606,8,612,..,312,26,342,0,336,..,342,22,360,4,370,..,117,4,120,0,125,..,2444,176,2623,25,2648,..,1549,129,1681,19,1700,..,274,34,308,7,309,..,50,10,65,0,64,..,238,101,345,0,343,..,108,7,117,0,117,..,602,51,658,10,669,..,143,22,161,0,161,..,331,16,352,4,357,..,380,34,412,3,419,..,227,24,248,0,255,..,117,5,125,5,132,..,93,7,100,0,105,..,1958,55,2019,26,2043,..,667,46,705,6,718,..,2300,79,2380,18,2402,..,1216,196,1411,25,1437,..,6143,375,6521,79,6596,..,820,35,848,11,858,..,259
SOS52,..,3,4,8,0,8,..,123,54,171,6,176,..,29,3,30,0,35,..,74,4,74,0,77,..,136,6,145,0,146,..,19,0,22,0,23,..,3,0,3,0,3,..,10,0,11,0,11,..,24,4,25,0,25,..,19,0,19,0,20,..,37,7,37,0,37,..,10,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,109,8,116,0,118,..,110,3,116,6,123,..,21,5,27,0,27,..,9,0,8,0,8,..,20,5,18,0,20,..,3,0,6,0,6,..,59,5,68,0,68,..,8,0,8,0,8,..,16,8,21,0,21,..,37,0,38,0,38,..,21,4,23,0,23,..,4,0,4,0,4,..,10,0,10,0,8,..,208,5,220,7,225,..,40,0,43,0,43,..,229,3,236,3,239,..,58,5,64,0,64,..,537,13,551,11,564,..,79,6,85,0,85,..,8
SOS53,..,13,5,17,0,17,..,462,98,556,8,564,..,166,12,177,4,180,..,368,15,386,0,383,..,650,22,671,6,680,..,90,9,96,3,100,..,15,3,23,0,20,..,25,3,26,0,29,..,33,0,33,0,33,..,17,0,17,0,17,..,75,5,78,0,78,..,21,0,21,0,21,..,25,3,35,0,35,..,14,0,14,0,14,..,227,12,240,0,241,..,874,64,939,10,948,..,84,16,100,0,99,..,8,0,9,0,9,..,35,7,42,0,47,..,68,5,70,0,70,..,19,0,21,0,21,..,24,5,24,0,24,..,102,4,109,0,109,..,126,11,137,10,149,..,42,0,42,0,42,..,19,4,19,0,19,..,53,6,56,0,56,..,201,4,198,0,204,..,112,7,117,0,117,..,257,6,266,6,274,..,162,39,204,0,209,..,733,62,795,10,802,..,276,15,290,0,295,..,25
SOS57,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,9,0,8,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,26,0,22,0,25,..,0,0,0,0,0,..,0
SOS59,..,0,0,0,0,0,..,27,8,32,0,32,..,5,0,5,0,5,..,47,0,50,0,50,..,31,0,31,0,31,..,3,0,3,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,24,0,23,..,29,0,39,0,35,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,3,0,3,..,0,0,4,0,4,..,3,0,3,0,3,..,6,0,8,0,8,..,4,0,4,0,4,..,10,0,10,0,10,..,10,0,10,0,10,..,0,0,5,0,5,..,0,0,0,0,0,..,7,0,8,0,8,..,9,0,12,0,12,..,14,0,14,0,14,..,3,0,3,0,3,..,31,0,33,0,33,..,46,0,44,0,44,..,4
SOS60,..,99,23,129,0,124,..,6484,872,7361,60,7417,..,150,24,171,0,171,..,379,5,386,3,392,..,586,12,598,15,609,..,796,85,888,6,890,..,481,14,494,5,493,..,426,17,444,6,446,..,888,31,919,4,922,..,4011,415,4432,33,4466,..,1640,94,1732,21,1753,..,612,32,647,13,659,..,819,53,866,8,870,..,113,5,118,0,119,..,8987,657,9645,88,9729,..,525,36,561,4,566,..,299,27,322,6,328,..,53,0,51,0,60,..,350,90,437,0,438,..,16,0,16,0,16,..,339,24,367,3,366,..,204,34,244,3,244,..,344,45,387,3,396,..,309,19,328,0,330,..,157,15,177,3,177,..,14,0,14,0,14,..,85,13,101,0,97,..,291,5,298,4,307,..,232,14,243,3,246,..,388,14,401,3,406,..,141,0,143,0,143,..,1051,32,1083,11,1094,..,835,55,892,9,896,..,267
SOS61,..,39,9,53,0,53,..,1719,271,1989,17,2002,..,26,0,30,0,30,..,191,9,203,3,204,..,344,4,352,5,355,..,149,10,155,0,155,..,161,11,174,0,174,..,268,11,287,0,286,..,307,7,322,8,324,..,1989,499,2491,24,2513,..,691,43,737,10,742,..,384,17,397,4,400,..,462,24,481,3,483,..,52,5,55,0,55,..,4321,614,4929,45,4980,..,234,25,259,3,256,..,120,14,131,3,136,..,21,3,22,0,22,..,150,31,178,0,178,..,11,4,11,0,11,..,207,12,219,0,228,..,156,43,205,0,204,..,127,8,135,0,135,..,86,9,90,0,87,..,97,8,105,0,105,..,27,0,35,3,35,..,31,0,32,0,33,..,221,0,225,0,226,..,113,3,113,0,112,..,326,8,334,4,337,..,142,4,146,0,146,..,798,20,815,7,823,..,397,30,430,6,433,..,139
SOS62,..,0,0,0,0,0,..,103,10,110,4,115,..,5,0,4,0,4,..,54,0,59,0,58,..,81,5,88,0,91,..,12,0,12,0,11,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,10,0,10,..,92,0,99,0,99,..,9,0,11,0,11,..,29,0,29,0,29,..,12,0,12,0,12,..,0,0,0,0,0,..,160,4,166,0,162,..,22,0,22,4,23,..,19,0,19,0,19,..,0,0,0,0,0,..,20,8,21,0,28,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,6,0,6,..,6,0,6,0,6,..,7,0,11,0,11,..,22,3,24,0,24,..,0,0,0,0,0,..,4,0,4,0,4,..,33,0,33,0,33,..,9,0,9,6,9,..,23,0,19,0,19,..,19,0,20,0,20,..,76,5,81,6,86,..,34,4,44,0,44,..,5
SOS63,..,7,0,7,0,7,..,267,39,304,0,304,..,12,0,12,0,12,..,153,0,157,0,157,..,369,9,377,3,381,..,58,9,63,0,65,..,20,0,20,0,20,..,18,0,18,0,18,..,26,3,31,0,31,..,149,12,161,0,165,..,46,7,46,0,46,..,30,0,32,0,32,..,120,3,127,0,127,..,11,0,11,0,11,..,419,22,439,0,445,..,102,6,106,0,106,..,91,4,92,4,98,..,7,0,7,0,6,..,36,5,43,0,43,..,0,0,0,0,0,..,11,0,15,0,15,..,17,3,21,0,21,..,76,3,74,0,74,..,39,3,42,0,38,..,69,4,73,0,73,..,10,0,10,0,12,..,9,0,9,0,9,..,54,0,56,0,56,..,39,0,39,0,44,..,50,3,57,0,57,..,76,36,112,0,115,..,226,46,267,5,270,..,176,6,183,3,191,..,25
SOS67,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
