SOS_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS10,832,1255,5969,9231,13649,24556,39282,36926,21211,152917,252,1219,6170,6670,8813,12767,12693,10566,6774,65920,13622,20986,54415,44430,33472,30295,29462,28431,23451,278560,136249,379006,885070,843719,727878,639138,491228,283939,122424,4508642
SOS11,660,577,1973,2642,3834,8230,15663,14198,9411,57186,82,167,702,720,830,956,1035,849,499,5836,5691,6513,15002,13311,12308,12373,13981,13552,9067,101793,41824,82828,189117,178770,183898,201166,196647,122421,49961,1246632
SOS12,70,46,146,199,379,953,1717,1318,674,5502,13,12,31,29,50,65,77,84,30,391,600,492,1169,1221,1361,1653,1838,1256,575,10151,3784,6371,14014,15743,19296,23453,21614,10463,3080,117824
SOS13,167,90,472,680,1237,2999,5462,4029,1708,16846,25,35,124,139,168,258,327,300,169,1540,2663,2479,5456,6124,7013,8030,6908,4033,1317,44019,16524,25913,50458,62114,83126,95289,77252,33960,8216,452849
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
SOS20,1333,1827,6954,10053,12685,19922,37741,47797,27823,166139,310,1450,6357,7350,8513,10370,10216,9659,5993,60230,10632,16911,44797,34748,27251,23656,23578,22069,16386,220036,104974,335491,801723,738619,630375,532498,411096,242613,105564,3902954
SOS21,531,507,1805,2079,2538,4559,9632,12273,7857,41772,63,206,748,839,969,926,781,700,395,5623,3076,3095,7787,7449,7168,7618,8969,8372,5570,59110,22227,50273,124304,120461,119368,124433,119593,69716,28444,778832
SOS22,41,28,120,135,229,471,949,1115,631,3717,5,9,30,29,27,35,47,40,15,235,327,303,644,781,899,1152,1205,850,521,6673,1950,3771,9136,10285,12232,15380,14022,6780,2369,75922
SOS23,200,123,465,586,944,1903,3782,4059,1574,13630,28,43,116,109,146,164,193,253,133,1195,1880,1475,3262,3983,5033,5838,5296,3051,957,30768,10671,19178,37641,46829,62742,72463,59683,25282,5959,340447
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
SOS29,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
SOS30,965,911,3257,4672,6328,9660,19880,27404,14928,88015,208,593,2625,2914,3194,3245,2665,1862,1176,18478,9832,14920,33941,27403,23522,19865,18558,16866,12430,177348,99359,245890,526953,506588,471217,398016,317799,178345,67746,2811911
SOS31,427,347,1012,1474,2343,4248,10421,13964,7080,41307,62,130,458,366,485,558,573,493,307,3436,3600,4449,11004,9692,9376,8850,8050,7008,4218,66247,25547,50423,115775,111722,114671,118181,105929,61253,21892,725393
SOS32,69,70,175,235,419,934,2140,2299,730,7081,5,12,36,35,49,55,122,86,40,437,638,597,1483,1488,1699,1917,1690,1252,410,11165,3731,6274,14145,15269,18339,22192,19254,9424,2259,110891
SOS33,126,89,359,542,1082,2244,5506,5896,1734,17577,26,31,104,129,192,246,258,228,86,1296,2157,2066,4798,5289,6795,6931,5384,2912,707,37045,12368,19745,41718,51719,67553,74103,58056,25356,5144,355756
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,48,32,8,0,0,0,135,0,16,48,64,45,5,3,0,0,183
SOS39,10,14,39,43,34,74,138,58,9,406,3,5,12,3,6,8,13,5,4,61,129,283,766,729,628,515,342,81,15,3486,418,928,2647,2073,1929,2468,2124,441,44,13081
SOS40,274,369,1534,2266,2451,3897,8467,11893,8319,39462,60,247,1208,1787,2240,2147,1833,1670,1299,12491,2167,3217,7654,6615,5863,5667,5872,5695,4047,46789,27726,82773,178336,167484,154971,148610,124612,72979,33276,990764
SOS41,96,102,387,498,564,1234,3306,4857,3077,14108,17,32,155,185,222,200,178,212,102,1319,904,949,2318,2230,2408,2505,2776,2717,1552,18355,7424,17035,38309,37242,41350,44527,43460,27214,10678,267234
SOS42,21,21,74,102,119,233,663,779,521,2539,0,9,14,15,21,28,32,16,19,139,176,175,383,427,554,677,712,494,287,3881,1104,2146,4995,5137,6270,8257,7919,4097,1592,41519
SOS43,30,38,132,185,301,597,1434,1467,513,4690,8,10,19,54,59,86,89,69,40,437,579,499,1062,1157,1583,1845,1612,900,260,9483,3653,6477,12773,16081,21431,25129,19894,8227,1738,115408
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
SOS49,7,7,12,19,11,9,22,10,0,98,0,0,3,0,6,4,3,0,6,21,35,38,168,180,141,131,67,8,5,771,111,203,627,534,478,509,359,64,11,2895
SOS50,446,444,1636,2583,3314,4835,8836,10967,6951,40010,94,232,1317,1854,2098,2162,1879,1542,1141,12309,4140,6346,17615,15600,13232,11130,10097,9509,7228,94894,52586,128109,295678,297739,263499,229502,182178,99453,39903,1588634
SOS51,151,128,345,471,661,1072,2020,2705,1586,9126,23,45,195,199,244,226,219,182,148,1473,1843,1978,5507,5201,4859,4219,3228,2463,1489,30785,10735,19228,50547,52114,50116,46785,36978,19660,7340,293503
SOS52,76,58,124,124,183,310,537,557,269,2237,12,7,24,26,36,46,60,60,25,289,285,353,839,846,988,1079,858,579,228,6049,1816,2912,6895,6891,7591,8619,7318,3682,1134,46855
SOS53,53,37,149,168,302,477,960,965,355,3464,15,16,44,87,136,108,71,90,37,607,778,1179,2943,3001,3160,2879,1992,980,199,17114,4397,7715,17358,20796,25401,27120,19966,8076,1649,132476
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
SOS59,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
SOS60,64,61,231,226,269,481,804,1181,978,4295,9,24,158,125,167,157,144,89,53,928,407,545,1678,1141,938,999,1194,1102,622,8633,4266,12412,34017,25311,22996,22694,20301,11948,4882,158826
SOS61,63,89,274,295,387,783,1663,1944,1759,7262,13,39,154,161,220,180,136,96,59,1053,580,716,1564,1299,1363,1532,1896,1892,1040,11892,5301,12623,29011,24760,26425,28395,26773,16426,6237,175955
SOS62,16,3,16,23,41,131,282,300,173,992,0,3,6,10,6,5,16,10,10,63,80,85,196,192,258,352,417,304,141,2016,632,1263,3093,3280,3988,5201,4914,2476,703,25564
SOS63,31,20,52,71,166,408,740,585,290,2354,9,3,26,21,18,29,23,31,22,178,336,288,755,828,989,1261,1165,616,185,6416,2691,4553,10260,12366,15547,18862,14815,5747,1169,86011
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
SOS69,6,4,5,9,3,8,8,7,0,48,0,0,0,0,3,0,0,0,0,8,19,16,49,50,48,60,72,8,3,325,74,119,228,197,203,199,163,31,3,1227
SOS70,53,34,158,251,370,467,659,491,175,2665,8,29,85,99,121,143,155,97,42,783,504,799,2278,1731,1418,1080,738,360,150,9063,2948,8203,23975,19603,15395,12030,7774,3085,750,93743
SOS71,154,151,245,282,298,298,315,154,46,1943,25,27,63,72,91,82,100,46,26,536,284,271,924,754,601,511,308,114,46,3812,1847,3037,9136,7495,5896,4917,2534,847,227,35949
SOS72,252,236,474,382,377,315,219,68,8,2336,27,33,55,65,90,104,129,64,24,594,136,156,398,300,279,258,156,46,4,1742,1375,2025,4198,3330,2890,2239,1154,311,48,17583
SOS73,88,70,209,260,276,278,291,124,22,1617,12,24,45,61,69,86,74,44,14,425,283,400,798,697,794,675,428,162,17,4255,1392,2279,4856,4767,5154,4420,2701,855,123,26559
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,3,0,0,0,23,4,6,23,22,19,17,0,0,0,94
SOS79,4,8,20,28,27,27,14,3,0,132,0,3,0,0,4,3,4,0,0,28,37,79,223,220,278,226,100,14,0,1181,73,183,661,573,591,575,318,49,7,3031
SOS80,69,73,295,393,478,844,1548,1689,990,6379,18,50,274,231,261,289,270,286,155,1839,1130,1865,3695,2580,1929,1566,1659,1333,809,16569,11691,34032,77415,69099,55927,45160,35510,19290,7169,355296
SOS82,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,5,0,0,25,20,25,49,96,100,73,58,30,6,454
SOS83,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,8,14,15,3,15,12,7,0,0,84,31,75,115,61,75,72,52,9,5,501
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
SOS91,0,0,0,0,8,12,37,12,3,70,0,0,0,0,6,0,12,10,0,21,3,9,57,41,44,32,30,0,0,226,21,45,202,206,207,178,150,26,4,1036
SOS92,0,0,6,0,4,14,13,12,0,45,0,0,0,0,0,26,29,17,11,82,14,18,29,49,45,64,38,34,3,299,54,118,197,308,297,466,314,162,48,1962
SOS93,0,0,0,0,6,7,18,4,0,37,0,0,0,0,0,0,8,4,0,19,3,25,123,65,48,26,20,16,0,331,11,52,173,125,158,119,119,66,15,838
