SOS_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOS10,0,0,7,95,908,2825,4370,3325,548,517,493,533,220,176,268,14291,0,0,11,164,820,4079,11143,5866,1252,1437,1312,1241,582,237,398,28551,42,129,645,1171,1241,1623,2679,1693,395,379,486,560,341,101,171,11643,409,1228,1442,2972,27125,38092,75100,41815,10208,11377,9857,11478,3933,683,5428,241146,89,1238,5927,1869,817,2325,812,213,41,36,43,24,13,9,445,13890,404,1196,2971,1937,2748,2587,3058,2269,499,591,482,426,196,77,555,20005,56,157,445,2082,9079,8778,7593,2704,594,513,703,766,336,61,758,34626,2680,3400,2136,1403,1648,1670,3099,1595,362,378,387,500,239,77,600,20161,381,5517,13743,3263,965,587,472,1162,168,128,105,89,47,23,1414,28076,104,339,981,4204,12286,12980,5799,3507,1068,1125,976,1126,1078,434,753,46757,225,250,1769,2885,6418,16413,55067,38446,12553,13847,16725,18220,6445,1671,2771,193698,73,227,329,1717,4197,7540,8900,4947,1411,1459,1661,2020,840,95,753,36175,9,13,277,1014,3397,3409,5727,7633
SOS11,0,0,0,3,6,14,51,129,21,23,9,29,0,0,10,287,0,0,0,8,3,42,261,318,77,95,66,68,9,7,9,956,13,44,203,315,282,299,522,349,52,76,56,86,54,16,51,2420,43,82,67,116,358,444,1113,694,226,291,336,527,99,34,165,4589,21,162,463,164,45,82,24,10,0,0,0,0,9,0,34,1014,51,136,121,36,29,52,135,103,23,14,26,52,20,10,35,835,26,49,67,157,294,250,308,244,39,71,78,130,128,169,107,2110,889,1590,764,429,549,331,469,226,46,59,52,51,37,0,228,5717,22,217,349,109,34,22,27,31,3,5,5,5,6,0,47,868,19,16,73,132,216,113,140,100,29,35,24,20,44,6,20,978,98,75,248,252,249,480,3289,3180,1018,1071,1222,1431,540,125,266,13542,27,82,46,42,87,121,250,199,50,54,53,111,64,8,39,1242,4,0,6,27,77,52,96,177
SOS12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,5,0,18,32,41,34,75,26,9,0,6,5,0,0,3,245,0,10,10,4,16,15,40,35,4,12,12,23,4,0,5,196,0,7,42,10,4,4,0,0,0,0,0,0,0,0,3,68,0,8,16,8,3,0,3,0,0,0,0,0,0,0,4,40,3,3,4,7,13,23,13,18,0,5,7,6,6,0,3,103,87,156,106,45,68,39,35,24,7,4,0,4,6,0,23,602,0,16,32,7,7,0,4,4,0,0,0,0,0,0,6,70,0,4,10,10,13,5,6,9,0,0,0,0,0,0,4,63,13,7,21,13,23,34,63,60,18,19,33,33,13,6,18,373,4,12,4,11,12,7,12,6,9,9,5,0,3,0,0,94,0,0,0,0,8,5,4,11
SOS13,0,0,0,0,5,21,4,9,0,0,0,0,0,0,5,42,0,0,0,5,5,22,17,9,6,4,7,0,3,0,11,78,4,14,103,163,119,119,142,76,17,19,20,25,15,3,31,878,9,31,38,40,224,258,394,238,64,55,52,68,12,3,98,1573,10,67,256,92,27,36,0,0,0,0,0,0,0,0,13,498,13,37,59,21,27,23,25,10,0,0,3,6,0,0,16,244,4,14,41,45,131,87,57,38,10,8,0,8,14,3,32,496,269,488,323,221,365,222,243,119,12,16,10,20,16,3,74,2410,8,91,178,40,15,16,6,9,0,0,0,0,0,0,19,375,4,9,45,50,41,38,21,21,0,6,13,11,5,3,28,302,14,23,104,89,119,164,358,161,29,30,43,42,20,11,49,1266,7,39,30,16,21,50,49,49,8,19,11,21,14,0,20,363,0,0,14,19,78,36,33,33
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,0,0,0,0,5,6,4,6,0,26,0,0,0,0,4,5,11,17,3,8,11,17,8,0,0,86,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,4,0,4,4,0,0,0,23,3,0,0,0,6,0,4,0,0,0,0,8,0,0,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,5,0,7,6,0,5,0,3,5,0,32,0,0,0,3,0,5,12,9,9,3,4,12,0,16,5,78,0,0,0,0,3,0,4,3,0,0,6,11,5,0,0,32,0,0,0,0,0,3,4,13
SOS20,0,0,3,29,540,2458,7054,7539,1226,1381,988,1444,546,463,409,24089,0,3,12,93,241,893,3624,2219,467,527,499,467,242,55,89,9443,13,94,395,819,897,1111,1921,1461,326,312,394,437,194,82,120,8587,126,424,786,1075,11498,17195,52650,35793,9291,10078,9642,11614,3816,786,2841,167614,60,1217,6029,2041,852,2012,689,192,31,18,16,33,6,5,392,13589,232,1324,2207,1034,1441,1384,2335,1682,249,281,355,238,135,58,327,13264,27,51,134,535,2618,2264,2870,1209,218,254,246,311,128,46,181,11082,2688,4440,2214,1193,1566,1385,2331,1244,270,285,286,335,161,69,528,19006,397,7823,23338,5757,1635,714,576,2081,260,217,152,161,59,18,1625,44806,45,156,468,1559,5340,5386,4222,2723,742,792,849,904,729,268,414,24594,241,190,2361,3410,6106,11938,79454,48022,13915,15991,21442,24559,8025,1704,3575,240956,45,158,205,493,1327,3855,5546,2662,779,939,986,1276,731,88,301,19387,12,16,73,231,1412,1246,4148,9018
SOS21,0,0,0,0,5,51,360,503,55,69,71,69,32,25,31,1281,0,0,5,4,10,58,333,211,35,47,30,29,15,0,3,787,3,16,75,155,140,148,290,182,43,42,28,32,17,6,21,1195,14,19,38,31,118,189,802,536,175,230,309,347,45,10,82,2951,17,146,515,167,57,115,29,18,7,0,0,4,0,0,35,1108,18,104,103,42,33,33,136,72,16,21,28,16,8,9,19,669,4,6,18,34,150,170,262,183,44,34,58,63,42,3,12,1085,764,1378,524,249,286,162,279,126,31,27,19,32,13,7,145,4043,27,276,503,166,46,24,23,26,10,3,3,5,0,0,60,1172,5,12,21,38,78,59,96,93,21,8,20,36,24,7,16,533,48,45,170,171,178,332,5913,3629,982,893,1110,1387,473,95,271,15682,12,34,18,33,50,100,213,154,41,64,55,82,51,3,30,940,0,0,4,3,25,25,88,202
SOS22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,4,0,0,0,23,0,0,19,15,22,7,17,7,0,4,0,0,0,0,0,103,0,0,6,0,10,13,22,26,5,6,9,23,8,0,0,129,0,4,37,13,3,3,0,0,0,0,0,0,0,0,4,65,0,0,10,0,5,3,9,0,0,0,0,0,0,0,0,30,0,4,5,3,7,10,12,0,0,0,0,0,0,0,4,57,66,146,64,32,40,23,19,13,0,4,0,0,0,4,16,419,6,24,32,12,4,3,0,4,0,0,0,0,0,0,5,89,0,0,0,4,8,0,4,6,0,0,0,3,0,0,0,33,10,0,25,9,15,10,75,31,21,21,33,22,13,0,15,306,0,3,3,0,4,6,13,6,9,0,4,0,0,0,0,65,0,0,0,3,3,0,5,4
SOS23,0,0,0,0,4,6,21,3,7,0,0,0,0,0,12,51,0,0,0,9,5,3,8,4,3,0,3,9,0,0,0,37,5,13,44,80,65,73,101,59,18,16,11,17,6,0,17,530,8,16,24,9,56,45,204,116,32,36,39,37,18,6,57,705,7,66,228,91,13,39,5,3,0,0,0,0,0,0,27,484,5,29,30,9,8,9,7,0,0,0,0,7,0,0,12,120,0,5,15,31,48,31,32,15,0,4,0,4,5,0,10,198,238,557,267,150,201,118,146,65,9,13,10,23,15,0,62,1864,20,167,236,54,16,5,3,4,0,0,0,0,0,0,35,543,0,5,6,18,16,25,16,21,0,9,3,10,6,5,19,159,15,15,69,73,80,98,305,151,38,48,55,89,23,8,85,1156,9,12,17,8,17,17,41,27,7,10,16,28,6,0,14,231,0,0,3,8,12,9,14,23
