SOS_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS60,75073,80626,155700,1973,2117,4087,1219,1119,2337,1295,1170,2467,528,574,1103,95,102,198,123,151,279,8705,9247,17953,60,66,126,74,91,168,0,0,0,12117,12518,24629,515,521,1043,288,224,517,14892,15382,30274,4834,4575,9410,94795,100586,195386
SOS61,84630,91124,175754,2818,3180,5999,938,863,1799,964,872,1840,645,724,1374,105,83,184,164,195,358,7909,8999,16908,78,83,158,40,45,90,0,0,5,10847,11875,22723,318,354,669,247,244,490,14229,15650,29881,6085,6212,12300,104946,112985,217935
SOS62,12550,12537,25085,528,563,1092,125,124,249,99,97,194,141,145,283,8,17,25,31,19,49,795,823,1616,17,15,28,0,3,9,4,4,5,1223,1243,2474,51,48,91,29,21,47,1825,1877,3701,1102,1050,2155,15477,15465,30941
SOS63,45829,42864,88696,1230,1206,2437,386,343,732,344,313,655,305,315,616,50,44,101,84,82,162,2595,2723,5319,36,32,70,28,22,53,0,0,0,3827,3881,7704,168,131,296,78,72,146,5296,5284,10587,3827,3331,7154,54949,51481,106427
SOS67,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,13,0,19
SOS69,178,106,280,64,46,107,27,26,48,23,29,54,20,37,62,8,10,21,4,7,9,197,198,394,0,4,3,0,0,0,0,0,0,284,314,593,15,11,23,7,3,8,362,374,736,224,138,360,761,612,1377
SOS70,42251,42556,84809,1242,1325,2574,890,840,1731,1023,1008,2039,815,811,1622,342,364,703,370,391,766,50,52,102,6366,6638,13010,128,141,274,3,3,10,9999,10254,20249,491,524,1020,281,213,498,12021,12317,24340,6423,4903,11324,60696,59774,120473
SOS71,17537,17878,35413,996,1147,2149,202,251,455,323,367,690,277,310,589,133,170,299,128,141,273,19,27,47,1515,1683,3200,30,31,60,0,0,0,2640,2977,5616,250,246,501,79,71,154,3969,4446,8416,2051,1909,3954,23550,24229,47785
SOS72,9566,9836,19399,560,605,1168,78,81,151,89,95,183,133,139,270,38,47,81,35,52,91,14,5,15,439,482,915,4,6,10,0,0,0,826,901,1722,19,23,39,22,26,52,1428,1553,2981,778,738,1522,11775,12130,23907
SOS73,12781,11756,24540,405,395,804,195,191,386,143,153,294,221,250,468,87,91,176,97,87,182,9,11,24,883,870,1754,5,6,10,0,0,0,1642,1660,3295,48,34,84,54,54,107,2152,2139,4292,3107,1877,4983,18036,15772,33814
