SOS_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOS10,101315,20449,122562,990475,185241,15145,1190858,3236460,274596,4701906
SOS11,42448,7198,49987,233514,83087,10538,327141,872517,95114,1294773
SOS12,2581,474,3080,21443,7843,929,30217,82619,9582,122413
SOS13,7016,1088,8221,84764,32353,3236,120360,309035,43557,472950
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,33,16,49,818,332,37,1191,5556,3362,10112
SOS20,92557,12199,105646,845988,210518,18580,1075082,2785929,217924,4078935
SOS21,24166,4103,28468,157737,52763,5958,216451,540879,54697,812034
SOS22,1958,394,2369,13664,4992,521,19177,53325,6291,78795
SOS23,5010,892,5963,63230,25755,2227,91213,232337,32737,356286
SOS27,0,0,0,0,0,0,0,12,27,38
SOS29,17,17,29,695,281,39,1013,3668,3262,7946
SOS30,57688,9577,67791,609043,170542,20068,799653,1959398,178216,2937275
SOS31,18537,3208,21899,140182,45593,6878,192658,498174,64956,755788
SOS32,1918,316,2259,18621,7159,984,26764,76588,11431,114777
SOS33,4471,607,5145,64891,23943,2629,91458,239510,39595,370559
SOS37,0,0,0,0,0,0,0,45,135,183
SOS39,33,13,44,1219,501,70,1785,8009,3440,13234
SOS40,30302,2666,33293,197242,72880,7377,277504,712106,43949,1033551
SOS41,9495,1125,10681,48674,20023,2409,71114,189999,17347,278457
SOS42,1364,226,1592,6587,3366,468,10416,28968,3572,42961
SOS43,1498,226,1738,21375,9684,974,32039,78290,10093,120427
SOS47,0,0,0,0,0,0,0,0,5,12
SOS49,15,0,11,315,124,17,459,1761,756,2975
SOS50,34148,5293,39936,349223,119779,14559,483564,1078613,93700,1655875
SOS51,6145,1145,7350,61170,19498,3615,84282,190468,30533,305293
SOS52,919,204,1134,7698,3689,781,12167,30238,5808,48211
SOS53,1459,163,1649,22671,9678,1289,33636,84053,19374,137066
SOS57,0,0,0,40,5,3,45,248,221,516
SOS59,12,23,30,613,205,45,861,3063,3361,7285
SOS60,4367,466,4881,29787,12437,1471,43689,113020,8415,165131
SOS61,5481,726,6236,31675,12636,1737,46051,126251,10496,182793
SOS62,577,123,703,4223,1833,238,6292,18236,1843,26369
SOS63,1019,138,1169,15769,6466,729,22963,60373,6041,89376
SOS67,0,0,0,0,0,0,0,11,3,19
SOS69,3,0,3,144,39,7,192,726,324,1248
SOS70,608,123,749,19749,5612,920,26274,60904,10271,97454
SOS71,189,31,231,7298,4136,1221,12657,21137,3660,37454
SOS72,36,3,48,3509,3567,1099,8174,8380,1637,18192
SOS73,97,16,123,4718,2750,518,7986,14736,4737,27458
SOS77,0,0,0,3,4,0,11,60,26,94
SOS79,4,0,7,288,57,11,354,1487,1208,3052
SOS80,6326,735,7174,77498,24197,3041,104732,248284,16983,370000
SOS82,6,0,6,127,43,0,165,290,21,481
SOS83,4,0,5,84,27,0,115,310,89,519
SOS87,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,4,63,32,0,97,335,130,560
SOS91,4,0,4,219,38,7,261,606,209,1074
SOS92,44,6,48,297,154,26,481,1265,278,2017
SOS93,8,0,15,78,41,12,130,402,322,859
SOS97,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,4,0,0,4,6,3,11
