SOS_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS32,253,49,656,353,259,217,165,308,24,2274,0,4,3,13,7,9,0,6,0,43,51,68,75,62,48,17,80,52,24,470,146,111,265,207,150,124,199,306,279,1784,4194,7162,6727,5164,3723,1740,2427,3024,738,34899
SOS33,1103,198,1804,1067,931,601,485,1012,112,7308,12,9,10,25,13,26,12,39,3,153,360,261,247,206,191,97,219,186,89,1856,894,266,830,440,407,348,600,921,746,5458,24238,26457,24068,14118,13857,5515,8144,10926,2542,129867
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
SOS39,11,4,29,26,9,16,14,43,0,146,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,10,4,3,34,5,4,15,7,4,3,9,29,22,99,210,448,278,310,181,120,161,430,60,2209
SOS40,2391,658,7662,3325,2471,1936,991,2202,232,21876,36,45,28,74,74,47,34,77,14,435,803,1129,707,986,859,363,621,668,218,6365,854,804,1260,1072,906,593,743,1073,1472,8781,53745,134394,57055,58444,50426,21428,15320,23361,6455,420626
SOS41,685,152,2071,978,577,607,328,778,76,6258,9,8,9,11,3,7,6,26,0,88,149,168,170,196,129,65,129,161,34,1199,272,150,453,372,200,233,282,519,363,2843,11511,22301,16052,14591,9659,5096,4482,6937,1369,91991
SOS42,113,16,264,134,89,70,35,117,6,847,0,0,0,6,0,0,0,5,0,11,28,23,18,27,23,9,18,23,3,169,58,35,85,68,50,28,57,132,59,579,1832,2567,2435,1906,1326,645,717,1265,232,12924
SOS43,386,54,624,276,243,180,115,317,43,2244,7,0,3,3,6,0,4,0,0,26,131,74,65,81,66,29,52,67,24,591,392,92,217,164,139,107,144,242,183,1675,10388,9340,6863,4771,4322,1821,1928,3672,763,43869
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS49,0,3,12,6,0,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,4,5,0,0,5,8,11,29,47,114,76,58,42,28,33,71,15,489
