SOS_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOS42,1040,14,0,0,0,0,0,156,1205,784,103,33,3,4,0,0,107,1035,618,207,214,51,12,0,3,93,1199,345,253,368,204,61,12,12,104,1361,202,198,419,274,104,23,11,92,1316,149,152,445,296,108,36,16,111,1306,224,157,510,291,121,39,27,132,1486,214,195,546,384,133,38,31,128,1660,237,205,741,483,141,39,32,143,2013,262,230,738,444,187,53,31,166,2116,203,170,740,460,212,39,24,154,2010,164,122,644,448,180,48,29,171,1811,79,68,374,369,162,47,30,126,1255,45,35,175,220,139,65,41,99,818,44,47,155,212,154,92,108,132,949,4595,2149,6105,4138,1719,539,396,1909,21547
SOS43,3583,22,0,0,0,0,0,469,4075,2413,144,65,19,0,0,0,260,2908,1595,480,377,130,36,8,3,247,2877,861,565,868,487,153,25,16,262,3238,566,456,1367,869,289,82,32,248,3911,459,413,1421,997,348,79,77,266,4062,557,475,1716,1165,367,91,59,358,4787,701,564,1996,1353,496,115,80,385,5685,744,587,2071,1373,523,140,81,414,5932,694,555,2085,1407,560,152,93,436,5982,523,414,1823,1222,494,150,61,384,5064,298,306,1456,1020,400,119,56,346,3999,177,137,748,654,290,94,55,231,2383,54,68,305,346,199,75,55,127,1227,47,37,158,206,159,67,60,127,859,13268,5217,16464,11245,4308,1188,726,4556,56981
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,83,8,0,0,0,0,0,22,112,64,4,5,0,0,0,0,21,95,79,23,16,0,0,0,0,36,153,52,21,17,18,3,3,5,40,149,23,13,22,13,12,0,0,51,137,17,10,10,12,8,5,0,42,101,15,10,7,17,6,3,4,24,80,20,10,17,15,4,0,3,25,99,15,11,33,16,0,7,0,16,97,12,9,34,29,7,0,0,16,106,6,10,27,18,8,0,0,9,83,3,0,20,10,8,0,0,9,58,0,0,7,0,0,0,0,0,15,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,5,10,398,135,214,160,59,21,18,307,1306
SOS50,53482,283,20,4,0,0,11,4093,57892,54687,2906,1036,238,26,3,10,4633,63540,47857,9454,5837,1803,449,107,46,4966,70520,33053,17772,17359,5613,1610,418,232,4365,80424,18385,15603,28253,10331,2881,838,514,3771,80585,11765,11064,27512,11791,3440,1028,709,2797,70109,10136,9930,26580,12461,3723,1155,790,2756,67538,9544,9318,26053,12399,3899,1217,828,2611,65867,8313,7846,23824,12684,4266,1156,801,2433,61322,6693,6611,21823,12996,4514,1241,683,2163,56717,5258,5571,19816,12187,4319,1138,683,2169,51141,3684,4215,17561,10909,4074,1080,621,2338,44473,2226,2378,10789,8144,3340,994,629,2202,30707,1410,1430,6177,6138,3353,1150,778,2208,22639,1390,1474,5439,5700,3767,1665,1473,3652,24562,267884,105860,238085,123391,43655,13199,8800,47161,848032
SOS51,9367,121,10,0,0,0,3,1316,10821,6698,1028,395,80,9,4,13,1123,9350,6116,2077,1691,620,185,42,15,1349,12095,4018,2514,3486,1610,522,165,67,1390,13771,2349,2044,4670,2436,827,252,159,1307,14043,1660,1587,4338,2392,995,299,216,1066,12547,1598,1483,4421,2497,985,312,243,1026,12566,1592,1548,4287,2569,1001,330,244,1066,12644,1418,1179,3933,2695,1059,356,205,966,11806,1137,1013,3940,2865,1209,377,224,849,11624,918,759,3482,2528,1058,305,197,775,10028,621,611,3024,2315,1022,290,153,726,8761,381,332,1801,1630,813,289,177,619,6041,216,190,915,1104,770,303,213,525,4236,184,216,727,973,824,434,366,712,4441,38267,16708,41116,26317,11270,3758,2492,14816,154756
SOS52,1195,41,6,0,5,0,0,281,1531,883,218,111,22,3,0,0,223,1461,716,311,281,129,28,9,0,201,1680,501,300,457,255,88,37,22,235,1891,275,244,517,350,163,63,43,221,1872,260,185,452,293,167,58,66,199,1680,240,218,489,279,129,66,54,205,1686,279,216,596,390,189,74,66,242,2053,280,215,579,449,208,67,78,255,2125,230,181,629,449,244,67,54,240,2092,150,150,557,464,207,79,58,221,1889,121,103,506,387,177,53,56,178,1577,73,64,274,266,156,54,43,155,1077,34,28,130,203,126,57,48,116,732,26,19,84,142,132,54,62,114,636,5279,2491,5659,4080,2002,741,655,3088,23984
SOS53,3583,23,0,0,0,0,8,580,4187,2373,179,57,13,0,0,0,449,3081,1853,467,383,123,36,8,3,457,3324,1187,641,951,502,146,43,17,495,3987,745,543,1425,920,315,67,42,490,4545,581,473,1617,1102,345,97,64,490,4765,682,521,1972,1178,421,115,75,563,5535,754,600,2187,1316,508,143,92,539,6149,744,553,2155,1556,629,175,90,577,6486,641,483,2023,1593,653,181,81,512,6176,433,378,1667,1327,576,157,71,454,5063,242,240,1316,1003,459,147,73,379,3860,126,137,707,632,336,101,44,265,2350,42,45,267,324,217,109,65,146,1210,31,34,144,202,143,104,68,78,805,14022,5320,16873,11814,4790,1447,789,6476,61530
SOS57,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,5,11,3,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,5,0,3,0,0,20,61
SOS59,79,7,0,0,0,0,0,62,147,127,14,11,0,0,0,0,108,256,180,7,19,13,0,0,3,131,358,120,22,37,13,6,0,3,136,339,51,28,50,31,10,7,3,137,315,44,21,31,24,17,5,9,138,298,24,15,38,19,12,5,9,127,244,22,22,42,25,11,3,4,96,228,29,22,56,30,7,0,3,75,226,26,18,58,50,17,4,0,81,250,18,16,46,37,12,10,3,55,204,6,5,24,22,11,0,0,33,112,0,0,7,5,0,0,0,13,26,0,0,0,4,0,0,0,10,15,0,0,0,0,0,0,0,12,16,734,203,417,264,108,47,40,1222,3030
SOS60,4678,35,10,0,0,0,3,406,5121,5185,351,138,27,3,0,0,460,6173,6221,998,539,157,51,15,5,575,8561,4091,1826,1345,465,140,38,17,426,8341,1867,1427,2172,821,251,93,53,344,7037,1168,1033,2126,872,324,104,87,243,5961,1093,918,2199,1016,332,115,82,213,5965,1002,887,2215,1090,366,120,76,242,5995,956,859,2220,1073,350,132,87,248,5926,944,790,2135,1304,467,150,73,266,6122,758,681,2041,1238,471,133,86,277,5684,612,507,1927,1255,430,138,64,322,5265,357,326,1288,985,411,131,84,300,3884,214,184,772,741,372,157,118,248,2798,242,200,696,708,466,236,196,349,3084,29381,11024,21828,11761,4426,1562,1033,4900,85913
SOS61,5273,69,4,0,0,0,0,513,5862,4894,616,212,51,6,0,3,485,6268,4267,1314,967,352,85,28,9,454,7473,2389,1584,1719,711,247,83,36,398,7170,1288,1109,2160,1147,442,146,93,348,6728,956,903,2212,1122,436,164,126,279,6191,1009,920,2264,1285,507,214,131,327,6664,1095,1025,2579,1454,525,179,120,348,7327,1043,831,2614,1564,608,221,131,347,7361,1019,795,2636,1746,655,206,131,418,7611,837,702,2571,1743,697,198,89,434,7276,675,579,2378,1756,699,242,105,525,6971,464,344,1548,1356,658,238,137,490,5234,260,215,830,910,627,293,205,425,3772,300,260,736,839,625,317,312,491,3877,25777,11269,25432,16044,6824,2527,1622,6295,95790
SOS62,620,3,0,0,0,0,0,65,690,436,68,21,5,0,0,0,43,578,393,154,109,33,9,0,0,47,740,249,171,210,94,34,7,0,63,825,172,124,311,130,47,15,3,45,857,130,101,309,149,56,20,10,52,819,164,110,336,184,51,34,12,48,937,165,156,381,197,73,23,16,81,1092,196,173,430,257,100,27,20,79,1277,192,134,502,304,115,38,18,87,1396,148,152,442,285,115,30,9,100,1267,116,100,378,278,106,26,15,92,1115,64,43,221,164,95,26,19,95,734,39,36,101,101,78,37,26,63,471,16,22,76,94,64,22,37,67,401,3098,1556,3829,2258,932,311,190,1027,13209
SOS63,2486,11,0,0,0,0,0,320,2821,1725,154,74,10,3,0,0,189,2146,1291,401,323,107,19,4,4,195,2347,821,541,728,316,100,23,13,198,2736,615,422,1085,592,182,51,41,204,3187,471,395,1140,614,231,78,53,195,3183,570,456,1245,680,254,82,56,192,3538,726,521,1453,827,308,101,68,277,4275,704,508,1566,900,371,104,54,284,4494,671,455,1606,1032,439,144,82,312,4738,498,354,1272,842,378,102,56,257,3754,307,272,963,671,316,97,40,259,2937,145,121,460,412,209,89,45,152,1637,68,54,163,237,130,51,49,118,865,28,41,110,123,97,54,46,76,571,11125,4708,12185,7351,3034,981,605,3222,43220
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,44,3,0,0,0,0,0,10,48,36,4,0,0,0,0,0,7,53,24,11,4,0,0,0,0,8,45,19,5,6,5,3,0,0,8,43,13,5,8,7,0,0,0,10,42,10,11,9,9,4,0,0,15,56,12,4,4,3,3,0,0,6,26,13,11,4,9,0,0,3,7,47,9,3,12,3,8,0,0,11,57,7,4,12,0,3,0,0,10,42,8,0,5,10,0,0,0,14,34,3,5,6,3,0,0,0,14,36,0,0,6,3,0,0,0,5,8,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,199,62,74,53,24,13,5,125,561
SOS70,2784,29,5,0,0,0,0,388,3204,2915,286,83,18,10,0,0,461,3779,3843,792,480,142,43,6,3,640,5937,2750,1340,1050,415,112,43,24,555,6298,1403,1025,1552,628,209,58,52,480,5407,864,739,1468,698,259,84,60,409,4589,672,622,1231,639,270,78,80,344,3934,596,504,1154,671,275,93,68,291,3662,549,390,947,642,251,85,55,263,3183,379,330,853,583,255,75,53,227,2758,237,226,678,469,217,80,47,167,2109,167,181,495,368,188,73,49,153,1687,95,76,278,207,118,35,42,81,938,51,39,134,127,82,44,49,92,622,20,29,71,66,57,39,52,74,414,17334,6627,10488,5676,2361,793,623,4618,48524
SOS71,1129,73,0,0,0,0,0,362,1562,915,292,72,20,7,0,0,248,1544,1212,356,294,118,37,9,4,331,2359,949,468,463,234,94,35,14,274,2540,477,345,535,281,144,68,49,256,2154,294,209,394,278,156,81,63,216,1684,266,191,357,240,148,62,69,162,1496,250,223,389,298,141,74,59,180,1610,226,141,348,254,128,48,52,150,1344,163,127,301,197,125,65,46,134,1163,102,84,202,150,83,43,38,108,794,54,41,111,80,46,22,24,58,440,27,23,55,53,32,14,24,28,264,16,14,35,29,22,15,24,30,177,24,12,21,22,18,12,21,36,156,6092,2602,3563,2251,1177,558,475,2560,19285
SOS72,621,61,9,0,0,0,0,283,974,480,235,87,19,3,0,3,213,1034,382,227,199,104,25,10,8,150,1106,250,179,243,144,70,27,9,173,1097,187,137,182,170,109,37,20,128,976,107,77,139,131,89,52,45,115,753,142,79,125,134,79,39,35,100,729,121,86,158,133,103,42,40,111,790,96,65,115,101,74,45,44,110,650,61,48,115,112,55,37,39,80,545,55,28,59,61,47,31,23,68,365,19,21,39,48,25,13,28,35,231,10,5,14,11,16,13,15,13,97,8,5,8,10,3,7,3,8,53,4,4,0,7,6,0,4,6,25,2532,1250,1496,1175,709,358,322,1590,9419
SOS73,781,20,7,0,0,0,0,240,1050,621,110,48,13,0,0,0,229,1016,500,164,132,67,14,0,3,208,1081,329,206,240,130,40,15,3,207,1175,201,159,353,191,78,28,14,191,1210,164,134,320,167,87,28,20,198,1119,183,109,337,203,104,40,29,173,1167,177,113,356,227,111,48,31,192,1256,140,113,310,204,82,41,34,170,1092,93,92,243,196,99,38,34,138,926,81,66,166,148,68,31,19,122,705,38,29,129,101,58,26,23,83,487,21,10,73,42,24,9,17,44,233,5,7,26,21,22,5,12,12,113,7,0,5,11,4,6,6,11,60,3325,1332,2750,1726,780,321,240,2204,12684
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11
SOS79,31,4,0,0,0,0,0,30,64,39,13,9,0,0,0,0,36,99,94,10,13,0,0,0,0,70,185,58,15,10,12,4,0,0,72,175,26,7,30,12,8,6,0,62,145,14,6,27,15,6,0,3,45,122,18,8,4,12,5,3,0,84,139,21,5,27,10,8,5,0,67,142,18,9,23,18,8,3,3,61,138,7,14,25,17,11,6,0,54,139,6,5,28,10,4,3,3,24,89,0,0,7,0,0,3,0,8,25,0,0,8,4,0,0,0,4,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,325,103,211,110,63,25,15,629,1486
SOS80,11812,36,3,3,0,0,0,1006,12864,15108,439,134,18,7,0,0,1385,17090,15073,1963,898,253,64,16,8,1193,19472,9510,4281,3472,920,231,63,35,941,19453,4982,3843,6526,2090,502,117,74,737,18865,3159,2642,6337,2488,612,171,100,559,16068,2579,2232,5887,2501,732,190,113,497,14736,2327,2028,5289,2392,737,172,119,453,13523,2003,1699,4635,2401,795,196,99,375,12217,1605,1530,4154,2360,822,203,127,376,11170,1170,1181,3670,2263,840,215,100,397,9837,975,990,3438,2183,822,214,132,372,9137,542,559,2252,1575,660,228,129,323,6277,288,323,1198,1165,607,217,169,292,4261,285,311,1063,1000,658,276,291,428,4313,71422,24064,48964,23617,8093,2283,1496,9338,189264
SOS82,15,0,0,0,0,0,0,4,22,15,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,10,7,4,0,0,0,0,0,0,12,0,7,16,0,0,0,0,0,24,3,3,11,8,0,0,0,0,25,0,4,8,21,0,0,0,4,33,3,0,5,3,0,0,0,0,17,0,0,9,9,0,0,0,0,19,4,0,7,3,3,0,0,0,22,0,0,3,7,3,0,0,0,21,0,0,3,4,0,0,0,0,14,0,0,0,6,0,0,0,0,8,0,0,0,6,0,0,0,0,5,0,0,0,0,3,0,0,0,3,63,22,66,53,16,5,3,10,240
SOS83,16,0,0,0,0,0,0,3,15,18,0,0,0,0,0,0,3,27,16,6,0,5,0,0,0,5,29,7,6,3,0,0,0,0,3,20,0,7,3,7,0,0,0,0,11,3,0,3,4,0,0,0,0,15,0,0,5,4,0,0,0,6,14,4,0,6,3,3,0,0,3,23,0,0,3,3,0,0,0,4,16,0,0,6,8,4,0,0,0,24,3,0,6,0,0,0,0,4,7,0,0,3,0,0,0,0,0,8,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,17,40,31,19,0,0,34,221
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,32,0,0,0,0,0,0,4,37,34,5,4,0,0,0,0,4,40,18,5,4,0,0,0,0,9,33,10,0,0,0,0,0,0,0,19,5,0,7,0,4,0,0,0,15,11,5,3,0,0,0,0,4,26,5,0,0,6,0,0,0,0,12,6,0,4,0,0,0,0,0,14,6,0,0,7,0,0,0,0,15,3,4,8,4,4,0,0,3,21,0,0,0,5,0,0,0,4,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,120,22,37,22,8,0,0,38,249
SOS91,26,0,0,0,0,0,0,0,34,12,3,0,0,0,0,0,3,19,16,10,10,0,0,0,0,4,44,9,5,13,5,0,0,0,16,48,11,11,18,11,0,0,0,9,65,0,7,14,16,4,0,0,4,49,5,5,18,6,0,0,0,3,43,10,9,15,6,4,0,0,7,55,5,0,14,6,0,4,0,8,45,4,0,10,12,11,0,0,5,40,3,0,8,11,3,0,0,4,30,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,3,5,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,120,48,109,71,35,13,12,90,494
SOS92,40,0,0,0,0,0,0,16,51,45,10,0,0,0,0,0,9,65,30,7,6,6,0,0,0,9,52,20,7,12,13,0,0,0,11,62,16,13,27,11,7,0,0,12,89,8,8,23,20,4,0,0,12,73,13,15,16,14,3,3,0,12,77,14,5,29,10,8,0,8,13,82,23,11,37,25,8,5,4,16,117,14,8,42,26,4,0,0,13,121,22,7,26,11,9,5,5,7,94,14,10,21,17,3,0,0,9,79,5,9,16,11,3,6,0,12,56,5,3,5,6,0,5,0,5,28,0,3,3,11,0,5,4,5,29,280,104,264,166,58,24,14,156,1070
SOS93,14,0,0,0,0,0,0,5,20,13,0,0,0,0,0,0,4,17,16,0,0,0,0,0,0,6,24,6,0,0,5,0,0,0,4,15,5,4,8,8,0,0,0,0,16,3,0,0,0,0,0,0,3,18,6,5,9,3,5,0,0,0,30,4,5,14,4,4,0,0,8,39,6,3,9,6,4,0,0,0,31,4,9,10,7,0,0,0,9,27,3,0,10,0,9,0,0,5,30,0,0,7,3,0,0,0,3,19,3,0,6,5,4,0,4,0,20,0,0,0,3,4,0,0,8,22,0,0,0,0,0,0,0,0,4,83,28,77,40,25,5,5,59,330
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
