SOS_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SOS29,142,3,0,0,0,0,0,86,229,187,28,8,3,0,0,0,94,321,218,29,41,13,10,0,4,148,450,145,41,33,27,8,9,7,162,425,86,39,41,28,17,4,10,182,416,53,23,34,23,10,4,7,162,321,41,26,33,12,13,0,5,106,238,53,19,41,24,13,6,5,88,242,30,17,45,41,8,0,0,63,212,31,24,55,38,14,4,0,56,217,20,13,27,16,5,5,0,51,141,9,5,29,14,4,0,0,23,74,5,3,9,11,3,0,0,16,42,0,0,4,6,0,0,0,0,14,0,0,0,4,3,5,0,5,19,1016,266,399,261,111,38,42,1239,3373
SOS30,100262,714,76,12,5,3,17,8352,109435,103467,6539,2473,536,96,27,35,10143,123314,89483,17039,10803,3593,1004,277,139,10352,132685,57893,28612,27613,9650,3120,969,588,8502,136953,32520,25922,45192,17298,5393,1752,1320,7589,136994,21420,19858,45758,20293,6810,2216,1781,6055,124197,19691,18849,46160,22147,7496,2436,1979,5817,124585,18184,17101,43743,22131,7593,2449,1901,5277,118377,15739,14556,39079,21376,7719,2412,1672,4939,107499,12986,12301,35642,21958,8260,2475,1461,4507,99601,10026,9959,31695,20178,7935,2274,1329,4181,87581,7809,7855,29377,19096,7671,2283,1378,4438,79900,5171,4866,18901,14263,6314,2145,1477,4250,57388,3129,2602,10107,9410,5456,2264,1715,3917,38611,3041,3117,8916,8729,5769,2897,2797,6855,42120,500826,189902,395541,210681,80647,26884,19571,95176,1519229
SOS31,23494,376,46,3,0,3,7,2835,26765,17909,2824,1289,279,53,4,16,2559,24952,14180,5147,4493,1744,581,156,61,2741,29102,8098,5443,8064,3838,1405,446,248,2421,29956,4745,4369,9710,5572,2117,753,531,2234,30031,3677,3466,9051,5530,2372,883,718,1907,27597,3765,3553,9432,5935,2529,998,791,2040,29047,3802,3577,9983,6003,2583,948,733,2040,29670,3682,3339,10166,6777,2863,1022,647,1996,30491,3352,2907,10131,7308,3143,952,654,1811,30252,2905,2624,9546,6778,2943,959,579,1798,28135,2325,2083,8560,6402,2913,914,568,1942,25710,1512,1353,5582,4638,2537,973,674,1788,19043,920,739,2956,3130,1974,913,797,1619,13047,884,742,2379,2597,2037,1105,1187,2322,13262,95255,42537,101389,66541,30064,11037,8203,32041,387070
SOS32,2979,64,10,0,0,0,0,534,3591,2000,383,176,67,6,0,0,397,3028,1481,631,612,269,88,17,12,384,3494,949,598,959,490,236,87,50,395,3762,637,559,1125,730,334,133,111,374,3996,583,468,1165,684,336,144,116,340,3837,582,576,1371,826,387,153,150,383,4417,697,557,1504,924,413,195,154,417,4848,739,605,1742,1086,521,175,143,463,5467,707,581,1827,1266,585,172,146,476,5749,517,436,1576,1179,555,163,132,387,4940,345,354,1328,1068,490,165,117,371,4230,194,203,779,712,397,156,121,318,2871,102,84,333,339,245,120,120,235,1576,66,76,208,252,226,127,128,188,1263,12564,6158,14722,9881,4819,1806,1486,5648,57085
SOS33,11230,78,0,0,0,0,0,1587,12901,6881,698,274,43,6,0,9,1138,9058,4685,1677,1394,498,145,30,8,1147,9591,2715,1780,2913,1494,501,124,46,1183,10753,1907,1618,4067,2422,877,292,171,1159,12502,1659,1472,4456,2828,1122,335,247,1272,13387,1930,1730,5286,3379,1371,399,317,1443,15867,2246,1704,5935,3816,1586,487,305,1512,17584,2238,1773,5957,4148,1802,566,345,1586,18400,1944,1548,5491,4280,1943,531,323,1450,17504,1374,1234,4600,3589,1740,571,295,1300,14715,914,875,3738,3085,1510,498,268,1091,11978,518,483,2041,1880,1056,410,280,771,7432,233,217,776,934,657,307,227,438,3789,117,139,447,531,420,235,266,290,2454,40593,17023,47384,32917,14733,4789,3104,17366,177913
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,28
SOS39,210,4,0,0,0,0,0,66,291,288,31,16,3,5,0,0,139,493,411,57,28,29,11,0,3,224,762,253,51,67,33,19,7,6,149,582,100,48,88,48,27,8,8,130,454,79,46,59,47,25,18,13,139,425,87,55,60,52,27,12,4,116,408,94,61,92,58,27,15,12,114,484,87,47,151,87,31,11,10,102,521,79,58,216,122,59,20,12,92,652,50,43,159,130,54,12,8,77,535,22,17,129,71,30,14,3,41,330,12,9,40,29,9,8,4,19,124,6,0,11,8,0,5,5,10,37,0,0,3,6,0,3,0,3,25,1770,525,1137,733,317,128,80,1441,6127
SOS40,31307,147,18,3,0,0,8,2247,33732,35777,1579,600,108,20,5,6,2597,40690,31648,5617,3106,913,248,61,28,2453,44072,19924,10153,9293,2826,732,231,139,2043,45351,10734,9131,15810,5360,1510,485,363,1721,45107,6920,6751,15606,6173,1767,595,492,1449,39749,6293,6193,15374,6429,1945,657,554,1407,38841,6411,6050,15581,7074,2049,598,516,1385,39662,6303,5525,15298,7158,2313,689,488,1298,39061,5630,5049,15045,7502,2474,689,429,1339,38152,4455,4359,13928,7091,2309,626,382,1317,34468,3353,3462,13263,7139,2304,610,386,1492,32005,1947,1907,8979,5830,2070,607,397,1426,23169,1168,1196,5268,4573,2287,767,537,1417,17211,1275,1646,5333,5082,2918,1340,1111,2088,20793,173151,68776,152512,73255,24924,7949,5836,25670,532069
SOS41,8029,76,4,5,0,0,0,802,8914,6624,732,296,50,11,0,0,565,8286,5216,1682,1362,496,103,33,3,637,9536,2832,1951,2645,1193,349,122,54,547,9690,1637,1558,3497,1820,582,196,117,562,9965,1211,1213,3312,1932,648,234,130,454,9124,1297,1325,3839,2077,751,252,150,563,10259,1496,1371,4134,2280,803,254,173,534,11048,1505,1263,4155,2322,881,279,161,582,11154,1363,1225,4493,2676,951,305,152,612,11775,1221,1104,4456,2683,977,204,125,647,11416,942,935,4450,2803,953,246,115,719,11168,636,560,2871,2363,984,326,181,705,8632,371,301,1481,1656,963,348,252,631,6005,374,354,1351,1505,1100,565,443,800,6494,34766,15630,42355,25862,10055,3365,2065,9365,143460
