SOS_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOS10,..,485947,485947,576615,57818,634437,330156,17688,347844,339356,7259,346610,141420,2583,144000,77907,1408,79315,1465455,572698,2038151
SOS11,..,184430,184430,205807,15118,220923,81397,2629,84028,73613,850,74458,33320,318,33635,16169,170,16340,410301,203517,613818
SOS12,..,14822,14822,20127,1281,21409,7386,119,7510,6923,43,6969,3380,13,3392,1725,12,1733,39544,16295,55835
SOS13,..,38519,38519,71007,3637,74646,26508,435,26944,27224,162,27382,15399,56,15455,9678,41,9712,149805,42853,192660
SOS17,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,..,464036,464036,519593,51824,571422,287661,17409,305068,299545,7619,307169,113724,2583,116307,54384,1228,55612,1274911,544705,1819615
SOS21,..,112881,112881,126585,7949,134533,52314,1411,53722,50327,435,50767,22184,156,22343,9890,137,10027,261301,122976,384277
SOS22,..,11352,11352,13352,758,14108,4492,54,4549,4317,25,4338,1966,3,1970,801,8,809,24928,12203,37124
SOS23,..,31273,31273,56910,2484,59395,20277,312,20594,21337,99,21431,11106,28,11138,5362,27,5393,114997,34223,149218
SOS27,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,..,322777,322777,405701,45890,451593,206327,11912,218240,200619,3988,204607,80141,1187,81325,42008,525,42541,934801,386280,1321081
SOS31,..,94355,94355,117323,9488,126817,46953,1548,48505,43981,428,44409,20233,146,20375,11748,80,11831,240244,106042,346289
SOS32,..,14098,14098,18927,1341,20266,6499,141,6641,5756,32,5788,2904,8,2911,2027,3,2024,36106,15629,51735
SOS33,..,29779,29779,56579,3254,59827,21280,443,21725,21057,89,21146,10831,41,10869,6977,33,7006,116723,33631,150350
SOS37,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS39,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,..,137372,137372,148004,12986,160990,72892,3923,76809,70107,1287,71392,25366,403,25773,11519,258,11772,327875,156232,484112
SOS41,..,41768,41768,47440,2656,50094,17328,377,17705,15855,103,15960,6559,29,6590,2887,31,2918,90067,44958,135028
SOS42,..,6605,6605,7573,414,7989,2223,35,2253,2060,15,2076,960,0,959,520,0,523,13333,7071,20409
