SOS_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,421,3380,3692,17913,3528,2060,968,225,52,32231,8,48,168,728,1226,887,502,217,91,3880,357,3503,7155,39618,16160,14877,10166,2577,713,95127,21,134,171,3716,1649,1927,2828,1126,810,12368,24,442,915,2513,2075,2059,1068,320,51,9467,27,359,611,3621,3085,4186,4081,2982,1062,20028,269,1886,1787,3942,1929,1584,1469,522,140,13534,226,2065,3198,13403,8824,6197,4607,2238,703,41455,108,877,1755,10665,5145,5097,3575,1620,595,29441,109,448,733,7543,1709,1075,1287,271,44,13215,153,983,2167,17069,4040,2123,1046,225,42,27843,53,356,394,4059,3351,3168,1846,1152,223,14614,959,3396,3260,10196,3822,3054,1967,873,173,27687,277,2121,6679,28339,20995,20145,11677,3522,1571,95326,15,120,179,1449,1045,1101,864,613,219,5592,11,143,703,2123,1267,845,386,116,30,5628,1517,11234,14689,80725,35891,32942,27448,18181,7537,230155,13260,29322,31014,84966,29516,25563,21239,16512,10393,261776,341327,710601,703460,1730667,728772,640078,492032,284326,122562,5753827
SOS11,31,137,129,926,125,61,47,9,0,1478,0,26,62,198,357,273,155,26,12,1104,107,805,936,4216,1537,1218,786,181,36,9819,3,11,15,202,110,155,304,140,96,1032,0,26,70,212,107,75,41,15,5,553,16,94,122,483,525,1105,1594,1239,388,5574,8,92,62,152,167,118,119,40,11,762,41,346,508,1657,1128,750,741,439,92,5699,16,156,100,769,246,168,135,66,15,1674,3,19,53,769,46,37,15,3,0,957,32,252,277,1295,622,307,114,18,5,2929,23,23,7,121,87,69,44,16,3,393,73,348,352,1282,632,655,800,332,62,4544,19,183,187,1113,357,171,84,19,11,2138,0,25,39,168,186,253,335,278,104,1384,12,67,109,440,295,195,137,43,12,1304,165,905,1083,5714,2603,2685,2971,2338,856,19315,4741,12058,10931,23728,11261,12014,12265,9983,5524,102506,91361,197746,172175,368092,184025,201269,196736,122487,49987,1583879
SOS12,0,4,4,13,4,4,4,0,0,31,0,0,0,27,45,24,20,0,0,120,7,38,22,195,78,98,74,16,4,528,0,0,0,15,20,15,25,6,3,91,0,0,0,6,7,0,6,0,0,18,0,0,9,35,51,126,157,90,23,497,0,10,4,5,14,15,9,4,0,57,0,13,37,109,97,100,77,26,0,471,0,0,0,22,9,8,6,0,0,55,0,6,5,58,3,8,5,0,0,86,0,13,9,69,44,23,10,0,0,171,0,0,0,0,10,3,0,0,0,13,11,23,25,128,80,99,109,32,4,503,0,5,4,32,27,4,0,0,0,74,0,5,3,12,23,33,29,28,6,146,0,0,3,16,27,18,12,0,0,77,11,40,43,315,224,320,304,206,46,1508,442,1167,1022,2384,1385,1742,1725,1000,438,11312,7635,18762,14708,29770,19306,23458,21622,10458,3080,148805
SOS13,0,8,10,67,18,26,15,6,0,154,0,3,7,56,145,146,49,9,0,414,11,99,88,507,269,254,136,24,4,1399,0,0,0,74,46,72,93,31,12,331,0,3,15,53,10,17,15,0,0,107,4,13,35,127,202,420,430,246,57,1530,4,32,16,48,60,80,43,14,0,300,14,103,143,501,501,391,306,96,21,2066,0,0,7,85,46,41,41,21,0,235,4,14,4,130,31,29,25,5,0,244,6,56,60,286,131,83,38,3,0,675,3,8,0,31,33,29,12,9,4,121,25,141,132,493,264,412,418,125,21,2028,0,8,22,161,116,66,32,6,0,424,0,4,11,39,79,110,112,62,12,434,0,4,13,86,90,96,60,23,0,373,25,163,209,1349,973,1334,1347,784,206,6392,1762,5254,4643,9568,6992,8569,7095,3599,1007,48485,27273,74053,62369,112624,83164,95316,77284,33967,8221,574269
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,10,0,0,0,0,0,14,0,0,0,6,3,3,0,0,0,16,0,6,8,32,6,6,3,3,0,50,0,0,0,7,4,0,3,0,0,14,0,0,0,0,0,0,3,0,0,4,0,0,0,3,9,9,7,0,0,35,0,0,0,4,0,0,3,0,0,10,0,0,9,19,10,13,11,0,0,55,0,0,0,7,0,0,0,0,0,12,0,0,0,38,0,0,0,0,0,43,0,0,0,10,6,6,0,0,0,12,0,0,0,0,0,0,3,0,0,10,7,6,6,27,15,0,4,0,0,64,0,0,3,16,11,5,3,0,0,34,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,14,28,117,37,26,24,13,3,260,172,340,422,1386,559,435,176,54,13,3545,460,798,1357,4044,1678,1648,1055,277,49,11371
SOS20,446,3451,3853,17192,2362,1052,588,138,27,29113,4,52,126,546,769,376,134,27,14,2049,271,2701,5821,26093,10047,7585,4545,1148,289,58496,8,68,136,2631,1565,2388,3466,1562,1177,13003,21,353,769,1960,1416,1233,532,143,32,6458,27,339,686,3604,2671,3927,4038,3053,1181,19532,200,1864,2573,6037,2537,1877,1435,422,112,17058,150,1337,2515,9032,5774,3787,2731,1339,406,27068,229,2437,5935,28172,10223,8397,6166,2765,973,65301,79,324,591,5917,1031,685,668,106,21,9434,175,1630,2987,9713,2254,967,404,112,21,18263,50,349,492,4574,4305,4139,2193,1250,260,17617,623,2428,2569,7724,2797,2079,1477,560,100,20364,275,2129,6712,29247,19716,17958,10165,2983,1271,90468,3,82,149,894,644,684,591,411,169,3626,20,130,625,2422,967,532,249,79,9,5033,1213,8883,14599,67455,28843,25480,21629,14392,6335,188830,10641,22919,24876,70523,24971,20860,17942,14048,8278,215060,291365,601471,612989,1541799,631012,533084,411584,242825,105646,4971771
SOS21,26,254,166,985,140,67,38,7,3,1688,0,8,19,92,165,88,54,10,0,438,64,577,891,3556,1357,908,548,119,24,8042,0,3,12,165,106,121,249,91,84,837,0,99,160,418,204,125,70,21,0,1103,4,55,86,417,410,913,1225,965,275,4345,10,70,66,184,140,106,62,10,9,657,19,174,315,836,568,424,281,144,35,2799,19,141,155,1173,384,202,176,70,26,2347,15,24,45,851,34,19,10,3,0,1001,25,195,276,913,329,144,55,12,0,1944,0,12,33,200,213,196,108,65,15,840,44,198,194,648,309,316,410,125,15,2260,24,186,169,1309,407,319,133,26,10,2586,0,19,21,102,108,169,213,128,46,807,0,31,66,313,156,94,56,10,6,739,136,985,1404,5063,2320,2171,2165,1550,603,16392,2737,7081,5703,14525,7101,7496,7670,5920,3218,61444,60097,126891,105274,244922,119458,124510,119641,69758,28468,999013
SOS22,0,0,3,10,6,0,0,0,0,23,0,0,0,4,19,9,6,0,0,44,0,41,33,166,75,65,36,0,0,420,0,0,0,19,4,11,11,9,9,60,0,0,0,11,0,0,0,0,0,17,0,0,4,33,35,101,133,80,25,419,0,0,0,8,13,7,0,0,0,32,0,9,9,54,50,49,42,19,0,237,0,8,0,30,7,12,18,13,3,84,0,5,0,46,0,0,0,0,0,47,0,8,25,67,28,15,9,0,0,157,0,0,0,3,4,6,4,0,0,23,3,19,19,54,53,41,57,11,8,266,0,3,0,32,12,6,0,0,0,60,0,0,4,8,9,28,18,15,4,97,0,4,4,13,12,4,4,0,0,45,6,16,39,224,139,191,204,106,44,962,219,676,621,1464,995,1282,1183,682,333,7461,4677,11200,8567,19429,12240,15387,14017,6783,2369,94668
SOS23,4,3,10,56,10,13,5,0,0,97,0,5,3,28,84,49,15,0,0,177,17,136,107,679,213,169,114,23,0,1454,0,0,8,58,43,39,84,35,12,283,0,3,16,91,16,10,0,0,0,141,0,11,20,150,169,397,431,224,47,1450,0,20,21,37,56,45,16,0,0,200,8,52,85,326,272,210,141,36,12,1144,0,4,4,103,54,62,48,26,0,304,6,4,18,151,14,20,6,3,0,222,10,52,74,349,124,53,16,5,0,692,0,3,0,34,62,46,17,18,0,184,16,56,69,218,176,188,239,74,7,1038,0,3,18,198,122,78,24,5,5,453,0,11,6,36,48,85,96,42,13,331,0,5,10,58,49,62,34,6,0,223,17,95,147,918,696,914,850,603,154,4408,1145,3744,3224,6883,5332,6361,5393,2726,762,35562,19348,53269,45579,84507,62773,72485,59700,25286,5963,428903
