SOS_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS27,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
SOS29,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
SOS30,1766530,1848472,3614998,107838,101391,209228,240647,227848,468494,113461,109435,222896,122950,123314,246265,257639,269637,527278,245647,261186,506832,228516,242960,471471,191162,207093,398262,150538,167478,318021,82459,96003,178459,25668,42120,67791,1696971,1790609,3487576,69559,57860,127418,48943,51415,100355,5087,5384,10475,5126,5367,10490,59147,62170,121314,1212669,1254327,2466993,462175,507272,969451,1387631,1441587,2829217,277626,313556,591182,1467107,1537959,3005067,31173,29211,60384,225108,213768,438879,83217,86327,169538,41229,51160,92387,62417,102549,164969,845299,927136,1772435,106692,102310,209002,262081,280389,542463,62411,60517,122927,43405,50289,93699,8396,10122,18524,1635273,1729463,3364740,126132,124804,250933
SOS31,461686,475374,937057,27977,26296,54276,64994,62007,126998,28714,26765,55482,25532,24952,50485,56784,59061,115851,54183,57630,111813,56029,58721,114752,57495,60747,118238,52129,53847,105974,29203,32094,61295,8636,13262,21899,432580,454404,886984,29107,20968,50080,29806,31511,61316,3064,3048,6114,3438,3528,6971,36305,38087,74392,362282,374728,737012,61550,68543,130099,394662,411251,805912,28347,32758,61106,397655,416230,813888,6946,6712,13654,59318,56847,116168,17442,18004,35447,3670,5529,9198,8285,18412,26699,149646,176353,326005,32177,31399,63571,102197,102799,205000,25243,22997,48245,21676,20973,42648,1832,1607,3443,411003,434982,845982,62762,50587,113346
SOS32,71072,69579,140652,3839,3617,7451,9544,8879,18428,3955,3591,7551,3252,3028,6285,6901,7257,14159,7451,7830,15279,9082,9267,18350,10979,11218,22201,10098,9174,19263,4975,4447,9429,999,1263,2259,66114,65738,131854,4957,3838,8795,6426,6575,12997,1879,1898,3774,1605,1585,3189,9912,10056,19964,56801,55343,112138,7742,8383,16127,58999,58417,117414,5154,5737,10890,61914,61508,123428,824,798,1622,8462,7911,16365,2248,2252,4498,374,587,961,941,2215,3157,20296,24111,44408,4916,4954,9869,17824,15986,33809,4292,3380,7670,4096,3160,7260,258,179,437,62677,63153,125830,12683,10255,22938
SOS33,233099,215473,448574,10777,10221,20997,29669,27340,57012,14115,12901,27016,10707,9058,19762,21406,20340,41750,25861,25889,51750,34129,33453,67583,38217,35907,74122,31383,26694,58073,14142,11227,25367,2696,2454,5145,218153,205492,423641,14952,9984,24935,9538,8164,17702,770,576,1345,773,612,1386,11079,9360,20439,184733,170098,354830,25067,26651,51718,199985,188673,388665,8413,9081,17493,200628,189309,389932,2464,2301,4764,26722,24762,51483,8787,9128,17916,1683,2419,4104,2783,6957,9742,72344,85190,157531,14939,13762,28702,58708,46433,105137,13290,8931,22213,11365,6844,18210,766,536,1305,202156,195279,397438,45232,28959,74191
SOS37,149,28,183,0,0,0,0,0,0,0,0,0,4,9,16,37,13,49,55,7,64,42,0,45,3,4,5,3,0,3,0,0,0,0,0,0,108,12,112,45,23,70,0,0,0,0,0,0,0,0,0,0,0,0,27,0,29,19,4,23,27,0,32,18,3,22,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,29,0,0,3,18,0,15,0,0,0,0,0,0,0,0,0,3,0,0,303,54,354
SOS39,7861,6807,14670,277,229,504,478,457,932,272,291,566,444,493,934,1301,1345,2649,1194,885,2077,1042,887,1929,1297,1170,2468,1253,870,2124,283,160,444,23,25,44,0,0,0,7861,6807,14670,553,471,1025,44,27,72,57,30,84,652,533,1188,4859,4153,9019,1440,1472,2917,5206,4768,9972,551,630,1184,5052,4566,9621,26,37,63,365,357,721,94,120,212,41,70,112,139,233,369,2202,2483,4685,535,494,1026,1513,1272,2785,441,304,752,278,151,428,42,27,64,0,0,0,0,0,0
SOS40,610146,634871,1245011,34504,32582,67086,74161,70220,144379,35644,33732,69374,42541,40690,83229,89123,89419,178542,82765,84854,167621,76573,78507,155078,71483,77213,148698,58214,66473,124690,32643,40379,73023,12507,20793,33293,587287,615254,1202545,22854,19616,42470,10115,10444,20560,299,311,616,309,278,588,10726,11036,21761,414177,426603,840784,173003,186268,359273,446408,462865,909273,139228,148981,288213,521955,545100,1067048,9624,8922,18552,70757,67068,137828,27947,28128,56079,17917,19846,37768,23776,34784,58558,284842,309203,594045,80122,75611,155734,66692,70107,136792,21854,23068,44924,19020,23393,42413,5395,7114,12511,574715,599740,1174457,29978,32457,62430
SOS41,164653,171968,336623,9097,8622,17719,20560,19890,40445,9544,8914,18465,8804,8286,17089,19118,19224,38345,18184,19093,37268,20062,21310,41370,21617,22924,44540,20893,22586,43474,12598,14636,27229,4188,6494,10681,155104,163953,319061,9550,8013,17559,6294,6265,12561,144,136,281,143,151,295,6577,6554,13140,132731,137896,270631,22284,24713,46997,145709,153551,299262,8939,9756,18694,147726,155864,303588,2227,2158,4384,19192,18582,37771,6591,6588,13183,1598,2264,3868,2959,6278,9238,52345,63711,116058,28942,27673,56619,26863,26018,52882,9352,8699,18051,7462,7482,14942,719,599,1315,149934,158447,308376,14091,12986,27083
