SOS_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS42,25555,25533,51089,1245,1232,2481,2899,2756,5650,1300,1205,2509,1126,1035,2161,2443,2555,4998,2523,2624,5150,3124,3153,6274,4123,4133,8260,4097,3821,7919,2028,2067,4099,644,949,1592,23784,24045,47824,1773,1489,3269,1488,1627,3119,15,12,29,11,17,27,1518,1658,3174,20849,20716,41559,2619,2827,5448,22130,22073,44201,1527,1660,3184,22882,22921,45807,271,301,568,2648,2512,5163,819,850,1667,193,270,462,280,770,1043,6745,8700,15448,4809,4393,9205,4630,3941,8569,1660,1323,2986,1466,1182,2651,69,73,136,22776,22907,45684,3143,2815,5960
SOS43,76352,69044,145402,3427,3386,6812,9486,8678,18167,4556,4075,8627,3577,2908,6493,6667,6110,12777,8119,7971,16088,10966,10470,21437,13220,11916,25136,10839,9060,19900,4625,3608,8239,878,859,1738,71513,65317,136833,4842,3728,8572,2048,1929,3981,39,32,68,27,21,48,2116,1984,4097,62377,55738,118118,7984,8271,16248,66742,61211,127949,3393,3490,6880,67971,62351,130319,758,766,1528,8734,8062,16794,3055,2957,6013,676,983,1660,871,2046,2916,23726,28124,51845,13656,10907,24568,12916,8851,21762,4381,2686,7069,3131,1938,5068,239,194,437,67495,63042,130538,12026,6678,18695
SOS47,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
SOS49,1873,1506,3377,77,56,140,128,139,262,74,112,186,108,95,206,320,305,627,289,245,534,299,178,478,311,197,513,214,141,359,40,26,64,7,10,11,0,0,0,1873,1506,3377,199,180,376,0,0,0,7,3,6,203,180,384,1248,1010,2262,282,249,530,1230,1034,2261,148,167,314,1267,1065,2335,10,13,25,96,110,200,33,61,92,18,22,39,39,54,94,435,417,850,280,228,509,291,256,543,113,70,185,64,31,95,10,6,21,0,0,0,0,0,0
SOS50,1007026,1036733,2043762,64683,61163,125841,134500,127538,262039,60648,57892,118535,64814,63540,128352,144955,150941,295897,147237,150691,297929,130284,133403,263686,111637,118041,229678,86701,95610,182320,46197,53346,99540,15377,24562,39936,947764,998062,1945823,59268,38672,97941,18808,19070,37880,491,419,901,494,486,983,19792,19978,39768,598604,609524,1208128,357846,385306,743151,744077,760255,1504326,207247,230519,437765,833478,861960,1695439,18722,17424,36147,127480,120851,248336,46627,46806,93436,25220,28104,53322,32435,51854,84291,475352,520467,995822,74886,73449,148333,149056,148119,297176,32836,31777,64616,19211,23092,42305,5444,6891,12339,924591,973560,1898148,50953,51178,102130
SOS51,191322,193209,384526,12798,11963,24762,27985,26494,54476,11569,10821,22391,9891,9350,19240,24698,25862,50560,25562,26589,52149,24926,25204,50132,23384,23429,46811,18206,18788,36993,9393,10277,19669,2912,4441,7350,175246,181266,356514,16074,11937,28013,13174,13549,26718,302,275,574,417,417,833,13896,14237,28130,137883,138450,276337,35239,39007,74246,156203,159584,315783,15592,17465,33065,158079,162014,320090,3143,2979,6117,24989,23669,48656,7144,7098,14237,1347,1735,3088,3335,7575,10911,59128,72133,131268,18469,18388,36863,41596,37054,78651,9015,7500,16515,5031,4493,9522,806,676,1477,163824,171582,335402,35721,27434,63158
SOS52,30040,29473,59508,1882,1747,3630,3932,3736,7669,1607,1531,3135,1449,1461,2915,3338,3567,6906,3343,3557,6899,3862,3733,7596,4401,4222,8621,3853,3469,7322,1868,1818,3685,498,636,1134,27355,27437,54794,2686,2035,4714,5219,5581,10796,21,28,50,32,54,81,5269,5662,10932,22215,21601,43823,4257,4663,8919,23342,22703,46044,3255,3718,6973,25100,24687,49789,378,371,754,3394,3211,6607,786,821,1609,119,163,283,306,773,1080,7702,9235,16937,2653,2861,5512,7413,6458,13874,1710,1430,3134,1329,986,2314,138,149,289,24987,25332,50318,8930,6477,15406
SOS53,89366,74281,163652,3737,3484,7220,10087,9280,19368,4741,4187,8927,4644,3081,7726,10059,7309,17368,11495,9310,20805,13733,11683,25420,14468,12660,27127,11045,8919,19970,4509,3563,8074,841,805,1649,81729,69070,150795,7637,5214,12854,4765,3365,8134,58,25,84,109,40,143,4933,3431,8358,62603,52983,115588,15424,14330,29754,69826,62474,132299,5515,5178,10693,70755,63344,134102,887,866,1756,9060,8333,17391,2954,2866,5811,672,722,1392,901,2265,3170,29094,30817,59912,7759,6852,14609,20801,13663,34466,4006,2574,6582,2292,1334,3625,432,179,607,66460,63980,130438,51043,20059,71105
SOS57,455,58,514,0,0,0,0,0,0,7,3,6,25,11,31,99,14,116,157,11,170,103,9,109,55,3,62,14,4,18,0,0,0,0,0,0,455,57,511,3,0,5,7,3,9,0,0,0,0,0,0,7,3,9,131,24,151,132,14,148,206,29,232,60,4,66,189,29,216,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,143,30,174,38,0,38,59,6,61,13,0,16,0,0,0,3,0,3,10,4,15,2846,390,3234
SOS59,4639,3416,8055,149,153,300,244,230,473,118,147,261,295,256,562,822,692,1512,926,613,1543,842,468,1313,667,477,1144,444,316,758,118,38,155,14,16,30,0,0,0,4639,3416,8055,786,677,1464,11,0,11,13,5,19,819,683,1495,2708,2061,4775,775,656,1431,2185,1896,4079,243,244,486,2120,1823,3943,22,17,34,163,164,327,38,44,76,26,33,62,63,106,169,997,1029,2024,239,218,457,620,423,1036,143,100,241,80,36,118,10,14,30,0,0,0,0,0,0
SOS60,95846,101610,197451,5261,4954,10218,11367,10743,22108,5357,5121,10486,6254,6173,12423,17136,16898,34039,12326,12997,25323,11047,11958,23007,10655,12048,22706,9363,10946,20305,5279,6683,11961,1795,3084,4881,91683,97478,189159,4159,4132,8291,3900,4006,7899,196,197,395,196,220,418,4281,4426,8711,71399,76244,147645,20270,20957,41226,76333,82189,158519,14816,15039,29858,79023,85468,164494,1419,1356,2773,10736,10140,20874,4110,4063,8173,2440,2570,5013,5513,6815,12333,45249,48907,94158,5807,6293,12094,16897,18439,35339,4136,4631,8768,2427,2711,5137,435,498,937,89086,94802,183886,6565,6548,13114
SOS61,106104,114062,220162,5887,5656,11547,13209,12613,25824,6177,5862,12036,6380,6268,12648,14379,14647,29031,11855,12919,24774,12457,13987,26444,13438,14969,28412,12536,14251,26785,7423,9006,16431,2359,3877,6236,100685,109014,209704,5416,5047,10459,5899,6447,12345,227,272,497,236,250,486,6361,6964,13328,86390,93568,179957,13624,14370,27999,93443,101367,194814,7081,7226,14305,94156,102399,196558,1443,1434,2883,12322,11768,24094,4343,4348,8692,1420,1744,3160,3209,4827,8032,32419,38488,70912,7642,8992,16639,28903,29841,58746,7543,7687,15229,4085,4103,8188,543,511,1054,97974,105663,203633,7276,7583,14859
SOS62,15622,15575,31196,735,668,1412,1723,1696,3421,741,690,1429,688,578,1264,1526,1570,3096,1607,1676,3281,1964,2032,3990,2529,2672,5201,2535,2381,4914,1266,1209,2475,303,401,703,14624,14628,29257,998,945,1939,814,883,1705,43,44,86,51,39,89,906,974,1880,12608,12533,25145,1836,1943,3776,14114,14070,28183,491,560,1044,14093,14107,28202,162,164,329,1599,1580,3182,504,503,1005,135,149,282,324,550,871,4652,5464,10117,1137,1214,2353,4484,4003,8482,1155,1051,2208,643,453,1088,33,33,63,14083,14116,28201,1487,1346,2837
SOS63,55419,51943,107361,2610,2452,5065,6649,6267,12915,3202,2821,6019,2414,2146,4564,5182,5084,10269,6007,6364,12366,7739,7815,15552,9634,9227,18867,8133,6690,14821,3249,2497,5751,600,571,1169,51946,49152,101104,3469,2791,6260,2875,2775,5644,132,114,247,107,123,226,3111,3005,6116,45018,42059,87080,6283,6224,12503,50242,47127,97368,1656,1746,3403,49934,46969,96903,608,585,1190,6122,5789,11908,2199,2120,4318,468,564,1023,1038,1836,2870,16489,19546,36036,4023,4222,8252,16243,12663,28910,3918,2736,6651,1827,1001,2826,114,58,178,50246,47705,97950,4271,3744,8013
SOS67,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,6,12,0,11,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,72,366
SOS69,758,616,1377,21,19,42,50,36,92,43,48,95,71,53,119,135,92,228,99,97,198,130,78,203,104,98,199,90,72,163,18,13,31,0,4,3,0,0,0,758,616,1377,86,55,143,0,0,0,3,3,5,93,64,150,551,428,973,76,82,161,525,459,978,33,41,74,521,463,985,6,0,6,36,34,68,12,22,36,9,11,24,18,32,50,161,214,374,56,39,94,185,130,314,46,28,75,37,16,50,3,0,8,0,0,0,0,0,0
SOS70,61583,60623,122207,4374,4166,8542,8277,7935,16217,3340,3204,6547,4451,3779,8228,11752,12239,23991,9620,9996,19618,7817,7592,15409,6100,5936,12042,3989,3797,7784,1528,1566,3088,336,414,749,57619,57706,115318,3970,2917,6887,5699,5653,11352,226,188,415,651,634,1280,6572,6485,13050,38865,36832,75693,17426,19143,36574,39627,38672,78290,15229,16788,32009,46940,46520,93460,1152,1125,2269,7457,7165,14622,2140,2250,4385,1010,1263,2278,2980,4981,7964,27012,29737,56751,5448,4761,10208,7913,6276,14193,1863,1701,3564,1444,1408,2855,358,426,783,53535,55497,109032,14058,11554,25608
SOS71,23900,24553,48456,1908,1702,3614,3825,3566,7385,1748,1562,3309,1509,1544,3051,4255,4897,9148,3662,3843,7503,2796,3102,5898,2423,2501,4924,1302,1234,2535,407,445,852,72,156,231,22454,23010,45465,1449,1541,2994,9122,9777,18899,53,45,108,132,137,267,9312,9956,19276,17611,18188,35791,4398,4575,8973,12491,12684,25178,9213,9804,19017,19420,20120,39548,467,409,878,3375,3122,6499,836,768,1612,127,176,307,739,1314,2056,7700,9302,17004,2386,2439,4825,3600,3114,6711,1209,1165,2373,1041,1058,2103,249,287,536,21208,21909,43120,4979,4794,9774
SOS72,11918,12253,24165,1018,880,1900,2126,1951,4073,987,974,1958,1005,1034,2039,2001,2208,4211,1609,1727,3334,1377,1522,2892,1048,1196,2248,556,599,1152,164,144,311,22,25,48,11199,11461,22656,716,793,1513,8455,8931,17388,31,35,63,63,64,125,8550,9031,17577,10566,10855,21415,603,681,1280,3397,3310,6713,7689,8143,15838,10878,11192,22070,245,236,484,1866,1704,3571,288,326,613,26,54,83,161,288,449,2065,2597,4660,1239,1325,2561,1967,2040,4004,1105,1011,2119,1212,1236,2444,278,318,595,10903,11275,22174,2803,2532,5339
SOS73,18220,15958,34172,1048,949,1998,2394,2325,4716,1218,1050,2273,1271,1016,2283,2607,2255,4862,2446,2329,4771,2733,2425,5154,2408,2021,4426,1516,1184,2704,512,346,856,63,60,123,16959,15134,32091,1255,829,2082,5089,4585,9675,50,42,86,66,93,163,5210,4719,9928,14131,12381,26512,1641,1761,3405,11360,10051,21413,3835,4071,7906,14644,13535,28176,236,230,463,2041,2001,4043,526,523,1051,111,145,253,236,595,827,4285,5217,9502,1862,1504,3364,3792,2468,6262,1128,762,1893,999,702,1698,234,194,425,14570,14147,28714,10080,6990,17073
SOS77,83,15,99,0,0,0,0,0,0,4,0,4,6,3,6,16,4,23,22,0,22,18,3,19,17,0,17,0,0,0,0,0,0,0,0,0,84,15,95,0,0,0,11,0,8,0,0,0,0,0,0,10,0,9,45,8,56,23,0,22,53,5,63,10,0,11,48,8,61,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,26,3,29,9,0,8,19,6,21,5,0,5,0,0,0,0,0,0,8,0,12,407,65,470
SOS79,1826,1675,3500,89,69,164,166,122,285,30,64,95,84,99,183,292,364,661,305,268,573,311,280,591,300,279,579,205,114,318,33,17,49,6,4,7,0,0,0,1826,1675,3500,637,606,1247,14,8,18,8,3,7,658,617,1276,1102,1001,2106,243,250,492,861,745,1605,253,298,551,1180,1078,2256,4,8,11,104,72,180,12,12,20,6,7,13,19,41,56,368,442,805,123,127,255,266,208,473,108,67,173,74,55,127,9,12,28,0,0,0,0,0,0
SOS80,223365,229301,452670,13709,12884,26592,28925,27153,56079,13327,12864,26191,16986,17090,34073,38546,38922,77465,34198,34934,69135,27701,28257,55949,21798,23389,45186,16561,18971,35529,8767,10542,19303,2861,4313,7174,215424,221647,437076,7943,7652,15596,4246,4110,8354,114,106,223,137,159,298,4501,4371,8874,151860,153704,305563,62879,67513,130394,159670,162739,322409,53953,57563,111522,191400,197126,388528,4008,3850,7856,27684,25966,53653,10815,10719,21531,8252,8965,17216,12430,15718,28144,134297,140304,274599,8503,7959,16460,19732,21939,41669,5292,5776,11067,3551,4224,7767,818,1022,1839,208458,214945,423401,14063,13581,27643
SOS82,307,304,615,12,12,25,54,51,103,27,22,45,9,17,25,30,20,49,48,49,96,47,50,100,30,42,73,28,29,58,15,13,30,0,3,6,302,296,596,8,9,15,6,6,15,0,0,0,0,0,0,6,6,15,270,256,524,27,29,62,289,281,570,11,6,19,291,284,580,5,5,9,55,49,104,24,10,39,0,6,5,5,16,24,151,166,318,8,15,22,50,43,92,12,3,18,10,0,6,0,0,0,299,295,591,12,13,22
SOS83,348,264,605,29,15,41,26,23,49,30,15,51,47,27,75,65,48,115,27,29,61,41,33,75,36,38,72,31,19,52,6,3,9,6,5,5,328,250,576,18,12,35,8,8,15,0,3,4,0,0,0,8,13,17,243,192,439,48,35,85,265,209,481,26,14,41,276,214,493,7,4,16,22,23,47,22,13,35,20,11,31,19,16,37,171,141,322,8,3,13,39,27,74,8,9,13,7,4,8,0,0,0,213,211,421,145,77,225
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,336,273,605,18,9,19,13,13,25,23,37,58,44,40,82,60,53,108,62,33,104,53,30,77,38,35,78,21,10,34,6,8,10,0,0,4,0,0,0,336,273,605,20,20,41,0,0,0,0,0,0,26,20,44,201,176,384,56,62,121,201,196,400,35,43,81,219,199,417,3,0,7,4,10,19,12,28,42,16,14,29,7,12,21,106,143,253,20,19,44,58,41,94,13,7,23,7,6,11,0,0,0,0,0,0,0,0,0
SOS91,730,620,1355,43,37,81,104,92,199,23,34,51,27,19,45,116,88,202,90,112,206,115,98,209,97,84,181,107,42,150,15,9,26,4,0,4,678,583,1263,51,35,88,4,6,9,0,0,0,0,0,0,4,4,10,363,301,668,222,205,431,267,198,461,338,321,661,500,412,914,13,8,22,89,80,170,8,23,36,5,5,12,18,23,36,248,243,490,38,36,71,91,70,162,19,7,32,41,23,71,12,18,21,549,493,1046,319,237,558
SOS92,1181,1270,2450,70,54,119,160,144,311,52,51,106,52,65,118,90,110,202,145,164,311,143,155,296,228,244,471,141,169,314,82,84,162,22,29,48,1119,1195,2315,67,75,138,19,27,48,5,0,0,3,0,3,26,33,57,778,811,1589,241,290,528,528,599,1123,493,512,1009,942,1027,1968,20,18,39,137,124,256,34,26,56,11,12,20,17,38,61,383,531,908,75,77,150,236,220,450,43,31,73,24,22,50,42,41,82,981,1079,2059,414,347,763
SOS93,599,371,976,21,16,41,49,30,78,17,20,31,38,17,52,137,40,173,94,33,125,87,70,158,58,60,119,71,47,119,32,39,66,6,4,15,584,348,934,18,24,49,75,83,152,0,0,0,0,0,0,75,81,159,215,202,415,318,105,420,176,187,363,148,124,276,275,269,544,12,4,10,35,26,63,9,13,20,0,7,5,9,8,12,109,146,248,22,23,43,84,63,144,15,16,35,26,17,40,6,8,19,276,271,549,341,111,453
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,3,0,4,0,0,0,3,0,4,10,4,12,0,0,0,5,0,5,3,3,5,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
