SOS_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOS10,114021,122453,66083,40020,50688,34430,20822,448523,28518,27824,16826,11048,14144,6966,3227,108552,28767,26882,15205,9279,11259,5572,2606,99575,115115,108458,65310,43439,54807,25600,11700,424430,1311,1398,645,384,223,100,59,4117,287722,287016,164070,104169,131124,72671,38419,1085196,7396,13243,10088,7688,11356,7862,5309,62935,4653,6943,4681,3581,4467,1998,1100,27421,2555,4309,3227,2371,3041,1457,810,17775,19348,26213,17940,13091,15953,6005,2914,101473,1358,1497,835,572,471,168,65,4970,35317,52203,36774,27300,35276,17496,10206,214569,323038,339223,200844,131470,166397,90170,48624,1299763
SOS11,6527,6304,3290,1944,2468,931,357,21817,3679,3989,2519,1637,1925,494,183,14428,4162,4203,2253,1468,1610,425,150,14274,52453,51459,30631,19925,22385,5183,1714,183760,274,329,168,126,87,12,6,995,67099,66287,38854,25100,28477,7045,2400,235268,358,680,514,390,561,198,97,2806,970,1479,1082,787,973,236,91,5614,435,851,692,513,652,138,57,3327,15105,20355,13306,9541,9905,1754,566,70535,585,644,416,265,153,31,5,2109,17464,24007,16009,11497,12245,2349,819,84392,84563,90295,54864,36596,40721,9394,3214,319655
SOS12,192,223,174,102,131,55,26,901,320,397,225,181,201,56,17,1404,368,395,264,175,189,57,27,1475,4891,5350,3362,2281,2444,575,188,19083,20,38,25,18,10,3,0,114,5790,6400,4051,2762,2966,744,260,22975,14,36,24,26,28,10,7,141,75,103,101,66,80,19,8,450,28,72,56,42,49,16,10,262,1029,1516,1080,756,815,138,38,5375,51,71,31,31,22,3,0,206,1192,1798,1294,914,992,182,54,6431,6980,8195,5351,3669,3958,929,317,29405
SOS13,755,1056,786,568,799,374,203,4542,1106,1441,1065,779,935,308,114,5744,1427,1669,1116,744,959,279,112,6306,18675,22656,15449,10392,12116,3162,1182,83630,97,126,92,74,48,17,3,458,22054,26947,18511,12561,14858,4136,1612,100687,54,99,99,73,96,46,29,492,187,296,222,176,218,64,31,1183,102,196,152,127,135,31,22,765,2377,3285,2517,1773,1941,416,158,12464,120,106,98,61,45,19,5,450,2843,3976,3086,2209,2434,570,233,15351,24898,30925,21598,14768,17292,4707,1848,116036
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,102556,107508,54635,32584,41394,27572,16492,382752,21526,20535,11930,7848,10287,5523,2913,80563,22988,21225,11128,6901,8438,4722,2415,77804,102565,98828,59596,40192,52814,27565,13238,394804,1077,1079,534,322,211,81,49,3349,250717,249174,137820,87853,113143,65469,35103,939276,7108,12413,8749,6819,9809,7095,4618,56611,3363,4855,3473,2571,3542,1776,998,20585,1833,3407,2378,1795,2521,1310,714,13967,13389,21263,15150,11598,15462,6907,3498,87271,1095,1269,669,477,346,154,75,4086,26788,43209,30430,23249,31684,17246,9908,182511,277500,292378,168249,111104,144833,82708,45014,1121792
SOS21,7595,7342,3605,2117,2563,1101,497,24810,2812,2834,1672,1084,1278,420,159,10261,2987,2873,1497,905,1007,340,138,9741,33608,32881,18948,12513,15025,4462,1570,119014,196,221,130,86,60,12,0,706,47203,46146,25850,16702,19929,6337,2365,164534,605,892,639,407,583,254,121,3484,689,1030,708,509,618,154,82,3788,308,540,406,319,430,113,58,2170,7288,10749,7151,5161,5985,1538,535,38399,341,424,263,159,103,27,8,1325,9221,13628,9160,6554,7717,2090,801,49168,56424,59779,35010,23257,27640,8430,3165,213703
SOS22,145,179,95,66,83,39,7,619,184,271,153,94,136,27,15,881,217,250,136,69,105,32,7,817,3241,3386,2105,1381,1537,418,145,12220,32,26,17,12,11,0,0,101,3814,4114,2513,1625,1875,507,187,14641,10,16,19,12,23,3,0,90,42,76,55,50,50,9,4,289,27,30,33,32,40,9,5,178,460,745,538,402,406,87,28,2657,26,17,20,16,5,0,0,85,561,892,657,511,521,111,39,3299,4375,5009,3170,2141,2397,621,223,17934
SOS23,638,826,555,408,567,247,110,3362,704,978,700,479,677,247,92,3885,1066,1207,736,511,617,201,99,4428,13779,16699,11376,7869,9764,2892,1045,63419,77,138,64,43,33,4,0,365,16264,19849,13430,9310,11667,3588,1352,75461,34,63,66,43,53,26,15,297,97,190,143,126,117,54,19,747,52,91,89,80,98,31,26,456,1316,2172,1590,1203,1417,357,143,8193,79,58,45,39,29,11,4,266,1579,2574,1934,1484,1709,470,203,9960,17841,22424,15365,10794,13375,4064,1558,85421
