SOS_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,8699,12012,20713,3335,4163,7494,3638,10057,13692,4213,20977,25187,12625,50300,62930,16148,38194,54335,46135,25658,71799,45584,33324,78908,56959,36588,93548,67964,30245,98215,53089,24918,78003,56523,19778,76305,124982,32210,157186,94543,6015,100562,76986,8111,85097,51412,2141,53553,143099,11481,154584,60181,9371,69556,8683,10738,19417,934801,386280,1321081
SOS31,2369,3100,5472,1129,1227,2360,1147,3475,4617,1402,7367,8769,5013,19994,25002,5715,13007,18723,19962,7272,27233,15967,9078,25046,17522,8743,26266,19265,6244,25507,13600,5114,18713,14266,3878,18145,29616,6281,35894,20966,817,21790,16443,1553,17987,9859,304,10161,21149,2005,23154,21188,1813,23009,3663,4780,8443,240244,106042,346289
SOS32,448,551,997,203,196,402,246,582,825,310,1271,1581,993,3382,4371,973,1698,2671,3375,1053,4421,2639,1342,3981,2811,1239,4051,3032,915,3939,2018,700,2717,2110,472,2575,4079,710,4784,2777,73,2849,2110,152,2267,1171,24,1205,2512,239,2742,3477,250,3728,830,790,1622,36106,15629,51735
SOS33,1646,1450,3100,812,546,1355,645,1292,1932,622,2604,3226,2401,6351,8746,2251,3197,5448,7913,2274,10185,6524,3155,9674,7707,3036,10744,8894,1905,10797,6163,1551,7712,6909,1098,8005,13638,1610,15242,10137,205,10347,7905,416,8321,4939,48,4991,13419,705,14125,11971,612,12581,2234,1571,3812,116723,33631,150350
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,2845,4562,7407,1212,1794,3004,1410,5324,6734,1705,10929,12631,5333,26465,31800,6582,16665,23243,19659,11074,30732,19450,13669,33120,23334,14593,37927,26496,11210,37707,19771,8939,28714,20452,6618,27070,43886,9783,53668,32706,1710,34413,25111,2197,27308,15994,581,16573,39663,3227,42885,19494,2596,22094,2768,4310,7074,327875,156232,484112
SOS41,751,1058,1814,396,547,938,389,1704,2098,521,3547,4070,1969,9769,11735,2258,5855,8109,8129,3470,11605,6740,4010,10758,7222,3700,10925,8113,2541,10659,5304,2022,7326,5620,1339,6961,11249,1911,13167,7846,214,8057,5607,369,5971,3287,64,3355,6742,554,7301,6692,442,7137,1214,1827,3034,90067,44958,135028
