SOS_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SOS52,0,0,0,22,4,3,0,0,0,36,0,0,0,8,7,7,11,7,0,40,0,0,5,18,18,16,8,0,0,57,0,8,20,134,47,53,43,32,13,348,164,391,304,764,409,485,354,236,99,3207,1747,3736,2990,7123,3733,4222,3469,1818,636,29473,0,0,3,5,0,0,0,0,0,8,3264,6649,5031,9895,5259,5746,4918,2315,737,43823,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,4,13,6,0,0,0,0,20,0,0,0,9,0,0,0,0,0,14,0,4,3,26,14,16,14,8,0,76,0,0,0,10,0,0,4,0,0,14,0,3,4,21,18,0,0,0,0,56,0,0,0,4,0,4,12,7,0,23,0,0,0,3,0,0,0,0,0,4,4,30,78,380,440,805,744,500,119,3101,0,4,0,16,8,6,5,4,0,43,0,0,3,32,6,4,11,3,0,59
SOS53,0,3,6,79,49,30,18,0,0,188,0,4,0,22,23,36,35,11,0,132,0,0,13,74,47,64,36,9,0,244,0,14,49,365,180,286,178,73,17,1166,221,735,695,1799,1117,1122,846,379,68,6975,3484,9280,7272,16619,11683,12660,8919,3563,805,74281,0,0,0,42,6,9,0,0,0,56,6696,17244,13478,25729,16991,17100,12672,4712,971,115588,0,0,0,22,4,3,0,0,0,33,0,0,0,18,4,9,4,5,0,33,0,0,0,57,11,0,4,0,0,71,0,0,0,10,0,5,0,0,0,16,0,18,20,109,52,82,41,9,0,339,0,0,0,17,10,5,7,0,0,37,0,4,7,128,56,31,15,5,0,261,0,0,3,12,11,25,39,39,14,137,0,0,0,6,0,8,11,3,0,31,4,140,376,1317,1921,3259,2297,1274,258,10841,0,0,4,49,20,9,5,0,0,90,0,8,20,139,29,32,21,16,0,261
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,0,0,0,19,0,0,13,28,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,15,91,31,16,5,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SOS59,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,15,55,4,4,0,0,0,81,25,30,89,251,105,109,72,6,9,692,153,230,410,1309,468,477,316,38,16,3416,5,0,0,12,0,0,0,0,0,25,226,379,525,1747,782,622,413,62,12,4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,3,8,3,0,0,0,0,24,0,0,4,9,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,18,103,47,91,75,19,5,366,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,40
SOS60,3,26,88,370,18,24,14,0,0,548,0,0,9,12,7,15,27,17,10,97,0,4,12,35,19,9,10,0,0,89,29,132,152,865,274,231,204,130,69,2086,162,418,463,1213,425,488,534,434,267,4406,4954,10743,11300,29895,11958,12048,10946,6683,3084,101610,0,0,24,55,17,12,3,0,0,107,9593,19532,18664,36650,18401,17890,15383,8303,3227,147645,3,19,40,384,12,4,0,0,0,453,0,0,0,21,10,8,11,7,3,67,5,6,6,281,8,5,0,0,0,306,0,6,6,44,4,0,0,0,0,57,4,19,23,141,82,66,46,21,0,404,0,5,3,60,32,23,15,4,5,148,28,174,534,4203,165,148,120,48,9,5421,0,0,3,10,8,14,43,57,17,154,11,6,18,31,5,5,12,4,5,98,23,167,176,716,808,1308,1389,1164,493,6252,0,3,3,35,22,35,25,13,5,138,3,7,4,101,21,19,18,10,3,191
SOS61,5,12,29,114,16,15,0,0,0,197,0,0,3,9,11,22,26,30,5,114,0,3,3,14,22,9,10,8,0,62,12,79,110,532,209,171,202,133,41,1491,233,536,576,1344,676,771,885,768,326,6123,5656,12613,12129,27564,13987,14969,14251,9006,3877,114062,0,11,22,90,27,14,3,0,0,168,10905,23611,21615,41567,22117,23210,20741,11662,4526,179957,0,8,16,103,3,3,0,0,0,127,0,0,0,8,3,7,5,3,0,28,0,0,5,67,5,4,3,0,0,85,0,3,0,11,3,0,3,0,0,19,0,11,14,126,56,40,44,18,3,320,0,6,5,29,15,19,5,4,3,93,4,41,113,817,71,65,35,6,5,1169,0,0,0,3,0,9,5,29,0,42,0,20,3,34,5,10,8,0,0,86,9,79,144,500,641,1457,1893,1717,569,7009,0,0,9,40,23,16,3,3,0,92,0,0,3,42,16,16,17,11,4,103
SOS62,0,0,0,6,5,0,0,0,0,11,0,0,0,0,4,6,6,10,0,26,0,0,0,0,6,5,0,0,0,11,0,0,5,46,25,36,33,14,4,171,38,82,57,210,146,201,177,135,55,1093,668,1696,1270,3242,2032,2672,2381,1209,401,15575,0,0,0,0,0,0,0,0,0,0,1326,3157,2436,5234,3222,4055,3570,1680,469,25145,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,13,12,8,15,4,0,61,0,0,0,0,3,5,3,0,0,11,3,5,5,41,3,0,0,4,0,66,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,3,0,12,21,103,138,329,457,261,73,1401,0,0,0,0,3,4,0,0,0,9,0,0,0,12,4,4,7,4,0,37
SOS63,0,0,3,34,7,0,3,0,0,44,0,0,0,6,12,21,19,13,5,75,0,0,0,3,8,11,3,0,0,31,8,15,23,183,99,129,105,37,9,604,127,332,314,821,521,672,554,246,65,3654,2452,6267,4966,11451,7815,9227,6690,2497,571,51943,0,0,5,0,0,0,0,0,0,5,4759,11936,9549,18425,12595,14505,10707,3828,779,87080,0,0,3,5,0,0,0,0,0,10,0,0,0,4,0,0,0,4,0,9,0,0,4,21,0,6,3,0,0,34,4,0,0,0,0,0,0,0,0,4,0,5,16,58,46,52,42,24,0,241,0,0,7,18,5,8,6,0,0,42,3,9,5,95,22,13,19,3,4,176,0,0,0,0,0,0,9,3,0,13,0,0,0,0,0,3,8,3,0,17,3,49,73,355,618,1307,1355,698,129,4587,0,0,0,12,11,7,3,0,0,31,0,8,0,39,14,23,18,4,4,107
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,4,20,26,10,23,28,3,0,108,19,36,108,191,78,98,72,13,4,616,0,0,0,0,0,0,0,0,0,0,41,74,171,321,163,115,70,20,4,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,15,12,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,4,35,69,342,76,44,27,4,7,607,0,3,0,15,0,10,9,5,0,41,0,10,35,136,29,18,6,0,0,230,23,159,162,849,355,280,214,110,34,2193,278,616,561,1745,563,424,271,134,63,4643,4166,7935,6984,22229,7592,5936,3797,1566,414,60623,0,0,6,19,4,0,0,0,0,27,7677,12695,10077,22875,9073,7168,4328,1494,306,75693,0,29,100,428,39,20,10,3,0,635,0,4,4,9,6,0,8,4,0,42,0,12,9,132,12,3,0,3,0,165,4,19,10,63,24,11,14,4,4,151,3,8,8,105,31,26,26,12,0,230,0,0,3,26,10,4,4,6,0,50,3,46,165,799,173,92,65,23,14,1387,0,0,0,3,0,3,11,4,0,26,0,0,8,21,3,5,7,0,0,54,10,134,198,847,525,683,483,242,59,3188,4,22,20,116,54,44,18,3,0,286,0,3,8,121,22,15,16,12,0,208
SOS71,0,6,8,35,16,6,0,0,0,66,0,0,0,11,0,4,0,0,0,17,0,0,17,66,28,13,5,0,0,130,4,33,35,253,88,49,24,8,3,491,89,219,187,706,241,189,104,51,15,1797,1702,3566,3104,8737,3102,2501,1234,445,156,24553,0,0,0,9,0,0,0,0,0,5,3303,6392,5347,10784,4143,3365,1750,541,157,35791,0,5,4,48,0,0,0,0,0,61,0,4,0,5,0,0,0,0,0,13,0,3,0,31,7,0,0,0,0,43,0,0,0,14,0,4,0,0,0,20,5,3,6,32,10,7,7,3,0,65,0,0,0,12,0,0,0,0,0,16,0,4,16,191,28,11,0,0,0,248,0,0,0,0,0,0,0,0,0,5,0,0,7,4,3,7,0,0,0,12,4,32,16,193,133,216,116,65,11,798,0,17,19,60,39,34,12,12,0,182,0,0,3,47,6,7,4,4,0,73
SOS72,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,7,0,4,5,33,18,9,9,6,0,79,36,67,80,242,114,103,67,3,0,719,880,1951,2007,3931,1522,1196,599,144,25,12253,0,0,0,0,0,0,0,0,0,0,1803,3888,3793,6489,2448,1807,897,248,49,21415,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,5,0,0,0,23,5,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,47,43,49,28,18,3,197,0,0,0,5,7,7,0,0,0,24,0,0,0,7,3,0,0,0,0,15
SOS73,0,5,7,44,29,8,6,0,0,96,0,0,0,3,0,0,5,0,0,9,0,0,3,8,3,6,4,0,0,28,0,0,3,69,19,23,24,11,0,146,69,186,241,550,286,267,165,44,11,1814,949,2325,2070,4586,2425,2021,1184,346,60,15958,0,0,0,0,0,0,0,0,0,0,1836,4239,3814,7342,3858,3063,1769,507,85,26512,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,9,7,14,10,0,0,55,0,0,0,9,10,12,9,0,0,35,0,0,0,8,0,0,0,0,0,10,0,5,4,16,4,3,0,0,0,29,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,21,141,130,230,129,73,8,739,0,0,5,15,3,5,3,0,0,27,0,0,8,31,3,6,9,0,0,52
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,25,9,5,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,29,5,0,4,0,0,42,8,19,46,148,89,80,22,3,0,428,69,122,162,631,280,279,114,17,4,1675,0,0,0,0,0,0,0,0,0,0,131,239,156,660,350,343,181,32,3,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,37,19,28,22,0,0,126,0,0,0,4,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,27
SOS80,11,90,202,913,453,397,217,74,21,2377,0,6,9,51,21,40,37,38,12,210,0,15,58,138,75,39,20,10,0,346,66,484,705,3438,1234,1024,953,622,284,8804,358,790,1354,2595,807,640,700,510,320,8084,12884,27153,29956,73853,28257,23389,18971,10542,4313,229301,4,37,85,391,113,63,42,9,0,740,25022,48165,45076,86093,36594,28483,21508,10786,3832,305563,20,96,149,1156,291,151,72,19,0,1942,0,5,6,108,60,85,72,46,16,406,4,23,31,379,90,44,18,9,7,595,3,14,62,168,90,57,40,14,6,451,19,86,112,483,289,207,125,46,11,1381,3,25,16,239,157,157,140,88,9,833,51,276,1673,6641,1236,1167,748,265,85,12141,0,9,14,98,109,225,409,369,117,1348,6,71,54,189,59,54,63,38,13,541,52,524,999,2085,1871,2779,2439,1750,705,13195,0,26,87,414,188,179,94,59,9,1057,9,66,74,304,138,78,44,27,14,756
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,14,12,51,35,72,50,42,29,13,3,304,0,0,0,0,0,0,0,0,0,0,19,100,69,123,88,58,37,18,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,14,10,3,0,0,0,36,15,23,40,78,33,38,19,3,5,264,0,0,0,0,0,0,0,0,0,0,35,45,80,126,53,55,33,9,4,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,6,0,0,0,9,0,0,0,11,4,8,4,0,0,30,9,13,74,91,30,35,10,8,0,273,0,0,0,0,0,0,0,0,0,0,20,15,115,127,54,43,11,3,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,8,8,45,18,15,6,4,0,115,37,92,50,203,98,84,42,9,0,620,0,0,0,0,0,0,0,0,0,0,71,151,72,182,77,72,33,6,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,5,3,4,0,18,3,12,16,50,15,33,21,12,3,165,54,144,119,275,155,244,169,84,29,1270,0,0,0,0,0,0,0,0,0,0,108,250,167,294,175,277,192,86,37,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,13,17,7,0,55,0,0,4,13,7,3,0,0,0,33,0,0,0,4,0,0,0,0,0,4
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,3,3,10,10,6,12,7,3,0,67,16,30,37,71,70,60,47,39,4,371,0,0,0,3,0,0,0,0,0,4,24,59,46,76,68,53,53,26,13,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,5,0,0,26,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
