SOS_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,24,0,0,9,18,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,14,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,6,3,0,0,7,5,9,27,119,12,12,14,0,0,195,32,60,156,487,171,163,99,20,3,1183,229,457,777,2230,887,1170,870,160,25,6807,0,0,0,0,0,0,0,0,0,5,414,737,927,2462,1193,1608,1380,268,26,9019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,28,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,24,8,9,0,0,0,46,0,0,0,35,0,0,0,0,0,37,0,0,4,49,4,4,0,0,0,69,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,38,142,70,169,167,59,9,657,0,0,0,6,4,0,0,0,0,16,0,0,18,52,0,5,7,0,0,81
SOS40,29,260,895,3020,1841,1606,978,257,144,9029,0,28,54,145,140,233,193,142,64,1003,0,31,76,247,122,84,45,9,5,616,148,1319,2186,7532,3027,2471,2240,1688,955,21560,941,2023,2388,5909,2471,2378,2422,2104,1350,21996,32582,70220,74421,174274,78507,77213,66473,40379,20793,634871,47,611,1539,3818,1103,522,190,41,9,7878,63217,122593,112518,213750,103752,95125,74806,38709,16305,840784,33,241,219,1286,273,67,24,10,3,2162,0,9,28,706,376,498,318,133,41,2115,8,104,75,1491,127,46,27,7,6,1882,22,110,227,1137,759,609,436,150,48,3482,46,146,163,738,349,316,201,73,10,2032,3,18,22,251,133,135,109,59,12,742,103,1075,3817,12468,2779,2133,1570,510,202,24654,0,10,13,352,247,477,576,549,244,2451,24,171,140,493,134,128,233,181,66,1577,149,1617,3602,7687,9436,17095,13640,9855,4553,67626,6,35,63,387,221,196,137,56,14,1108,12,71,62,477,196,214,126,72,46,1280
SOS41,3,24,34,139,63,33,13,4,0,311,0,0,11,22,36,65,53,50,13,251,0,4,16,55,31,29,22,4,0,160,9,78,112,565,228,250,295,206,121,1868,364,960,803,2050,1119,1177,1245,1045,595,9354,8622,19890,17202,38317,21310,22924,22586,14636,6494,171968,0,9,38,133,69,40,9,0,0,297,16774,36881,31443,61819,33004,33239,31865,18544,7063,270631,0,9,0,51,0,0,0,0,0,70,0,0,0,7,11,19,12,9,3,56,5,3,0,70,15,4,5,0,0,99,12,7,11,56,12,19,5,0,0,120,3,18,24,118,67,69,58,15,7,377,0,3,0,14,14,16,4,3,0,48,6,61,48,436,133,93,38,10,0,825,0,0,0,11,16,51,68,92,29,270,0,12,6,31,8,5,14,14,0,92,15,226,480,1198,2118,4796,4512,3586,1377,18308,0,4,15,59,18,18,5,8,5,130,0,6,3,48,30,34,33,20,6,194
SOS42,0,4,0,8,4,0,0,0,0,15,0,3,0,5,7,10,6,4,0,39,0,0,0,0,3,0,0,0,0,3,0,3,11,54,26,39,34,24,13,212,65,184,148,373,254,323,326,198,112,1991,1232,2756,2239,5183,3153,4133,3821,2067,949,25533,0,0,0,5,0,0,0,0,0,5,2351,5184,4186,8494,5070,6317,5868,2944,1154,41559,0,3,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,7,6,11,13,0,0,0,43,0,0,0,0,0,0,0,4,0,8,0,3,3,24,3,10,0,0,0,49,0,0,0,0,3,3,7,9,4,27,0,0,0,0,0,0,0,0,0,5,0,14,49,124,275,746,699,433,146,2493,0,0,0,4,0,3,3,3,0,7,0,5,0,14,0,3,4,3,0,29
SOS43,0,0,13,79,57,46,28,0,0,225,0,0,3,7,17,24,20,13,0,84,0,4,6,13,13,12,8,0,0,53,0,10,22,134,103,133,118,69,22,615,183,478,464,958,796,913,765,351,128,5042,3386,8678,6984,14077,10470,11916,9060,3608,859,69044,0,6,0,20,3,0,0,0,0,32,6411,16805,13415,24064,17337,19076,14467,5517,1037,118118,0,0,5,3,0,0,3,0,0,13,0,0,0,4,0,3,4,0,0,13,0,0,0,20,0,0,0,0,0,28,0,3,4,42,25,12,21,0,0,109,0,4,8,61,27,31,37,7,0,169,0,0,4,10,0,3,5,6,0,16,0,5,9,59,24,26,21,0,0,153,0,0,0,5,4,15,33,23,0,76,0,0,0,3,0,0,4,5,0,19,6,77,175,446,918,2204,1749,887,205,6667,0,0,0,19,17,9,6,0,0,56,0,0,4,29,20,21,20,6,0,103
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,12,21,6,4,0,0,0,40,10,23,32,106,28,26,17,0,0,245,56,139,214,542,178,197,141,26,10,1506,0,0,0,0,0,0,0,0,0,6,104,202,271,758,327,324,222,40,3,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,0,0,0,19,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,9,27,25,48,34,10,5,154,0,0,0,0,0,0,0,0,0,4,0,0,3,9,6,0,0,0,0,11
SOS50,36,275,683,3707,2028,1557,1012,271,136,9696,6,84,194,618,469,551,429,257,107,2724,18,146,656,2015,1110,867,429,125,30,5391,243,2311,3812,17026,6070,4975,3631,2062,845,40977,1914,4268,4510,12596,4650,4091,3851,3386,2639,41905,61163,127538,121434,301635,133403,118041,95610,53346,24562,1036733,29,295,777,2946,703,395,171,51,9,5375,118109,216790,170165,306754,133785,110705,89049,44967,17804,1208128,21,215,225,1528,389,135,114,19,4,2665,7,16,47,1035,458,695,402,165,45,2863,28,188,208,3157,385,164,68,35,7,4250,12,74,93,523,283,204,147,30,11,1379,69,326,435,1929,917,779,449,173,58,5138,15,57,96,643,335,305,226,105,26,1807,99,1202,2890,12535,4344,3282,1911,560,288,27105,0,26,31,671,405,761,1120,768,389,4177,15,245,291,639,231,266,334,243,97,2366,388,5352,11421,31127,27994,35128,26091,18443,6412,162346,3,29,82,377,200,199,109,42,9,1046,23,136,220,1842,495,362,246,120,47,3502
SOS51,5,19,26,220,55,33,20,8,0,389,0,3,11,64,53,74,42,43,14,313,0,31,86,309,158,136,63,14,3,806,29,157,161,1171,435,430,304,176,78,2940,814,2139,1671,4703,2003,1716,1296,911,487,15747,11963,26494,20172,52446,25204,23429,18788,10277,4441,193209,0,16,41,130,38,22,4,0,0,264,22545,46458,32988,68955,33507,30490,24737,12103,4548,276337,0,5,7,74,17,5,0,0,0,116,0,0,0,24,9,7,14,3,0,61,0,14,15,184,32,11,4,3,0,258,4,9,6,46,6,4,3,0,0,82,19,38,44,291,115,109,66,19,12,714,0,3,0,99,22,26,15,5,0,162,5,38,72,587,148,86,27,6,0,966,0,0,4,25,15,36,39,33,6,158,5,15,3,51,0,10,22,11,3,125,29,417,814,3238,3035,4735,3928,3005,1002,20207,0,14,26,145,53,31,15,7,4,292,0,11,47,300,48,58,28,16,12,527
