SOS_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOS10,220301,804720,669902,203220,111437,2009581,28571,2038151
SOS11,37188,235334,223533,70540,36517,603108,10712,613818
SOS12,1886,17831,21789,8055,5134,54700,1138,55835
SOS13,2659,38872,74032,39496,34293,189350,3313,192660
SOS17,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0
SOS20,156971,681953,661946,193696,101542,1796101,23508,1819615
SOS21,19560,136002,147902,48435,25582,377482,6796,384277
SOS22,1087,11686,14419,5794,3402,36391,737,37124
SOS23,1726,26602,56675,32354,29281,146641,2573,149218
SOS27,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0
SOS30,80817,483591,498412,157974,82545,1303335,17748,1321081
SOS31,20317,125791,126431,43961,23032,339536,6747,346289
SOS32,2936,17260,18987,7192,4165,50541,1194,51735
SOS33,2239,32067,57920,30268,24816,147308,3047,150350
SOS37,0,0,0,0,0,3,0,3
SOS39,0,0,0,0,0,0,0,0
SOS40,38870,182575,175082,54119,27921,478563,5547,484112
SOS41,8562,49013,49017,16938,9362,132881,2146,135028
SOS42,951,6655,7599,3103,1727,20036,373,20409
SOS43,813,10268,19517,10798,9525,50919,853,51767
SOS47,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0
SOS50,37732,264663,298046,95428,50308,746172,9043,755215
SOS51,6522,46728,53283,18871,9666,135071,2512,137580
SOS52,1817,7072,7201,2821,1636,20540,652,21197
SOS53,1033,9396,18252,10777,10312,49766,972,50741
SOS57,0,0,0,0,0,3,0,3
SOS59,0,0,0,0,0,0,0,0
SOS60,6090,29360,26218,8990,5044,75699,985,76686
SOS61,6028,33987,30955,11049,6066,88088,1556,89650
SOS62,377,4015,4851,1947,1159,12350,233,12580
SOS63,520,8325,15265,8261,6536,38912,585,39495
SOS67,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0
SOS70,2505,14658,16237,5116,2353,40877,855,41727
SOS71,2328,4959,4260,1446,675,13671,425,14097
SOS72,1947,2010,945,342,206,5451,177,5629
SOS73,844,2332,2897,1507,1316,8898,303,9202
SOS77,0,0,0,0,0,0,0,3
SOS79,0,0,0,0,0,0,0,0
SOS80,9267,65384,64499,18216,9210,166576,1482,168058
SOS82,0,37,86,43,28,198,0,203
SOS83,0,26,48,28,38,134,0,138
SOS87,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0
SOS91,31,169,129,64,24,413,6,416
SOS92,31,322,316,117,82,857,32,887
SOS93,5,69,82,33,12,203,23,227
SOS97,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0
