SOS_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOS29,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
SOS30,14330,57523,16735,21807,2006,140743,32244,15208,94941,42278,52752,5663,243077,1519,679,6825,3866,6850,528,20261,2621,1148,8518,9221,28974,1255,51744,4204,877,11583,7204,18243,6675,48788,136622,57152,402642,211321,427890,37077,1272706
SOS31,2983,13045,3789,6596,467,30076,3526,2530,15114,9459,16538,1404,48568,77,43,383,357,1105,90,2056,224,160,930,1625,8823,269,12028,207,94,1010,1084,5313,1617,9338,11580,8512,53617,39230,134075,9555,256573
SOS32,373,1724,520,1050,84,4185,379,326,1627,1325,2079,212,5946,17,12,82,63,201,20,397,22,18,114,199,1175,29,1562,35,17,156,163,771,320,1455,1488,1106,6476,5510,18602,1712,34899
SOS33,1267,5572,2007,3280,270,13861,1537,1005,5954,3744,5665,587,18488,75,37,324,265,662,64,1422,97,70,476,672,4183,124,5631,153,82,767,735,2899,933,5574,6013,4064,27389,20771,66032,5600,129867
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,16,5,24
SOS39,9,46,24,20,4,124,35,12,96,58,81,9,295,5,0,10,3,19,0,38,4,0,8,11,47,7,73,6,4,32,12,41,24,119,166,74,627,337,893,107,2209
SOS40,4376,20150,5258,6232,542,47471,13085,5420,35281,13863,19149,2119,88919,565,193,2107,955,1694,153,5671,981,420,3093,2637,10136,433,17704,1207,219,2946,1568,4101,1595,11634,52807,18966,139908,63239,134136,11571,420626
SOS41,1054,5000,1402,2213,163,11125,1344,994,5592,3598,6333,456,18314,55,28,286,160,452,33,1019,97,79,391,484,3085,101,4240,87,50,315,331,1276,421,2480,5037,3421,20518,14225,45609,3182,91991
SOS42,138,705,226,368,34,1646,130,107,566,496,800,87,2184,7,5,25,24,61,11,135,11,6,46,53,475,31,625,8,9,47,57,224,80,419,533,402,2440,1955,6933,660,12924
SOS43,428,1981,640,959,90,4617,491,425,2049,1294,1972,189,6427,31,17,119,79,180,30,463,29,23,155,177,1407,42,1841,54,34,202,181,621,260,1348,2159,1533,9882,7017,21291,1982,43869
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS49,3,10,3,6,0,31,8,5,30,20,23,3,82,0,0,0,0,0,0,3,0,0,0,6,9,0,12,0,0,0,0,10,5,19,45,16,135,69,209,29,489
SOS50,9981,32199,9057,13073,1560,79482,16370,7444,50383,20292,25134,3505,123130,996,408,4099,2030,3529,360,11419,1468,617,5063,4951,16673,882,29645,2823,627,7896,4340,10928,3898,30508,81356,33568,240616,115276,237069,24631,732509
SOS51,1619,5369,1625,3310,267,13263,1549,1124,6332,3363,5679,585,18633,58,29,226,217,519,54,1109,141,88,475,698,3732,142,5268,125,53,505,467,2159,697,4004,5219,4228,24253,17315,60078,4568,115660
SOS52,186,714,168,454,66,1730,110,91,524,353,555,68,1692,9,8,42,21,69,10,153,6,13,46,57,411,19,552,11,3,61,46,293,109,535,524,431,2648,1927,6959,742,13235
SOS53,549,1953,641,1245,135,4902,363,308,1810,1013,1324,202,5026,29,15,161,93,279,36,609,41,16,160,233,1424,75,1950,67,24,287,251,895,345,1875,2030,1648,11167,7958,24221,2476,49508
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
SOS59,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
SOS60,749,3507,700,1221,111,8918,2521,1022,5258,1866,3078,353,14091,225,75,576,193,375,38,1477,302,69,511,324,1336,58,2600,245,25,344,130,466,259,1469,12477,3748,22786,8598,20085,1881,69574
SOS61,509,3249,794,1650,128,7454,1488,781,4383,2285,4661,420,14017,57,22,213,110,340,35,779,118,47,293,340,1954,55,2801,75,15,199,131,721,311,1449,5136,2160,14730,8428,29352,2302,62115
SOS62,76,446,103,211,14,1022,143,90,432,246,455,44,1409,28,8,49,26,46,4,162,16,4,36,33,243,15,349,10,6,31,31,97,42,221,692,319,1887,1196,4103,405,8604
SOS63,273,1436,428,765,71,3550,438,347,1674,1037,1733,182,5408,77,27,148,107,203,16,578,51,23,107,123,1030,23,1362,43,12,128,102,441,159,886,2319,1181,7453,5004,16037,1365,33352
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,9
SOS69,0,3,0,4,0,9,6,3,10,6,5,4,30,0,0,0,0,0,0,7,0,0,0,0,4,0,7,0,0,3,0,4,0,9,17,5,42,21,87,15,181
SOS70,529,1815,482,835,81,4771,1530,651,3422,1022,1321,233,8175,108,33,256,111,262,33,801,169,43,362,232,952,56,1811,153,41,356,206,663,253,1671,6528,2459,14399,7090,15345,1553,47375
