SOS_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS10,461,4819,119,79682,366,97,220,203,240,378,140,273,261,1373,13542,17089,264,72,257,138,106,133,49,138,152,2496,3065,6862,116457,23173,6877,58528,18900,51793,9448,36301,11616,184072,19081,536256
SOS11,97,1010,28,10161,100,35,45,100,63,157,37,132,43,642,5892,7252,123,58,110,79,44,64,15,53,37,1592,1253,3432,28695,8266,1327,22045,2917,13602,1839,13528,2458,79006,8381,182059
SOS12,15,97,0,1040,6,4,3,8,5,29,5,16,14,69,617,777,11,10,11,13,5,11,0,7,6,179,136,389,2483,926,149,2178,328,1507,218,1546,357,8167,895,18748
SOS13,71,560,17,6511,94,41,25,69,33,86,19,74,42,214,2497,3188,173,45,66,81,20,63,12,34,38,489,452,1462,13431,4574,874,10315,1292,6318,947,5930,1269,24134,3416,72516
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,262,3271,102,56744,409,86,176,261,234,397,125,285,175,1176,11657,14976,349,103,220,226,106,170,41,162,116,2655,2701,6839,114217,23154,3020,64731,8939,44338,4625,32598,5590,148626,16651,466486
SOS21,59,563,20,6074,84,22,22,82,36,101,22,97,46,417,3244,4173,87,29,59,74,18,52,13,46,41,1054,874,2349,18371,5002,848,14639,1932,8954,1234,8296,1643,45244,4903,111063
SOS22,3,73,6,600,7,9,5,3,5,14,0,4,6,40,380,468,13,10,13,12,3,6,0,9,4,134,97,301,1618,688,133,1544,210,1023,150,1056,214,4927,556,12123
SOS23,58,385,7,4608,73,19,20,71,27,100,12,69,29,203,1725,2359,128,52,69,96,25,46,19,41,36,410,414,1342,10047,3665,773,8659,1109,4843,796,4697,1049,17692,2532,55871
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,299,2483,58,36506,297,77,139,232,209,271,96,170,132,814,13408,15849,218,56,188,130,72,92,28,79,98,1609,1741,4305,82408,17759,3771,51219,10664,34165,5638,23751,6031,117705,16596,369714
SOS31,81,370,30,6078,68,15,38,67,35,107,26,78,38,390,5359,6223,78,20,70,61,24,44,17,43,39,845,793,2023,18608,3728,947,12499,1928,8973,1048,6815,1595,42915,6873,105940
SOS32,14,64,0,807,11,11,10,16,8,22,5,16,13,80,934,1115,25,13,24,16,5,7,9,9,10,180,195,481,2615,686,205,1890,299,1523,211,1262,329,7443,1248,17717
SOS33,52,287,12,3966,89,16,12,51,27,78,12,58,34,181,2878,3431,184,45,109,75,19,55,20,32,38,451,439,1459,11171,2872,775,7579,1127,5300,698,4020,1100,19379,3691,57703
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,84,879,19,9587,80,21,22,68,36,89,12,60,30,378,3983,4782,54,18,39,44,22,30,12,25,16,611,561,1424,24846,6493,644,18270,1794,11231,1085,9619,1295,47985,5180,128448
SOS41,29,194,13,1863,18,9,7,23,6,32,11,45,12,146,1682,1976,17,11,21,19,6,10,6,20,3,352,272,734,6146,1858,265,5190,576,2999,402,3132,541,18437,2261,41818
SOS42,5,30,0,211,4,0,0,4,0,8,0,9,8,25,341,397,6,9,9,5,0,0,0,3,3,50,50,141,878,346,73,922,85,546,86,589,110,2931,449,7005
SOS43,15,112,3,1309,21,3,0,15,13,28,8,21,9,57,850,1029,30,13,21,28,10,22,4,10,4,119,114,371,3399,1291,213,3239,313,1629,232,1479,297,6159,1103,19355
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,220,1410,25,24341,142,40,66,113,116,174,57,110,72,520,12951,14372,126,32,94,86,34,61,10,60,42,931,987,2452,44852,9518,1396,29806,3528,19817,1782,14594,2296,63668,14733,205986
SOS51,44,151,6,3868,32,11,8,34,22,42,10,21,10,111,3060,3355,27,11,24,24,3,15,3,14,9,228,276,630,8534,1719,403,5654,790,3491,426,2544,519,12470,3597,40142
SOS52,6,13,4,395,8,0,4,8,3,8,3,9,4,25,462,537,7,4,11,8,3,0,0,0,0,67,80,171,1082,279,93,742,113,614,73,453,116,2328,600,6485
SOS53,31,129,0,1905,23,10,6,25,7,24,3,18,12,50,1394,1567,55,19,29,29,4,15,3,9,6,114,129,406,3883,1296,285,3007,377,1870,239,1459,324,5496,1625,19878
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,11,126,5,1678,12,3,0,5,7,7,3,14,9,51,678,789,4,9,5,5,0,3,4,6,0,100,88,216,3944,1449,152,3198,284,1741,209,1872,259,7558,886,21554
SOS61,4,100,0,1044,10,3,4,11,4,28,9,15,5,87,931,1102,8,3,10,12,6,7,0,9,5,163,184,405,4076,1273,183,3577,369,2013,248,2050,310,10659,1319,26091
SOS62,9,21,0,165,3,0,0,4,0,6,0,4,0,24,206,249,3,0,4,0,0,0,0,0,0,34,39,81,539,226,46,496,67,311,50,413,66,1868,281,4371
SOS63,10,58,3,763,14,8,5,14,4,17,4,7,3,59,596,737,14,5,12,10,4,0,5,6,5,94,75,222,2204,975,171,2175,220,1292,202,1417,253,5298,787,14994
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,4,47,7,1528,15,0,10,12,6,14,4,5,11,15,971,1056,5,0,3,0,0,0,0,0,5,26,52,99,3821,502,119,1701,261,1118,98,513,113,1666,1069,10978
SOS71,5,13,0,485,5,0,0,0,5,3,0,3,6,14,239,271,5,0,0,0,0,0,0,0,0,16,16,55,1320,104,43,411,67,336,27,132,39,725,287,3494
SOS72,0,4,0,96,8,0,0,0,0,3,0,6,3,9,63,89,3,0,0,0,0,0,0,0,0,16,21,43,358,46,11,115,22,128,10,82,27,577,94,1463
SOS73,4,12,0,330,3,5,0,0,0,4,0,6,0,16,234,269,7,0,0,0,0,0,0,0,4,25,66,114,805,118,49,329,78,294,34,138,54,784,320,3006
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,81,597,3,8995,26,4,0,25,9,24,11,4,13,81,1371,1572,15,0,12,6,4,5,0,10,4,94,114,268,14257,1990,287,6171,857,4363,357,2950,480,13603,1626,46948
SOS82,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,19,0,0,7,8,7,0,10,0,19,0,66
SOS83,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,6,4,6,0,3,0,7,3,51
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,24,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,34,7,5,22,6,20,0,6,3,7,14,114
SOS92,0,0,0,12,0,0,0,0,0,0,0,0,0,4,13,12,0,0,0,0,0,0,0,0,0,0,0,5,54,21,4,58,3,32,9,35,4,76,14,310
SOS93,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,3,5,11,0,3,0,14,4,12,9,73
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
