SOS_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,155,184,266,138,122,139,54,18,6,1091,155,184,266,138,122,139,54,18,6,1091,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,317,352,576,397,348,277,167,41,6,2477,317,352,576,397,348,277,167,41,6,2477
SOS30,..,21657,22111,5495,5127,6276,4171,1588,329,66753,..,7469,19664,15858,20419,32860,39634,32147,15445,183499,3589,6861,5039,2561,2614,3221,2769,1276,561,28492,314139,215225,251679,247499,231141,195307,156633,86358,28784,1726768,..,6595,145096,273182,258699,218338,178191,89478,16519,1186092,..,42912,130560,71456,49841,30649,14002,4201,560,344172,..,4265,22087,41969,48809,24597,11415,7334,4686,165160,638958,..,..,..,..,..,..,..,..,638958,..,168626,..,..,..,..,..,..,..,168626,..,104573,53004,18107,12205,6539,1360,56,0,195848,..,20886,16070,6321,6872,11769,12683,8163,4207,86969,..,15973,17967,6228,4551,3251,1694,556,136,50344,..,41869,50513,14321,12122,13143,8939,3449,683,145034,..,14241,41134,37102,44113,58011,61767,45418,20992,322776,7295,12379,10551,6137,5574,5728,4785,2075,782,55322,646252,432322,486987,474813,442780,372020,294825,160737,48568,3359297
SOS31,..,2430,2568,876,1482,1912,1440,585,101,11392,..,1888,3508,2795,5157,9795,11935,10536,4949,50560,1326,1753,1244,720,1010,1311,1079,574,229,9242,82624,47060,53428,53313,54180,55850,49486,28595,8907,433447,..,1951,32809,53048,54761,59335,57883,30347,5397,295534,..,12578,27705,16327,13388,9917,5264,1783,237,87190,..,1842,8164,11967,11224,5584,3004,2184,1387,45363,166816,..,..,..,..,..,..,..,..,166816,..,31370,..,..,..,..,..,..,..,31370,..,27357,10212,4512,3547,2038,383,6,0,48067,..,4969,2658,1306,1948,3299,3139,2065,1043,20431,..,3469,2992,1330,1146,892,489,158,48,10525,..,4850,6068,2339,3203,3910,3151,1252,197,24968,..,3853,8466,7499,11756,19017,20997,15852,6907,94350,2679,3395,2768,1781,2036,2337,2010,997,320,18323,169495,95638,101836,100112,103009,106329,96326,54647,15534,842925
SOS32,..,188,196,96,204,395,249,85,18,1438,..,174,363,343,682,1559,1710,1264,454,6552,202,316,185,120,157,278,231,107,24,1616,11491,5917,6497,7136,8426,10134,8378,4019,995,62999,..,155,3388,6549,8392,10922,10319,4644,622,44983,..,1423,3693,2787,2692,2224,1218,321,39,14401,..,262,1093,1491,1454,831,475,391,190,6181,23385,..,..,..,..,..,..,..,..,23385,..,3976,..,..,..,..,..,..,..,3976,..,3933,1632,741,613,318,48,8,0,7287,..,775,388,195,369,575,573,388,192,3454,..,417,313,146,200,160,120,35,14,1403,..,357,424,243,433,780,598,208,39,3075,..,400,857,948,1799,3444,3675,2286,698,14100,413,604,439,312,359,539,447,204,40,3355,23802,12291,12215,13415,16308,19791,17474,8484,1826,125606
SOS33,..,388,445,268,535,941,722,218,36,3559,..,363,558,597,1449,2909,3234,2153,653,11916,481,834,452,293,451,741,548,203,71,4071,34548,19216,17690,23253,30216,32299,24180,10253,2183,193837,..,670,12645,27394,37447,42199,34359,14151,1821,170683,..,3092,8385,7118,8058,6899,3248,830,70,37688,..,345,1741,2883,3496,2078,1270,966,545,13330,70716,..,..,..,..,..,..,..,..,70716,..,16435,..,..,..,..,..,..,..,16435,..,13710,5871,2497,1916,921,150,3,0,25076,..,1375,649,425,787,1533,1938,1495,701,8898,..,1536,1169,634,738,724,532,209,44,5592,..,776,1093,707,1232,1979,1671,567,70,8102,..,827,1668,1995,4220,7578,7787,4485,1223,29779,1000,1671,1112,788,1101,1485,1183,431,110,8881,71717,40443,34343,44435,58988,65393,52143,23136,4588,395175
SOS37,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,3,0,3,0,0,0,0,8
SOS39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,279,336,400,232,260,279,208,47,11,2061,279,336,400,232,260,279,208,47,11,2061,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,577,622,862,586,530,573,490,131,21,4393,577,622,862,586,530,573,490,131,21,4393
SOS40,..,5825,6384,1531,1402,1723,1236,388,98,18587,..,2242,6714,5958,7569,13921,17398,14912,8600,77308,1263,2017,1769,955,853,994,820,432,234,9331,99455,70142,85277,81576,75586,73805,62637,36636,14268,599374,..,2236,53952,93016,83740,80351,70706,37488,8305,429781,..,9733,37526,20803,15565,11289,5580,1517,211,102225,..,1124,6532,13657,16930,10476,4612,2945,2088,58353,202027,..,..,..,..,..,..,..,..,202027,..,61622,..,..,..,..,..,..,..,61622,..,36671,24607,7326,4992,2874,487,17,0,76975,..,7059,5814,1965,2099,3832,3636,2111,1302,27823,..,4745,5511,1630,983,723,359,70,27,14051,..,12467,16314,4532,3640,3837,2622,837,177,44423,..,4395,14834,14394,18044,25908,27514,20675,11610,137370,2578,3803,3816,2293,1922,1830,1401,686,327,18662,204608,143855,168912,159608,147908,141118,116911,66351,24050,1173321
SOS41,..,651,711,235,369,494,355,152,20,2986,..,750,1443,1046,2184,4258,5459,5222,2737,23108,452,678,420,246,313,468,448,247,82,3353,27030,16225,17997,18007,20034,21257,20728,13053,4333,158660,..,516,10860,18178,20334,22951,24788,14318,2754,114708,..,3658,9920,5714,5009,3886,2064,616,93,30961,..,494,2449,3924,4458,2243,989,690,435,15692,54319,..,..,..,..,..,..,..,..,54319,..,12375,..,..,..,..,..,..,..,12375,..,10040,4158,1490,1137,597,123,0,0,17545,..,1352,795,351,473,799,826,499,279,5379,..,780,704,302,253,211,102,25,10,2385,..,1376,1757,721,833,1032,751,305,61,6844,..,1446,3478,2992,5098,8385,9121,7420,3828,41765,917,1300,972,668,682,843,837,422,128,6772,55235,33342,35096,34344,38291,40938,39598,24292,7601,308741
