SOS_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS42,..,60,93,40,49,100,75,32,3,453,..,78,170,108,314,641,825,711,362,3213,58,104,65,47,70,102,95,42,22,603,3732,2060,2372,2421,2847,3730,3402,1838,580,22981,..,139,1519,2517,2918,4214,4267,2068,380,18018,..,406,1253,803,803,780,434,111,9,4610,..,54,270,440,525,294,122,90,63,1854,7510,..,..,..,..,..,..,..,..,7510,..,1535,..,..,..,..,..,..,..,1535,..,1287,572,201,146,86,21,0,0,2325,..,265,135,59,86,156,118,75,41,936,..,86,54,34,33,41,9,0,4,267,..,133,180,92,124,202,159,55,12,967,..,197,443,383,815,1419,1673,1137,538,6606,125,189,161,132,159,186,179,74,27,1233,7635,4288,4590,4665,5608,7372,6997,3620,1066,45854
SOS43,..,95,117,70,155,247,156,46,12,895,..,114,180,194,454,1018,1150,808,309,4233,154,300,153,101,150,227,188,64,14,1354,11315,6202,5529,7392,9597,10755,8165,3307,756,63015,..,206,4128,9147,12397,14483,12111,4800,664,57938,..,840,2754,2308,2697,2513,1162,252,23,12557,..,83,401,723,1086,663,344,233,152,3680,23094,..,..,..,..,..,..,..,..,23094,..,5681,..,..,..,..,..,..,..,5681,..,4659,1984,684,472,253,36,0,0,8092,..,412,214,106,173,338,343,297,156,2025,..,340,277,121,110,126,66,26,3,1057,..,221,350,209,333,532,358,106,18,2121,..,328,645,750,1616,3070,2968,1637,517,11525,328,601,373,250,352,490,415,147,28,2984,23424,13359,11116,14294,19244,22464,17795,7499,1562,130753
SOS47,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,73,87,111,77,50,64,42,9,4,522,73,87,111,77,50,64,42,9,4,522,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,172,248,184,159,152,96,16,6,1189,154,172,248,184,159,152,96,16,6,1189
SOS50,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2070,3094,2560,1441,1324,1633,1488,786,371,14766,181747,113910,141124,143376,127025,111189,89026,48195,17495,973097,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4186,5664,5332,3467,2833,2829,2448,1266,514,28538,373528,230983,270709,276180,244522,212331,168542,90020,29679,1896506
SOS51,..,833,1115,368,442,553,334,114,21,3775,..,830,1678,1296,2384,3862,4375,3501,1813,19743,651,742,671,426,479,671,533,242,93,4505,35093,17888,22747,23885,22685,20761,16434,8902,3025,171412,..,654,13473,24110,23331,22387,18739,9409,1866,113965,..,4823,13045,8302,6190,4327,1857,493,67,39106,..,548,2653,4582,4387,1989,954,595,370,16067,70974,..,..,..,..,..,..,..,..,70974,..,11817,..,..,..,..,..,..,..,11817,..,10764,3495,1391,966,495,113,6,0,17224,..,1946,1062,543,642,1005,906,513,250,6866,..,1146,1098,469,331,234,104,33,9,3421,..,1748,2641,1040,1082,1190,713,240,45,8699,..,1762,4141,3704,5523,7597,7550,5161,2504,37953,1317,1434,1352,992,1015,1216,1006,429,141,8892,72284,36636,42968,45125,43456,40438,31950,16873,5260,334990
SOS52,..,51,107,31,83,111,66,34,9,489,..,133,229,197,357,697,708,565,237,3128,105,121,99,75,91,124,114,44,15,808,4855,2601,3034,3105,3217,3624,2985,1536,435,25400,..,215,1652,2665,2885,3503,3405,1608,313,16255,..,685,1663,1119,1002,881,415,123,12,5899,..,120,473,672,617,366,208,137,44,2647,9795,..,..,..,..,..,..,..,..,9795,..,1285,..,..,..,..,..,..,..,1285,..,1637,609,309,236,95,10,0,0,2900,..,548,264,180,199,248,198,94,48,1781,..,98,98,48,42,49,24,9,0,362,..,121,215,103,168,240,166,59,12,1090,..,278,532,528,958,1587,1571,987,359,6812,241,245,211,165,203,243,221,89,22,1643,10030,5240,5712,5798,6308,7217,6224,3112,817,50461
SOS53,..,108,153,76,136,191,146,52,0,869,..,163,265,216,481,956,984,663,221,3948,202,276,212,139,193,311,235,96,34,1705,11480,5906,5770,8001,10132,10909,7738,3160,734,63828,..,193,3858,9333,12746,14609,11515,4491,616,57375,..,846,2864,2570,2911,2496,1125,260,22,13092,..,83,410,850,1021,620,350,253,146,3734,23525,..,..,..,..,..,..,..,..,23525,..,4871,..,..,..,..,..,..,..,4871,..,4602,1798,699,478,235,39,0,0,7852,..,548,239,150,207,382,494,369,235,2626,..,335,341,151,171,154,108,41,7,1327,..,219,391,215,300,426,353,126,8,2044,..,427,771,777,1539,2580,2554,1351,378,10373,408,576,452,363,455,604,525,197,65,3648,23936,12706,11120,15113,19836,22119,17057,7090,1481,130471
SOS57,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
SOS59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,121,119,168,141,96,101,60,11,3,825,121,119,168,141,96,101,60,11,3,825,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,218,270,367,321,228,208,122,30,6,1775,218,270,367,321,228,208,122,30,6,1775
SOS60,..,1041,1955,333,232,300,214,78,22,4175,..,323,1053,982,1276,2434,3150,2643,1345,13199,220,402,332,160,151,205,181,84,45,1785,15025,10362,15932,12335,11382,11338,10140,6013,2173,94703,..,405,9031,12123,11313,11342,10711,5672,1187,61781,..,1800,7344,4122,2970,2073,1072,338,44,19751,..,279,1390,2444,2670,1547,695,446,269,9736,30520,..,..,..,..,..,..,..,..,30520,..,7906,..,..,..,..,..,..,..,7906,..,5257,2859,993,723,376,74,0,0,10291,..,974,861,263,308,555,566,339,172,4030,..,1038,2707,492,157,97,66,23,15,4588,..,2094,4646,868,527,590,416,149,48,9342,..,586,2253,2121,2667,4312,4769,3608,1817,22138,431,711,762,385,327,353,334,142,62,3502,30945,21049,31853,23817,21667,21249,18708,10708,3608,183600
SOS61,..,661,739,195,247,341,317,113,25,2633,..,462,1143,854,1640,3149,4134,3562,1732,16668,290,430,326,198,217,281,277,152,48,2220,17422,11309,13761,12191,13192,13971,13154,8084,2683,105778,..,508,8184,11462,12327,14284,14230,7963,1502,70467,..,2704,7188,4011,3336,2511,1228,355,42,21369,..,428,1987,2992,3125,1521,729,560,317,11669,35045,..,..,..,..,..,..,..,..,35045,..,7844,..,..,..,..,..,..,..,7844,..,6685,2795,1053,902,452,90,0,0,11982,..,957,639,253,337,637,533,365,155,3880,..,761,1018,230,145,116,71,32,9,2378,..,1279,2048,520,576,735,617,237,59,6073,..,894,2504,2149,3557,5629,6537,4975,2347,28587,575,837,726,445,452,494,469,264,64,4333,35618,22908,27084,23123,24751,26377,24503,14757,4494,203618
SOS62,..,26,31,18,33,64,46,21,6,240,..,39,100,80,174,412,528,386,161,1875,36,50,39,29,41,75,82,20,0,372,2239,1166,1441,1552,1877,2430,2166,1055,257,14183,..,41,838,1506,1991,2690,2669,1252,171,11156,..,230,861,655,589,548,307,79,3,3272,..,33,187,293,302,184,94,70,35,1200,4490,..,..,..,..,..,..,..,..,4490,..,943,..,..,..,..,..,..,..,943,..,820,394,150,129,63,5,0,0,1564,..,72,60,32,42,66,77,47,16,420,..,71,73,32,16,24,13,6,0,238,..,61,86,54,72,124,101,44,8,546,..,75,239,237,463,872,1011,655,240,3801,62,101,93,74,81,144,145,43,5,739,4553,2457,2829,3031,3684,4718,4430,2193,475,28369
SOS63,..,66,117,66,108,173,137,47,4,714,..,63,173,198,461,947,956,596,208,3608,131,248,130,82,99,196,144,39,20,1089,8183,4546,4586,5878,7239,8410,6082,2320,512,47757,..,132,2896,6386,8477,10607,8782,3298,407,40989,..,697,2663,2421,2514,2191,1036,202,17,11732,..,80,417,773,926,617,280,211,80,3380,16615,..,..,..,..,..,..,..,..,16615,..,3916,..,..,..,..,..,..,..,3916,..,3463,1559,552,385,171,29,0,0,6164,..,293,133,81,134,299,282,185,134,1548,..,315,277,119,94,90,58,16,5,971,..,175,369,160,238,350,302,113,20,1722,..,169,520,635,1254,2388,2322,1193,357,8838,270,478,321,219,249,413,308,96,26,2377,16883,9718,9160,11340,14264,17123,13399,5317,1047,98243
SOS67,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,30,51,35,43,21,33,9,6,0,220,30,51,35,43,21,33,9,6,0,220,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,69,109,98,89,75,63,25,17,0,530,69,109,98,89,75,63,25,17,0,530
SOS70,..,500,1153,299,204,202,107,36,4,2503,..,257,798,653,727,966,962,537,137,5043,153,197,240,127,119,144,80,38,7,1096,11114,6108,10800,9004,6866,5349,3453,1393,303,54396,..,358,6797,9425,7137,5427,3454,1288,163,34052,..,1511,4867,2863,1884,1166,459,98,3,12858,..,181,810,1385,1332,735,365,154,77,5040,22431,..,..,..,..,..,..,..,..,22431,..,4057,..,..,..,..,..,..,..,4057,..,2993,1453,543,271,112,9,0,0,5389,..,768,693,209,289,425,431,224,80,3120,..,542,1100,280,151,123,60,15,0,2276,..,1096,2460,710,511,473,277,84,11,5624,..,564,1717,1397,1624,1918,1793,836,209,10070,323,356,468,282,239,254,148,52,12,2134,22751,12422,20359,17101,13455,10637,6999,2754,557,107046
SOS71,..,125,339,108,92,82,31,20,7,792,..,72,317,218,319,401,266,118,48,1756,86,89,149,72,80,85,38,10,6,614,4883,2791,4270,3395,2746,2163,1040,372,93,21751,..,447,2508,3151,2291,1920,932,280,33,11556,..,465,1753,1161,834,474,168,28,11,4892,..,159,510,649,528,295,168,58,17,2379,10004,..,..,..,..,..,..,..,..,10004,..,1297,..,..,..,..,..,..,..,1297,..,1860,747,244,124,28,4,0,0,3007,..,781,512,386,368,368,204,73,18,2713,..,130,300,87,56,43,17,0,0,637,..,235,674,244,196,166,71,28,7,1618,..,177,664,514,627,774,519,214,61,3548,200,187,273,161,141,139,73,17,6,1190,10201,5737,7936,6595,5161,4209,2148,694,147,42844
SOS72,..,20,37,14,17,22,6,7,0,123,..,49,120,70,95,163,90,22,0,608,78,59,84,51,52,41,23,4,0,397,2692,1877,2033,1578,1387,1036,527,132,27,11297,..,563,1489,1445,1170,799,378,77,7,5924,..,253,525,428,327,175,57,9,0,1776,..,113,358,322,310,203,111,49,9,1475,5515,..,..,..,..,..,..,..,..,5515,..,448,..,..,..,..,..,..,..,448,..,1313,570,193,84,25,0,0,0,2187,..,734,402,298,331,299,212,69,22,2367,..,70,32,26,22,17,9,9,0,180,..,43,72,26,43,37,22,14,0,254,..,81,262,187,248,295,173,51,4,1299,174,131,140,95,95,67,34,10,0,748,5684,3754,3847,3030,2624,1923,995,269,49,22174
SOS73,..,29,45,20,33,62,32,9,3,240,..,41,97,52,116,181,122,42,8,647,49,76,45,39,44,28,25,6,0,311,2976,1657,1839,1981,2080,1708,1023,301,59,13615,..,234,1138,1960,2179,1829,1186,333,31,8892,..,274,998,767,781,521,196,42,4,3586,..,71,171,274,275,199,104,69,19,1174,6007,..,..,..,..,..,..,..,..,6007,..,803,..,..,..,..,..,..,..,803,..,1204,468,199,119,31,10,0,0,2026,..,439,226,163,182,248,204,91,31,1586,..,147,121,62,80,69,31,14,6,526,..,81,111,64,102,136,88,28,8,611,..,89,229,169,352,511,396,123,16,1892,100,142,114,81,91,65,65,18,0,679,6106,3490,3568,3737,4159,3599,2277,720,118,27778
SOS77,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
SOS79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,15,32,50,28,35,26,10,0,0,201,15,32,50,28,35,26,10,0,0,201,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,57,65,99,65,63,52,31,11,0,441,57,65,99,65,63,52,31,11,0,441
SOS80,..,3495,3392,582,361,456,271,90,42,8682,..,1026,3755,2782,2851,4093,4793,3679,1764,24753,403,834,749,362,295,355,314,182,52,3541,38625,25877,36845,33478,27150,22208,17709,9587,3165,214640,..,955,23997,41057,32763,25793,20709,10123,2047,157452,..,4657,17556,8693,5800,3442,1560,421,57,42184,..,231,1770,4237,5240,2848,1146,705,438,16614,78958,..,..,..,..,..,..,..,..,78958,..,20533,..,..,..,..,..,..,..,20533,..,11267,6206,1878,1163,538,113,4,0,21169,..,2212,2277,678,596,1031,1107,757,353,9011,..,2097,3515,753,342,236,85,26,11,7068,..,6652,8267,1745,1011,986,558,180,61,19474,..,1924,7720,6031,5906,7090,7188,5030,2391,43282,813,1535,1514,854,656,655,545,278,85,6943,79770,52075,72813,65932,53485,42625,33010,17535,5452,422683
SOS82,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,9,5,9,0,19,0,0,0,0,0,0,0,0,0,0,62,34,20,44,47,38,29,13,3,290,..,0,20,55,71,49,47,16,0,265,..,5,12,20,13,6,0,0,0,51,..,0,6,3,12,3,0,0,0,22,126,..,..,..,..,..,..,..,..,126,..,38,..,..,..,..,..,..,..,38,..,23,15,0,3,0,0,0,0,44,..,0,0,4,0,0,0,5,0,8,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,9,8,7,4,28,0,0,0,0,0,0,0,0,0,3,126,69,49,95,98,65,49,26,6,586
SOS83,..,0,0,0,0,0,0,0,0,5,..,0,5,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,34,27,40,24,29,32,15,3,5,205,..,0,22,24,30,39,25,7,3,145,..,3,23,14,5,0,6,0,0,51,..,0,4,9,3,4,0,0,0,19,84,..,..,..,..,..,..,..,..,84,..,19,..,..,..,..,..,..,..,19,..,12,6,0,4,0,0,0,0,21,..,10,0,0,0,0,3,0,0,12,..,3,8,0,5,0,0,0,0,16,..,4,3,0,0,3,0,0,0,13,..,4,0,0,3,3,5,0,0,28,0,0,4,0,3,0,0,0,0,10,84,53,75,47,52,56,39,8,4,419
SOS87,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,14,38,24,17,10,20,3,7,0,132,14,38,24,17,10,20,3,7,0,132,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,18,59,57,41,32,23,19,3,0,263,18,59,57,41,32,23,19,3,0,263
SOS91,..,0,3,0,0,0,0,0,0,5,..,0,3,4,7,7,15,0,0,40,0,0,0,0,0,6,5,0,0,21,116,39,58,92,77,63,37,9,0,502,..,0,58,103,94,78,68,10,3,423,..,7,26,10,22,16,8,0,0,89,..,0,3,3,15,7,3,0,0,34,238,..,..,..,..,..,..,..,..,238,..,34,..,..,..,..,..,..,..,34,..,23,16,6,6,0,0,0,0,48,..,0,0,3,0,0,6,4,0,15,..,0,0,0,0,0,0,0,0,0,..,0,3,5,0,0,0,0,0,11,..,3,20,14,19,30,38,5,0,121,0,0,4,3,4,14,11,4,0,37,238,82,133,152,153,147,122,22,4,1053
SOS92,..,7,6,0,4,4,0,0,0,17,..,5,14,9,15,45,48,31,14,183,3,10,0,6,0,7,6,4,0,41,173,89,85,135,130,215,147,73,21,1076,..,10,59,132,116,222,159,75,13,782,..,14,42,47,51,59,22,4,0,239,..,4,8,22,34,9,3,5,3,78,359,..,..,..,..,..,..,..,..,359,..,45,..,..,..,..,..,..,..,45,..,65,12,14,0,0,0,0,0,97,..,16,5,5,6,7,4,5,9,50,..,3,0,0,0,0,0,0,0,6,..,7,8,3,5,11,3,0,0,38,..,10,24,21,31,93,63,44,16,300,11,8,3,11,4,10,10,7,0,69,371,180,156,257,245,408,267,139,43,2060
SOS93,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,8,5,11,6,40,0,3,0,5,0,0,6,0,0,18,40,30,30,25,50,45,43,29,3,289,..,0,12,27,43,32,40,24,0,191,..,3,11,12,15,15,5,0,0,56,..,0,4,8,8,5,5,7,0,23,99,..,..,..,..,..,..,..,..,99,..,16,..,..,..,..,..,..,..,16,..,16,6,8,6,3,0,0,0,40,..,5,11,5,6,7,4,0,0,41,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,6,..,3,0,0,14,15,21,15,3,71,5,3,5,5,0,4,9,0,0,35,97,54,45,55,92,78,84,59,13,576
SOS97,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
