SOS_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,3560,8205,20392,18791,17537,13029,3724,525,26,85789,3873,11957,34319,30952,23999,16283,4753,1063,244,127438,113196,248737,651915,635529,534916,375240,101583,12535,1043,2674698
SOS11,1667,2858,6410,5286,5063,4095,1346,217,25,26963,1749,2571,5723,5205,4985,4082,1461,500,137,26414,44433,58283,141430,135847,136267,116899,33727,4367,425,671681
SOS12,158,266,472,469,573,453,166,8,0,2564,197,203,462,508,589,529,221,42,15,2767,3955,4511,10222,12044,14285,13237,3861,508,48,62678
SOS13,853,946,1644,1785,2223,1891,573,70,3,9992,912,893,1620,1951,2650,2351,1064,478,81,11997,17786,18723,36665,47243,63617,59369,23286,5252,658,272591
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
SOS20,2323,8044,21244,18593,16939,12279,3517,498,41,83464,3385,10913,31340,27468,22197,15168,4329,951,223,115979,106152,234410,624358,582336,486105,334795,89813,10781,837,2469590
SOS21,803,1772,4154,3502,3226,2644,920,130,8,17153,908,1531,3962,3689,3631,2777,986,279,88,17845,26359,36573,94473,92798,90250,75121,21300,2533,246,439658
SOS22,81,139,327,294,312,300,92,12,0,1550,106,138,295,292,392,341,132,50,10,1746,2253,2753,7025,7891,9181,8938,2720,335,24,41112
SOS23,481,675,1286,1341,1673,1519,520,58,0,7549,647,684,1210,1457,2060,1897,919,427,71,9381,12922,14329,28255,36121,48723,47196,18600,4083,499,210724
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
SOS29,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
SOS30,3292,7664,17207,15021,13420,9177,2626,354,19,68775,3794,8425,19497,18201,14975,9828,2886,662,150,78424,105394,176653,405169,401030,368172,251454,64670,7211,504,1780257
SOS31,1141,1934,4024,3394,3137,2420,731,85,3,16867,1226,1765,3854,3475,3360,2496,822,252,77,17326,27635,34941,83100,82914,83335,67038,17070,1977,188,398196
SOS32,130,208,432,401,421,385,124,14,0,2122,200,183,486,492,556,557,208,49,6,2745,3268,3881,9195,10631,12647,11892,3257,427,31,55220
SOS33,714,704,1332,1523,1660,1475,440,53,0,7906,790,763,1384,1732,2330,1916,820,383,73,10202,13632,13696,28978,38205,49722,44064,15140,3367,359,207163
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29
SOS39,6,7,27,20,14,6,6,0,0,95,6,23,47,49,40,28,3,0,0,194,128,325,1027,644,497,464,118,7,0,3219
SOS40,875,2500,5800,4875,4832,3660,1147,160,10,23860,732,2082,4695,4333,3767,2732,860,270,73,19542,30286,58715,138940,132731,119963,92447,23689,2698,226,599698
