SOS_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS10,1418432,1481190,2899619,146772,150855,297627,678245,699542,1377788,14493,14388,28882,18290,18508,36798,4310,4312,8619,6514,6149,12662,1270,1335,2603,1777,1584,3361,6227,6348,12580,66,62,132,731189,752235,1483425,197923,202546,400463,19987,17461,37455,1095872,1123096,2218970,148717,145199,293910,2663021,2749479,5412505
SOS11,376627,399545,776168,84212,93961,178171,148471,164874,313342,10288,11104,21397,10990,12234,23220,1608,1685,3292,2048,2134,4177,705,808,1518,1141,1168,2309,4139,4485,8625,50,43,90,179432,198538,377969,16628,17705,34339,6185,5776,11963,286453,315983,602439,58728,55187,113915,721810,770710,1492519
SOS12,40851,40463,81309,5776,6113,11892,14179,14653,28832,660,730,1395,983,1069,2051,99,108,214,191,196,388,45,60,108,91,102,192,485,505,992,7,7,20,16750,17438,34188,766,849,1616,420,354,778,23719,24753,48466,5868,5529,11395,70429,70742,141169
SOS13,174703,162975,337678,17615,17059,34675,48163,47933,96095,2367,2384,4749,3937,3953,7884,389,398,782,654,598,1252,182,142,326,389,382,778,1910,1924,3831,4,0,5,58002,57706,115707,2850,3208,6060,1400,1146,2545,79865,79123,158990,27510,22823,50336,282081,264916,546997
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,761,424,1186,221,160,382,1929,1707,3632,110,138,249,225,214,438,30,35,62,37,47,83,14,16,31,19,16,38,33,33,65,0,0,0,2400,2195,4597,373,438,814,56,35,95,3046,2835,5882,2307,1536,3835,6115,4793,10906
SOS20,1225277,1294369,2519646,106831,111177,218011,24002,25120,49124,593192,614114,1207296,15454,16588,32044,7604,8010,15615,9216,9144,18362,3374,3605,6978,2618,2553,5172,3224,3430,6661,24,18,49,658707,682582,1341293,169243,173202,342449,15197,13280,28475,949972,980243,1930218,116918,113628,230544,2292167,2388242,4680410
SOS21,242328,255882,498215,50723,56026,106750,6598,7216,13811,99654,108343,207998,3601,3934,7532,1555,1745,3301,1427,1404,2831,694,794,1480,849,894,1739,458,451,916,10,3,13,114839,124780,239617,10972,12139,23107,3165,2936,6096,179694,195881,375571,32139,32992,65131,454164,484760,938920
SOS22,26166,25837,52004,3420,3443,6859,537,576,1118,9418,9780,19198,321,368,689,174,168,338,133,122,248,79,76,154,76,69,153,47,53,98,0,0,0,10790,11222,22009,602,639,1248,239,225,468,15047,15534,30581,3787,3627,7414,45000,44994,89997
SOS23,133903,125007,258912,11951,11483,23436,2191,2264,4451,36443,36493,72931,1316,1258,2572,621,597,1220,527,499,1029,210,215,432,337,318,661,149,123,269,0,0,0,41803,41771,83570,2302,2380,4682,862,632,1491,56914,56263,113184,21158,16298,37458,211981,197573,409552
SOS27,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,7,0,9,24,3,27,36,6,38
