SOS_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,8,10,13,0,0,3,4,0,44,37,109,287,131,99,96,9,6,0,771,0,5,38,9,13,10,5,0,0,76,0,0,0,0,0,5,0,0,0,6,7,15,32,27,22,13,3,0,0,120,0,0,4,7,7,4,0,0,0,22,3,22,63,31,36,19,6,0,0,190,3,4,10,14,10,7,0,0,0,39,12,20,37,24,16,17,6,0,0,126,24,47,80,15,10,16,8,3,0,202,0,4,31,19,22,16,8,0,0,108,0,0,9,9,5,0,0,0,0,25,0,3,20,19,5,0,0,0,0,53,0,3,11,3,0,5,0,0,0,23,0,3,35,26,11,23,6,0,0,99,0,3,26,20,10,13,8,0,0,74,14,22,32,15,11,13,3,0,0,115,0,9,23,20,21,13,4,0,0,97,0,20,71,37,33,44,3,0,0,205,3,3,21,14,4,0,0,0,0,46
SOS30,1665,3264,7733,7099,5743,3628,1091,271,67,30564,56013,89105,200351,197715,184331,122807,28154,2466,161,881114,424,990,2549,1995,2032,1598,703,207,18,10519,81,792,4562,6397,5321,2868,511,53,4,20586,3827,8159,19958,22978,23063,16656,3461,346,25,98477,231,827,3374,5443,5190,3213,551,36,0,18868,6477,15956,40548,38186,32350,20862,5168,484,26,160051,1070,3010,8280,10256,10633,7434,1871,197,8,42760,25028,28369,36252,27350,25428,18798,5162,548,32,166968,41695,22932,26796,16537,12534,8073,2234,265,20,131083,1329,5431,17475,19563,19613,16547,4723,481,21,85176,676,2208,4997,4937,4166,2404,560,67,7,20017,408,3673,13069,15679,12847,6647,1588,242,30,54184,646,2515,7110,7834,7507,5631,2433,530,48,34252,1618,11609,35951,37595,29193,16635,5860,747,20,139224,1669,5859,14672,13812,13197,9391,2663,265,4,61537,955,7459,24634,28758,29559,18363,3435,237,13,113414,3983,10936,30728,38563,40682,27636,6428,537,25,159519,4907,25120,70174,65896,61385,46364,10782,793,23,285445,3280,4729,7325,6024,5080,3317,1031,166,15,30982
SOS31,513,634,1431,1337,1319,927,320,120,37,6633,14032,17067,40564,41422,42037,32444,7388,720,71,195748,562,1220,3691,2353,2195,1995,904,268,37,13230,368,1634,5944,6516,5715,3625,517,19,0,24339,1357,2361,5731,5738,5618,4305,894,75,3,26079,143,404,1276,1500,1487,1272,186,18,0,6283,1858,3600,8251,7714,6865,5497,1352,113,8,35252,392,788,1882,2075,2097,1717,399,53,5,9414,7315,4702,7407,6527,6710,5416,1432,155,15,39687,9237,4074,5538,3957,3574,2988,836,101,8,30320,375,935,3109,3719,4567,4481,1430,162,4,18788,103,226,458,428,409,322,91,19,0,2062,80,369,1181,1247,1223,783,189,22,7,5093,145,426,970,1071,1160,1032,451,98,15,5367,371,1172,3135,3328,2957,2250,858,110,3,14181,414,1111,2788,2667,3000,2390,640,55,4,13064,241,1154,4266,5262,5924,4640,864,58,5,22408,624,1960,6342,8554,9083,6691,1617,138,5,35009,1185,4736,12574,12711,13640,12189,2664,152,3,59866,479,370,691,671,610,514,187,35,5,3564
SOS32,77,62,193,202,227,228,80,21,6,1107,1631,1822,4480,5369,6354,5667,1333,143,13,26810,126,267,557,519,553,562,245,65,8,2909,29,144,466,642,578,465,89,7,0,2427,170,278,568,641,735,737,161,24,0,3319,15,45,120,177,200,199,40,0,0,791,285,423,1060,1089,1161,1081,240,26,0,5377,47,61,167,205,262,234,62,9,0,1044,822,463,741,733,975,946,297,41,3,5000,908,380,554,497,627,597,193,37,0,3788,49,101,355,454,704,823,273,23,0,2792,6,22,40,58,58,59,19,6,0,275,4,27,108,155,173,95,17,8,0,611,18,40,84,115,154,136,82,13,0,643,38,117,343,433,437,357,148,31,0,1906,64,102,259,332,467,405,115,20,0,1746,65,206,787,1017,1242,1073,212,11,3,4620,86,311,806,1153,1290,1119,243,15,0,5033,146,430,1149,1394,1888,1953,433,20,0,7412,61,62,102,114,166,94,44,8,0,650
SOS33,335,261,574,750,960,786,320,142,32,4151,6694,6223,13743,18862,24421,20142,5969,1092,93,97228,1283,1947,4632,5293,6988,7784,5311,1988,244,35461,105,371,1451,2118,2222,1530,229,17,0,8044,778,1034,1737,2213,3052,2707,644,100,5,12265,52,135,399,652,817,653,123,8,0,2838,1236,1636,3560,4508,5106,4109,994,77,0,21233,257,290,631,823,1171,975,265,60,0,4468,2894,1441,1859,2081,3023,2520,686,89,8,14597,3401,1078,1292,1150,1427,1355,461,60,6,10235,216,325,997,1548,2449,2480,834,82,4,8929,53,72,129,204,266,196,65,10,0,994,44,130,421,583,698,490,126,11,0,2504,64,135,339,457,670,603,272,67,0,2620,255,531,1259,1920,2243,1740,598,87,3,8636,209,379,752,1029,1368,1268,349,32,4,5381,157,477,1347,2003,2898,2425,452,25,0,9792,353,667,1854,3702,4825,3889,942,76,3,16309,527,1373,3258,4280,6013,5539,1355,113,3,22447,239,216,363,383,487,411,165,21,4,2302
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,7,17,24,7,12,0,0,0,74,69,169,518,272,232,210,41,3,0,1512,0,48,173,19,19,32,8,0,0,300,0,5,22,30,21,10,0,0,0,89,3,14,39,41,31,21,0,0,0,147,0,0,18,9,6,5,0,0,0,44,9,29,89,79,52,54,13,0,0,319,0,0,19,3,9,4,0,0,0,48,25,41,50,48,21,29,0,0,0,216,54,64,175,51,44,36,7,0,0,434,3,9,35,37,42,43,8,3,0,181,4,5,10,9,8,5,0,0,0,37,0,3,12,11,6,6,0,0,0,41,0,4,11,6,9,9,8,0,0,43,0,5,45,47,25,36,16,0,0,171,7,8,68,36,32,28,7,0,0,194,5,12,35,37,24,21,7,0,0,134,4,7,38,38,27,27,8,0,0,149,4,33,93,68,62,66,13,0,0,340,4,6,12,16,12,10,4,0,0,54
SOS40,335,842,1761,1580,1349,986,339,119,37,7347,16010,29270,66658,64146,59258,45476,10540,899,81,292332,126,363,1072,1161,1217,891,351,72,17,5270,30,274,1503,1463,1204,739,136,10,0,5366,1150,2695,7941,9134,9653,7451,1645,187,9,39865,95,344,1773,2103,1966,1370,224,12,0,7886,1735,5202,13094,10850,9394,6916,1738,180,5,49123,329,935,2664,3170,3668,2755,712,94,0,14329,9205,10380,12461,9117,8485,6774,1774,219,22,58433,10775,8220,8712,5206,3731,2679,640,95,5,40060,332,1731,5502,5711,5485,5051,1262,111,4,25187,171,619,1807,2027,1446,850,212,37,0,7161,123,1233,4715,5476,4543,2777,605,90,3,19570,108,542,1636,1668,1614,1442,573,161,19,7762,338,3207,11273,11667,8470,5609,2166,288,22,43046,486,2271,5686,4837,4822,4004,1085,97,6,23294,261,2382,8829,11362,10708,7821,1339,59,0,42771,1132,3940,11354,12865,12154,9670,2543,180,8,53842,1203,8332,26149,24070,21486,18343,4348,318,10,104256,1098,1456,2263,1629,1302,923,339,57,6,9075
SOS41,120,147,323,349,342,296,123,68,6,1779,4805,6049,13851,14333,16048,13113,3126,356,28,71715,226,553,1353,1214,1275,1199,715,225,31,6780,32,223,1036,989,854,585,86,13,0,3810,599,1165,2631,2844,3201,2580,492,51,0,13558,24,97,412,387,444,377,86,3,0,1832,592,1306,2997,2581,2470,2025,578,62,0,12607,117,222,551,657,806,693,196,15,0,3265,2755,1976,2902,2457,2672,2333,625,59,0,15774,3130,1500,1777,1340,1295,1111,274,30,0,10467,94,273,846,974,1303,1464,490,64,5,5512,45,89,221,233,203,177,49,4,0,1019,32,143,460,627,652,399,85,28,0,2429,26,110,301,300,351,341,130,19,3,1583,73,356,1074,1326,1391,965,418,63,4,5678,111,407,1017,1025,1270,1256,346,28,3,5465,66,407,1607,2023,2404,1767,337,15,0,8626,230,777,2621,2949,3102,2344,665,53,0,12748,373,1644,4442,4363,5240,5183,1143,59,0,22456,170,174,312,293,291,251,86,9,0,1594
SOS42,17,18,56,54,70,71,25,11,4,327,576,691,1741,1864,2288,2369,609,67,8,10214,78,155,420,374,386,442,301,85,14,2242,6,21,79,107,118,104,19,0,0,458,74,127,260,281,371,369,82,9,0,1569,4,7,55,54,73,73,13,3,0,279,94,177,413,376,430,400,93,5,0,1990,17,26,99,110,119,158,42,3,0,567,303,184,276,285,367,363,120,10,0,1909,316,176,199,178,242,248,69,12,0,1444,9,44,117,160,227,305,117,9,3,999,3,11,21,21,13,15,6,0,0,94,8,18,44,58,65,56,13,3,0,259,4,10,21,33,41,34,16,5,0,156,12,33,116,118,125,129,56,9,0,603,23,50,122,141,212,214,66,13,0,842,10,36,170,273,306,304,57,9,0,1164,39,124,376,435,432,404,132,7,0,1944,45,132,451,461,661,827,185,7,0,2760,25,27,46,46,47,41,18,5,0,250
SOS43,84,62,124,173,223,227,124,43,4,1062,2108,2142,4429,6222,8070,7427,2397,413,44,33245,562,866,2011,2772,3543,4008,2645,811,88,17310,19,71,290,321,312,243,35,5,0,1307,318,377,724,989,1381,1203,367,42,3,5413,13,38,116,170,230,199,40,5,0,817,321,530,928,1141,1300,1294,317,20,4,5857,81,110,219,296,408,361,114,21,0,1606,982,529,631,712,999,881,247,25,0,5011,1044,417,414,364,490,550,155,18,0,3455,46,116,282,425,747,820,248,34,3,2725,17,24,43,82,63,64,27,4,0,312,14,37,113,226,271,148,41,6,0,853,11,23,73,102,148,153,65,12,0,595,54,150,403,606,633,565,225,36,0,2671,55,110,275,319,526,512,153,19,0,1975,53,143,436,705,964,788,139,6,0,3237,109,283,717,1180,1444,1214,380,35,0,5370,146,482,1079,1336,1999,2148,471,28,0,7680,74,74,103,135,157,178,67,18,0,809
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,6,0,0,0,7,0,0,0,11,18,31,97,63,45,47,14,0,0,311,0,4,15,4,9,3,0,0,0,30,0,0,8,5,4,4,0,0,0,19,0,6,7,11,5,3,0,0,0,37,0,0,3,0,3,0,0,0,0,11,3,4,13,17,14,8,8,0,0,69,0,0,0,4,0,0,0,0,0,8,4,3,21,7,3,8,0,0,0,54,18,6,14,4,13,5,0,0,0,62,0,5,10,16,12,12,3,0,0,51,0,0,5,3,0,0,0,0,0,4,0,0,7,0,4,4,0,0,0,11,0,0,3,0,0,0,0,0,0,12,0,0,12,19,3,7,3,0,0,46,9,4,16,10,13,11,3,0,0,62,0,4,9,9,9,6,0,0,0,36,0,0,8,11,7,8,0,0,0,28,0,7,35,16,13,18,5,0,0,99,0,0,4,0,0,0,0,0,0,7
SOS50,886,1719,4248,4173,3418,2220,682,180,39,17565,28619,47486,111712,111734,101583,72375,17809,1540,99,492968,232,442,1208,1229,1249,1043,519,155,10,6094,420,3435,17231,19762,15674,8838,1542,99,5,67009,2049,3899,10514,12649,12598,9498,2254,252,10,53721,150,512,2403,3179,2772,1934,371,18,0,11339,3060,7679,22444,22471,18021,12915,3034,240,13,89882,681,1805,5360,6365,6126,4395,1124,135,11,25998,14302,16543,18641,14556,13363,10584,3127,328,24,91461,19645,12887,13581,8944,6065,4208,1123,106,9,66560,865,3047,9689,10749,10136,8885,2655,235,9,46273,421,901,2166,2164,1702,1118,311,55,0,8833,162,1283,5796,7273,6133,3640,995,157,12,25457,225,985,3065,3420,3358,2613,1224,274,27,15190,657,5699,20050,23034,17064,10355,3684,510,30,81083,903,3024,7659,7312,6396,5073,1552,173,10,32112,535,3302,12700,15195,14920,11603,2646,228,10,61143,2293,5695,16926,20578,22556,17448,4775,389,15,90677,2100,11949,35037,33905,30987,24671,6689,505,15,145863,2300,2818,4195,3406,2590,1865,725,122,8,18023
SOS51,199,253,534,619,550,388,144,41,5,2745,5746,6393,17368,19243,18800,13904,3403,313,14,85191,224,394,1028,856,854,817,524,151,19,4858,288,1212,4821,5684,4623,2842,409,17,0,19899,522,854,2216,2390,2101,1465,342,39,4,9929,67,147,503,668,666,591,98,3,0,2746,799,1485,3779,3616,3173,2674,709,52,0,16289,158,304,777,839,872,643,152,23,0,3769,2941,1793,2958,2937,2964,2495,669,80,6,16845,3541,1415,2439,2096,1672,1274,394,46,0,12882,187,455,1436,1645,2087,2018,686,58,4,8578,89,98,212,180,135,123,47,6,0,882,28,117,393,465,462,316,83,8,0,1879,60,189,503,471,555,415,170,36,3,2393,127,337,1238,1421,1254,931,372,41,6,5733,176,374,1087,1255,1270,1016,269,34,0,5480,170,487,1880,2422,2657,2114,508,26,0,10265,235,691,2768,3777,4224,3072,743,61,0,15581,524,1506,4754,5162,5252,4624,1174,73,3,23078,224,143,364,366,321,259,87,19,0,1782
SOS52,26,35,75,78,79,82,37,12,6,425,521,719,1967,2121,2355,2232,619,88,4,10624,87,143,423,311,294,327,240,74,3,1905,28,139,545,602,550,449,78,3,0,2394,72,97,225,265,273,186,47,6,0,1176,6,14,34,53,77,73,20,0,0,279,80,126,301,341,337,403,110,9,0,1702,16,71,140,110,124,105,32,3,0,601,186,155,269,242,326,327,100,10,0,1620,245,157,297,233,247,288,96,17,0,1592,15,43,125,166,226,352,157,22,0,1105,3,7,10,24,19,12,3,0,0,78,0,8,20,39,43,28,8,4,0,154,0,9,30,30,34,40,15,0,0,174,10,25,81,91,93,110,52,3,0,470,21,50,107,129,177,163,50,5,0,710,28,98,327,363,536,495,126,15,0,1998,38,118,440,496,531,502,141,8,0,2257,59,113,376,467,525,601,138,10,0,2279,25,23,49,39,64,59,16,0,0,281
SOS53,83,82,160,240,325,290,133,50,0,1368,2027,2139,4769,6690,8680,7890,2551,433,27,35194,460,823,2106,2713,3413,3719,2454,848,115,16645,118,572,1776,2092,2156,1494,238,13,0,8460,257,258,484,694,957,895,287,50,5,3897,12,27,79,164,202,211,56,5,0,755,329,516,1059,1441,1645,1564,416,34,3,7014,116,140,273,329,418,414,128,18,0,1833,825,505,498,585,960,900,280,33,0,4603,1008,365,578,487,614,627,258,36,6,3971,50,90,311,462,827,882,374,42,0,3038,11,14,40,58,62,58,23,0,0,272,12,38,118,172,196,164,43,9,0,744,27,40,107,144,199,217,99,15,0,858,46,153,378,586,662,608,262,41,0,2736,65,131,290,337,495,434,154,23,0,1921,83,306,542,672,1075,1023,224,24,0,3944,110,234,670,1248,1668,1499,385,15,0,5830,119,325,808,1143,1642,1661,457,44,0,6196,97,106,169,166,208,194,79,16,0,1032
SOS57,0,0,0,0,0,0,0,0,0,5,0,5,8,9,5,0,0,0,0,29,3,4,12,9,3,0,0,0,0,41,0,0,9,34,19,12,0,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,0,13,16,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,5,10,12,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,14,6,4,7,0,0,0,30,33,84,234,138,91,102,18,0,0,715,0,16,43,9,8,14,0,0,0,101,0,14,56,41,48,30,0,0,0,188,3,0,27,18,7,7,0,0,0,67,0,0,6,0,5,0,0,0,0,12,4,7,47,43,39,16,3,0,0,168,0,5,6,3,7,0,0,0,0,22,3,17,28,10,9,10,6,0,0,88,22,42,91,23,27,25,0,0,0,231,6,13,21,15,14,15,0,0,0,88,0,6,8,0,0,0,0,0,0,17,0,0,6,7,5,0,0,0,0,16,0,0,0,0,3,5,0,0,0,9,0,9,28,38,9,7,0,0,0,92,0,14,26,19,3,7,3,0,0,62,5,3,17,23,14,14,5,0,0,66,0,7,15,13,11,10,3,0,0,69,4,16,38,38,25,31,3,0,0,157,3,3,9,3,0,3,0,0,0,25
SOS60,46,88,309,149,152,123,40,20,6,925,2250,4201,12470,9969,9285,7211,1773,162,14,47332,30,115,548,308,263,170,68,21,0,1519,0,17,52,50,55,35,12,0,0,212,207,377,1180,956,886,719,177,19,0,4517,5,82,506,608,514,286,51,6,0,2055,307,815,1976,1487,1152,960,253,30,0,6991,31,105,389,330,348,247,85,14,0,1551,1094,1480,2621,1435,1128,954,310,37,0,9060,1413,1270,2945,1143,651,399,156,20,0,7994,39,170,900,620,573,625,179,16,0,3123,35,94,337,323,262,195,54,0,0,1303,19,100,582,607,494,292,81,13,0,2193,12,91,258,194,244,174,98,30,0,1104,64,374,1747,1562,1256,872,359,48,0,6274,64,216,759,551,518,443,134,13,0,2704,70,407,1907,2446,2722,1782,332,20,0,9690,197,561,2228,2339,2431,1854,493,24,0,10136,133,1261,4756,3440,3185,2915,683,53,5,16439,241,234,520,394,373,295,129,14,4,2217
SOS61,74,102,208,183,201,141,70,28,9,1007,2919,4389,10376,9338,10115,8291,1885,153,15,47477,110,349,1014,711,627,494,184,43,4,3541,11,72,287,320,330,244,42,3,0,1300,299,576,1633,1397,1577,1342,246,17,4,7086,13,48,290,334,348,276,45,0,0,1347,497,1090,2294,1538,1398,1290,307,30,0,8449,79,223,542,525,638,518,130,17,0,2669,1529,1407,2232,1699,1754,1455,417,31,0,10519,1838,1150,1681,898,802,672,173,27,0,7243,75,249,836,855,1091,1111,336,43,0,4594,30,65,185,197,158,146,27,3,0,814,26,131,432,468,396,286,54,8,0,1805,18,103,228,177,201,215,77,15,0,1053,73,291,977,848,714,579,239,37,0,3749,66,224,582,592,673,536,142,17,0,2829,48,246,963,1193,1399,1093,196,9,0,5140,109,451,1512,2055,2219,1740,442,39,4,8569,201,1283,4183,3391,3637,3485,787,42,0,17012,148,130,278,212,243,228,67,11,0,1315
SOS62,4,12,24,41,43,32,12,8,4,174,343,394,1126,1225,1480,1446,349,32,4,6395,35,77,225,204,209,214,78,20,0,1057,4,17,89,83,77,74,21,0,0,376,62,65,175,201,187,198,46,3,0,943,3,15,47,55,55,45,12,0,0,225,59,120,262,237,233,246,72,14,0,1251,14,22,59,58,62,63,17,3,0,300,165,112,186,170,256,212,61,12,0,1173,167,106,241,168,181,227,58,4,0,1151,6,24,62,86,110,170,54,8,0,523,0,7,13,23,25,11,6,0,0,89,0,9,28,38,33,36,10,0,0,151,6,7,31,13,35,35,13,3,0,148,0,29,91,110,154,136,60,9,0,594,12,23,83,84,103,118,30,4,0,453,8,26,100,191,238,188,43,9,0,799,23,49,189,291,322,278,67,4,0,1216,19,97,272,317,430,466,119,7,3,1729,21,19,33,44,47,45,23,0,0,225
SOS63,38,30,89,111,140,129,54,31,0,620,1298,1522,3623,4836,5815,5201,1262,187,10,23755,257,457,1235,1184,1385,1507,918,313,34,7288,5,30,139,180,191,169,39,5,0,760,156,250,574,726,879,825,194,21,3,3635,6,15,118,195,232,211,40,4,0,826,329,451,954,1042,1061,977,264,16,0,5100,57,80,160,240,306,271,75,5,0,1203,579,414,523,564,766,624,158,16,0,3647,710,319,502,422,463,452,159,20,0,3049,27,84,250,354,549,657,159,22,0,2104,11,16,49,69,88,87,32,0,0,356,6,32,109,160,146,112,26,7,0,594,16,31,75,93,118,108,59,10,6,506,50,102,320,512,557,485,211,37,0,2273,41,79,193,296,370,344,77,9,0,1396,18,95,381,623,893,767,129,7,0,2912,70,151,523,1010,1127,1007,231,8,0,4134,73,340,970,1279,1729,1773,335,17,0,6511,78,58,116,158,174,197,61,12,0,853
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
