SOS_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOS41,1921,5562,10259,9019,8863,6350,6139,3071,806,51988,821,1591,3761,3593,4974,6334,4524,1577,361,27539,523,859,2939,3126,3491,5194,5260,2966,781,25136,150,129,570,763,956,1556,1789,1358,483,7761,59,64,240,316,321,723,1770,2358,1142,6996,13,24,91,121,127,115,86,97,44,719,478,547,1251,1234,1318,1344,1312,1157,573,9204,3968,8783,19098,18171,20050,21612,20888,12584,4182,129339,2143,6177,13051,12226,11614,8116,6127,2943,930,63330,453,1027,2567,2927,4862,6940,5089,1795,495,26147,296,510,1925,2185,2775,4843,6462,3991,1311,24299,96,86,377,503,624,1258,1812,1734,777,7263,37,34,147,180,237,513,1526,2499,1936,7119,8,11,64,68,96,89,90,109,63,599,426,408,1071,997,1083,1162,1459,1560,975,9141,3455,8254,19210,19074,21293,22912,22577,14630,6488,137897,4066,11742,23312,21244,20476,14465,12266,6014,1743,115318,1272,2616,6327,6519,9838,13273,9615,3366,856,53683,820,1371,4861,5307,6264,10037,11728,6956,2089,49433,247,221,952,1266,1580,2813,3601,3096,1257,15025
SOS42,250,652,1167,1096,1077,991,973,411,84,6711,122,218,514,529,861,1231,875,219,55,4619,97,115,402,481,632,1032,1064,496,119,4436,39,26,94,111,163,339,385,226,68,1464,15,13,49,60,83,143,411,423,214,1411,0,4,3,6,8,16,14,11,10,69,86,94,207,241,295,364,380,229,98,2000,605,1119,2443,2515,3123,4121,4097,2028,644,20704,264,728,1653,1611,1588,1329,995,371,110,8653,66,135,366,388,712,1324,893,266,62,4213,46,58,268,320,426,843,1030,567,179,3725,25,13,69,69,120,218,298,249,95,1148,9,11,25,41,37,94,254,354,312,1129,0,0,8,12,9,8,19,10,11,70,89,81,177,188,259,313,334,260,187,1879,490,1030,2552,2625,3146,4137,3821,2066,949,20824,512,1372,2821,2712,2669,2324,1972,785,192,15361,186,357,874,915,1567,2561,1771,487,116,8829,138,175,668,800,1057,1876,2087,1068,300,8168,67,43,163,175,288,561,682,478,166,2606
SOS43,969,2308,3395,3823,4641,3830,3326,1117,154,23562,385,556,1291,1610,2671,3720,2192,531,59,13011,254,335,1038,1530,2080,3210,2529,1049,166,12188,63,44,217,317,475,979,948,513,103,3661,18,28,86,116,185,400,921,890,262,2901,8,5,15,35,37,42,53,34,14,239,301,302,631,678,876,1029,868,499,112,5291,1994,3573,6663,8114,10959,13222,10835,4624,878,60857,1083,2342,4422,5509,6012,4695,2887,875,134,27949,140,225,646,1027,2189,3429,2003,489,74,10217,111,106,485,728,1173,2232,2309,870,142,8163,33,31,75,135,241,511,575,364,87,2049,9,6,38,69,116,192,511,579,253,1785,0,4,3,17,28,39,38,33,22,194,277,191,433,483,703,813,742,399,144,4194,1658,2906,6107,7967,10470,11911,9063,3608,861,54548,2046,4648,7812,9332,10652,8525,6210,1990,292,51513,526,775,1933,2638,4865,7144,4193,1020,135,23227,369,447,1525,2257,3255,5436,4835,1920,306,20352,96,74,291,457,718,1488,1519,872,190,5711
SOS47,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,10,35,117,73,69,63,47,6,0,429,13,23,48,31,57,53,44,6,0,271,3,14,41,55,47,59,46,15,6,287,0,7,17,14,13,19,14,8,0,105,6,7,4,15,12,6,18,3,0,64,0,0,0,0,3,3,3,0,6,10,14,17,94,91,97,105,48,5,0,475,50,110,320,289,299,310,214,40,7,1638,10,45,126,71,58,51,35,3,0,414,12,15,45,39,26,47,27,4,0,208,7,15,35,32,33,53,42,11,3,237,4,0,11,11,10,17,9,0,0,67,6,0,8,5,5,0,7,4,0,34,0,0,0,0,0,3,0,0,0,6,18,16,75,90,43,31,18,6,3,297,61,94,305,245,178,193,141,26,10,1258,23,82,247,146,137,113,85,9,0,840,24,39,84,75,86,101,68,7,0,483,17,30,79,84,85,113,84,25,3,520,6,5,34,30,24,35,28,8,0,169
SOS50,17597,50564,102386,102342,78221,56410,41889,18584,4731,472717,2680,4442,12331,12661,12838,10758,5904,2632,583,64827,3344,5118,16564,18147,25522,30740,24303,11288,2983,138017,958,706,1995,2504,3050,4072,4929,3934,1530,23681,241,268,862,1262,1517,2256,3978,4997,2659,18034,49,146,701,875,991,922,786,618,352,5424,2137,3450,9999,9352,8053,6392,4856,4106,2532,50871,27009,64684,144835,147143,130190,111552,86638,46156,15371,773574,18410,52579,118404,116193,87137,62291,39934,17303,5575,517827,1722,3254,9526,9903,12902,13882,7997,3348,958,63500,2489,3908,12535,14047,22797,29589,30962,15610,5676,137615,703,505,1366,1900,2388,3631,5455,4743,2551,23248,201,179,770,1319,1793,2579,4858,5971,4293,21978,44,88,616,987,1103,1239,1089,928,791,6880,2007,2900,7612,6248,5186,4735,5238,5396,4697,44024,25574,63425,150840,150593,133310,117957,95534,53298,24536,815069,36004,103147,220792,218537,165355,118698,81822,35887,10302,990545,4406,7699,21853,22561,25740,24635,13899,5983,1543,128318,5834,9026,29097,32192,48322,60333,55266,26893,8666,275632,1657,1210,3359,4408,5440,7710,10388,8675,4080,46927
SOS51,2171,5610,12464,12421,10007,7303,5721,2409,590,58697,990,1319,3215,3374,3353,2613,1412,540,120,16932,1219,1575,5079,5745,7345,8928,6593,2693,553,39724,318,226,627,750,919,1391,1574,1155,350,7325,83,79,217,245,367,610,1139,1385,703,4831,18,25,117,125,136,130,109,91,63,805,999,1054,2960,2882,2785,2409,1654,1116,534,16387,5794,9879,24683,25544,24917,23373,18201,9387,2907,144693,2379,6136,16511,16330,12524,8861,5661,2485,773,71664,584,830,2651,2867,3366,3570,2067,695,166,16791,818,1206,3528,4257,6194,7663,7136,3235,1041,35068,249,177,413,506,641,945,1336,1108,534,5916,63,51,129,220,286,463,884,1317,879,4300,3,22,75,75,106,97,109,92,83,676,844,925,2545,2317,2082,1810,1576,1342,957,14397,4942,9345,25859,26570,25195,23410,18779,10274,4438,148811,4543,11745,28978,28751,22533,16166,11386,4896,1362,130360,1571,2146,5872,6239,6722,6178,3479,1233,289,33721,2032,2779,8610,10003,13539,16595,13731,5928,1588,74794,565,407,1040,1254,1565,2338,2917,2266,886,13244
SOS52,300,726,1480,1344,1174,1084,1048,406,93,7659,142,189,457,420,507,409,256,108,18,2501,248,282,766,882,1253,1792,1382,512,108,7207,80,47,121,148,214,315,362,199,58,1540,45,29,62,83,118,182,316,327,138,1294,4,7,17,13,21,24,26,26,11,138,149,173,441,461,577,599,461,289,85,3225,965,1446,3335,3341,3857,4401,3852,1864,498,23566,329,809,1957,1802,1467,1353,919,429,118,9175,112,169,440,469,513,591,297,114,22,2716,186,227,606,725,1117,1414,1318,512,144,6243,53,50,96,120,153,226,277,201,66,1234,35,29,61,41,65,127,225,228,136,950,5,4,8,10,13,25,32,31,13,149,138,173,393,386,411,477,401,291,147,2820,849,1460,3558,3546,3733,4218,3466,1813,636,23288,631,1541,3431,3140,2637,2441,1970,834,208,16836,258,354,895,883,1015,998,556,223,39,5214,429,505,1369,1599,2366,3203,2698,1024,247,13451,130,94,215,272,363,543,644,401,119,2776
SOS53,1083,2594,4460,5061,5368,4994,3817,1333,189,28893,326,437,995,1253,1573,1437,819,288,37,7167,477,703,2178,2622,3887,5082,3694,1243,188,20069,99,69,204,317,495,741,895,470,104,3379,34,23,102,114,199,317,629,584,197,2205,8,9,29,64,105,91,40,53,25,432,429,803,2094,2050,2099,1807,1151,534,109,11078,2456,4640,10054,11487,13721,14460,11046,4511,841,73217,1074,2181,4806,5991,6289,5659,3378,1052,199,30631,168,219,625,909,1438,1780,831,245,39,6257,243,246,872,1261,2539,3525,3003,1043,208,12939,81,34,94,124,222,435,511,355,105,1957,17,10,45,54,107,162,329,383,154,1266,3,5,12,24,27,22,33,37,16,179,353,374,853,945,1061,1075,836,442,91,6035,1944,3079,7305,9308,11681,12660,8922,3562,805,59260,2158,4771,9261,11052,11656,10648,7193,2390,389,59521,489,655,1622,2160,3008,3214,1650,535,74,13421,721,949,3051,3877,6425,8610,6697,2284,389,33008,183,102,291,441,719,1175,1400,825,202,5333
SOS57,0,9,34,47,28,19,6,0,0,139,0,0,8,16,12,3,0,0,0,38,0,0,8,27,15,10,0,0,0,59,0,0,6,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,44,72,45,20,4,0,0,197,7,25,99,157,99,55,14,0,0,453,0,9,8,9,6,0,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,0,0,0,0,20,3,11,14,11,9,3,4,0,0,61,3,13,49,54,34,18,4,0,0,173,0,0,8,16,12,3,0,0,0,38,0,0,11,27,15,13,0,0,0,61,0,0,6,0,0,0,0,0,0,16
SOS59,16,105,277,218,148,112,99,22,3,994,9,21,41,47,42,40,29,8,0,231,23,36,81,108,110,140,96,24,0,617,3,5,16,17,19,26,40,0,0,137,5,4,8,5,8,11,25,15,0,78,0,0,3,6,0,0,4,0,0,10,40,133,398,529,508,336,154,48,10,2158,94,298,821,926,842,667,444,118,14,4222,28,113,339,226,118,135,70,4,0,1030,6,17,32,34,42,56,19,0,0,205,15,16,46,49,61,117,98,9,0,410,4,10,8,14,13,12,25,0,0,90,3,0,0,5,3,0,14,4,7,36,0,3,3,3,0,3,0,0,0,14,65,106,263,281,227,158,94,21,12,1212,121,256,692,613,468,477,316,39,16,3007,42,213,616,443,261,244,168,28,3,2024,12,34,72,79,89,94,47,4,0,438,37,49,128,158,176,254,195,27,0,1024,11,11,21,29,36,39,65,0,0,225
SOS60,1167,4778,13189,8740,6062,4652,4100,1816,594,45094,318,448,1031,920,955,667,400,233,77,5056,415,651,1672,1700,3018,3856,2937,1402,402,16060,55,58,171,165,288,631,884,762,172,3184,39,30,112,131,133,256,406,550,319,1981,6,9,78,54,71,76,78,39,17,433,215,279,870,609,517,508,552,471,212,4219,2210,6246,17125,12317,11042,10650,9361,5274,1795,76029,1274,4957,13454,9700,7146,5606,4135,1832,655,48768,267,413,978,899,992,936,611,321,99,5514,245,441,1322,1559,2900,4132,3917,2155,907,17576,49,43,136,125,264,576,1159,1048,320,3725,28,33,116,102,137,220,399,629,654,2318,8,11,78,76,101,75,67,49,32,497,201,272,808,531,417,493,647,636,410,4407,2054,6163,16892,12995,11952,12043,10944,6672,3084,82804,2443,9736,26641,18436,13202,10259,8239,3650,1244,93858,582,856,2005,1826,1951,1603,1016,556,171,10567,659,1087,2999,3262,5918,7991,6854,3563,1315,33636,101,100,311,290,556,1210,2044,1809,490,6916
SOS61,1053,3858,8130,6034,4281,3470,3367,1617,436,32253,526,774,1464,1382,1047,798,591,342,74,6993,786,1214,3404,3228,5505,6612,4581,2158,479,27968,88,76,312,266,537,1258,2110,1501,290,6441,38,55,152,154,229,436,917,970,640,3593,11,20,78,83,107,93,72,44,29,542,308,381,835,701,731,762,890,784,399,5795,2812,6368,14374,11851,12447,13431,12530,7419,2362,83586,1183,4278,9219,7615,5763,4523,3468,1680,572,38310,435,653,1567,1400,1511,1254,904,351,104,8182,493,868,2716,2884,5373,6850,5777,3053,921,28939,69,66,206,181,448,1139,2287,1791,493,6672,27,33,123,145,153,352,747,974,1113,3665,3,22,70,78,107,84,60,56,26,506,272,336,726,601,639,773,1007,1103,637,6096,2489,6261,14638,12911,13979,14966,14242,9004,3878,92369,2241,8138,17346,13654,10044,7996,6833,3303,1012,70562,959,1426,3028,2792,2559,2048,1492,695,181,15173,1278,2080,6123,6117,10875,13465,10359,5215,1397,56907,164,141,517,447,985,2397,4392,3287,784,13115
SOS62,122,383,726,761,699,726,835,324,64,4642,57,95,189,200,180,147,142,50,16,1076,112,142,477,483,814,1180,786,321,53,4363,9,6,28,46,101,223,357,245,35,1045,9,4,8,16,22,72,186,182,79,586,0,0,0,8,9,0,7,5,0,33,45,57,96,94,140,177,229,131,62,1033,352,686,1526,1603,1962,2529,2535,1266,303,12769,142,367,949,1017,924,923,763,288,67,5447,48,68,194,178,208,207,161,47,8,1131,51,98,296,343,698,1104,818,361,91,3866,5,5,15,23,56,196,348,217,56,922,5,0,9,6,19,59,101,117,92,411,0,4,0,3,0,4,9,5,6,33,30,27,99,97,120,174,184,166,77,985,281,578,1571,1676,2032,2672,2381,1203,401,12793,265,751,1673,1781,1629,1651,1592,618,136,10090,104,163,384,383,387,355,302,101,25,2205,155,239,776,827,1508,2286,1610,680,144,8222,13,12,39,73,157,419,701,462,86,1964
SOS63,505,1357,2450,2837,2662,2809,2713,935,149,16415,258,291,562,692,703,583,441,135,22,3685,504,569,1646,1824,3316,4378,2656,798,103,15784,57,33,85,145,375,865,1150,617,67,3390,16,16,42,41,121,291,496,411,156,1592,4,0,15,10,14,17,22,19,13,114,186,143,393,447,537,692,648,337,96,3479,1523,2414,5178,6002,7736,9635,8129,3247,600,44455,541,1440,3143,3948,3622,3580,2371,688,105,19447,185,252,569,663,800,813,462,135,20,3888,236,280,948,1267,2666,3627,2264,773,150,12213,38,21,49,74,215,514,823,443,71,2239,15,3,11,31,41,114,245,178,133,768,8,0,8,7,11,14,0,10,9,58,151,147,360,379,450,570,516,276,88,2934,1171,2144,5084,6360,7816,9231,6686,2497,571,41555,1047,2798,5591,6787,6293,6386,5082,1624,255,35859,441,548,1127,1355,1503,1394,911,270,39,7574,738,854,2588,3093,5985,8010,4920,1563,248,27997,92,54,130,213,598,1375,1971,1058,140,5632
SOS67,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,7,26,37,25,31,22,14,0,0,162,6,8,16,5,10,7,0,0,0,54,8,21,33,31,38,36,17,7,0,180,4,0,7,5,11,6,11,3,0,46,7,4,0,6,3,3,9,7,0,34,0,0,0,0,0,0,0,0,0,3,9,8,40,34,31,31,46,4,0,201,36,71,135,99,130,104,90,18,0,678,5,29,58,40,33,27,11,3,0,214,4,4,3,10,7,7,0,0,0,33,8,12,15,22,16,37,17,3,0,123,0,0,0,3,0,4,9,0,0,29,4,0,0,3,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,10,11,22,17,21,25,7,4,127,34,53,92,97,78,98,72,13,4,543,17,49,100,65,67,50,27,7,0,371,10,13,17,18,19,14,4,5,0,91,15,31,50,50,58,64,36,8,0,309,3,0,10,10,13,14,17,3,0,69
SOS70,739,3050,7952,6155,4121,2530,1657,563,102,26863,191,414,967,851,1011,979,414,109,10,4943,249,419,1304,1304,1391,1455,886,272,39,7328,80,41,171,215,224,272,237,127,24,1385,36,21,96,128,199,227,335,244,71,1342,7,18,53,45,59,53,54,39,22,353,255,464,1207,915,806,589,398,182,67,4877,1556,4432,11745,9613,7813,6096,3986,1527,336,47092,776,2859,9299,7201,4604,2738,1481,510,87,29561,134,277,743,730,874,919,423,111,25,4236,148,238,850,884,1063,1210,893,336,63,5690,55,47,172,173,191,237,224,113,27,1234,20,7,62,130,170,246,329,248,107,1320,0,8,29,56,61,87,106,58,19,422,252,338,1072,819,613,489,345,184,83,4185,1393,3772,12226,9988,7581,5932,3787,1563,410,46650,1517,5906,17246,13355,8724,5264,3136,1076,191,56420,329,693,1705,1579,1887,1902,839,216,31,9176,400,658,2153,2193,2459,2669,1780,610,104,13016,137,84,345,390,419,503,464,233,50,2620
SOS71,241,690,2273,1867,1143,866,423,118,9,7642,148,212,521,422,399,346,127,31,3,2216,241,267,658,621,595,580,286,81,21,3360,97,96,173,190,169,163,107,35,3,1025,86,73,135,140,147,143,157,69,17,964,21,15,28,37,36,45,44,18,0,254,160,140,461,377,296,271,157,51,17,1930,989,1503,4247,3662,2790,2420,1298,408,72,17393,291,841,2960,2114,1468,1023,406,109,27,9234,128,200,543,421,419,364,131,40,8,2252,140,206,604,556,529,526,252,90,26,2929,88,77,169,187,177,157,83,40,14,996,72,78,117,138,153,155,158,83,24,981,13,8,28,33,53,41,61,21,23,287,128,130,460,381,308,245,147,61,32,1883,853,1541,4887,3830,3104,2500,1234,447,156,18557,529,1530,5233,3980,2614,1886,830,224,39,16877,270,416,1061,848,820,710,260,68,11,4473,383,467,1264,1182,1129,1105,534,166,40,6288,183,171,347,374,344,318,187,75,15,2021
SOS72,93,243,542,431,344,241,134,29,0,2050,99,174,302,229,182,147,47,7,0,1189,175,223,424,367,311,262,105,27,3,1902,131,142,253,196,154,97,45,13,5,1024,138,116,236,205,198,132,99,32,5,1160,14,16,26,32,52,49,57,23,9,277,62,79,216,156,134,123,77,27,0,881,713,1001,1998,1609,1375,1049,557,164,22,8476,118,294,732,528,424,353,111,16,0,2580,86,178,310,255,204,148,46,15,0,1250,151,236,477,384,344,233,120,21,5,1960,101,111,235,191,185,82,43,7,0,961,114,112,240,180,178,190,120,34,3,1180,13,14,27,34,38,54,73,40,12,320,74,76,190,150,141,130,82,13,0,867,669,1029,2199,1724,1520,1196,599,144,25,9101,209,536,1272,957,765,590,242,45,0,4626,193,351,611,486,384,302,94,20,0,2434,330,458,895,754,653,491,226,50,6,3858,230,255,486,383,340,178,88,21,4,1985
SOS73,199,520,918,809,766,512,380,143,7,4249,119,140,320,304,384,338,143,35,7,1769,177,256,603,595,726,758,428,110,17,3668,75,55,154,167,189,200,126,35,8,1005,50,48,123,160,150,165,170,69,14,949,5,15,36,40,39,49,34,19,5,234,154,227,459,375,478,390,238,106,10,2438,782,1266,2606,2446,2729,2404,1513,510,63,14319,237,515,1181,1164,1040,615,320,91,17,5174,64,109,235,230,314,321,109,22,6,1402,103,143,304,357,478,535,326,78,14,2328,44,50,104,133,117,112,83,22,5,657,33,26,91,100,122,111,116,56,9,662,7,11,13,24,31,37,41,25,10,194,128,165,338,318,321,281,187,56,5,1816,615,1013,2256,2324,2426,2021,1184,346,60,12236,432,1033,2093,1976,1806,1129,699,235,21,9424,176,245,548,530,699,657,251,57,8,3170,283,396,908,954,1197,1293,748,191,30,6001,121,107,258,294,306,309,209,55,5,1667
SOS77,0,0,7,6,4,4,0,0,0,26,0,3,3,0,0,0,0,0,0,9,0,0,5,3,0,3,0,0,0,19,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,5,3,0,0,0,21,4,6,16,22,18,17,0,0,0,83,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,0,5,7,6,4,6,0,0,0,29,0,3,3,0,6,0,0,0,0,8,0,0,6,3,8,3,0,0,0,21,0,0,0,4,0,3,0,0,0,5
SOS79,0,26,109,74,50,54,50,10,0,368,7,6,16,21,31,26,23,0,0,125,0,4,40,49,48,67,43,6,0,268,0,0,19,16,25,24,14,3,0,104,0,0,3,12,18,18,9,5,0,72,0,0,0,3,0,0,4,0,0,9,12,41,99,128,148,107,63,9,0,615,23,84,292,305,311,300,205,33,6,1561,3,42,167,90,67,48,21,6,0,442,6,6,21,29,22,29,11,4,0,127,11,7,34,28,39,53,31,0,0,200,0,3,10,10,11,18,12,0,0,63,0,3,11,15,14,6,5,4,0,55,0,0,0,0,4,3,0,0,0,12,28,32,123,92,133,114,39,3,0,567,53,99,364,268,280,275,114,17,4,1474,8,64,274,166,113,101,65,10,0,805,4,17,43,53,48,59,29,4,0,251,14,13,72,78,87,122,72,9,0,468,6,3,33,34,30,40,24,9,3,167
SOS80,4174,14421,32328,28787,21583,15080,10992,5137,1436,133929,325,547,1165,1150,1157,1081,686,313,98,6526,612,844,2371,2141,3134,3845,2677,1418,452,17502,128,91,314,326,393,465,684,506,184,3087,39,39,174,221,236,353,638,693,355,2748,12,26,169,145,130,107,106,88,34,816,569,994,1993,1408,1047,858,773,604,296,8537,5856,16956,38516,34182,27678,21788,16552,8757,2861,173145,4492,15184,34135,30648,22796,15947,10631,4687,1422,139938,263,360,849,878,989,1123,839,481,183,5974,389,533,1734,1704,2874,4362,4501,2679,1047,19805,91,72,260,247,329,555,1033,768,398,3760,36,34,121,176,238,493,911,991,632,3627,10,26,107,90,134,183,165,195,118,1018,558,870,1708,1170,886,707,884,731,517,8030,5840,17073,38904,34919,28245,23372,18960,10534,4309,182152,8661,29611,66463,59437,44374,31028,21617,9829,2850,273863,587,904,2017,2028,2148,2206,1526,792,286,12498,999,1378,4105,3845,6007,8210,7173,4098,1500,37311,218,160,572,585,721,1021,1718,1274,578,6848
SOS82,8,8,22,37,41,23,16,4,0,151,0,0,0,0,0,0,0,0,0,6,0,0,0,9,6,9,9,4,0,39,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,7,9,30,48,47,30,28,15,0,220,3,13,18,44,42,23,14,4,0,163,3,0,0,0,3,0,3,0,0,13,3,0,3,9,6,9,7,0,0,41,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,11,17,20,49,50,42,29,13,3,230,10,21,42,75,80,44,36,7,0,318,3,6,0,0,5,0,3,4,0,16,5,6,5,17,13,21,11,11,0,84,0,0,0,0,0,0,0,5,0,7
