SOS_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SOS10,45,1949,3079,9611,4835,3908,2043,880,225,26574,26,379,408,6195,2054,1394,1031,708,203,12393,29,155,294,3776,1501,2820,4808,4867,2960,21214,88,412,495,1471,906,495,296,109,29,4301,107,920,1986,9987,4459,3082,1696,953,234,23420,141,561,975,7588,6515,6921,5439,2874,660,31664,78,501,1581,7103,2603,2207,2163,971,186,17387,0,8,23,168,194,714,2026,1607,490,5234,0,15,86,619,348,554,517,259,67,2473,6,54,252,1511,600,506,346,159,55,3485,57,377,10481,20753,1456,298,155,37,0,33612,23,149,164,798,596,586,1219,1028,430,4997,318,2545,5147,15970,8943,7499,4494,1699,404,47010,6,47,106,1058,1128,1895,2397,1225,348,8205,241,1741,2391,10343,2048,1266,540,117,25,18712,7,27,77,343,571,395,215,84,37,1762,206,1770,3427,16585,6552,5397,3573,905,161,38567,11,71,68,1516,736,828,1334,455,259,5282,18,218,449,1291,961,1056,521,139,21,4661,17,202,312,1938,1700,2177,2051,1467,438,10294
SOS11,25,266,219,317,100,49,31,14,0,1016,3,68,34,372,218,187,229,202,49,1359,5,27,28,278,109,221,565,455,261,1944,9,43,36,113,31,10,33,8,0,288,4,20,39,356,54,34,15,3,0,520,0,0,8,84,99,78,72,43,9,385,23,99,109,494,242,176,73,13,9,1234,0,0,0,17,21,84,274,176,38,618,0,0,10,44,21,37,61,24,11,204,0,19,63,250,63,28,17,3,10,454,8,52,254,1769,70,15,8,3,0,2177,3,11,23,116,103,197,632,596,178,1863,44,310,490,2113,1671,1784,1602,773,156,8941,0,0,0,25,31,38,46,30,0,172,16,82,79,582,94,35,25,4,0,918,0,13,26,92,172,126,68,5,7,511,59,439,492,1531,503,168,81,20,5,3298,0,12,8,77,42,60,156,71,26,441,0,5,33,141,54,33,20,12,5,300,4,46,66,242,284,555,822,598,169,2789
SOS12,0,0,0,6,4,3,0,0,0,10,0,0,4,15,19,24,31,11,6,113,0,5,4,10,10,34,56,35,20,179,0,3,3,7,7,0,0,0,0,20,0,0,4,6,5,0,4,0,0,20,0,0,0,7,7,9,3,0,0,30,0,0,8,35,12,16,6,8,0,87,0,0,0,5,0,15,38,21,5,77,0,0,0,4,0,0,10,3,0,16,0,0,0,0,0,0,0,0,0,5,0,0,7,27,0,0,0,0,0,31,0,4,5,7,17,32,74,45,6,189,0,22,24,172,176,205,195,80,11,882,0,0,0,0,0,3,0,0,0,7,0,0,4,6,3,5,3,0,0,20,0,0,0,11,21,14,6,0,0,56,4,21,12,52,15,6,4,0,0,117,0,0,0,7,9,3,16,3,3,42,0,0,0,3,0,0,0,0,0,3,0,0,3,20,24,63,75,44,11,244
SOS13,0,4,3,35,22,28,27,11,4,129,0,16,13,150,98,94,123,60,11,567,0,6,7,54,48,181,453,337,138,1231,0,11,9,31,18,11,20,0,4,99,0,0,16,45,17,23,8,8,0,117,0,4,15,105,143,166,103,58,13,607,0,14,23,92,42,79,37,23,5,316,0,3,5,17,32,130,361,219,46,816,0,0,5,17,5,10,10,0,3,57,0,0,0,3,8,7,0,8,0,28,0,4,6,21,10,0,0,0,0,41,0,7,11,54,51,124,311,199,38,789,3,61,135,596,629,861,716,225,26,3250,0,0,0,9,20,22,21,3,0,80,0,3,6,38,13,14,4,6,0,86,0,5,0,31,57,52,28,0,0,170,4,52,51,113,59,22,10,6,0,317,0,0,0,33,19,31,35,15,5,143,0,0,7,43,8,9,12,0,0,75,4,10,19,60,100,206,215,137,33,774
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,8,0,0,0,0,0,13,0,0,0,5,0,3,0,4,0,12,0,0,3,8,0,7,5,0,0,16,0,0,4,6,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,11,0,0,4,18,7,5,0,0,0,32,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,10,0,0,0,5,0,6,3,5,0,22,0,6,0,40,22,20,18,3,0,105,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,6,9,10,3,0,0,0,0,26,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,17
SOS20,30,1198,1506,4685,2395,1676,791,277,75,12628,36,293,305,3693,1048,842,746,495,226,7680,13,173,315,2900,1391,4089,7607,7217,4329,28034,64,295,400,940,447,211,153,40,6,2550,49,354,759,3558,1088,428,176,84,12,6506,58,193,359,2617,1899,1936,1429,664,136,9286,125,1339,3455,11823,3447,2982,2700,1014,190,27080,0,11,24,196,298,1028,2587,1921,546,6605,0,57,370,2008,706,1055,864,412,140,5623,17,201,1032,3376,1036,505,277,117,43,6604,21,154,2872,6745,411,118,63,15,4,10407,20,113,180,663,492,603,1710,1437,599,5821,448,3636,5142,15848,6513,4935,2579,1037,231,40359,8,63,138,1473,1326,1892,2529,1141,301,8867,237,1803,2476,10273,1492,609,304,81,9,17280,5,31,67,233,341,153,50,13,6,891,147,1353,2871,10688,4051,2608,1465,333,63,23580,5,40,59,1079,660,1054,1571,646,348,5452,11,175,344,993,669,628,271,62,5,3162,17,183,337,1869,1455,1984,1983,1381,415,9621
SOS21,0,47,58,225,91,66,22,4,0,519,0,38,43,261,141,148,158,126,43,964,3,10,21,164,106,349,872,657,370,2547,0,19,14,40,31,7,11,0,0,127,8,4,29,98,18,14,4,5,0,180,0,10,12,65,42,35,23,12,3,195,13,136,197,1083,240,133,66,26,3,1893,0,6,20,58,60,194,473,273,47,1131,0,14,18,115,33,41,45,17,0,287,4,20,64,293,95,32,20,6,9,540,3,29,77,451,15,3,8,0,0,588,4,8,16,92,128,201,801,664,194,2103,50,458,589,1737,1122,1008,758,323,51,6098,0,0,3,61,41,64,79,26,9,288,14,120,86,544,94,41,20,4,0,919,0,3,8,33,77,36,23,0,0,183,33,320,447,1301,467,181,72,22,0,2850,0,0,9,74,51,44,130,45,29,384,0,43,78,237,107,73,32,6,0,584,0,32,47,218,216,445,605,445,112,2125
SOS22,0,0,0,0,0,4,0,0,0,4,0,0,6,26,15,24,18,7,5,106,0,0,3,11,12,24,67,26,14,162,0,0,0,3,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,7,0,3,8,37,13,10,9,5,0,83,0,0,0,0,0,18,39,17,4,73,0,0,0,6,0,5,8,0,0,20,0,0,0,6,3,3,3,0,0,20,0,0,0,14,0,0,0,0,0,17,0,0,0,11,15,31,95,62,8,232,0,18,15,107,112,125,115,41,5,539,0,0,0,0,0,0,7,0,0,12,0,0,6,6,3,0,0,0,0,12,0,0,0,3,4,6,0,0,0,16,0,20,10,55,17,3,3,0,0,119,0,0,0,3,4,8,5,7,0,29,0,0,0,13,0,0,0,0,0,13,0,0,0,19,18,52,60,37,11,197
SOS23,0,0,4,24,13,7,5,0,0,47,0,5,7,93,64,75,85,53,10,393,0,3,7,48,46,184,494,348,103,1226,0,0,3,11,6,4,4,0,0,34,0,3,3,12,5,0,0,0,0,34,0,4,3,35,32,32,25,8,0,128,4,11,40,291,68,59,19,8,0,497,0,0,0,7,20,93,239,100,17,482,0,0,0,13,11,22,15,3,5,57,0,0,7,23,5,4,3,0,0,45,0,0,0,17,4,0,0,0,0,24,0,8,9,72,80,142,454,287,46,1103,9,93,123,570,513,642,446,124,20,2541,0,0,0,11,26,40,54,19,8,152,0,4,4,40,6,3,3,0,0,59,0,0,0,18,41,16,6,0,0,86,11,71,52,268,51,14,19,0,0,495,0,0,10,25,13,19,51,21,0,137,0,0,15,75,12,4,0,0,0,108,0,8,3,70,81,174,218,120,24,699
