SOS_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOS10,419042,67230,86472,2464,424,575632,470221,80503,120849,1005,643,673217,161208,69466,289003,4081,1549,525308,24883,22347,27060,26,127,74441,3565,5208,9587,56,109,18521,41378,12759,34858,1042,508,90537,7769,2549,5099,632,262,16310,1279,589,1566,45,24,3500,240077,112923,367164,5872,2585,728624,12492,7940,13002,234,163,33834,13630,4116,8476,231,392,26845,1155458,272714,595962,9812,4205,2038151
SOS11,198761,15812,5718,3027,524,223853,174316,7419,2573,358,207,184871,73363,24206,15116,691,247,113612,11861,3661,2077,24,30,17655,4057,2977,1566,22,47,8666,25473,4183,2552,330,175,32708,4660,878,595,1064,213,7407,731,400,207,26,15,1379,120142,36312,22102,2144,720,181423,6875,4063,1305,183,200,12616,7698,1724,856,450,334,11058,507797,65322,32546,6166,1980,613818
SOS12,23346,323,138,625,74,24508,19132,205,80,60,39,19527,3810,421,250,28,14,4518,360,73,30,0,3,464,305,99,59,5,9,467,2941,119,119,60,27,3260,531,41,38,142,22,777,83,11,11,5,5,116,8023,756,501,235,80,9605,795,66,69,30,19,976,1045,37,23,71,39,1223,52345,1386,826,1025,254,55835
SOS13,88102,440,199,1245,560,90545,64348,296,113,263,172,65193,9025,187,104,38,71,9423,148,9,9,0,10,172,362,17,8,0,4,400,10874,79,123,193,134,11400,2879,36,26,263,116,3326,188,3,0,15,6,216,23484,327,264,524,342,24935,7982,65,102,197,159,8507,3225,21,22,136,85,3491,187132,1151,692,2365,1315,192660
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,428567,72739,38621,1284,337,541546,512701,86804,56744,677,382,657308,191292,94560,139436,1712,602,427605,14446,11293,12400,8,33,38181,2500,2653,3679,22,49,8905,44028,16204,16594,586,208,77638,6353,1880,1736,1042,101,11119,1330,617,605,26,20,2600,259951,127215,174457,3399,1021,566049,14295,9202,6133,200,75,29897,16247,4638,3665,130,126,24813,1231761,300598,279623,5693,1934,1819615
SOS21,128540,7640,1712,1302,159,139352,131725,3559,794,136,126,136343,46094,10465,3513,171,85,60326,6648,3012,992,13,3,10675,1142,832,425,17,4,2424,15455,2069,599,138,74,18336,1940,412,155,432,38,2978,476,204,75,17,3,774,71764,16995,5766,779,206,95519,4059,1096,324,178,26,5684,5839,1059,250,167,64,7379,341926,30348,8847,2566,586,384277
SOS22,16161,174,102,258,30,16715,13512,111,58,56,9,13744,2104,148,150,10,3,2419,104,110,40,0,0,254,50,49,18,0,0,121,1891,52,35,28,10,2015,276,19,24,74,12,403,43,10,0,0,0,58,4474,393,270,113,23,5270,555,24,10,22,9,619,688,22,16,40,9,773,35398,719,457,487,67,37124
SOS23,69717,258,61,940,139,71115,54863,149,29,137,82,55254,4511,54,34,39,19,4660,79,29,5,3,6,115,80,6,8,5,6,99,6878,40,27,63,39,7041,2118,20,10,323,47,2518,127,0,0,24,3,157,13786,150,86,454,111,14585,5388,28,9,77,38,5547,2574,12,3,105,19,2713,146332,587,189,1712,393,149218
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,272039,34603,37325,2371,525,346859,389927,38097,34243,202,394,462870,164483,68417,97438,288,893,331519,16546,8880,10332,15,70,35845,1534,2073,2853,14,42,6517,40267,12902,18938,183,346,72639,7386,8354,5649,1733,296,23411,1008,710,704,43,14,2485,231223,101346,135903,2280,1664,472416,8319,7821,4699,97,149,21079,10329,3395,3496,343,288,17857,911840,185258,215661,5301,3027,1321081
SOS31,100697,5021,2478,2211,384,110792,105104,2426,1320,225,161,109233,47330,12419,7016,195,180,67143,6616,3249,1532,16,29,11444,1392,1166,662,9,18,3243,18065,2272,1514,163,121,22140,4933,1481,745,862,225,8251,457,243,162,21,0,880,78804,20826,11635,1263,578,113103,4040,1607,432,123,149,6350,4612,970,457,557,211,6806,293252,30847,16319,4378,1479,346289
SOS32,19312,155,136,649,103,20345,15691,100,48,99,49,15991,3567,331,156,25,6,4090,2181,192,172,11,9,2567,761,95,82,6,4,954,3274,120,106,40,19,3562,1250,137,76,200,40,1702,117,15,16,4,0,148,11158,892,616,290,83,13041,957,61,24,49,45,1127,1070,48,44,53,16,1230,48182,1255,859,1144,290,51735
SOS33,62829,451,164,1408,432,65285,54427,321,103,330,182,55358,6158,126,106,45,38,6458,316,17,31,4,8,379,267,26,27,4,5,328,9052,96,86,126,107,9472,2494,38,13,367,126,3039,185,0,0,15,6,208,18477,303,258,561,281,19883,6069,69,133,176,165,6612,2838,40,33,214,89,3206,144641,1186,681,2692,1146,150350
SOS37,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,123695,17335,6056,445,157,147689,148746,19847,6355,95,258,175308,39356,19229,16768,129,248,75734,8697,9634,3265,0,56,21644,2762,3166,1580,7,44,7553,20230,7343,5314,104,147,33143,2508,889,928,203,67,4592,431,330,214,6,12,991,73988,40584,28068,447,561,143655,3889,5367,2299,36,45,11641,3597,1485,622,35,78,5818,353909,84626,43409,1066,1103,484112
SOS41,42853,2812,372,409,126,46571,43695,1894,193,62,90,45932,13122,3425,1306,23,36,17911,2916,3140,668,4,14,6744,664,585,133,0,3,1381,6660,1058,320,31,36,8097,1544,305,120,98,28,2089,161,115,42,4,0,323,25066,8626,2577,160,120,36549,2180,1298,130,32,38,3675,1645,455,106,57,39,2296,115443,15084,3367,722,413,135028
SOS42,8340,93,12,158,39,8643,6777,62,13,29,17,6895,995,67,15,13,9,1090,473,82,49,6,5,609,146,85,31,0,0,261,1468,72,9,39,7,1595,287,16,0,35,0,348,32,3,0,0,0,41,3400,324,105,89,26,3950,423,58,12,21,5,516,354,20,5,21,8,408,19298,560,150,316,90,20409
SOS43,23326,156,30,386,103,24001,17997,90,8,72,36,18203,1466,18,26,4,9,1514,242,10,0,4,4,258,167,4,0,6,6,185,3059,40,15,31,27,3178,946,14,7,94,35,1104,61,0,0,0,0,63,5940,95,54,134,81,6308,2289,23,11,28,35,2386,802,11,0,33,20,869,50354,373,104,664,286,51767
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,179831,24086,8407,1342,147,213814,275929,28092,10814,104,157,315082,69228,28259,26315,105,134,124036,7019,8671,2800,7,26,18516,1186,1982,1002,4,18,4185,33366,10386,6195,107,69,50123,3762,1268,767,348,34,6184,581,371,175,8,0,1142,115147,50936,37254,579,279,204186,5859,5015,2087,62,29,13052,6122,1861,853,111,133,9079,582882,109986,59408,2198,744,755215
SOS51,34721,2159,247,909,78,38109,45576,1616,158,106,57,47509,14431,3677,1039,41,44,19235,4642,2398,264,3,23,7338,791,732,203,4,12,1746,8491,1163,175,70,52,9954,5686,985,297,364,68,7401,177,91,17,5,0,287,34226,9056,1995,497,197,45964,2189,951,113,110,60,3427,1820,502,66,123,59,2573,118529,14278,2581,1736,462,137580
SOS52,6839,72,16,220,57,7210,5600,35,17,41,8,5705,945,68,27,6,0,1057,1553,239,33,3,14,1848,710,126,38,10,8,897,1529,71,21,19,9,1645,837,85,13,68,32,1030,59,15,4,5,0,76,5631,605,141,110,66,6552,919,69,14,31,19,1057,537,39,26,35,33,670,19532,825,212,441,181,21197
SOS53,21009,117,42,800,215,22187,16966,105,25,139,99,17338,1333,15,4,25,5,1389,469,18,3,5,6,505,481,19,10,13,10,535,3071,23,17,64,48,3237,1099,10,12,204,66,1394,51,5,0,4,5,59,6505,99,52,321,144,7116,2817,27,33,115,112,3105,802,8,7,111,64,990,48095,357,163,1485,635,50741
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,23213,926,1091,100,27,25360,23045,790,834,20,13,24709,7487,1441,2771,52,19,11770,2527,780,868,0,17,4197,544,309,277,0,16,1155,4299,699,1213,48,31,6288,450,105,175,21,4,760,94,46,38,0,0,177,15403,3383,5339,122,96,24347,772,285,259,9,10,1330,670,105,144,5,15,937,63101,5489,7664,263,163,76686
SOS61,29478,1272,643,246,44,31687,27225,700,333,39,21,28318,9095,1910,1359,98,24,12484,2716,1303,402,0,9,4430,761,568,206,0,4,1540,5659,872,511,53,18,7124,583,177,98,129,16,997,149,72,24,3,0,247,18964,4907,2594,290,69,26826,852,253,62,25,5,1206,1088,351,90,72,12,1614,77602,7483,3727,674,157,89650
SOS62,5577,50,13,72,25,5739,4101,31,10,18,12,4161,744,49,11,4,4,820,81,24,31,0,0,130,41,43,13,0,0,92,873,33,18,14,0,935,147,19,3,13,4,191,20,9,0,0,0,24,1906,172,80,34,3,2194,202,7,4,5,12,232,215,11,0,21,6,254,11999,271,104,150,57,12580
SOS63,17969,67,18,163,40,18255,14850,44,12,42,24,14967,1239,8,6,3,0,1252,53,7,3,0,0,61,37,0,0,0,0,46,2294,9,16,17,9,2345,580,9,13,28,19,646,45,0,0,0,0,46,4245,33,36,62,30,4402,1223,9,8,22,9,1277,574,5,0,15,4,594,38858,160,78,297,109,39495
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,4918,554,999,194,11,6678,10910,1007,1988,15,0,13918,3957,1681,6091,13,24,11759,1135,743,694,0,10,2583,139,31,88,0,7,261,1681,570,1236,22,19,3523,1094,103,345,65,20,1639,46,18,48,0,0,117,8056,3147,8503,104,76,19883,317,74,113,19,10,535,339,105,213,29,27,721,24542,4886,11815,355,124,41727
SOS71,1357,190,20,76,28,1673,2991,592,44,4,16,3646,1090,1057,219,7,17,2400,1567,529,77,4,6,2186,619,110,17,0,13,768,635,290,47,15,14,1001,762,207,54,24,39,1086,40,15,3,0,0,59,4714,2210,420,60,93,7497,640,162,62,24,30,910,200,103,23,15,33,375,9900,3253,569,186,194,14097
SOS72,329,7,0,60,11,416,397,11,0,14,3,428,51,13,3,0,0,71,1810,251,41,0,9,2114,626,109,24,6,7,769,104,13,4,3,7,129,454,242,106,15,38,850,30,8,0,0,0,39,3071,632,175,29,60,3971,512,71,33,22,26,671,105,24,3,9,6,146,4416,752,219,138,106,5629
SOS73,2111,7,3,232,70,2424,3303,5,0,42,27,3374,294,0,0,4,8,307,413,23,12,3,6,457,369,8,10,4,4,398,536,12,7,29,16,599,346,16,0,61,33,454,35,0,0,0,0,38,2001,53,27,108,58,2250,732,11,6,79,45,875,207,0,3,46,30,289,8354,79,34,506,238,9202
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,34779,5830,3999,92,25,44731,48749,9831,9001,4,32,67622,9397,6244,12930,0,44,28618,4389,2706,1429,18,10,8556,387,315,300,0,10,1012,4778,2350,3332,9,26,10491,1650,473,539,31,20,2717,107,54,48,0,0,208,20708,12137,18580,62,117,51598,1002,828,810,4,16,2656,885,270,276,0,9,1448,106123,28906,32669,163,202,168058
SOS82,66,4,0,0,0,66,102,0,0,0,0,102,13,6,0,0,0,9,3,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,188,14,0,0,0,203
SOS83,30,0,0,0,0,36,32,0,0,0,0,32,3,0,0,0,0,8,9,0,0,0,0,9,0,0,0,0,0,0,23,0,0,0,0,22,14,0,0,0,7,18,0,0,0,0,0,0,42,0,0,0,8,57,12,0,0,0,0,17,3,0,0,0,0,3,126,0,0,0,13,138
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,59,25,23,0,0,108,40,12,6,0,0,63,0,0,0,0,0,0,7,31,49,0,0,86,0,0,3,0,0,5,24,20,13,0,0,58,30,8,15,0,0,52,0,0,0,0,0,0,61,58,86,0,0,204,22,7,8,0,3,36,4,0,6,0,0,9,191,95,127,3,6,416
SOS92,296,0,3,0,0,303,173,5,0,0,3,179,86,4,4,0,0,92,47,0,0,0,0,49,9,0,0,0,0,14,107,4,5,0,0,120,46,0,0,0,0,48,0,0,0,0,0,0,306,9,11,0,0,330,48,0,0,0,0,48,25,0,0,0,4,29,849,11,15,0,12,887
SOS93,82,0,0,0,3,81,35,0,0,0,0,35,16,0,0,0,0,16,0,0,0,0,0,0,28,0,0,0,0,28,21,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,66,0,0,0,3,70,10,0,0,0,0,14,24,0,0,0,0,24,219,0,0,0,4,227
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
