SOS_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS10,77473,53924,67875,60266,51754,43330,31183,21695,15879,423379,1051917,703460,886113,844555,728772,640078,492032,284326,122562,5753827
SOS11,30246,18514,19226,17980,17179,16200,13950,10084,5747,149131,289109,172175,189220,178869,184025,201269,196736,122487,49987,1583879
SOS12,2774,1651,1444,1602,1843,2047,1871,969,419,14632,26393,14708,14020,15750,19306,23458,21622,10458,3080,148805
SOS13,10930,7302,6588,7670,9114,9902,7544,3664,999,63710,101325,62369,50478,62140,83164,95316,77284,33967,8221,574269
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
SOS20,62924,44796,58679,49435,43459,34887,25368,16966,10209,346725,892833,612989,802484,739313,631012,533084,411584,242825,105646,4971771
SOS21,17946,9889,10551,10440,10145,9644,8842,6042,3506,86999,186984,105274,124388,120541,119458,124510,119641,69758,28468,999013
SOS22,1486,923,768,963,1114,1377,1186,659,351,8824,15880,8567,9144,10289,12240,15387,14017,6783,2369,94668
SOS23,7484,4975,4847,5718,6814,7225,5760,2781,763,46350,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
SOS27,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
SOS29,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
SOS30,53988,40074,45483,40214,36757,28784,20595,12869,7715,286480,677723,469163,527278,506832,471471,398262,318021,178459,67791,3614998
SOS31,18944,12189,13878,12690,12516,10993,8107,5210,2688,97206,181271,105966,115851,111813,114752,118238,105974,61295,21899,937057
SOS32,3413,1773,1981,1974,2200,2265,1739,988,258,16582,25874,13832,14159,15279,18350,22201,19263,9429,2259,140652
SOS33,8830,6212,6750,7334,8746,8280,5820,2728,588,55296,78009,46780,41750,51750,67583,74122,58073,25367,5145,448574
SOS37,0,14,37,47,34,8,0,0,0,133,0,16,49,64,45,5,3,0,0,183
SOS39,255,435,800,739,648,553,354,67,9,3862,1437,1495,2649,2077,1929,2468,2124,444,44,14670
SOS40,13504,9946,10854,10289,10036,8794,6402,4285,2512,76619,211465,152601,178542,167621,155078,148698,124690,73023,33293,1245011
SOS41,4944,2997,3347,3207,3366,3217,2768,1977,1019,26839,58166,35551,38345,37268,41370,44540,43474,27229,10681,336623
SOS42,768,459,447,514,634,790,699,402,193,4904,8132,4664,4998,5150,6274,8260,7919,4099,1592,51089
SOS43,2193,1536,1484,1713,2129,2310,1766,801,197,14130,24978,15122,12777,16088,21437,25136,19900,8239,1738,145402
SOS47,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
SOS49,84,79,166,178,144,138,77,11,0,882,409,394,627,534,478,513,359,64,11,3377
SOS50,26422,18779,24389,22707,20687,16328,11181,7254,4593,152348,387885,246891,295897,297929,263686,229678,182320,99540,39936,2043762
SOS51,9499,5422,6853,6755,6229,5230,3395,1923,900,46211,79234,41628,50560,52149,50132,46811,36993,19669,7350,384526
SOS52,1727,791,977,952,1079,1147,826,490,167,8146,11299,6047,6906,6899,7596,8621,7322,3685,1134,59508
SOS53,2959,2652,4040,4116,4157,3589,2279,937,177,24904,26586,16650,17368,20805,25420,27127,19970,8074,1649,163652
SOS57,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
SOS59,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
SOS60,2499,1796,2290,1800,1702,1474,1208,838,386,13993,32321,22907,34039,25323,23007,22706,20305,11961,4881,197451
SOS61,3303,2171,2107,1953,1999,1981,1852,1306,602,17268,37367,24686,29031,24774,26444,28412,26785,16431,6236,220162
SOS62,425,256,255,262,342,429,395,229,110,2700,4825,2699,3096,3281,3990,5201,4914,2475,703,31196
SOS63,1559,1017,940,1093,1337,1577,1201,468,132,9330,17987,10581,10269,12366,15552,18867,14821,5751,1169,107361
SOS67,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
SOS69,18,41,49,54,42,68,75,6,0,357,129,215,228,198,203,199,163,31,3,1377
SOS70,2556,1800,2918,2340,1837,1298,735,301,118,13898,24754,14774,23991,19618,15409,12042,7784,3088,749,122207
SOS71,1203,621,1026,799,614,548,271,95,26,5206,11003,6360,9148,7503,5898,4924,2535,852,231,48456
SOS72,586,276,402,273,276,257,158,31,0,2265,5977,3995,4211,3334,2892,2248,1152,311,48,24165
SOS73,922,845,1018,960,932,735,421,138,17,5987,6715,4556,4862,4771,5154,4426,2704,856,123,34172
SOS77,0,0,6,4,5,3,0,0,0,24,0,15,23,22,19,17,0,0,0,99
SOS79,74,97,193,168,213,186,79,12,0,1017,446,276,661,573,591,579,318,49,7,3500
SOS80,4772,4555,4815,3780,3157,2444,1900,1074,524,27032,82666,60266,77465,69135,55949,45186,35529,19303,7174,452670
SOS82,3,4,3,4,0,8,13,0,0,30,130,75,49,96,100,73,58,30,6,615
SOS83,7,27,18,8,17,15,7,3,0,101,90,121,115,61,75,72,52,9,5,605
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,7,21,17,35,22,22,11,0,0,138,50,148,108,104,77,78,34,10,4,605
SOS91,28,22,53,43,45,29,26,4,0,254,273,99,202,206,209,181,150,26,4,1355
SOS92,69,35,39,51,42,57,40,34,7,362,428,223,202,311,296,471,314,162,48,2450
SOS93,28,38,121,63,49,28,20,13,0,365,114,87,173,125,158,119,119,66,15,976
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
