SOS_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
SOS10,1677,3612,2154,1383,472,0,0,0,9294,416,1023,760,610,603,0,0,0,3415,562,3739,4909,7463,9245,13881,12028,7979,59810,2662,8376,7825,9452,10321,13881,12028,7979,72520,339245,400928,387023,330170,287575,208815,109915,32311,2095975,19736,28877,23313,17082,13891,10724,8939,6658,129225,361641,438180,418163,356701,311794,233418,130878,46944,2297716,697,1076,508,270,85,0,0,0,2641,93,188,183,153,97,0,0,0,716,197,597,905,1512,1597,1186,666,676,7334,982,1870,1596,1938,1781,1186,666,676,10696,323982,420731,404597,355568,314298,246134,140942,61233,2267484,16855,25336,20191,14569,12209,11291,11845,13714,126005,341820,447933,426387,372072,328291,258614,153451,75619,2404189,2376,4687,2663,1653,557,0,0,0,11940,512,1220,943,756,703,0,0,0,4129,763,4340,5816,8979,10845,15072,12689,8649,67150,3642,10243,9428,11387,12103,15072,12689,8649,83213,663231,821661,791617,685736,601877,454944,250854,93546,4363464,36596,54210,43506,31649,26101,22017,20780,20369,255226,703460,886113,844555,728772,640078,492032,284326,122562,4701906
SOS11,552,1144,942,668,206,0,0,0,3508,78,323,321,290,348,0,0,0,1361,277,1714,2495,3995,5684,10480,7889,4967,37501,905,3178,3756,4950,6238,10480,7889,4967,42370,79733,80841,75705,77420,83774,78630,44400,11435,531938,7161,8347,7244,6409,5630,5254,4122,2402,46568,87800,92366,86705,88784,95651,94358,56413,18800,620876,238,361,217,127,37,0,0,0,978,23,86,92,84,56,0,0,0,338,100,347,588,1049,1233,1082,527,442,5356,362,788,891,1262,1321,1082,527,442,6667,78045,89701,85594,88972,99378,96012,59854,25976,623532,5968,6363,5680,5011,4934,5283,5692,4772,43694,84373,96855,92164,95246,105625,102377,66075,31185,673895,794,1504,1154,794,239,0,0,0,4486,101,410,410,371,401,0,0,0,1697,374,2058,3087,5043,6920,11560,8414,5404,42856,1267,3970,4652,6213,7563,11560,8414,5404,49043,157785,170538,161300,166391,183153,174642,104255,37408,1155466,13128,14710,12920,11426,10558,10537,9814,7170,90266,172175,189220,178869,184025,201269,196736,122487,49987,1294773
SOS12,17,26,39,28,18,0,0,0,128,6,17,29,19,22,0,0,0,99,14,140,212,417,639,1157,701,331,3621,32,191,276,469,686,1157,701,331,3844,6922,6050,6752,8242,10119,9149,4253,792,52279,656,597,584,683,751,748,427,180,4623,7611,6832,7612,9386,11562,11057,5379,1306,60750,3,8,9,11,0,0,0,0,24,0,0,3,8,10,0,0,0,18,9,26,49,107,125,116,36,25,490,14,36,59,126,131,116,36,25,537,6469,6582,7509,9218,11123,9772,4557,1450,56684,617,574,569,573,644,675,487,297,4441,7098,7190,8140,9922,11906,10562,5084,1773,61664,20,33,42,34,18,0,0,0,154,6,25,27,30,29,0,0,0,119,21,172,268,527,763,1275,736,360,4118,49,225,336,589,817,1275,736,360,4384,13390,12630,14262,17461,21248,18917,8809,2246,108961,1273,1167,1148,1254,1402,1429,913,474,9068,14708,14020,15750,19306,23458,21622,10458,3080,122413
SOS13,577,227,142,133,57,0,0,0,1135,34,76,86,109,135,0,0,0,442,75,398,746,1537,2242,3681,2002,960,11631,683,700,974,1777,2434,3681,2002,960,13207,29178,21740,26293,35853,42252,34583,14805,2581,207282,3386,3199,3333,3639,4041,3269,1669,470,23006,33245,25644,30595,41279,48733,41527,18477,4005,243500,109,55,43,24,7,0,0,0,241,9,18,32,32,21,0,0,0,111,39,93,204,413,493,291,112,50,1693,152,169,281,468,523,291,112,50,2049,26368,22501,28583,38285,42705,32790,13880,3598,208703,2604,2172,2677,3140,3364,2675,1496,567,18700,29127,24836,31539,41886,46587,35755,15494,4215,229449,682,280,184,153,66,0,0,0,1378,43,92,115,151,155,0,0,0,556,108,494,950,1942,2731,3971,2119,1006,13324,834,870,1256,2246,2954,3971,2119,1006,15257,55545,44246,54870,74138,84953,67371,28689,6177,415988,5990,5367,6013,6778,7407,5946,3164,1035,41709,62369,50478,62140,83164,95316,77284,33967,8221,472950
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,20,3,5,5,0,0,0,0,32,0,4,0,0,0,0,0,0,10,0,13,16,30,42,61,20,4,192,24,23,18,37,46,61,20,4,233,422,756,636,588,615,476,119,8,3610,217,383,456,386,287,115,33,4,1893,658,1164,1108,1010,949,648,166,19,5734,9,3,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,3,8,10,4,0,0,29,11,11,3,8,13,4,0,0,44,473,701,477,472,555,349,85,19,3136,216,315,268,187,134,52,19,12,1200,703,1022,749,666,698,404,104,32,4381,29,11,8,5,3,0,0,0,48,0,3,0,0,0,0,0,0,9,0,22,19,40,54,62,20,4,218,30,29,21,42,55,62,20,4,274,892,1463,1110,1056,1172,824,202,31,6753,437,699,722,577,418,162,51,16,3090,1357,2187,1859,1678,1648,1055,277,49,10112
SOS20,899,899,635,492,239,0,0,0,3172,328,712,595,394,415,0,0,0,2446,425,2776,4176,6171,8076,12817,10553,6864,51851,1648,4388,5408,7064,8738,12817,10553,6864,57468,295895,368716,341337,285920,237979,171374,92971,29382,1823577,15974,24789,18516,13764,10465,8018,6549,4148,102212,313517,397885,365252,306744,257175,192208,110073,40398,1983259,251,285,182,113,37,0,0,0,862,66,135,104,95,68,0,0,0,469,140,418,754,1434,1816,1184,535,662,6938,463,831,1042,1639,1919,1184,535,662,8266,285251,382465,356813,310523,264369,209166,123615,56485,1988691,13763,21299,16208,12107,9609,9028,8607,8106,98718,299474,404599,374061,324269,275902,219376,132756,65245,2095680,1152,1179,816,604,281,0,0,0,4037,393,851,697,490,486,0,0,0,2911,564,3186,4931,7602,9891,14002,11087,7524,58792,2109,5217,6450,8697,10651,14002,11087,7524,65739,581147,751181,698147,596440,502350,380540,216589,85871,3812269,29735,46092,34717,25872,20075,17045,15148,12253,200934,612989,802484,739313,631012,533084,411584,242825,105646,4078935
SOS21,331,416,265,182,86,0,0,0,1281,41,124,142,116,140,0,0,0,565,122,778,1232,2132,3208,6219,4165,2662,20523,488,1317,1644,2429,3432,6219,4165,2662,22366,50259,55037,52622,51378,52180,47464,25725,6620,341280,3602,4056,3765,3466,3220,3192,2466,1439,25202,54351,60410,58034,57277,58832,56871,32359,10722,388853,71,91,53,46,19,0,0,0,275,7,28,26,30,30,0,0,0,117,46,154,257,539,749,605,239,209,2799,120,273,329,618,793,605,239,209,3193,47608,59930,58606,58447,61857,58743,33852,14810,393863,3190,3766,3568,3119,3023,3419,3308,2724,26127,50925,63972,62512,62187,65674,62767,37403,17740,423180,400,504,317,231,103,0,0,0,1556,46,152,165,145,171,0,0,0,684,167,931,1492,2678,3952,6821,4405,2871,23322,608,1596,1975,3048,4230,6821,4405,2871,25560,97869,114971,111231,109823,114035,106203,59573,21435,735138,6798,7823,7336,6581,6243,6615,5775,4162,51330,105274,124388,120541,119458,124510,119641,69758,28468,812034
SOS22,0,3,4,5,4,0,0,0,23,3,9,10,12,15,0,0,0,51,11,68,127,268,384,781,416,241,2298,15,84,146,287,401,781,416,241,2366,3979,4085,4480,5244,6672,6047,2725,586,33803,414,332,358,467,525,528,298,128,3046,4412,4494,4987,5995,7590,7353,3432,950,39223,6,0,0,6,0,0,0,0,7,0,4,6,3,0,0,0,0,12,3,12,29,71,122,64,25,27,341,5,10,34,75,121,64,25,27,366,3779,4338,4885,5783,7195,6199,2975,1160,36311,375,292,380,392,479,406,342,230,2896,4156,4639,5302,6247,7792,6668,3349,1415,39569,6,3,13,6,4,0,0,0,30,3,13,19,18,15,0,0,0,63,15,76,155,332,508,846,444,268,2634,24,92,187,356,521,846,444,268,2732,7750,8425,9367,11029,13864,12247,5700,1743,70123,791,624,744,855,1000,931,641,355,5943,8567,9144,10289,12240,15387,14017,6783,2369,78795
SOS23,343,245,152,110,40,0,0,0,891,29,44,58,50,66,0,0,0,246,41,204,488,1025,1553,2876,1496,655,8337,412,503,698,1180,1663,2876,1496,655,9477,21507,16159,19885,27288,32397,26752,11224,1884,157105,2273,2598,2844,2925,2914,2580,1252,388,17764,24196,19262,23421,31393,36977,32210,13965,2926,184354,197,66,16,21,10,0,0,0,309,12,7,7,18,15,0,0,0,66,19,47,118,293,381,231,62,24,1177,233,125,141,331,409,231,62,24,1555,19271,16832,21480,28838,32665,25239,10088,2572,156985,1883,1440,1809,2211,2428,2024,1163,433,13392,21383,18401,23422,31378,35508,27492,11317,3033,171931,544,313,171,122,50,0,0,0,1199,40,55,64,70,84,0,0,0,313,59,258,604,1315,1940,3101,1563,678,9518,644,624,839,1509,2073,3101,1563,678,11031,40777,32995,41361,56125,65065,51995,21309,4461,314095,4159,4042,4649,5137,5345,4602,2417,822,31161,45579,37655,46846,62773,72485,59700,25286,5963,356286
