SOS_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SOS10,393,414,903,1483,2239,3410,4892,5571,3897,23206,350,345,580,1191,3202,7621,11582,10251,4668,39787,7641,41832,49083,39927,38305,32466,20449,11920,7961,249568,80,132,327,728,1666,2928,4734,5834,4286,20708,14428,17551,27313,30971,35704,42217,37118,23213,15575,244095,428680,242032,318730,296450,229694,165118,95718,37695,10947,1825068,37416,24998,32272,28922,24685,21181,16161,11883,10197,207713,510944,341820,447933,426387,372072,328291,258614,153451,75619,2915129,811,2638,8888,19595,44627,85602,114103,90162,42839,409255,62551,54742,62896,59957,51468,45174,37780,21908,8170,404641,917,1262,3262,7359,15846,29331,40977,32104,12569,143613,52,79,109,176,545,1600,5297,14823,18948,41629,1411,3330,7445,18251,34599,61412,73945,49015,16394,265791,1510,1508,2422,5285,14359,35005,57667,53531,28767,200051,1009,893,1707,2925,4624,7538,11274,11661,7008,48626,846,732,1205,2344,5968,14170,22066,19899,8553,75780,16634,63829,77079,66130,64724,55445,34883,19056,10946,408731,217,283,615,1405,3451,7151,11788,12967,7715,45595,37258,32580,44265,52793,62719,75522,66392,39904,23234,434669,864084,514521,650402,600466,460590,327184,181966,71649,19375,3690248
SOS11,104,160,310,465,841,1432,2623,3018,2050,11004,198,149,253,609,1922,4671,7179,5837,2249,23065,4064,16076,18480,16604,16619,15956,10496,5453,3552,107289,44,58,126,304,752,1412,2294,2692,2021,9692,5183,5161,7748,9115,10869,13803,12789,7904,5373,77958,108288,50162,56636,51065,48073,44440,32993,14850,4282,410782,14697,8429,8493,8186,7846,7832,7041,5577,3665,71761,141347,84373,96855,92164,95246,105625,102377,66075,31185,815241,322,1047,3485,7826,17844,39232,58146,44855,19954,192705,25310,18023,20548,19840,18755,20617,20720,11970,4147,159929,273,370,936,2004,4769,10888,18993,14984,5657,58870,21,20,59,78,194,655,2332,6301,7542,17202,562,1190,2365,4579,9952,18803,27284,19211,6047,89993,533,565,940,1699,4767,13237,25277,24309,12855,84177,288,334,569,870,1593,2976,5441,5982,3392,21453,428,317,525,1177,3376,8710,14042,11429,4155,44158,8969,25161,28671,26969,27749,26913,18680,9278,4960,177348,93,104,245,554,1418,3125,5549,6067,3525,20681,13548,9743,12312,14745,18481,24511,23238,13861,8000,138423,215414,108255,116757,103805,96765,86068,62987,28040,7495,825583
SOS12,9,12,23,24,71,136,211,232,131,855,9,4,18,60,188,477,700,436,144,2036,314,1114,1268,1321,1575,1587,998,334,124,8639,4,5,13,20,77,139,203,214,96,768,423,371,523,730,1058,1415,1185,538,231,6476,9870,4425,4306,4623,5165,5259,3581,1138,282,38638,1382,802,678,786,877,967,899,474,252,7120,12814,7098,7190,8140,9922,11906,10562,5084,1773,74475,29,95,282,670,1828,4622,6051,3669,1169,18403,2174,1430,1441,1658,1873,2231,2154,1020,270,14248,28,33,59,195,462,1228,2002,1283,334,5629,3,4,4,8,15,63,197,411,349,1048,44,88,167,352,884,1899,2707,1650,401,8198,56,42,84,132,473,1417,2660,1998,780,7635,23,30,49,67,160,295,495,487,236,1837,18,25,54,95,318,943,1499,926,301,4179,700,1781,1976,2148,2598,2824,1884,626,187,14731,7,9,22,40,132,325,540,508,191,1781,1065,718,869,1170,1788,2694,2363,1046,373,12087,20023,9598,8841,9417,10536,10391,7226,2454,529,79017
SOS13,34,40,76,124,272,411,587,507,227,2271,50,30,49,163,495,1275,1784,1023,283,5148,922,3536,3452,3989,4855,4878,2579,826,300,25340,9,10,23,73,211,418,551,503,232,2030,1354,1382,1669,2490,3685,4956,3694,1564,575,21371,38512,19481,15501,19021,23682,22243,13408,4366,784,156998,5289,3170,2729,3464,4262,4494,3484,1692,512,29106,48701,29127,24836,31539,41886,46587,35755,15494,4215,278147,101,308,830,2337,6599,15342,19217,10443,2997,58179,6952,4856,4407,5607,6907,7838,6474,2580,604,46237,103,100,209,669,2034,4696,6897,3966,925,19591,5,0,7,15,59,169,551,1155,833,2803,174,322,467,943,2876,6057,8037,4564,958,24398,177,173,206,439,1682,5168,8648,6102,2009,24589,111,100,129,231,520,948,1497,1254,478,5266,122,79,110,313,937,2728,4114,2476,649,11524,2119,5578,5394,6541,8268,8750,5165,1719,480,44018,22,22,57,144,404,1015,1604,1349,512,5128,3494,2710,2779,4067,6552,9299,7680,3167,1005,40752,78531,43113,32417,38502,48245,46060,28565,9447,1614,326490
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,3,6,4,7,3,3,36,0,0,4,10,23,35,22,6,5,102,24,165,170,141,142,135,35,8,6,830,0,0,5,0,3,4,6,5,0,30,13,45,59,76,79,105,48,15,3,434,269,275,449,236,215,229,119,27,7,1823,285,220,335,292,212,157,68,19,7,1605,616,703,1022,749,666,698,404,104,32,4997,3,3,33,57,120,272,240,78,11,813,57,106,139,113,111,131,95,26,4,776,0,0,6,19,29,86,82,34,3,260,0,0,0,0,3,3,6,6,6,27,0,6,8,33,51,109,116,36,7,365,3,5,8,10,44,95,152,49,8,387,0,0,0,8,17,19,21,9,3,85,0,6,12,25,33,90,79,20,8,268,40,261,298,290,305,277,91,14,3,1585,0,0,4,0,8,27,25,11,0,79,37,75,101,147,154,215,125,28,8,894,583,558,974,607,499,488,303,73,4,4089
SOS20,347,386,836,1276,1941,2905,4092,4610,3452,19840,330,273,548,1044,2784,5760,9134,8255,3986,32111,7465,41642,55618,42559,38361,31366,19988,12070,8902,257970,99,158,307,691,1586,2573,4250,5201,4331,19198,13049,17044,28085,29422,33232,35928,31400,21030,13983,223161,364626,206867,274789,251383,193959,135415,78976,31586,9338,1546934,30595,21021,27707,23820,20971,17167,13421,9242,6445,170382,434336,299474,404599,374061,324269,275902,219376,132756,65245,2530013,591,2429,8446,17396,38575,71571,95732,78127,38751,351614,53126,51387,68484,62270,51496,42566,36290,21702,8394,395727,814,1094,2971,6320,13767,24916,35765,28169,11771,125600,63,67,120,155,400,1135,4122,12098,16440,34593,1300,2920,6999,16730,30213,49288,59810,41444,15324,224024,1540,1283,2321,4477,12174,28571,47304,45119,25922,168708,927,794,1595,2536,3954,6279,9156,9729,6124,41092,740,610,1154,2057,5080,10914,17324,16000,7360,61237,15768,62372,86478,70294,63849,52146,33076,19027,12295,415307,295,298,599,1339,3310,6252,10453,11603,7639,41794,33287,31088,44678,49637,57133,63792,54959,35237,20907,390718,733524,441366,567897,510544,388408,267921,150214,60011,16643,3136523
SOS21,81,88,199,301,496,806,1371,1583,1060,5992,104,89,169,387,1141,2646,4192,3123,1309,13162,2511,9168,11984,10819,10743,10026,6875,3196,2185,67505,32,43,97,197,511,917,1485,1589,1081,5948,3285,3358,5298,6038,7198,8852,8207,4866,3569,50664,71142,31221,37924,35535,31698,27879,20121,8229,2388,266138,8747,4574,5070,5084,4920,4729,4579,3282,2224,43205,91003,50925,63972,62512,62187,65674,62767,37403,17740,514183,172,598,2328,5010,11129,22630,33453,24836,10924,111077,15127,11178,14250,13933,12528,12662,12257,7017,2353,101297,187,217,559,1355,2999,6773,11312,8777,3157,35328,10,33,38,42,110,401,1295,3207,3821,8963,321,698,1569,3181,6451,11609,16754,11244,3631,55455,398,313,569,1056,3106,8156,15441,14180,7196,50408,214,189,355,552,936,1664,2884,3126,1757,11686,266,178,322,684,1926,4839,7980,6279,2397,24867,5308,14358,18330,17294,17619,16475,11827,5525,3040,109780,80,89,163,358,975,1959,3511,3613,1925,12678,8492,6361,8341,9787,12035,15187,14527,8426,5119,88276,142429,68167,78510,72005,64061,54689,38670,15562,4223,538315
SOS22,7,9,12,22,39,85,116,106,51,452,5,9,3,31,104,310,416,284,88,1251,211,704,841,954,1065,1135,682,225,153,5970,3,0,11,22,37,106,135,125,78,508,281,258,357,482,752,975,762,362,204,4424,6084,2562,2808,2960,3161,3388,2264,792,196,24218,724,435,345,487,524,655,540,331,216,4259,7733,4156,4639,5302,6247,7792,6668,3349,1415,47303,25,65,175,460,1231,2822,3899,2326,880,11876,1281,814,990,1183,1253,1505,1447,635,181,9299,21,14,39,108,292,773,1273,793,246,3549,4,0,3,6,8,30,88,236,298,672,29,63,87,216,543,1222,1755,949,264,5139,26,19,33,95,291,978,1771,1251,607,5064,16,8,14,44,81,171,302,243,106,994,23,15,20,74,201,609,959,612,181,2692,446,1087,1322,1523,1758,1978,1345,423,210,10102,13,0,10,40,79,242,356,303,144,1196,698,492,562,752,1269,1779,1480,696,321,8037,12134,5583,5842,6121,6504,6853,4652,1645,357,49691
SOS23,33,38,53,69,175,327,423,331,147,1610,34,26,57,119,368,940,1356,703,184,3784,737,2674,2909,3272,3956,3809,2066,609,207,20234,8,13,42,62,188,333,463,390,143,1644,1040,1097,1411,1934,2940,3779,2943,1185,439,16776,27958,14213,11126,13835,17580,17010,10288,3005,612,115639,3626,2229,1803,2320,2977,3253,2550,1253,391,20401,35171,21383,18401,23422,31378,35508,27492,11317,3033,207104,74,198,652,1712,5052,11633,14505,7764,1983,43580,4835,3863,3609,4608,5454,6014,5105,2140,403,36040,68,106,180,493,1515,3452,5242,2992,641,14708,8,10,12,7,41,112,344,686,483,1693,135,256,368,772,2111,4584,6216,3346,733,18530,129,141,154,332,1255,3885,6906,4530,1382,18714,78,75,88,131,352,715,1079,791,287,3598,72,46,109,254,683,1961,3009,1771,415,8318,1545,4230,4467,5181,6713,6708,4079,1244,320,34490,18,28,65,117,376,804,1312,1082,315,4107,2466,2129,2212,3136,5120,7191,5894,2389,772,31306,56769,31396,23592,28490,36181,35319,22275,6906,1268,242190
