SOS_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOS10,..,3617,112837,244870,215461,191325,152050,84495,21943,1026587,..,15031,85127,47857,32726,22010,10629,3553,521,217456,..,386,2198,7381,13295,10131,4846,2923,1984,43148,511334,..,..,..,..,..,..,..,..,511334,..,150313,..,..,..,..,..,..,..,150313,..,102396,80767,26346,16578,7589,1197,43,0,234908,..,15740,16578,6663,6056,7854,6555,3805,2123,65373,..,9875,17588,6917,4843,3621,1647,473,107,45073,..,26668,51224,15235,9971,9456,6428,2418,498,121899,..,8634,34622,33704,34336,39573,33081,20708,9358,214011,5727,7114,7881,5072,4128,3347,2459,1066,404,37190,517069,339779,408828,394033,337383,294906,218886,119478,36932,2667295,..,8819,159679,257955,216947,182812,135910,60391,9701,1032221,..,22210,89186,43863,29776,18475,7889,2109,240,213752,..,3543,20866,42512,54786,34633,16200,11652,7852,192041,483236,..,..,..,..,..,..,..,..,483236,..,154879,..,..,..,..,..,..,..,154879,..,70306,53776,13886,9253,5754,1340,67,0,154387,..,13112,11512,4158,5568,14026,17211,12465,7306,85356,..,9161,12076,3880,2495,2004,960,326,142,31045
SOS11,..,850,23511,41383,42465,48783,54489,34047,8294,253833,..,7444,22462,13252,11185,9034,5485,1958,286,71098,..,221,1362,3161,4505,2996,1540,843,593,15224,136148,..,..,..,..,..,..,..,..,136148,..,25869,..,..,..,..,..,..,..,25869,..,29185,13117,5739,4550,2443,470,11,0,55517,..,3944,2719,1312,1494,1955,1865,959,429,14673,..,2546,2953,1412,1179,823,442,165,33,9556,..,4104,6369,2463,2617,3237,2866,1092,220,22966,..,2811,8031,7873,11491,16895,17158,10692,4397,79341,2184,2524,2400,1791,1609,1475,1448,659,209,14301,138333,79490,82932,78380,81107,87647,85773,50413,14455,698529,..,1652,31543,45191,45479,51910,51705,26209,4004,257693,..,10963,23467,13401,11221,8560,4459,1281,172,73515,..,2722,11830,15850,16104,7983,4176,3309,2437,64402,130172,..,..,..,..,..,..,..,..,130172,..,27466,..,..,..,..,..,..,..,27466,..,18549,6769,2516,1972,1749,457,13,0,32035,..,3145,1548,611,1381,3081,3568,2397,1454,17189,..,2401,1875,685,559,437,250,96,42,6341
SOS12,..,55,1762,3733,4670,5877,6280,3111,584,26068,..,474,1613,1277,1311,1238,775,230,21,6934,..,20,111,244,417,275,164,114,60,1403,12469,..,..,..,..,..,..,..,..,12469,..,2506,..,..,..,..,..,..,..,2506,..,2844,1329,583,469,219,36,0,0,5479,..,307,172,105,129,256,240,120,49,1376,..,202,210,100,110,96,61,24,4,802,..,138,285,149,243,418,345,104,18,1696,..,171,454,498,1011,1902,1912,1057,343,7354,216,242,222,195,193,219,209,90,28,1622,12687,6957,6151,6890,8555,10498,10014,4864,1096,67710,..,118,2377,4253,5294,6269,5708,2206,248,26472,..,706,1805,1313,1301,1253,590,161,18,7141,..,158,783,1127,1239,681,356,275,194,4822,11730,..,..,..,..,..,..,..,..,11730,..,2703,..,..,..,..,..,..,..,2703,..,1864,695,244,203,171,40,0,0,3211,..,246,96,47,80,263,350,296,147,1527,..,205,136,39,65,54,44,9,0,558
SOS13,..,220,6466,15916,23592,27571,24812,11450,1961,111982,..,1348,4974,4094,4720,4663,2796,682,92,23367,..,35,240,742,1240,1090,597,327,219,4495,47896,..,..,..,..,..,..,..,..,47896,..,11392,..,..,..,..,..,..,..,11392,..,12421,5767,2427,1618,887,117,0,0,23231,..,852,544,368,586,862,935,598,302,5044,..,747,851,452,524,530,359,130,25,3626,..,439,734,463,751,1198,1064,373,58,5076,..,586,1357,1691,3230,5957,5964,2822,797,22416,612,992,869,659,753,824,703,285,65,5753,48511,29040,21806,26811,37026,43582,37345,16659,3510,264282,..,444,8925,18748,26041,28492,21850,7761,826,113078,..,2051,5485,4381,5021,4410,1999,398,38,23782,..,322,1725,2586,3065,1870,1065,978,588,12201,44291,..,..,..,..,..,..,..,..,44291,..,12453,..,..,..,..,..,..,..,12453,..,7468,3269,987,749,489,94,12,0,13071,..,670,261,142,311,894,1364,1160,729,5534,..,984,739,310,325,351,225,78,22,3034
SOS17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,239,260,455,361,287,227,184,54,4,2077,239,260,455,361,287,227,184,54,4,2077,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS20,..,2247,94986,213303,184386,157611,124839,71772,19202,868347,..,13044,83830,46215,30129,18995,8627,2819,426,204092,..,346,1857,6277,11729,9166,4033,2239,1571,37218,436235,..,..,..,..,..,..,..,..,436235,..,134110,..,..,..,..,..,..,..,134110,..,79986,65045,19924,13420,5923,919,21,0,185242,..,13694,16046,5530,4734,5678,4538,2474,1342,54033,..,8229,14355,4498,2791,1970,868,266,64,33045,..,27994,53049,13180,7670,6600,4370,1698,350,114912,..,8860,36615,32374,32623,34095,28069,17227,8581,198454,3935,5536,6957,4236,3356,2695,1954,955,314,29937,440170,294039,372740,345539,290843,242738,178223,99471,31858,2295621,..,5739,134570,221606,184043,150984,114253,53189,8699,873087,..,18931,87949,42632,27994,15833,6662,1651,208,201867,..,2294,16072,36551,50181,29433,12880,9338,6203,162949,413004,..,..,..,..,..,..,..,..,413004,..,138446,..,..,..,..,..,..,..,138446,..,55123,44620,10515,7376,4378,999,54,0,123070,..,11959,11023,3557,4335,10675,12154,8271,4844,66819,..,7132,9090,2327,1399,1030,530,172,75,21753
SOS21,..,417,16024,30323,29663,32118,33530,19491,4492,166052,..,3729,15795,9052,7228,5135,2987,968,143,45032,..,110,666,1786,2739,1761,846,446,285,8642,89564,..,..,..,..,..,..,..,..,89564,..,18948,..,..,..,..,..,..,..,18948,..,18958,9234,3411,2443,1065,192,0,0,35300,..,2190,2066,835,891,1044,980,448,236,8691,..,1324,1757,760,603,389,219,65,12,5122,..,2244,3811,1539,1393,1634,1392,486,90,12587,..,1511,5395,5268,7404,10258,9995,5977,2606,48417,1145,1229,1356,935,886,826,852,432,101,7756,90711,50660,56106,53904,53243,54233,50992,28310,7972,446117,..,884,21501,32435,30970,33294,31872,14766,2160,167885,..,5588,16423,9205,7084,4870,2373,638,80,46255,..,1132,6497,9559,10533,5271,2388,1787,1106,38289,84897,..,..,..,..,..,..,..,..,84897,..,20282,..,..,..,..,..,..,..,20282,..,11742,5319,1589,1214,832,194,3,0,20901,..,1750,1103,365,772,1769,1927,1202,629,9523,..,1309,1124,360,283,188,105,37,20,3424
SOS22,..,25,1068,2498,2923,3746,3897,1929,378,16469,..,250,1237,872,846,785,456,124,15,4571,..,4,46,140,262,185,93,49,30,812,7507,..,..,..,..,..,..,..,..,7507,..,1524,..,..,..,..,..,..,..,1524,..,1571,787,287,234,114,19,0,0,3010,..,173,102,45,67,104,123,53,28,697,..,89,85,46,38,54,13,9,8,340,..,109,179,96,121,202,169,62,18,949,..,115,404,464,836,1477,1553,749,232,5831,84,130,141,97,103,160,187,68,10,974,7588,3985,4043,4543,5431,6828,6504,3043,708,42679,..,52,1482,2802,3185,4053,3528,1404,173,16683,..,382,1343,887,893,735,347,89,13,4687,..,55,363,614,760,393,195,159,126,2666,7187,..,..,..,..,..,..,..,..,7187,..,1717,..,..,..,..,..,..,..,1717,..,1019,422,122,107,85,21,0,0,1768,..,98,50,21,35,132,166,104,81,685,..,88,74,29,17,23,14,5,0,251
SOS23,..,146,4487,11978,17333,21357,19286,8510,1417,84502,..,864,4107,3589,4156,3767,2049,526,41,19093,..,29,140,479,1061,796,462,245,142,3356,34260,..,..,..,..,..,..,..,..,34260,..,9069,..,..,..,..,..,..,..,9069,..,9047,4202,1548,1160,544,97,6,0,16605,..,598,372,209,341,590,602,333,195,3240,..,452,541,259,276,250,166,63,8,2012,..,338,662,379,506,688,641,244,38,3494,..,374,1138,1452,2686,4631,4840,2385,657,18174,349,666,631,388,493,578,487,193,43,3839,34602,21581,16279,20280,28013,33199,28621,12501,2554,197636,..,229,6248,13934,19217,22020,17082,5903,582,85219,..,1304,4632,3779,4362,3465,1517,294,13,19365,..,180,987,1673,2168,1393,692,595,419,8108,32170,..,..,..,..,..,..,..,..,32170,..,9924,..,..,..,..,..,..,..,9924,..,5377,2638,709,508,322,58,0,0,9616,..,447,226,93,218,579,709,669,420,3351,..,533,457,144,163,156,106,37,11,1616
