SOS_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOS10,277047,522300,141914,12685,953942,173576,27937,1155458,22187,22573,11187,1146,57102,37192,3911,98205,38593,58611,23587,2074,122860,43093,8557,174513,60781,81184,34774,3223,179961,80288,12471,272714,22486,16995,9828,1620,50926,49574,6936,107437,39799,28617,15378,2715,86505,63350,12330,162189,56594,37785,15098,3120,112593,68127,13723,194443,39190,20616,7218,2262,69290,42051,11594,122931,2003,2574,1061,140,5783,2700,480,8960,160074,106583,48581,9856,325092,225803,45068,595962,250,41,66,6,358,691,39,1088,344,53,122,20,540,1044,46,1639,18,8,6,0,32,28,0,60,1565,1168,643,164,3538,2593,897,7027,2177,1274,832,188,4471,4355,980,9812,843,790,305,50,1988,1925,295,4205,500920,712136,226405,26002,1465455,485947,86753,2038151
SOS11,154615,141838,66977,5189,368611,124451,14734,507797,10050,3572,4850,445,18915,27995,1672,48579,3979,1929,2237,183,8325,7570,851,16741,14024,5503,7084,623,27241,35561,2522,65322,3872,1777,2245,244,8137,15693,1131,24958,769,242,274,27,1309,1933,178,3415,841,125,171,15,1151,1440,107,2698,150,17,23,0,192,142,11,346,306,173,130,9,622,458,49,1134,5941,2331,2845,304,11417,19666,1469,32546,355,53,61,12,484,1053,60,1599,717,78,132,27,954,1914,92,2956,20,10,7,0,40,58,5,107,336,247,159,21,768,632,104,1509,1424,392,367,64,2242,3662,265,6166,412,237,129,14,791,1092,98,1980,176412,150298,77404,6194,410301,184430,19087,613818
SOS12,17184,14674,5741,462,38053,12944,1346,52345,195,97,93,3,392,518,39,943,112,60,66,4,246,178,19,443,311,164,153,9,636,692,59,1386,102,50,41,7,203,369,16,592,57,4,6,0,72,63,6,134,3,0,0,0,8,14,0,19,0,0,0,0,0,0,0,0,18,11,8,0,43,36,8,78,188,68,60,8,327,473,27,826,70,25,11,0,111,235,12,347,170,13,10,0,195,283,14,495,0,4,3,0,13,14,0,25,44,25,13,10,93,58,5,162,294,65,42,7,407,585,28,1025,50,45,21,8,119,129,9,254,18025,15016,6013,489,39544,14822,1473,55835
SOS13,66317,63836,15354,1336,146844,36159,4136,187132,291,239,89,9,624,270,14,906,89,66,28,8,184,51,15,248,381,303,117,11,805,320,26,1151,61,37,24,3,127,145,11,285,0,4,0,0,8,0,0,7,4,0,0,0,6,0,0,5,3,4,0,0,16,0,0,13,121,82,32,5,240,133,9,378,196,130,62,9,393,285,16,692,179,46,29,3,260,406,18,681,231,54,68,11,359,530,61,956,83,31,27,4,143,197,15,358,128,116,28,3,273,88,8,368,626,248,144,19,1036,1226,106,2365,342,281,100,12,730,540,45,1315,67857,64799,15775,1378,149805,38519,4335,192660
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,297792,516000,145259,14580,973635,219395,38731,1231761,39953,32757,16757,2172,91643,70942,8741,171329,34903,37452,14821,2106,89285,30527,9451,129267,74853,70211,31583,4277,180932,101471,18198,300598,19210,11410,7024,1301,38948,43741,5625,88315,13070,3976,2895,814,20764,27887,4405,53057,17277,4584,3316,960,26141,32040,4673,62855,20040,5444,3693,1792,30972,35107,8369,74451,169,200,96,14,483,446,22,949,69761,25617,17036,4891,117309,139226,23095,279623,53,11,12,8,82,331,5,416,182,27,65,8,278,1123,26,1426,4,0,0,0,9,12,0,18,951,489,274,62,1779,1584,472,3839,1193,535,346,72,2151,3044,503,5693,383,324,154,29,886,902,145,1934,443986,612691,194382,23860,1274911,464036,80663,1819615
SOS21,100474,100919,42084,3258,246742,86486,8705,341926,4609,1676,2391,258,8932,17331,812,27077,841,432,504,43,1816,1303,153,3272,5447,2109,2894,295,10753,18631,966,30348,1240,424,687,82,2431,5717,285,8438,45,13,15,7,76,129,9,215,7,0,0,0,12,32,0,44,3,3,0,0,6,0,0,7,31,16,17,4,68,79,3,142,1327,457,718,94,2590,5967,293,8847,128,27,16,0,172,498,29,695,297,21,46,10,376,730,31,1132,19,8,0,0,26,31,6,56,177,96,44,11,332,324,27,682,619,158,104,22,898,1572,89,2566,164,111,39,8,325,232,32,586,108030,103758,45842,3678,261301,112881,10092,384277
SOS22,11475,9220,3291,286,24270,10316,807,35398,123,45,40,4,211,393,13,620,28,13,10,0,54,39,9,99,152,56,52,4,269,430,16,719,30,17,15,0,64,158,5,228,6,5,3,0,17,4,0,20,45,13,8,3,68,111,6,186,7,0,3,0,5,0,0,9,4,0,0,0,7,9,0,20,87,35,27,3,155,288,13,457,49,4,10,3,62,134,4,194,29,5,8,0,43,57,3,103,7,0,0,0,11,10,0,18,53,39,8,4,99,67,5,171,137,52,23,9,213,266,10,487,8,9,0,0,18,41,7,67,11856,9371,3402,295,24928,11352,853,37124
SOS23,52829,48907,10938,1037,113706,29797,2833,146332,142,91,32,4,274,153,15,443,65,35,0,0,111,30,6,143,215,131,38,4,389,187,21,587,31,9,6,0,48,62,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,5,23,14,0,0,42,27,0,64,58,24,10,0,93,86,3,189,133,31,26,0,195,424,19,636,199,50,48,3,295,557,37,887,22,13,11,0,41,41,3,83,35,19,8,0,63,33,4,99,387,113,89,7,596,1048,64,1712,124,74,15,0,215,156,23,393,53608,49249,11087,1048,114997,31273,2949,149218
