SOS_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS10,63004,57064,120070,166417,154716,321127,44497,43887,88385,28724,28127,56847,240060,227114,467167,105592,100192,205781,45836,46029,91864,35806,35141,70940,187550,181622,369173,10355,10579,20930,12759,18694,31455,21235,11036,32273,25725,40503,66227,299,281,587,70368,81096,151464,77550,91252,168798,28063,32986,61053,10687,12443,23135,25597,39622,65218,380,383,764,142274,176690,318962,213054,258240,471294,12356,12025,24385,15711,21543,37254,327,290,611,28396,33855,62255,149297,144743,294038,881366,902629,1783990
SOS11,17559,16258,33818,44559,42124,86683,13169,13221,26383,6605,6558,13165,64420,61984,126403,30207,28765,58974,10607,11394,21999,6653,7007,13655,47506,47228,94728,2059,2347,4406,1685,3206,4887,7011,5018,12026,6578,12431,19009,107,87,196,17434,23092,40529,4636,8755,13391,2555,4915,7471,1241,2380,3623,4928,10383,15308,35,58,98,13392,26498,39890,30873,49639,80512,1355,1353,2702,2071,3805,5875,83,73,158,3507,5225,8736,55721,52030,107745,219581,232365,451943
SOS12,1503,1414,2921,4512,4150,8664,991,958,1950,604,598,1200,6121,5709,11831,2919,2883,5799,938,1011,1952,725,676,1400,4589,4573,9156,122,176,301,108,209,316,679,387,1062,532,1055,1581,11,13,25,1445,1834,3287,354,612,963,132,338,472,93,176,271,329,930,1258,5,6,8,912,2060,2974,2360,3905,6266,125,100,226,172,329,500,5,8,14,297,438,738,5575,5287,10858,20454,21328,41778
SOS13,5340,4972,10313,14844,13429,28270,5527,5199,10725,3438,3191,6629,23830,21831,45661,10012,9671,19686,5224,5104,10334,4348,4508,8858,19607,19305,38909,610,728,1336,309,648,956,3105,1556,4666,1686,3375,5060,49,41,94,5759,6346,12104,2115,3428,5539,508,1138,1648,483,845,1327,1108,3277,4388,26,29,52,4239,8710,12954,10017,15070,25085,411,423,833,552,1109,1658,23,20,45,988,1559,2544,26714,22150,48869,86483,84886,171375
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,37,31,72,109,126,237,14,12,30,20,17,36,146,161,310,73,93,167,15,15,34,19,8,29,107,124,229,13,16,31,11,34,46,16,20,31,38,54,96,0,0,0,84,123,205,37,60,96,25,50,74,10,7,17,23,44,67,0,0,3,97,158,254,176,286,459,14,19,31,14,24,37,0,0,0,28,43,68,2245,1516,3758,2746,2157,4898
SOS20,56570,51723,108296,140602,130911,271517,39508,38436,77942,23253,24155,47408,203663,193777,397444,91437,84348,175789,34913,35985,70894,34106,35008,69115,160687,155551,316232,12322,10885,23204,12360,16585,28940,14898,6940,21840,20336,28583,48913,240,182,422,60158,63173,123327,69320,84047,153368,27033,33159,60190,8192,9975,18170,22168,36531,58696,308,342,645,127025,164049,291072,187490,227514,415004,11605,11134,22739,14621,21447,36065,295,274,570,26517,32861,59375,118062,113945,232008,752987,775375,1528364
SOS21,11399,10531,21930,28860,26586,55445,10072,10196,20265,3376,3245,6622,42358,40072,82437,18485,17731,36214,7949,8509,16459,4342,4354,8695,30798,30624,61423,1500,1701,3200,1132,2221,3357,3883,2342,6230,3437,6033,9469,82,59,138,10035,12357,22389,3253,5592,8850,1407,3132,4542,617,1138,1757,2499,6031,8530,24,50,78,7809,15943,23754,17872,28337,46208,1284,1182,2463,1902,3201,5106,69,66,130,3250,4447,7701,30883,31123,61999,136555,145139,281693
SOS22,906,857,1760,2905,2716,5618,512,473,985,271,261,530,3692,3452,7145,1780,1803,3579,523,569,1092,418,381,793,2716,2757,5471,73,123,198,71,165,236,326,176,506,272,505,778,0,6,8,748,977,1721,204,384,584,101,237,344,31,78,104,166,520,684,7,5,10,506,1223,1727,1253,2196,3450,80,74,156,140,228,366,7,6,9,230,303,533,3552,3322,6877,12347,12885,25233
SOS23,3890,3553,7441,11438,10251,21689,3810,3807,7617,1794,1804,3603,17055,15872,32926,7592,7135,14724,3974,4127,8099,2962,3119,6082,14531,14391,28919,489,590,1076,221,546,765,1914,840,2752,1083,2021,3112,43,20,68,3745,4021,7768,1551,2574,4125,325,955,1275,257,491,752,730,2239,2972,14,27,40,2880,6289,9163,6635,10311,16948,405,356,760,534,1014,1552,34,36,72,974,1398,2376,20633,15812,36444,63724,61339,125059
