SOS_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,9,0,8,8,0,0,6,14,5,0,6,51,0,3,0,0,4,0,0,4,3,0,5,17,12,0,4,54,0,0,0,0,0,0,3,0,0,0,0,6,4,4,0,21,0,0,0,0,0,0,3,0,0,0,5,6,6,4,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,3,4,4,0,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,3,4,12,3,3,0,0,0,0,6,6,5,5,72,0,0,23,81,109,94,94,45,6,0,8,14,7,14,69,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,6,0,14
SOS40,238,241,231,379,105,38,71,5075,0,0,7,3,4,347,617,351,52,65,29,41,3,14,35,1580,23,153,466,369,412,166,435,385,30,37,36,31,13,6,73,2637,585,6508,4927,877,277,198,329,409,91,71,90,84,34,9,541,15034,3,33,17,20,87,222,478,221,49,43,48,103,55,13,36,1430,0,0,7,34,197,260,1536,741,159,147,186,183,90,4,73,3619,22,59,168,374,279,190,281,128,41,35,40,31,30,7,64,1740,6,44,319,618,1114,659,1929,1364,421,477,468,449,248,38,92,8247,0,0,0,6,10,27,1286,1550,689,1009,1008,1000,306,29,105,7032,130,2061,626,243,167,103,253,114,20,33,10,30,21,0,111,3927,61,109,526,1493,2038,1416,1685,865,123,129,140,112,87,90,261,9114,17,41,81,63,32,46,24,18,0,0,0,4,4,0,4,327,5,0,12,24,20,170,833,1793,354,507,560,641,292,76,102,5395
SOS41,9,9,0,6,0,3,5,92,0,0,0,0,0,0,3,3,3,0,0,17,11,0,0,41,5,35,99,64,40,27,60,47,4,0,5,7,3,0,19,423,62,423,303,65,17,9,24,29,3,5,0,3,5,0,73,1028,0,4,0,4,3,25,47,26,5,0,0,11,0,0,0,144,0,0,0,3,28,16,57,27,7,9,12,4,6,0,7,171,3,0,8,8,8,9,15,5,0,0,4,0,0,0,0,57,6,3,48,46,43,37,90,44,63,75,73,54,19,3,13,617,0,0,0,3,4,0,29,17,17,42,10,20,5,0,12,167,45,872,197,96,46,18,63,20,4,6,3,6,0,0,51,1416,12,23,192,461,569,397,494,282,44,30,37,38,26,23,117,2735,0,4,6,8,0,6,4,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,45,99,23,20,12,18,20,0,4,255
SOS42,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,15,0,4,13,9,0,0,0,0,0,0,0,58,0,23,20,3,3,0,5,3,0,0,0,0,0,0,4,58,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,5,3,0,0,0,25,0,0,0,0,0,0,0,5,0,3,8,0,0,0,0,20,4,125,39,13,11,3,16,0,0,0,0,0,0,0,8,218,4,5,31,99,86,63,48,23,10,8,0,0,0,3,31,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11
SOS43,0,0,0,4,0,0,3,36,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,0,10,29,25,19,20,30,22,0,3,5,0,8,0,7,171,19,223,173,27,7,11,7,7,0,0,4,0,6,0,28,517,0,0,0,6,0,12,10,9,0,0,0,4,6,0,5,51,0,0,0,0,10,4,19,7,0,0,0,0,0,0,5,32,0,0,5,3,7,3,3,0,0,0,0,0,0,0,0,26,0,3,18,14,10,13,15,20,25,27,32,18,0,0,8,201,0,0,0,0,0,0,3,8,0,0,0,4,0,0,4,24,11,294,99,42,32,23,33,13,0,3,0,7,0,0,12,567,3,9,93,184,267,166,186,85,19,19,16,12,14,4,63,1152,0,0,4,7,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,3,7,9,7,8,7,0,0,0,0,3,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SOS50,220,192,218,293,87,48,65,6198,0,9,27,10,28,941,1168,772,128,113,120,82,31,14,79,3524,47,223,911,1024,2707,1040,3684,4670,239,218,293,436,268,111,219,16100,741,5325,4196,1070,478,389,856,1594,243,158,159,207,113,24,570,16109,8,28,23,86,305,758,1378,616,138,158,220,280,150,83,115,4341,0,3,4,116,356,459,2409,1481,231,243,204,277,73,25,132,5998,3,16,84,202,260,146,191,95,30,15,12,20,16,3,43,1143,64,206,1022,2392,6866,3196,7722,4428,1013,977,1031,942,562,73,562,31049,0,0,0,0,12,59,1019,868,318,391,597,626,234,18,65,4201,264,2641,633,466,676,390,774,394,53,70,65,98,47,16,169,6752,64,183,1664,5126,10067,8261,14481,11265,848,782,885,1032,498,458,1548,57154,39,153,533,664,654,526,364,150,41,23,25,34,16,8,93,3318,13,18,60,95,163,331,1462,2227,443,520,529,743,420,56,109,7203
SOS51,10,12,14,0,4,0,5,148,0,0,0,0,6,9,18,23,3,0,0,0,0,0,0,68,8,31,91,129,208,75,297,399,16,15,7,27,5,0,28,1329,86,419,248,59,15,19,50,133,14,19,16,27,12,0,87,1205,6,4,4,0,14,42,89,44,3,9,15,16,6,9,0,253,0,0,0,6,15,16,97,88,24,7,20,36,11,5,15,344,0,0,4,7,15,13,14,9,0,0,4,7,3,0,4,76,9,24,70,85,97,64,156,101,25,50,51,25,11,3,35,788,0,0,0,0,0,0,51,41,40,20,26,15,12,0,0,213,39,529,122,78,111,52,105,65,10,4,14,12,14,0,39,1202,17,43,392,1238,1996,1718,3282,2080,156,215,196,238,121,93,493,12279,4,9,12,11,10,14,3,0,0,0,0,0,0,0,3,77,0,0,3,7,4,4,76,137,23,17,23,20,9,16,5,354
