SOS_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15
SOS29,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
SOS30,1599,2631,10476,20434,5216,35900,4474,22963,1691,105394,8002,26795,26273,35571,20941,25658,10023,20048,3334,176653,39481,114092,61071,51848,48027,27739,22585,32413,7909,405169,62242,116886,51279,41529,52219,21482,21254,26643,7487,401030,61701,92509,42506,39633,54621,22419,21596,27058,6130,368172,35971,55414,28649,26883,41347,17790,18552,23042,3814,251454,9026,15159,6495,5438,10427,5593,5055,6294,1185,64670,1349,1655,504,370,1032,758,408,728,405,7211,110,80,23,7,61,39,18,29,136,504,219485,425217,227273,221722,233897,157377,103967,159223,32096,1780257
SOS31,418,340,4041,4488,1140,9146,1017,6498,547,27635,1352,3606,7554,5960,3208,4320,2540,5739,668,34941,6457,14759,16719,10672,8862,5537,7262,11188,1638,83100,9412,15489,14234,10238,10009,5036,8023,8776,1705,82914,10227,13850,12214,10834,10985,5478,8985,9169,1607,83335,7596,10173,9092,8383,9072,4800,8228,8557,1136,67038,2313,2816,2038,1626,2240,1360,2096,2196,389,17070,467,276,166,101,230,166,160,244,171,1977,50,11,10,9,12,11,10,14,69,188,38299,61311,66059,52318,45749,35853,38318,52365,7937,398196
SOS32,46,47,540,557,121,941,119,810,95,3268,139,409,853,643,343,422,289,697,89,3881,742,1487,1849,1219,979,573,877,1223,244,9195,1348,1737,1837,1357,1245,590,1047,1212,259,10631,1695,1882,1704,1657,1579,806,1441,1607,283,12647,1516,1656,1606,1377,1456,792,1536,1701,250,11892,539,513,372,253,388,242,407,441,101,3257,104,56,38,20,52,23,30,63,33,427,10,4,0,0,0,0,0,0,11,31,6145,7780,8806,7074,6160,4390,5742,7762,1365,55220
SOS33,276,220,2589,2027,609,3597,513,3461,337,13632,771,1173,3132,1925,1148,1315,1018,2921,287,13696,3815,4347,5860,2862,3144,1528,2560,4270,590,28978,7467,6802,6293,3361,4774,1631,3263,3819,787,38205,10973,7936,6578,4602,6353,2535,4799,4937,1015,49722,10190,6095,5512,3858,5502,2215,4783,5055,853,44064,5751,1799,1312,797,1533,682,1315,1546,408,15140,2057,208,109,56,213,108,129,257,228,3367,229,8,6,0,15,7,8,27,54,359,41538,28588,31392,19497,23291,13610,18392,26301,4555,207163
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,3,0,13,0,4,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,29
SOS39,0,0,15,32,6,31,10,30,4,128,22,29,26,59,21,40,20,91,20,325,71,158,110,162,61,44,71,332,27,1027,88,122,91,61,49,30,67,109,20,644,45,73,77,63,59,27,59,80,18,497,52,81,43,39,61,33,79,69,13,464,13,22,14,10,18,8,16,20,3,118,0,0,5,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,290,488,386,429,275,208,319,732,98,3219
SOS40,358,639,2627,5816,1248,11120,865,7129,469,30286,2391,8546,8577,12454,6315,9351,2759,7266,1057,58715,12256,39354,20508,19763,15827,9021,7638,12200,2374,138940,19392,38396,16660,15569,17449,6612,6892,9442,2321,132731,19394,29010,14163,13509,18443,6968,6936,9498,2038,119963,12980,20485,10645,10449,15753,6084,6437,8224,1395,92447,3305,6219,2486,2127,4015,1688,1412,2007,436,23689,473,720,253,125,384,239,94,209,194,2698,38,39,15,8,12,22,5,16,60,226,70595,143421,75934,79822,79448,51114,33035,55991,10343,599698
SOS41,122,107,1135,1636,289,3050,258,2515,165,9262,559,1231,2524,2308,975,1708,744,2161,204,12414,2489,5549,5502,3988,2685,2284,2119,3683,464,28761,3955,5845,4240,3588,3384,1836,2138,3124,480,28588,4617,5634,4060,4113,4171,2254,2480,3488,531,31344,3680,4166,3293,3702,3400,1977,2644,3442,462,26769,1341,1316,855,745,951,510,682,904,168,7479,302,136,79,46,118,49,65,101,111,1008,23,4,7,4,9,3,0,8,19,82,17089,23979,21694,20134,15970,13679,11124,19432,2608,145710
SOS42,19,12,197,226,22,291,34,310,25,1129,70,132,340,273,99,159,101,285,18,1479,362,647,693,462,346,218,267,543,63,3590,570,567,648,478,438,245,280,488,63,3778,722,611,645,543,566,298,431,645,91,4557,773,645,628,603,573,310,509,695,90,4825,360,201,164,105,162,102,185,208,53,1532,71,21,17,3,19,16,10,38,16,217,12,0,4,0,3,0,4,0,4,28,2962,2829,3335,2694,2234,1621,1826,3213,431,21143
SOS43,134,65,700,733,151,1075,125,1221,102,4311,380,385,1015,756,335,517,334,1000,89,4807,1727,1609,1743,982,831,484,634,1400,171,9585,3283,2365,1672,1095,1430,546,782,1298,217,12683,4701,2568,1953,1510,1965,840,1162,1738,295,16730,4794,2243,1800,1424,1900,837,1209,1922,274,16410,2783,771,465,282,561,195,357,609,177,6201,806,89,47,15,66,33,23,109,87,1285,89,3,0,0,3,0,0,12,16,122,18693,10107,9399,6799,7246,4527,4628,9308,1434,72129
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOS49,0,0,0,7,0,6,4,15,0,32,0,0,3,8,0,12,3,18,5,61,17,38,31,27,15,15,14,48,6,211,23,36,21,17,12,11,12,21,3,156,10,18,18,13,5,3,21,23,6,128,10,19,17,11,18,8,9,16,5,106,0,3,0,5,9,5,3,5,0,26,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,66,123,106,76,64,57,66,141,27,724
SOS50,668,1242,5462,10990,2318,18680,2504,12527,809,55204,3714,13065,14980,19851,9749,14762,5867,11357,1600,94947,20644,65676,38935,27900,25902,13672,15379,17817,4140,230057,33947,68423,35378,23944,29004,10795,15525,15229,3869,236108,33365,51844,28790,21589,29310,11061,14661,14711,3226,208557,22015,34109,20285,15397,24182,9241,12769,12479,2150,152624,5791,10430,4787,3470,6755,2996,3373,3851,720,42173,783,1269,361,230,658,355,253,509,262,4679,43,69,16,8,44,26,9,31,87,336,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
SOS51,114,146,1733,1960,467,3579,442,2679,232,11348,478,1253,3367,2055,1232,1488,1158,2221,215,13471,2740,6462,8579,4216,3663,2249,3480,4338,620,36346,4506,7163,7791,4538,4467,2136,3947,3975,749,39263,4780,6326,6379,4488,4630,2345,4493,3827,680,37955,3575,4571,4459,3382,3801,2031,4039,3426,494,29778,1230,1326,995,755,1055,561,1065,951,162,8100,242,114,76,47,88,74,62,139,66,912,19,7,0,3,3,9,4,6,23,69,17687,27373,33376,21435,19407,14474,18692,21559,3235,177243
SOS52,13,21,202,177,40,213,52,296,37,1051,71,141,328,242,147,140,161,285,37,1553,365,621,836,599,415,196,438,587,91,4147,596,655,786,532,471,206,514,468,86,4315,693,640,761,599,507,260,648,630,109,4856,739,604,649,526,537,270,815,643,103,4876,343,189,176,113,148,93,254,221,58,1583,91,17,9,15,18,10,25,36,22,242,8,4,0,0,0,0,0,7,7,26,2921,2897,3756,2796,2286,1381,2909,3169,540,22648
SOS53,109,52,759,692,138,971,218,1154,107,4212,339,404,1234,691,350,448,561,999,118,5141,1703,1687,2375,937,975,428,1203,1621,197,11122,3321,2311,2691,1070,1553,516,1466,1386,231,14540,4852,2657,2800,1492,2105,785,2057,1642,346,18726,4869,2365,2356,1321,2054,743,2075,1736,289,17795,2820,770,628,292,587,249,590,640,130,6706,869,79,56,26,86,31,49,137,75,1400,119,4,0,0,0,0,0,9,14,147,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
SOS57,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
SOS59,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
