SOS_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,3,6
SOS49,29,12,20,8,0,0,119,12,27,23,20,17,4,5,0,107,5,9,3,0,3,0,0,0,16,12,22,16,9,9,7,0,0,60,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,36,77,88,52,34,29,5,4,316,97,214,187,122,116,75,11,5,826,6,10,4,6,11,6,0,0,33,0,7,3,3,0,0,0,0,24,10,42,37,27,45,39,6,0,213,8,12,11,16,13,7,0,0,71,0,15,7,0,5,4,0,0,36,9,35,25,21,26,27,0,0,129,0,9,8,6,12,8,0,0,46,17,53,36,32,34,20,3,0,198,12,41,37,30,23,15,5,0,157,5,20,8,4,5,0,0,0,41,15,32,17,23,8,12,0,0,98,0,0,0,0,0,0,0,0,0,5,7,0,5,5,0,0,0,30,81,172,189,152,148,78,10,3,826,173,443,376,325
SOS50,31344,24382,16192,9011,3592,1118,120146,7360,18453,19816,16299,12382,7462,2307,478,84554,3624,6290,5459,3271,1927,1232,602,206,22601,5055,9659,7703,5964,3738,2475,973,239,35808,332,169,101,88,113,99,49,26,966,575,1430,1646,1283,910,621,254,101,6821,6246,9606,8144,6532,5599,5689,5745,4840,52406,46797,121000,121539,95637,71427,46768,22250,9744,535158,3874,9185,9276,7460,5501,3670,1506,322,40790,2681,7605,10326,5610,3019,1135,219,18,30627,9976,36417,37864,31879,28399,21516,9995,2775,178814,3758,12345,10894,8870,7454,5495,2759,840,52416,1210,3293,3774,2980,2184,1304,608,180,15532,8733,29013,25048,20049,16843,11034,5270,1664,117649,4116,14256,16218,16509,15087,11724,5138,1354,84411,14671,41845,51468,41118,28385,17302,7091,1875,203746,11405,26510,27463,23028,17570,11540,3988,833,122348,6540,10472,8820,5227,3189,2198,930,288,37663,7005,14399,12516,9245,6079,3752,1570,354,54919,649,318,178,154,175,156,88,34,1754,1131,2981,3496,2954,2136,1388,699,237,15022,13460,22177,20096,16609,13298,11153,10094,7470,114353,89201,230803,237432,191705
SOS51,4139,3302,2441,1357,489,128,17126,1133,2493,2915,2594,2179,1238,334,44,12930,320,646,609,441,325,223,125,37,2731,906,1893,1490,1271,691,444,161,32,6889,69,42,24,16,23,8,10,5,188,80,148,203,195,164,82,29,17,922,2107,2886,2653,2363,1997,1782,1481,1027,16300,8427,18813,19502,16633,13164,8687,4157,1738,91122,235,778,945,704,483,362,135,21,3671,300,542,580,335,221,138,38,5,2161,2301,7042,7129,6320,5428,3761,1584,403,33970,739,2353,2064,1668,1608,1155,520,141,10246,480,930,1189,1048,823,478,242,65,5255,1234,3620,3571,3174,3106,2111,963,302,18069,731,2603,3416,3496,2885,2090,813,195,16233,2025,4911,5733,4803,3681,2237,850,194,24439,1537,3255,3707,3344,2852,1736,521,86,17046,533,931,900,634,491,351,180,43,4058,1211,2617,2325,2010,1220,710,287,47,10432,127,84,36,23,43,17,11,9,350,176,372,519,524,406,237,100,33,2361,4579,6334,6043,5579,4699,3649,2717,1609,35207,16209,36374,38152,33673
SOS52,411,341,290,192,80,17,1853,120,281,287,284,367,212,34,6,1600,22,73,52,48,48,38,19,0,306,98,201,149,137,98,74,25,0,779,11,6,0,0,0,5,0,0,24,3,18,16,23,30,15,5,0,101,418,448,468,468,535,457,322,157,3277,1070,2235,2233,2072,2223,1564,732,245,12383,21,92,99,88,67,47,24,3,442,26,39,52,35,40,19,0,0,206,249,764,747,753,840,652,255,50,4313,61,198,197,197,214,177,76,14,1136,97,203,242,200,192,120,47,3,1100,106,331,362,341,470,339,152,44,2151,98,382,377,418,437,329,121,19,2174,200,505,517,497,441,307,116,28,2606,146,359,386,359,448,299,69,13,2082,42,93,85,72,66,65,32,5,458,131,273,216,213,179,120,42,3,1169,18,7,6,0,0,5,3,0,35,10,41,53,50,69,44,20,0,299,846,970,1006,1132,1221,1013,647,250,7077,2043,4256,4331,4372
SOS53,1402,1516,1303,636,181,30,6407,286,647,876,970,938,528,107,5,4354,136,215,241,226,198,131,48,4,1204,264,477,509,514,357,187,53,8,2366,20,6,6,8,12,7,0,0,58,15,37,82,83,88,43,14,0,362,905,946,1068,1229,1201,924,500,90,6873,2909,5356,7051,7898,7459,4617,1570,273,37138,101,283,437,463,383,288,74,6,2039,89,117,134,159,137,64,15,0,713,956,2483,2744,3115,3262,2196,739,88,15576,250,669,706,776,829,601,199,34,4065,469,696,1047,1100,918,600,191,34,5057,374,953,1123,1425,1720,1122,427,92,7227,241,657,1152,1502,1608,1293,361,58,6865,661,1264,1911,2247,1997,1131,343,59,9614,439,855,1091,1222,1251,785,194,18,5855,222,339,328,320,273,224,79,12,1811,365,659,722,757,559,302,105,8,3472,45,4,11,12,19,13,5,0,112,55,105,168,206,217,133,43,9,942,2353,3170,3306,3556,3187,2200,1102,222,19104,6605,12260,14884,16860
SOS57,0,0,0,3,0,0,8,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,8,0,0,0,0,20,13,12,6,7,3,5,0,0,48,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,18,46,27,15,5,0,0,113,0,7,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,3,0,0,3,0,0,11,0,4,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,4,3,4,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,22,51,75,48,21,3,0,0,228,38,97,145,92
SOS59,52,43,46,17,0,0,269,23,56,35,29,49,17,0,0,209,6,34,14,4,6,0,0,0,62,11,27,20,16,12,7,0,0,91,5,0,0,0,5,0,0,0,5,3,0,0,0,0,0,0,0,10,167,265,278,228,156,95,21,9,1217,269,590,509,363,340,179,25,7,2290,10,29,17,12,15,9,0,0,80,3,10,9,7,4,6,0,0,39,20,122,98,82,90,71,19,0,508,6,41,40,28,21,23,0,0,165,9,17,17,8,10,11,0,0,67,18,74,58,24,37,31,6,0,238,12,29,25,22,25,16,0,0,135,36,116,86,61,67,40,5,0,413,33,77,60,38,63,26,6,0,297,16,40,18,9,8,4,0,0,95,20,40,39,24,29,11,0,0,167,5,0,0,0,5,0,0,0,5,15,9,5,9,11,0,0,0,39,338,666,815,753,496,247,70,22,3408,529,1270,1293,1073
SOS60,2806,1850,1399,848,276,121,12538,635,2211,2050,1898,1583,1091,348,76,9884,183,669,490,378,292,210,100,29,2363,345,868,603,514,344,206,109,25,3016,32,13,0,12,9,14,7,0,97,63,183,188,173,115,84,45,14,860,603,960,681,542,592,713,748,477,5316,3870,14133,10558,8573,7511,5867,2882,1197,54581,342,1061,880,818,609,505,204,70,4495,362,2002,1068,483,280,131,25,0,4355,447,2308,1695,1713,1773,1562,988,326,10808,346,1200,962,867,831,575,353,103,5233,128,405,378,388,308,205,76,30,1911,789,2864,2083,1762,1824,1488,674,243,11735,193,1240,1440,1392,1626,1665,805,252,8619,1281,8222,4721,3203,2520,1692,651,212,22497,917,3310,2948,2790,2320,1769,592,128,14775,337,1137,870,658,490,354,169,57,4064,571,1513,1109,861,582,352,162,31,5184,52,45,10,16,15,22,14,3,174,110,376,350,320,229,178,94,25,1683,1239,2069,1483,1227,1209,1335,1282,735,10563,7117,27752,19996,16491
SOS61,2121,1878,1653,965,318,95,10184,731,1935,1826,1908,1837,1102,251,45,9633,112,381,308,258,266,188,79,25,1618,582,1216,862,731,441,315,121,24,4296,22,22,11,8,12,5,9,9,99,35,98,104,106,79,79,38,11,551,811,908,766,842,888,1196,1201,623,7253,4076,10895,9428,8864,8320,6518,3384,1251,52744,94,402,389,351,315,258,134,26,1963,200,813,526,296,218,135,20,3,2211,718,2581,2122,2268,2651,2266,1270,343,14218,578,1502,938,954,1020,743,419,108,6269,194,506,509,512,421,248,110,35,2540,705,2480,1899,1813,1938,1598,757,219,11413,288,1263,1680,1564,1572,1542,883,252,9036,1016,4184,3313,2900,2576,1685,620,158,16457,955,2593,2383,2479,2394,1566,411,82,12857,223,652,531,431,404,326,147,38,2755,814,1763,1328,1137,788,530,212,44,6611,32,44,13,17,12,12,17,12,156,82,239,260,258,198,178,89,31,1335,1728,1981,1656,1758,1880,2201,2132,1031,14371,7613,21014,17542,16737
SOS62,249,271,265,170,52,9,1324,51,189,215,260,319,207,52,5,1300,13,44,67,56,53,51,17,3,296,50,134,143,101,79,63,18,4,587,4,0,8,0,0,0,6,0,14,7,15,15,18,20,15,3,0,96,93,123,120,148,201,206,191,81,1169,363,1131,1263,1345,1556,1216,541,163,7581,5,46,71,86,80,63,28,4,394,12,56,37,46,41,33,3,0,223,89,312,333,420,535,490,202,39,2410,52,180,151,173,222,152,81,11,1025,37,101,123,113,89,68,32,10,573,46,181,224,260,354,287,115,30,1498,25,155,220,217,297,326,134,30,1401,87,355,370,417,427,309,107,25,2091,74,235,284,331,422,309,85,7,1748,22,68,94,81,77,98,30,5,474,71,196,209,169,155,107,26,9,939,4,0,8,0,0,6,6,0,16,14,37,33,41,45,38,16,5,223,262,250,240,319,409,462,356,145,2444,795,2180,2393,2663
SOS63,1082,990,978,477,104,15,4682,225,640,843,971,1037,569,87,14,4379,49,154,199,207,224,152,37,8,1031,177,405,385,365,270,145,38,0,1783,8,8,3,3,0,5,0,0,33,11,28,75,71,91,46,17,0,342,418,416,479,555,669,607,339,101,3588,1499,3875,4972,5235,5731,3635,1175,220,26352,43,205,326,326,364,255,93,10,1613,43,145,168,143,162,69,17,0,750,375,1150,1423,1765,2035,1479,534,97,8853,221,673,591,662,798,533,180,25,3682,223,543,709,729,628,335,99,13,3296,208,701,868,1065,1447,957,299,52,5596,71,409,747,821,1016,980,362,39,4456,306,1173,1479,1497,1495,893,204,27,7074,296,819,1076,1270,1357,906,180,24,5924,96,245,313,308,363,278,85,7,1697,233,547,567,565,469,250,65,6,2690,12,9,3,10,10,13,0,0,47,31,72,138,166,176,121,42,5,742,925,883,1024,1240,1491,1399,721,199,7889,3081,7568,9425,10560
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3
SOS69,12,3,8,0,0,0,39,3,8,4,10,12,9,0,0,44,3,6,0,3,3,0,0,0,15,3,8,3,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,9,21,11,18,19,19,25,7,4,130,39,68,68,56,63,47,8,4,347,0,0,5,0,0,0,0,0,10,5,0,3,3,4,5,0,0,19,6,17,8,12,21,7,6,0,73,0,3,3,0,8,0,0,0,26,0,0,3,7,5,0,0,0,18,3,15,11,7,12,0,0,0,45,0,3,8,12,9,6,0,0,28,3,12,15,9,10,3,0,0,53,9,13,12,17,12,13,0,0,59,4,6,5,5,6,0,0,0,32,7,9,6,3,6,0,0,0,39,3,0,0,0,0,0,0,0,3,0,9,0,3,9,0,0,0,16,41,52,53,46,53,77,8,3,342,70,148,130,130
SOS70,1993,1351,861,346,85,18,7651,360,1415,1304,970,711,342,81,7,5180,79,314,250,143,83,52,11,5,934,226,596,454,281,151,69,16,6,1792,12,9,13,9,3,0,0,0,41,26,125,104,88,52,28,12,0,433,695,1212,946,716,557,360,206,90,4791,2701,9879,8087,5539,3862,2017,712,173,32967,98,403,431,300,206,137,32,5,1620,264,777,594,280,141,65,4,0,2127,700,2317,1922,1612,1288,766,297,58,8957,178,642,564,426,372,218,90,18,2505,113,282,320,260,165,87,19,6,1244,473,2523,1805,1127,847,428,160,37,7393,199,1062,1129,945,804,541,217,25,4916,823,4272,3235,2227,1406,645,164,21,12806,608,2152,2038,1525,1083,584,154,23,8166,134,466,399,247,152,87,25,3,1516,389,1001,820,498,260,135,32,6,3141,16,19,18,17,5,3,4,0,82,62,266,257,221,135,74,24,0,1038,1556,2595,2029,1651,1247,799,398,157,10431,5610,18774,15566,11336
SOS71,433,384,231,85,15,6,1800,101,526,456,325,251,96,17,0,1773,22,112,58,45,37,21,4,0,289,99,165,129,74,50,17,6,0,543,5,0,0,6,6,0,0,0,18,15,42,21,20,15,12,0,0,126,368,590,436,370,280,153,52,28,2288,927,3203,2466,1977,1483,656,180,61,10950,16,87,103,58,54,29,12,0,353,18,126,100,37,29,8,0,0,326,140,602,486,393,377,193,56,9,2256,48,244,227,169,132,59,19,5,899,52,121,109,89,63,19,8,0,452,141,932,699,464,399,165,36,20,2846,76,379,379,377,358,179,61,7,1822,138,866,708,579,372,166,22,6,2858,159,802,737,549,398,171,35,4,2857,47,172,125,71,70,35,6,0,528,145,289,244,142,101,37,5,0,969,5,0,0,4,7,5,0,0,32,24,78,84,51,39,20,4,0,294,789,1170,882,732,600,325,101,45,4654,1812,5867,4889,3714
SOS72,120,110,75,25,3,0,493,27,137,105,105,85,34,3,0,501,8,19,6,16,12,0,4,0,78,37,47,43,26,9,7,0,0,180,0,0,0,4,0,0,0,0,7,0,3,15,6,3,0,0,0,34,253,240,197,171,172,92,19,0,1152,420,821,716,668,612,258,40,0,3536,3,16,14,20,18,7,5,0,77,4,14,7,5,10,0,0,0,40,44,139,154,162,151,77,15,0,748,39,63,80,57,50,20,7,4,311,37,80,78,65,47,13,6,0,321,20,89,97,95,136,39,3,0,481,27,147,141,153,150,79,10,0,713,41,188,167,164,121,40,5,0,730,36,201,171,162,125,54,12,0,749,14,37,17,24,23,9,3,0,130,56,100,64,48,31,10,0,0,304,0,0,5,9,0,0,0,0,9,12,17,22,15,10,6,0,0,81,483,519,391,333,335,183,40,9,2293,818,1602,1421,1311
SOS73,306,318,222,79,16,0,1305,57,181,192,212,164,65,11,0,889,8,33,32,30,27,11,11,0,141,53,110,87,79,50,10,6,0,395,0,6,0,0,0,0,0,0,12,0,12,18,20,12,6,0,0,74,340,368,361,355,306,196,61,14,2002,763,1449,1513,1537,1191,596,146,14,7210,5,48,44,63,43,27,4,0,238,14,21,25,29,29,3,0,0,121,215,563,528,637,512,300,84,11,2847,78,181,165,174,167,87,28,3,881,164,167,181,178,114,57,16,0,867,68,225,204,209,207,132,36,3,1086,29,144,198,244,201,130,30,0,983,151,328,401,443,304,142,30,0,1801,84,244,267,283,234,98,31,0,1237,8,52,43,36,36,20,13,0,202,78,149,131,136,99,32,15,0,627,3,7,8,0,0,0,0,0,14,8,32,38,55,30,15,6,0,190,807,872,798,875,735,456,168,28,4738,1716,3026,3029,3356
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,6,7,0,0,0,26,9,19,16,10
SOS79,26,17,24,7,0,0,113,6,35,21,13,20,8,0,0,103,3,16,3,0,3,5,0,0,25,0,8,3,7,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,75,147,117,155,127,39,6,0,662,101,307,214,229,210,76,9,0,1144,6,13,8,3,5,7,0,0,35,0,0,8,4,4,0,0,0,19,4,41,29,17,33,39,10,0,171,0,19,15,8,15,8,0,0,70,3,11,6,7,5,0,0,0,30,8,49,20,14,28,9,0,0,123,0,11,13,17,18,13,4,0,78,9,47,46,25,33,19,0,0,179,6,43,29,19,20,16,0,0,141,0,21,6,10,3,8,0,0,43,0,7,8,11,14,5,0,0,43,0,0,0,0,0,0,0,0,0,6,0,4,0,3,0,0,0,19,149,269,265,327,266,101,22,0,1396,183,547,451,471
SOS80,7712,5953,4047,2409,882,264,30416,2476,7985,7342,5475,4125,2877,1145,249,31673,652,1920,1726,1135,654,377,167,60,6694,825,1393,1132,842,464,281,146,45,5119,33,22,16,17,19,20,10,6,141,157,486,602,457,345,214,125,53,2438,1645,2083,1535,1158,882,957,814,561,9625,10548,33618,30822,23076,17073,12215,5781,1995,135122,1062,3388,2965,2566,2122,1721,851,232,14904,1608,5711,5854,3437,2279,919,156,11,19976,937,5079,4668,3794,3276,2581,1377,526,22240,892,2740,2077,1677,1289,892,553,173,10287,258,948,903,864,637,398,210,62,4281,1532,6239,4899,3529,3035,2201,1107,405,22939,653,3397,3696,3125,2743,2743,1577,397,18325,2729,13194,13335,10374,7062,4292,1610,430,53024,3884,12885,11772,9223,6973,5394,2361,553,53038,1153,3217,2918,1855,1076,653,268,78,11224,1218,2484,2052,1501,827,442,235,60,8819,75,48,25,28,24,34,15,7,254,312,948,1114,876,640,455,273,118,4740,3440,4579,3482,2539,1964,1775,1456,886,20119,19760,64847,59754,45396
SOS82,14,8,10,3,0,0,38,3,3,9,10,4,4,0,0,34,0,0,0,0,0,0,0,0,9,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,15,12,21,43,42,34,18,6,0,172,0,3,0,0,3,0,0,0,12,0,4,7,0,4,0,0,0,10,0,0,7,6,8,0,5,0,31,0,4,5,8,5,7,0,0,25,0,0,0,8,0,3,0,0,10,0,0,6,12,4,6,4,0,31,0,6,4,3,9,11,0,0,31,3,5,21,11,10,7,4,0,63,3,11,18,18,12,8,0,0,64,0,0,4,8,0,0,0,0,11,0,3,4,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,9,5,0,0,27,15,37,80,84
SOS83,9,7,6,3,0,0,26,4,5,8,3,8,0,0,0,29,0,5,0,6,0,0,0,0,13,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,11,0,9,3,0,0,0,37,24,48,27,32,24,15,0,0,170,6,8,0,4,0,7,0,0,20,0,0,0,0,0,0,0,0,3,0,4,5,9,7,3,0,0,30,5,15,5,10,8,4,0,0,35,4,6,3,0,0,0,0,0,15,5,13,0,8,0,4,3,0,31,0,5,6,4,0,0,0,0,19,6,8,7,6,12,3,0,0,43,8,11,12,4,6,5,0,0,58,3,5,0,6,0,0,0,0,13,0,3,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,27,17,6,16,13,7,0,0,86,59,100,52,59
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,13,0,0,0,3,0,24,0,13,6,6,10,5,0,0,34,3,0,3,0,0,0,0,0,10,4,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,7,3,6,4,0,0,35,20,43,36,21,36,7,3,0,166,0,5,0,8,0,0,0,0,16,0,0,0,0,6,0,0,0,15,0,11,0,4,5,0,0,0,22,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,4,5,7,4,7,0,0,0,21,0,0,0,0,5,0,0,0,11,7,4,11,0,3,0,3,0,40,0,19,10,8,10,6,0,0,56,3,0,3,0,0,0,0,0,12,6,3,10,4,4,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,16,17,40,25,21,14,5,0,136,50,80,77,58
