SOS_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
SOS10,12605,14016,10638,7277,39874,67290,20458,59068,2125,233356,9823,25200,17934,14117,83095,120125,25811,60782,2966,359859,39400,23448,17354,10250,48276,61337,12956,21777,4394,239195,15948,12803,8940,5179,13796,10879,5505,5603,1354,80011,5303,8249,6835,3932,30505,26385,6361,11604,942,100108,10242,19126,11228,4885,15577,15948,3683,7166,1207,89071,13951,14133,13435,7352,29141,24709,7794,14786,2651,127954,21396,26649,16497,7285,20371,16829,3881,6547,2587,122039,2765,2329,1938,973,4588,4996,975,2558,7773,28890,131433,145945,104804,61256,285217,348507,87428,189892,26001,1380487,13476,12546,12312,9671,32925,39127,11971,25714,1132,158874,24240,47148,47904,33742,90943,101318,22972,43567,3202,415042,10161,7331,6703,3558,9209,6684,1238,1996,615,47480,33240,41380,32517,19012,27780,15254,3391,5460,2749,180790,20005,40052,39342,22139,73937,48093,8215,10368,2232,264390,25272,34197,19142,8324,16584,10729,2274,3109,1474,121107,2467,3560,3278,1734,5643,2781,679,810,357,21311,10803,17295,11593,4662,10141,5264,1060,1576,1107,63510,2186,2251,1882,928,3957,3110,515,1078,5794,21700,141852,205761,174673,103778,271132,232358,52323,93677,18662,1294204
SOS11,1361,2138,1924,1580,7395,10974,4504,13261,417,43558,1453,3516,2907,2618,10618,11996,3714,7859,329,45008,3543,5064,4407,3933,20654,25510,7203,13708,1329,85349,1970,4107,3282,2693,5572,3803,1736,2232,365,25764,591,1347,1014,773,4553,3514,1119,1806,124,14842,1007,5578,2667,1518,4267,3692,1198,2053,313,22286,2220,3271,2994,1976,8596,9341,3782,10935,855,43965,2725,10311,5488,3867,10349,9575,2421,4219,1093,50050,430,572,331,257,1118,1142,291,779,1936,6858,15295,35905,25013,19213,73120,79549,25967,56854,6759,337677,1748,2384,2826,2285,6978,6472,2243,5023,228,30177,4912,9200,11008,8349,15768,15027,4523,7686,532,77003,1259,2895,2726,1737,3503,2189,568,873,215,15966,5390,16228,14543,10193,12271,6080,1615,2594,1137,70052,3195,9654,10635,7227,17915,9346,1874,2298,494,62633,2883,13726,7825,3788,6217,2825,698,896,546,39389,355,820,713,367,833,653,233,677,68,4706,2349,10435,5198,2564,3827,2628,568,993,547,29105,411,622,461,284,842,507,102,224,1513,4968,22499,65955,55930,36788,68145,45726,12422,21252,5280,334002
SOS12,179,242,263,185,656,1131,386,1498,67,4604,148,330,283,247,827,1016,243,655,32,3787,422,593,539,473,1837,2549,632,1328,159,8534,210,374,286,170,472,322,137,191,34,2189,70,142,112,79,320,290,83,159,14,1264,79,454,196,129,296,301,84,181,19,1744,259,338,283,184,817,950,354,1161,96,4437,309,932,533,353,890,906,246,465,122,4758,50,68,29,29,111,127,30,81,215,748,1734,3471,2520,1844,6227,7593,2196,5707,768,32064,172,281,297,224,631,647,228,598,34,3119,440,950,1076,797,1263,1294,351,732,69,6972,152,295,257,176,302,191,47,101,29,1553,505,1591,1365,862,914,485,130,219,85,6153,327,1146,1169,709,1472,811,163,214,52,6058,252,1148,650,318,503,232,63,70,40,3275,32,76,73,36,56,57,27,63,10,434,228,981,435,221,263,207,46,113,45,2543,44,68,48,27,77,49,3,32,154,502,2156,6550,5370,3369,5480,3977,1059,2140,514,30608
SOS13,1109,2098,2058,1701,3545,8037,3039,18627,752,40976,601,1568,1191,982,2644,3776,1191,3375,154,15481,1853,2347,1835,1530,6123,9064,2379,6126,561,31817,661,1129,681,500,1134,1114,405,700,128,6453,217,490,371,200,1039,1030,291,680,47,4361,391,1495,683,384,905,1143,307,938,130,6364,1081,1324,1119,728,2457,3609,1365,4974,443,17092,1241,3507,1875,1279,2913,3659,991,2609,460,18546,259,253,175,117,346,517,126,467,861,3125,7411,14216,9972,7421,21111,31948,10086,38495,3545,144209,1036,2376,2542,1828,2841,4181,1279,5423,393,21910,1850,4118,4610,3195,4552,5254,1483,3167,260,28481,606,1249,1084,704,1060,937,207,475,102,6415,1843,4759,3999,2485,2822,1636,397,717,356,19018,1504,5299,5152,2910,5863,3754,712,1210,306,26713,1009,4092,2148,1009,1543,878,227,386,194,11484,155,372,350,152,312,236,102,319,46,2038,735,3383,1702,845,1184,978,268,673,230,9995,216,298,216,114,267,243,52,152,775,2330,8951,25942,21811,13227,20437,18094,4741,12512,2670,128384
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,11,12,8,4,27,33,10,28,3,133,19,26,18,17,46,59,13,35,5,236,38,28,18,16,39,52,13,35,13,241,7,16,25,5,13,20,8,20,6,122,5,3,6,0,16,12,0,12,3,63,6,12,13,4,10,6,6,7,3,69,30,16,19,19,35,31,19,57,3,216,24,48,46,21,34,39,17,17,12,254,5,7,0,0,5,3,0,3,21,55,152,170,146,86,224,249,75,208,66,1388,13,6,8,12,21,25,11,14,0,104,34,37,36,21,36,48,9,44,3,264,0,8,11,3,9,12,0,3,0,47,43,56,38,18,20,19,3,12,0,216,13,35,23,12,47,26,3,6,0,168,26,33,17,13,14,7,0,0,0,104,0,10,6,0,3,5,0,3,0,35,10,48,29,16,26,17,4,20,6,165,0,4,0,0,0,3,0,0,8,22,136,241,168,98,172,161,35,102,20,1128
SOS20,4515,7830,8331,7150,37205,60175,20588,55842,1654,203297,6214,19236,15408,14543,73244,103018,23916,49002,2333,306911,8074,16311,17677,13504,59313,77893,18283,28080,4016,243149,8830,16614,10433,6359,11381,13794,3794,5517,1228,77944,2558,7167,6182,4330,28492,25622,5923,9591,837,90694,4537,20774,10507,5203,15925,15232,3996,7088,1027,84283,4298,11345,12721,7617,28828,28338,8712,15229,2461,119550,6273,29047,17935,8974,25326,21967,5658,8953,2396,126530,1157,2246,1853,1152,5279,5318,1111,2758,7035,27906,46461,130571,101051,68830,284987,351349,91980,182059,22992,1280281,6456,9002,12811,11069,30220,31696,10330,21057,881,133536,19358,41897,47001,41852,77135,80690,20745,34309,2495,365489,4341,9203,9526,4918,10818,7443,1493,2038,609,50397,17080,50321,39949,23070,29002,14552,3034,5418,2694,185118,9315,33629,36994,23128,62352,40911,7288,8418,1766,223794,10957,47908,22626,8623,15905,9645,2088,2707,1374,121821,962,3176,3073,2011,5842,3275,669,746,299,20059,4544,22443,14264,6033,11835,5790,1127,1656,1109,68796,1335,2398,1956,1227,3762,2932,446,975,5264,20288,74342,219988,188192,121929,246877,196941,47223,77318,16501,1189306
SOS21,961,1254,1252,1149,5125,8398,3290,8929,347,30706,978,1985,1704,1825,7052,8398,2372,4524,232,29076,1946,2962,2647,2607,13592,19453,4796,8147,956,57103,1556,2161,1572,1208,2504,3457,959,1384,223,15025,370,810,746,524,3183,3012,868,1252,107,10878,723,3595,1556,942,2788,2597,703,1239,182,14316,1308,1817,1873,1395,5665,6975,2719,6103,591,28445,1648,6709,3211,2346,6867,6982,1971,2928,817,33489,282,401,218,216,865,965,231,537,1333,5047,9770,21695,14783,12216,47639,60234,17911,35047,4774,224078,1107,1631,2033,1675,4206,4069,1344,2963,183,19213,3297,6072,7510,7072,9322,8655,2657,4343,376,49300,906,2024,2048,1189,2233,1444,299,423,151,10717,4054,10420,9365,6258,7078,3705,835,1403,720,43833,1979,6498,7155,4863,10857,6453,1168,1342,351,40671,2055,9998,4914,2299,3476,1661,366,480,368,25613,193,565,518,335,726,542,147,201,58,3291,1504,6910,3379,1874,2828,1676,426,552,398,19549,309,406,319,196,507,426,59,140,1025,3383,15397,44529,37243,25769,41239,28634,7299,11845,3627,215583
SOS22,129,196,177,162,494,832,318,1134,56,3497,94,251,191,190,492,622,174,402,25,2445,231,390,343,304,1211,1807,464,847,121,5715,173,227,132,115,171,273,70,108,27,1287,40,87,65,51,188,203,58,104,9,802,70,249,130,65,197,235,58,116,16,1131,142,173,209,130,446,675,255,657,70,2749,207,557,303,229,563,697,210,300,72,3146,40,39,24,20,55,75,15,65,144,480,1125,2167,1583,1265,3821,5418,1614,3730,525,21257,113,222,212,177,356,454,143,364,24,2070,350,677,730,633,770,708,227,383,30,4501,104,238,192,118,184,116,24,42,21,1033,401,979,798,553,505,301,74,129,74,3826,197,711,730,447,824,528,92,113,45,3679,175,791,433,222,295,140,40,48,57,2190,13,47,68,27,56,43,13,32,9,294,173,775,317,181,214,126,35,55,57,1936,43,39,33,17,33,29,5,15,113,326,1569,4477,3505,2366,3237,2449,650,1182,423,19858
SOS23,792,1632,1592,1372,2788,6465,2402,14718,710,32471,437,1036,857,734,2073,2839,933,2252,121,11286,964,1574,1403,1290,4953,8286,2076,4758,533,25825,629,789,457,336,704,1072,316,526,87,4919,127,343,272,184,817,801,236,462,50,3296,254,1263,490,280,687,931,246,584,101,4836,704,825,763,555,1882,2811,1097,3090,310,12026,864,2838,1342,1027,2349,3170,899,1904,388,14772,167,216,140,104,283,400,103,367,753,2541,4933,10508,7311,5885,16528,26780,8307,28669,3061,111976,672,2108,2163,1502,2039,3251,916,4085,392,17130,1516,3378,3766,3047,3149,3417,1109,1993,234,21609,432,1147,913,555,862,714,145,381,107,5256,1581,4151,3365,1910,1942,1383,284,507,271,15385,927,3936,3691,2209,3620,2692,443,726,243,18481,706,3543,1712,805,1077,623,132,234,169,8995,101,228,211,114,246,234,47,132,18,1336,716,2969,1500,812,997,871,214,471,209,8761,176,267,140,91,152,148,37,98,673,1787,6831,21726,17466,11048,14075,13340,3335,8626,2310,98750
