SOS_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS10,338,57,1013,476,1207,112,3207,698,135,1524,925,3948,165,7390,7330,970,17826,9944,28943,1797,66815,2185,312,3610,1816,4872,285,13083,6318,921,22824,13618,82984,3039,129708,5737,731,12362,5313,10055,967,35165,8739,1068,21371,10203,18324,2040,61750,3719,470,11788,9953,11774,1480,39181,6850,1064,16493,11425,22356,2467,60657,5826,924,14228,4443,4073,686,30170,20155,3675,41970,8987,5162,1671,81617,2989,547,7286,4007,5444,648,20913,35356,5525,75097,13328,9459,2663,141428,3312,537,9555,4946,8578,1007,27940,11313,3025,21835,13266,16692,1504,67642,20453,3353,22402,4321,5168,781,56477,19684,3148,33589,9184,10724,2003,78336,1638,394,5633,2338,3474,354,13821,2990,557,6444,3730,21285,769,35776,7165,756,15161,6090,14100,5804,49072,172793,28175,362018,138307,288626,30241,1020164,235,68,758,384,568,99,2108,219,57,508,204,252,37,1282,4076,727,11736,5540,6543,1076,29690,968,162,1807,641,787,101,4468,3118,583,8702,5518,6512,847,25272,4281,654,9993,4125,4048,692,23789,7311,1241,25242,13651,18256,2575,68274,2996,532,12184,8653
SOS11,229,72,1115,763,3514,385,6075,285,103,970,935,8327,240,10869,609,167,2066,1805,12646,609,17901,235,88,653,914,3252,101,5247,314,100,1864,2227,31929,859,37282,153,52,644,691,4205,170,5914,583,113,1928,1586,8085,522,12813,459,93,1710,1837,5950,494,10541,237,92,850,1265,6882,494,9830,138,52,551,364,773,60,1930,323,158,1151,875,707,97,3317,78,56,498,499,1499,97,2728,1573,657,5128,1814,2397,262,11822,179,75,698,812,3856,278,5890,1686,794,4410,4797,8730,467,20887,2879,1221,6228,1320,2330,227,14201,2877,784,6528,2881,5687,517,19266,152,46,572,370,1252,79,2484,323,83,909,762,8704,192,10978,323,77,941,800,5357,1330,8833,13638,4878,39416,27317,126074,7468,218796,156,80,722,476,965,162,2561,74,40,364,238,805,43,1570,252,121,1385,1157,2684,323,5919,98,46,342,238,499,36,1263,130,110,837,1131,2569,206,4980,82,38,431,469,1184,74,2277,538,242,2736,2991,9772,911,17181,408,153,2152,2439
SOS12,21,10,105,116,615,65,926,10,13,48,93,617,15,788,26,10,123,149,1197,48,1555,13,9,67,86,351,10,537,33,7,185,238,3651,125,4239,20,3,58,72,405,18,574,56,9,134,125,698,38,1060,18,8,115,126,548,50,864,22,12,68,136,773,50,1056,11,6,59,35,60,11,180,41,14,94,71,62,9,296,7,0,49,46,134,8,245,153,53,500,178,228,18,1131,14,12,75,67,412,27,611,138,75,390,513,801,42,1953,234,102,542,105,222,21,1226,174,58,490,243,440,46,1457,22,16,71,43,143,9,304,28,17,58,68,968,23,1155,38,11,96,66,602,145,967,1074,455,3329,2579,12914,776,21126,8,11,87,74,155,22,351,0,0,18,18,37,0,80,23,17,129,99,259,33,556,3,8,16,17,56,4,105,20,13,95,151,292,32,596,11,7,52,62,98,7,237,37,35,211,282,848,93,1507,30,14,209,228
SOS13,520,212,3091,2689,9501,931,16949,106,31,338,392,2876,105,3849,154,43,719,637,4535,183,6272,67,25,201,321,1217,44,1869,120,48,924,1148,14191,485,16917,83,32,393,343,1598,103,2551,108,29,552,438,2193,163,3488,87,21,364,302,1251,126,2145,64,29,289,454,2850,186,3877,51,21,184,118,262,21,657,207,50,536,290,221,30,1339,46,27,269,264,621,49,1280,821,224,2431,683,887,117,5173,44,31,262,276,1232,78,1924,626,269,1476,1406,2792,148,6716,752,326,1839,437,872,91,4320,730,191,1609,716,1207,143,4592,67,30,260,150,486,37,1026,82,21,214,240,3687,76,4328,166,34,498,378,2261,597,3928,4905,1698,16448,11696,54740,3701,93183,366,354,2668,2083,2994,647,9109,30,14,150,82,319,20,612,110,54,619,517,967,126,2389,25,14,128,90,180,17,450,84,60,608,728,1428,149,3060,51,28,313,281,531,54,1263,133,99,1026,1027,2616,349,5249,93,54,615,665
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,6,0,9,4,17,5,43,0,0,3,3,16,0,21,3,0,12,5,33,3,62,0,0,4,0,3,0,9,4,0,12,16,99,5,131,0,0,9,5,6,0,20,4,0,10,10,17,0,38,0,0,13,7,35,0,64,0,0,5,13,25,10,52,4,0,10,3,0,0,23,5,3,12,7,3,0,38,0,0,3,0,0,0,6,15,8,39,10,8,5,79,0,0,8,0,15,0,27,5,0,15,6,20,4,51,10,4,16,8,3,0,40,16,0,21,6,21,5,75,0,0,11,5,9,0,27,3,0,4,4,14,0,23,0,0,10,4,21,26,65,85,21,238,109,369,68,885,0,0,30,5,5,0,42,0,0,0,0,0,0,0,0,0,10,9,8,3,35,0,0,0,0,0,0,4,0,0,7,0,8,0,16,3,0,0,0,0,0,6,9,0,13,9,25,4,60,6,0,26,10
SOS20,543,124,1494,871,1684,182,4893,514,88,1039,315,1196,85,3229,8422,1470,21723,12004,31578,1999,77190,2338,405,4711,1740,3891,270,13358,5513,1085,20440,15167,86749,3012,131960,4075,807,10729,4893,9220,814,30539,7767,1301,21187,10575,16342,1784,58956,3447,474,11573,10039,10885,1333,37749,7322,1204,16184,11914,16672,2171,55467,4221,908,10186,3231,3020,489,22054,11220,3006,27330,6978,3769,1010,53307,1996,484,5725,2558,4230,502,15500,29878,5458,64006,11644,7383,1941,120309,3384,703,8902,4899,7959,830,26677,9396,3525,19319,10780,11657,1150,55825,20333,5778,21482,4580,4384,712,57271,17370,4330,29589,8803,9701,1602,71395,1731,585,6513,2657,3462,348,15294,2714,625,5799,4789,17845,787,32566,5858,815,12957,6170,13505,5420,44727,148037,33171,320871,134595,265132,26441,928259,328,89,989,609,690,133,2832,187,46,405,87,104,18,847,4312,1042,12849,6087,6904,1058,32258,1325,376,2775,943,969,163,6548,2502,748,7630,4825,5587,678,21965,2526,654,7757,3518,3328,500,18284,6100,1893,26369,14645,16310,2328,67642,3200,666,12446,8479
SOS21,159,67,750,764,2721,277,4731,35,17,148,142,934,26,1312,496,165,2027,1831,10134,501,15158,190,66,616,536,2423,81,3915,275,126,1440,2016,24813,633,29307,136,48,619,628,2615,135,4177,319,111,1435,1331,4967,322,8485,197,64,874,1114,2861,215,5316,304,126,1061,1714,5214,383,8798,135,57,509,298,599,52,1653,314,145,1088,747,462,63,2816,57,18,306,297,880,65,1623,1203,418,3704,1409,1464,148,8343,124,58,543,549,2040,132,3442,845,477,2559,3014,4241,279,11412,1660,1122,3544,912,1354,124,8714,1608,679,3457,1747,2758,287,10543,120,61,528,351,809,45,1913,202,87,539,579,5312,140,6853,234,71,750,599,3698,922,6275,8612,3985,26487,20585,80295,4834,144793,84,59,568,454,779,176,2123,15,0,50,40,62,7,175,218,115,1225,1007,1957,221,4738,88,56,279,212,376,24,1033,134,91,654,965,1603,131,3584,57,38,370,416,718,71,1676,294,223,1942,2257,5308,534,10559,199,106,1169,1410
SOS22,12,16,118,112,616,55,924,3,0,10,16,137,3,171,20,18,136,143,953,45,1325,14,3,52,46,254,3,375,12,13,107,178,2520,85,2908,8,7,45,49,255,20,381,14,7,116,101,404,37,692,16,9,112,90,349,40,622,16,6,60,92,476,43,697,12,10,33,29,41,3,121,26,11,74,47,34,12,208,0,3,21,30,90,4,155,110,31,309,123,151,17,737,11,10,51,56,221,10,358,66,47,204,273,448,29,1064,178,114,356,103,136,23,906,97,48,224,133,214,14,726,19,13,74,44,90,6,244,15,5,40,38,595,10,701,10,3,64,59,352,83,571,665,382,2208,1762,8334,546,13889,5,9,84,74,141,23,338,0,0,6,0,10,0,19,14,12,89,86,189,16,410,11,5,31,11,20,5,78,5,13,89,92,168,14,378,3,0,29,30,59,3,130,20,16,177,196,482,54,947,17,13,151,168
SOS23,326,161,2036,2314,7805,766,13417,31,0,132,89,724,29,1010,182,79,844,767,4452,188,6515,46,26,215,222,1071,33,1618,92,58,706,938,11758,342,13907,57,32,275,295,1241,87,1980,72,31,436,355,1545,121,2556,42,29,239,254,812,87,1461,63,35,260,439,2315,165,3273,44,15,176,102,157,16,512,104,56,409,234,148,22,971,30,25,133,132,359,40,712,558,205,1821,571,644,83,3888,55,24,194,243,867,68,1455,283,173,963,1083,1685,112,4311,536,425,1138,357,550,54,3061,512,235,1075,544,828,98,3289,54,33,265,172,457,31,1013,72,35,178,190,2718,78,3271,94,32,337,311,1817,480,3081,3247,1714,11844,9606,41966,2914,71296,257,322,1877,1753,2111,484,6811,14,12,41,31,56,6,158,119,93,606,520,885,124,2348,48,22,152,102,137,12,474,44,68,443,572,875,99,2095,33,32,225,209,379,66,942,75,81,831,829,1771,251,3846,67,69,455,490
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,8,3,17,0,34,0,0,6,0,0,0,5,5,0,10,0,30,0,56,0,0,0,0,8,0,15,0,0,18,9,97,0,123,3,0,0,0,13,0,13,0,0,3,3,23,0,34,0,0,18,11,13,3,50,3,0,16,6,22,0,45,4,0,6,4,0,0,10,6,0,11,0,4,3,24,0,0,6,0,0,0,12,13,0,21,12,8,0,54,0,0,10,10,9,3,27,7,0,18,5,24,0,48,7,3,3,4,0,0,23,14,3,11,6,6,5,45,0,0,7,0,4,0,13,0,0,0,0,10,0,21,0,0,9,9,13,11,44,77,10,187,85,299,34,695,4,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,14,3,11,0,23,0,0,7,0,0,0,5,0,0,0,0,4,0,8,0,0,3,0,4,0,7,0,5,13,3,11,3,34,3,0,32,8
SOS30,368,77,1065,591,1512,172,3797,1670,384,3688,1452,5986,245,13432,2518,590,7865,5779,27436,1128,45309,1198,308,2757,1774,4621,188,10849,2237,635,10618,9654,73370,2063,98581,1312,289,4006,2741,8548,470,17359,2470,566,9430,6264,18336,1228,38292,1745,330,6800,6616,13331,1079,29896,2775,726,8234,7656,17387,1511,38299,903,232,3493,1655,2559,219,9056,3068,1233,8762,4192,3074,463,20790,1086,314,4015,1961,4370,423,12165,12916,3318,33584,8065,7513,1270,66671,1223,391,4632,3138,8199,634,18214,5274,2592,13825,10667,15284,1024,48670,10441,3439,15121,3474,5199,595,38268,11156,2953,23359,7711,10841,1335,57363,739,245,3096,1736,3851,266,9938,1260,405,3364,2794,17134,562,25509,2421,402,6167,3598,13348,3603,29543,66781,19440,173885,91523,261909,18470,632011,205,85,889,481,731,117,2514,520,195,1428,450,606,67,3278,1307,410,4833,3387,5490,562,15981,496,210,1416,693,825,71,3719,932,479,4349,3879,5852,525,16019,803,274,2913,1865,2811,283,8950,2205,807,12007,9898,18769,1664,45343,1794,476,8779,7448
SOS31,156,33,791,621,2288,307,4195,261,141,1076,1116,10877,352,13823,249,91,1113,1053,9302,396,12208,105,53,384,552,2449,81,3636,103,73,750,1316,17725,527,20503,56,38,312,445,2929,103,3870,175,47,798,819,4905,275,7017,138,31,699,919,3415,244,5446,161,86,639,977,5177,345,7379,36,12,173,152,400,20,792,84,69,364,380,331,36,1258,30,27,202,218,929,56,1460,454,222,2142,831,1561,138,5351,65,45,334,387,2231,149,3207,467,327,1721,2314,4176,288,9303,1015,677,3056,650,1345,90,6832,1247,416,3074,1399,2938,260,9337,29,8,132,134,574,41,912,130,46,387,415,5425,125,6545,115,31,445,468,3877,886,5821,5077,2489,18596,15164,82856,4726,128901,114,45,754,403,736,193,2243,100,66,544,468,1437,90,2699,89,60,722,619,1746,150,3395,38,34,211,192,406,27,907,62,47,470,709,1639,105,3039,22,21,224,268,796,58,1386,156,122,1271,1641,5901,483,9571,170,64,1200,1341
SOS32,19,9,98,99,558,71,855,19,14,112,124,987,47,1304,24,17,73,120,1192,52,1476,4,4,27,63,348,14,461,21,8,89,192,2684,100,3091,13,5,33,45,269,10,372,15,14,100,101,634,40,898,13,4,66,92,448,41,662,4,6,67,153,748,71,1050,4,0,13,18,58,6,101,13,3,42,43,42,0,145,4,0,19,17,123,8,177,102,33,249,126,199,21,730,9,8,42,54,303,28,435,51,40,237,411,1012,107,1862,134,81,374,87,215,22,913,99,53,314,182,379,34,1069,7,4,40,33,113,11,202,10,6,32,56,802,18,920,16,3,77,59,551,155,851,575,306,2105,2065,11667,854,17578,9,7,97,86,178,28,407,10,7,49,47,124,10,240,11,10,93,78,237,20,446,8,0,18,13,50,6,91,4,14,66,93,221,17,417,0,0,29,41,99,10,187,20,18,167,214,766,82,1274,29,17,151,234
SOS33,177,87,1377,1512,6411,654,10219,95,50,361,381,3685,144,4714,96,38,440,553,4442,149,5720,41,28,162,227,1235,32,1729,75,44,519,852,10159,364,12002,39,18,178,224,1216,56,1731,50,22,330,279,1648,92,2416,56,20,240,252,1053,111,1723,69,30,267,471,2352,180,3362,19,17,90,76,179,13,387,77,40,215,170,181,14,689,29,17,131,122,486,37,818,424,118,1407,499,643,68,3171,32,15,147,209,939,61,1408,214,123,732,963,1799,136,3960,376,243,1074,315,641,58,2697,452,137,1054,484,918,87,3126,29,10,113,101,350,35,640,40,28,135,183,2837,56,3278,82,27,325,315,2068,519,3335,2485,1092,9292,8179,43236,2863,67143,163,172,1686,1333,2192,397,5935,33,22,174,130,357,28,735,63,61,403,380,851,84,1837,23,20,105,72,152,10,384,47,33,454,526,1003,80,2135,21,20,182,183,377,40,827,57,65,673,715,2234,247,3991,76,39,460,559
