SOS_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOS42,4,45,46,38,59,51,33,3,278,3,15,24,32,57,48,15,0,184,48,196,200,188,175,226,78,17,1127,23,73,136,208,294,268,86,14,1108,347,934,917,964,1200,966,365,75,5770,60,70,45,27,40,25,10,4,264,10,31,40,52,81,74,32,5,340,418,1032,1002,1042,1324,1066,406,85,6376,4,7,11,22,19,26,15,7,109,239,224,267,328,418,452,295,122,2346,739,1593,1692,1860,2339,2134,922,251,11531,11,108,78,72,94,52,18,6,429,5,53,70,80,99,85,16,0,404,109,518,475,379,336,341,114,22,2298,36,205,306,402,527,340,117,32,1962,291,558,578,616,657,320,61,13,3087,66,101,81,64,62,38,3,6,419,23,54,51,90,102,81,35,14,443,374,711,715,766,819,434,99,26,3949,0,10,14,18,11,27,19,11,108,232,206,230,306,379,443,358,212,2360,773,1803,1883,2019,2266,1715,737,305,11505,11,154
SOS43,6,89,173,264,295,282,114,9,1233,4,28,78,112,169,157,37,0,582,215,657,870,959,894,827,285,32,4748,62,297,556,876,938,850,237,32,3847,1247,2502,2807,3261,3496,2346,878,128,16669,172,149,123,124,95,66,16,0,745,43,75,147,230,249,232,73,12,1067,1462,2727,3071,3618,3844,2644,970,139,18481,13,40,71,51,76,67,39,4,364,793,678,710,980,1173,978,562,135,6011,2560,4522,5532,6874,7381,5801,2248,354,35270,10,240,360,398,330,219,50,3,1611,17,164,281,350,373,238,48,5,1475,408,1499,1929,1661,1347,967,274,40,8121,125,572,948,1450,1599,1077,278,34,6078,887,1390,1642,1765,1708,689,122,13,8218,142,181,228,197,187,107,22,0,1072,67,81,171,289,296,187,56,4,1150,1101,1657,2034,2251,2195,977,206,24,10442,14,36,38,55,64,66,52,17,332,642,517,586,842,1036,931,542,180,5287,2319,4684,6181,6997,6946,4475,1446,300,33343,21,328
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,13,11,3,5,3,0,0,36,0,0,0,0,5,0,0,0,6,7,37,18,18,22,11,4,0,108,0,6,11,7,18,10,0,0,65,21,56,46,58,63,54,7,0,308,10,17,0,0,0,0,0,0,33,0,4,0,8,4,7,0,0,23,29,79,52,63,70,59,7,0,363,0,0,3,5,3,0,0,0,9,39,96,95,106,103,53,5,0,500,78,225,187,202,224,138,21,0,1081,0,25,7,11,0,0,0,0,44,0,4,6,5,7,4,0,0,22,12,51,25,12,15,7,4,0,125,4,18,16,21,27,20,0,0,96,29,44,32,21,24,11,0,0,166,12,8,7,0,6,0,0,0,30,0,0,8,6,0,9,0,0,21,41,55,46,27,31,18,0,0,214,3,0,0,0,0,0,0,0,4,37,74,86,45,35,31,6,4,314,97,214,187,122,116,75,11,5,826,4,37
SOS50,821,10595,14433,10248,7210,4779,1973,400,50468,188,2433,3385,3339,2727,1701,582,88,14441,8721,32423,33367,24234,16516,11680,4540,1058,132548,4144,12221,15643,14080,11507,9099,4207,986,71879,15350,36375,34054,30966,29332,20887,10270,2781,180026,5116,2101,1171,804,579,398,145,25,10343,877,1324,1677,1900,1764,1623,874,229,10259,21343,39799,36907,33679,31676,22897,11287,3034,200628,494,959,1260,1127,901,889,649,238,6521,6695,11372,10901,9355,7362,5537,4466,2697,58396,42403,109800,115899,96065,77910,56591,27710,8501,534878,865,13995,15712,9423,5611,2934,787,145,49477,624,5732,6982,6131,4653,2660,774,138,27697,12213,47571,45657,30203,18487,11804,4661,1260,171851,5574,16098,18814,18318,15822,10080,4235,1306,90255,14697,22914,20039,17597,13267,6497,1876,521,97407,5020,2483,2126,1840,1614,1086,422,93,14680,1252,1797,2847,4043,3986,2994,1511,543,18969,20966,27192,25017,23485,18862,10580,3803,1152,131058,425,999,1200,1133,1152,1329,872,312,7423,6134,9405,8156,6940,6832,7382,7119,5430,57402,46797,121000,121539,95637,71427,46768,22250,9744,535158,1685,24587
SOS51,30,545,706,617,459,367,147,36,2903,15,206,351,359,282,219,54,12,1496,354,2271,2513,2159,1624,1285,469,111,10788,228,1215,2049,1998,1851,1362,605,109,9425,3404,9330,9171,8228,7231,4704,1983,488,44532,1211,511,288,193,180,105,35,6,2521,153,218,332,346,384,354,158,41,1980,4770,10060,9794,8768,7788,5154,2167,532,49035,50,116,141,147,139,135,104,29,853,2341,3149,3105,2993,2619,1819,1258,600,17884,7787,17557,18650,17040,14763,10352,4813,1416,92374,69,837,1034,679,493,320,75,5,3510,71,713,939,853,665,387,109,17,3765,912,5026,5258,3807,2498,1589,706,173,19965,570,2507,3107,3042,2783,1823,738,201,14763,3068,5509,5176,4390,3193,1498,377,70,23280,1382,873,633,516,397,236,71,10,4123,225,381,535,759,721,489,197,52,3360,4675,6763,6342,5663,4312,2221,643,136,30761,50,139,162,164,161,198,126,50,1051,2076,2838,2664,2429,2251,2146,1765,1150,17310,8427,18813,19502,16633,13164,8687,4157,1738,91122,98,1380
SOS52,6,42,50,62,56,52,19,0,289,0,17,19,36,45,21,3,0,150,33,222,238,216,162,176,61,10,1126,25,117,199,225,262,250,93,10,1180,361,1023,992,1018,1164,856,322,67,5788,130,71,32,38,40,19,5,0,338,13,37,36,48,62,57,18,7,278,500,1127,1061,1105,1258,932,343,73,6409,7,12,16,19,14,25,14,4,109,401,483,508,642,641,516,326,99,3609,969,2020,2094,2303,2453,1967,858,204,12871,7,84,87,67,76,48,14,0,387,3,79,76,86,84,60,17,0,407,104,540,526,408,390,227,111,28,2329,40,262,312,333,390,300,99,29,1776,324,644,588,526,535,249,56,15,2927,153,116,90,66,73,38,10,0,544,36,52,75,89,103,76,31,5,465,509,817,748,680,700,360,96,15,3935,0,12,24,14,27,38,25,13,144,413,443,455,471,554,528,373,167,3408,1070,2235,2233,2072,2223,1564,732,245,12383,11,129
SOS53,11,126,190,216,302,241,122,14,1230,0,44,90,135,152,109,20,8,557,238,893,1010,1128,1030,850,271,32,5448,125,429,675,1039,1089,915,329,49,4658,1457,3053,3514,3903,4022,2591,810,100,19452,416,155,114,88,79,51,15,3,918,50,76,130,191,220,215,86,20,984,1917,3283,3756,4184,4327,2852,910,124,21348,24,54,60,75,97,94,41,3,456,1372,2074,2054,2172,1899,1269,625,137,11615,3698,6901,7839,8957,8901,6340,2313,367,45319,19,221,348,348,333,192,38,6,1502,16,195,299,394,369,230,37,9,1555,328,1575,2065,2072,1569,997,284,49,8944,202,672,1039,1403,1682,993,310,56,6358,973,1419,1701,1762,1461,610,129,14,8066,382,192,242,233,197,110,31,0,1386,84,93,209,356,385,257,83,11,1488,1438,1706,2146,2350,2045,976,238,33,10939,25,32,59,82,100,100,46,13,462,881,956,1077,1254,1351,1130,614,108,7376,2909,5356,7051,7898,7459,4617,1570,273,37138,34,349
SOS57,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,3,4,9,10,10,6,0,0,0,36,0,5,6,3,0,3,0,0,24,7,27,39,15,7,0,0,0,100,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,0,0,8,7,30,36,21,9,4,0,0,110,0,0,3,4,0,0,0,0,10,14,40,70,41,20,3,0,0,204,24,82,135,83,47,7,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,4,0,4,0,0,0,0,7,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,3,3,8,0,0,0,0,20,13,12,6,7,3,5,0,0,48,0,0
SOS59,0,21,16,12,10,8,0,0,64,0,4,7,7,6,4,0,0,29,12,81,53,28,24,21,8,0,227,10,37,33,21,25,20,6,0,143,48,131,132,113,114,103,14,0,662,15,8,10,6,0,0,0,0,39,4,4,3,7,9,7,0,0,26,65,139,148,126,123,109,14,0,726,0,3,0,3,0,0,0,0,13,174,398,532,519,342,152,50,9,2177,258,676,786,712,533,320,81,13,3376,0,42,18,8,10,7,0,0,90,0,7,12,9,11,10,0,0,49,40,140,80,27,36,13,0,0,340,8,48,44,27,45,16,5,0,190,32,65,69,48,47,22,0,0,286,25,12,3,4,4,0,0,0,49,0,0,4,4,19,8,0,0,42,54,82,75,63,71,31,0,0,376,4,6,0,0,4,4,0,0,15,162,262,283,227,164,100,22,7,1234,269,590,509,363,340,179,25,7,2290,0,64
SOS60,79,3272,1497,978,781,619,283,76,7592,24,301,326,396,354,260,85,11,1758,885,4337,2849,1993,1572,1406,564,173,13782,242,1044,1016,1052,1014,874,471,128,5841,1069,3193,2681,2596,2500,1890,1075,328,15324,248,247,143,82,84,45,18,7,868,70,125,140,146,159,186,102,31,959,1387,3559,2968,2825,2737,2121,1189,375,17159,23,112,78,67,64,57,53,13,461,610,997,706,617,577,623,553,244,4924,3250,13622,9447,7920,7104,5959,3201,1013,51515,135,3800,2003,1132,836,559,144,31,8642,56,626,748,636,622,445,125,24,3279,1215,4935,3583,2599,2064,1640,658,198,16892,277,1132,1204,1491,1361,1143,563,206,7373,1121,2174,1920,1673,1369,656,211,63,9181,299,310,229,183,185,113,46,9,1381,108,164,161,224,334,330,136,83,1549,1533,2647,2313,2082,1889,1102,393,161,12116,45,85,81,60,82,110,78,34,579,606,898,635,565,659,877,909,545,5695,3870,14133,10558,8573,7511,5867,2882,1197,54581,214,7073
SOS61,36,1229,652,414,385,351,191,39,3293,0,140,197,199,219,201,72,7,1035,393,2121,1553,1277,1114,944,364,86,7852,141,665,872,1046,1119,958,435,93,5323,1647,4442,3645,3750,3981,2948,1632,434,22470,351,346,182,108,108,64,24,8,1187,74,127,143,161,187,232,145,39,1111,2074,4914,3966,4014,4275,3239,1807,478,24768,31,85,65,62,58,74,58,12,443,856,968,812,854,910,1008,912,404,6728,3539,10122,8118,7867,8067,6778,3839,1124,49448,32,1233,715,555,481,327,89,9,3437,42,358,423,394,368,299,100,20,2005,657,3102,2668,1992,1768,1402,548,128,12267,248,1114,1347,1723,1613,1277,672,208,8199,1600,3335,2868,2628,2237,1063,235,59,14025,479,563,364,328,288,178,48,17,2263,154,221,236,341,458,435,173,66,2075,2238,4116,3462,3295,2986,1672,458,138,18371,54,92,67,85,92,113,103,26,637,805,881,750,821,1020,1421,1412,727,7831,4076,10895,9428,8864,8320,6518,3384,1251,52744,67,2460
SOS62,0,69,84,80,100,88,44,5,477,0,13,21,38,41,39,7,0,154,31,157,205,202,216,238,85,16,1142,13,71,111,169,203,205,92,20,877,192,567,555,610,760,596,265,50,3584,26,38,31,21,28,10,0,0,146,12,9,19,36,47,74,18,5,219,224,614,604,660,832,680,288,49,3949,0,9,10,13,12,21,13,3,86,157,115,113,160,203,258,161,66,1223,428,1047,1134,1320,1597,1523,681,159,7896,0,104,97,100,102,73,21,3,504,0,35,65,72,81,64,12,7,335,43,284,343,326,334,293,103,11,1749,26,119,195,246,291,248,92,25,1242,136,394,354,336,389,163,33,6,1822,51,47,53,38,46,26,12,0,277,11,20,34,58,57,69,24,7,287,200,465,437,432,501,261,77,13,2385,4,6,9,5,19,17,8,0,70,95,125,117,155,225,246,227,100,1294,363,1131,1263,1345,1556,1216,541,163,7581,0,173
SOS63,7,192,228,259,323,295,136,11,1445,0,37,63,117,150,149,29,5,558,121,572,746,757,827,809,238,38,4097,49,238,460,725,855,690,213,35,3259,791,2048,2301,2642,2902,1865,628,89,13254,120,101,73,62,74,50,10,0,491,23,58,63,93,155,144,57,6,601,932,2205,2437,2801,3124,2055,691,99,14345,14,19,35,36,43,53,30,3,227,456,429,489,630,758,789,376,97,4023,1582,3691,4455,5318,6082,4840,1708,280,27957,10,281,416,376,390,247,57,7,1781,3,136,192,262,305,212,40,3,1163,168,1025,1454,1340,1310,889,240,33,6469,84,424,741,977,1229,780,239,34,4514,557,1303,1357,1357,1182,500,70,16,6341,187,191,190,150,174,83,25,3,999,57,86,122,185,297,163,50,10,969,801,1577,1674,1691,1654,741,147,29,8312,15,14,26,50,51,44,32,9,246,418,421,469,538,790,720,410,111,3873,1499,3875,4972,5235,5731,3635,1175,220,26352,19,469
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,3,3,0,5,0,0,12,0,0,0,0,0,0,0,0,3,0,4,3,8,9,6,0,0,24,4,5,3,4,4,4,0,0,27,3,25,22,25,24,13,6,0,109,3,5,0,4,0,0,0,0,9,0,0,0,4,5,0,0,0,10,12,29,22,27,28,13,6,0,135,0,0,0,0,0,0,0,0,5,23,40,29,30,31,44,4,0,209,39,82,65,80,75,63,5,0,408,0,6,5,6,4,0,0,0,19,0,6,0,0,7,0,0,0,10,0,21,15,14,6,0,0,0,61,0,3,5,6,10,6,4,0,28,7,16,19,13,11,3,0,0,69,8,7,4,3,4,0,0,0,26,0,0,0,0,0,0,0,0,4,14,18,25,17,12,3,0,0,94,0,0,0,0,4,0,0,0,5,15,16,23,16,21,32,7,4,131,39,68,68,56,63,47,8,4,347,0,10
SOS70,34,1269,959,503,400,228,66,9,3468,3,199,190,216,181,71,15,3,875,444,2353,1731,1038,680,448,141,28,6854,176,846,946,979,637,348,107,14,4049,1079,2644,2348,1924,1571,886,323,52,10819,280,142,79,58,31,24,5,0,622,76,99,131,122,86,91,28,4,634,1434,2882,2558,2104,1682,997,359,57,12072,19,67,70,51,29,40,21,6,310,796,1276,1030,910,642,431,190,66,5340,2910,8889,7479,5797,4251,2558,900,186,32967,45,1523,1100,642,435,197,44,3,3998,47,470,528,410,287,149,35,0,1925,625,3664,2659,1488,946,521,164,24,10096,215,1040,1126,975,710,344,129,15,4562,753,1594,1375,972,668,240,41,13,5656,236,205,171,91,69,44,4,3,833,55,106,125,179,134,90,48,6,747,1049,1908,1666,1242,867,381,98,24,7235,31,95,63,45,32,27,5,9,305,684,1179,941,729,583,398,236,99,4840,2701,9879,8087,5539,3862,2017,712,173,32967,84,2796
SOS71,3,262,253,107,123,62,16,3,819,0,53,59,50,39,24,3,0,234,66,610,490,268,212,113,24,0,1777,53,252,290,244,209,77,23,0,1149,259,851,775,656,557,258,68,14,3432,69,56,50,30,15,8,3,0,231,24,52,70,46,41,27,11,0,268,355,950,900,731,619,290,74,14,3932,5,11,20,19,7,3,0,3,71,398,527,414,321,311,172,50,12,2204,883,2664,2419,1742,1518,745,191,28,10194,17,388,333,182,145,59,9,0,1133,7,147,171,132,107,40,8,0,618,151,1142,686,491,339,146,34,9,2998,48,285,285,323,263,107,29,15,1350,242,500,427,350,230,86,15,4,1865,69,80,73,50,36,12,5,0,329,35,66,62,63,57,33,10,3,319,341,650,562,462,333,123,29,9,2506,6,24,8,15,11,10,5,0,77,354,565,420,370,290,168,60,27,2252,927,3203,2466,1977,1483,656,180,61,10950,21,653
SOS72,0,42,29,20,16,16,0,0,118,0,7,10,11,9,9,0,0,48,14,102,81,55,73,28,8,0,359,19,47,63,64,58,30,9,0,288,85,249,270,277,244,100,22,4,1250,41,48,37,30,16,0,0,0,177,12,35,30,30,17,8,5,0,135,139,331,337,337,276,112,26,4,1566,0,0,0,0,0,0,0,0,5,224,252,192,145,148,86,28,0,1079,396,782,704,639,583,277,67,7,3465,0,52,37,34,47,9,0,0,187,4,24,31,25,32,12,3,0,140,35,190,138,106,109,43,3,0,623,14,80,70,84,94,33,3,0,380,77,152,146,149,102,42,0,0,661,29,63,53,53,31,8,3,0,246,17,36,33,50,24,12,0,0,167,129,245,239,249,152,51,4,0,1073,0,0,0,0,0,0,0,0,4,244,232,190,165,172,107,17,0,1129,420,821,716,668,612,258,40,0,3536,0,92
SOS73,0,23,36,30,23,30,3,0,152,0,10,7,28,30,12,0,0,88,15,142,114,110,99,91,28,0,605,24,95,133,215,169,101,23,0,761,324,750,746,867,721,394,116,11,3918,114,48,37,27,19,16,0,0,270,19,24,39,46,31,19,7,0,189,460,829,814,941,773,421,124,16,4381,0,4,4,10,7,3,11,0,33,449,469,406,492,411,248,110,19,2605,946,1571,1519,1824,1512,913,307,32,8629,5,54,75,66,65,24,10,0,297,8,53,78,95,60,24,4,0,317,41,302,331,283,182,112,27,4,1277,41,178,213,281,224,116,24,0,1074,212,375,362,353,251,64,8,0,1623,97,72,40,50,35,20,3,0,325,19,30,42,56,42,20,3,0,221,336,476,442,458,325,107,15,4,2169,4,11,11,6,11,9,4,0,57,337,370,358,351,321,210,65,16,2022,763,1449,1513,1537,1191,596,146,14,7210,4,74
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,6,0,3,0,5,3,0,0,0,16,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,3,7,4,8,4,0,0,0,25,0,0,3,0,0,0,0,0,3,6,4,4,6,7,0,0,0,21,7,16,16,7,12,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0
SOS79,0,9,11,5,0,5,0,0,32,0,9,3,0,7,3,0,0,20,3,40,13,11,10,14,0,0,91,0,7,16,11,15,13,0,0,63,10,41,42,33,52,49,6,0,231,0,5,0,5,3,0,0,0,16,0,0,0,0,10,3,0,0,19,10,49,49,35,59,53,6,0,261,0,0,0,0,0,0,0,0,4,71,125,146,173,139,67,16,0,728,84,238,244,242,229,152,22,0,1209,0,19,4,12,9,3,0,0,50,0,9,10,5,4,3,0,0,34,7,76,36,12,20,5,0,0,166,0,16,17,23,16,11,0,0,85,12,20,7,19,24,12,0,0,92,0,3,3,3,3,0,0,0,14,0,3,9,5,4,7,0,0,23,12,31,15,24,33,16,0,0,125,0,3,3,0,5,0,0,0,6,82,148,119,158,125,39,7,0,668,101,307,214,229,210,76,9,0,1144,0,30
SOS80,230,6675,7334,5265,3830,2607,1171,298,27424,70,1177,1366,1307,1252,962,294,24,6454,3332,11452,9004,6373,4419,3618,1752,512,40467,748,2788,3668,3256,2368,1502,686,196,15216,2339,6010,5004,4225,3401,2249,1370,445,25038,514,364,228,142,101,80,32,11,1466,162,245,376,315,342,321,179,59,2004,3018,6620,5609,4686,3836,2643,1583,515,28506,95,229,215,166,127,105,97,37,1076,1726,2287,1724,1266,1037,847,675,362,9924,9216,31230,28928,22320,16869,12288,6266,1937,129062,322,7753,7458,4630,2843,1587,562,96,25256,228,2094,2487,2137,1615,1255,435,62,10314,4339,14293,11599,7704,5299,3801,1749,446,49220,1197,3327,3956,3789,3126,2208,1085,363,19054,2043,3428,3001,2641,1990,987,349,118,14548,509,345,296,277,266,224,80,31,2030,202,255,343,658,795,814,404,142,3614,2751,4024,3641,3575,3045,2022,834,289,20192,87,166,193,122,153,179,134,55,1099,1627,1955,1487,1108,984,1163,982,679,9990,10548,33618,30822,23076,17073,12215,5781,1995,135122,547,14427
SOS82,0,7,4,5,8,0,0,0,18,0,0,4,4,0,0,0,0,7,0,3,6,15,3,4,0,0,36,0,3,9,10,8,0,0,0,30,0,4,13,11,9,3,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,13,11,9,7,5,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,18,8,20,40,37,26,24,10,0,166,0,0,5,7,10,6,0,0,21,0,0,0,4,4,3,0,0,19,9,8,25,13,8,3,0,0,61,0,3,3,7,3,4,6,0,34,5,7,3,9,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,9,6,5,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,7,5,3,0,0,16,12,21,43,42,34,18,6,0,172,0,5
