SOS_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOS10,2297716,2404189,4701906,911052,649487,1560533,312007,484214,796217,157439,160508,317950,78882,64041,142917,1459370,1358243,2817615,713067,919108,1632178,5.4,4.7,5.1,63.5,56.5,59.9,60.1,53.8,56.9,211183,213298,424483,36721,63760,100484,456545,544143,1000693,195408,256830,452235,386807,202102,588904,15934,29123,45061,35763,57419,93175,438501,288645,727147,2228119,2301285,4529398,432209,440734,872941,1418432,1481190,2899619,1095872,1123096,2218970
SOS11,620876,673895,1294773,235486,147551,383037,80129,158675,238811,22056,27777,49837,19012,15219,34225,356683,349219,705907,223150,281533,504679,5.3,4.4,4.8,57.4,51.8,54.5,54.4,49.6,51.9,18882,22820,41704,7546,16334,23881,54793,89085,143880,41465,68915,110377,171736,99203,270941,6618,12650,19264,9885,18322,28213,188246,130171,318418,591859,632438,1224295,110666,120374,231042,376627,399545,776168,286453,315983,602439
SOS12,60750,61664,122413,21727,12659,34384,7838,15288,23125,2498,2665,5165,1696,1264,2956,33757,31878,65633,22353,25421,47782,5,4,4.5,55.6,51.7,53.6,52.8,49.6,51.2,1629,2025,3655,732,1588,2319,4879,8198,13077,3974,6600,10573,18111,9107,27218,550,1280,1830,1025,1656,2681,19682,12040,31724,59286,59355,118642,8589,8991,17582,40851,40463,81309,23719,24753,48466
SOS13,243500,229449,472950,101640,55781,157425,31614,60981,92599,10949,11614,22568,5144,3957,9103,149358,132337,281693,74021,79115,153135,3.4,3,3.2,61.3,57.7,59.6,59.2,56,57.6,6982,8690,15679,2559,6253,8816,22374,36061,58433,16518,26003,42518,69522,30946,100464,2280,4515,6793,4106,6847,10954,75911,42299,118212,237378,224292,461664,28979,28630,57604,174703,162975,337678,79865,79123,158990
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,20.5,31,31.6,31.3,24.1,25.8,24.9,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
SOS20,1983259,2095680,4078935,910378,568353,1478734,300451,530115,830566,69453,90839,160292,73488,64850,138333,1353763,1254160,2607921,530992,743155,1274146,5.4,5.2,5.3,68.3,59.8,63.9,64.6,56.8,60.5,176473,184606,361077,41947,81126,123069,391636,469663,861299,179970,223377,403354,329674,175402,505076,13571,20400,33968,24350,36690,61045,367601,232489,600090,1936149,2017740,3953890,363888,375221,739113,1225277,1294369,2519646,949972,980243,1930218
SOS21,388853,423180,812034,160837,89021,249860,48694,107535,156233,14547,19024,33570,11424,9529,20948,235495,225109,460605,128886,172239,301128,4.8,4.2,4.5,60.6,53.2,56.7,57.6,50.9,54.1,11022,14263,25281,5796,13835,19631,34870,56738,91606,29767,46821,76591,105142,58145,163289,3640,6457,10094,5081,7424,12507,113865,72023,185891,384788,408410,793198,62956,68143,131101,242328,255882,498215,179694,195881,375571
SOS22,39223,39569,78795,14589,7519,22103,5014,10347,15363,1651,1993,3644,933,737,1664,22183,20598,42782,14017,16148,30170,4.2,3.6,3.9,56.6,52,54.3,54.2,50.2,52.2,976,1311,2289,609,1330,1936,3114,5503,8618,2736,4538,7282,11429,5372,16802,313,656,971,504,678,1185,12245,6706,18960,37988,38013,76002,5187,5356,10545,26166,25837,52004,15047,15534,30581
SOS23,184354,171931,356286,80282,39377,119657,23698,50233,73932,7992,9141,17133,3471,2757,6227,115450,101508,216956,54461,57304,111759,3,2.7,2.9,62.6,59,60.9,60.7,57.4,59.1,4504,6218,10724,2485,6222,8712,15782,26379,42161,13377,20317,33698,52180,21546,73722,1431,2702,4133,2337,3176,5512,55945,27419,83365,180010,170168,350178,19020,18968,37989,133903,125007,258912,56914,56263,113184
