SOS_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOS10,2504,36983,390,37372,..,18614,5999,24613,169,24783,..,18554,4448,22997,160,23162,..,77117,37169,114287,784,115067,..,176531,35432,211963,4303,216260,..,1660036,338149,1998180,18091,2016273,..,27718,6536,34252,268175,302427,3435127,1687754,344680,2032434,286266,5753827
SOS11,70,911,15,927,..,2024,498,2524,7,2532,..,365,90,449,5,458,..,1697,624,2320,26,2350,..,16972,3321,20293,488,20776,..,82807,12619,95424,1323,96748,..,4715,520,5233,98810,104046,1383090,87519,13142,100658,100129,1583879
SOS12,0,32,0,32,..,120,27,144,3,152,..,16,0,16,0,16,..,62,12,74,0,74,..,1050,128,1178,25,1204,..,4477,475,4949,63,5017,..,345,20,364,9972,10338,133456,4814,497,5309,10042,148805
SOS13,17,103,0,106,..,449,110,553,0,560,..,178,19,197,3,205,..,289,88,379,4,381,..,5253,523,5773,96,5870,..,23463,3121,26588,315,26901,..,1079,82,1164,46320,47484,499886,24549,3204,27752,46634,574269
SOS17,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
SOS20,2278,32407,371,32774,..,10262,2203,12465,90,12551,..,26253,6357,32610,228,32833,..,79756,34521,114275,846,115120,..,191423,41280,232697,4178,236876,..,1395000,263026,1658028,16283,1674310,..,23399,5374,28770,207979,236748,3060711,1418400,268395,1686800,224268,4971771
SOS21,122,1214,13,1234,..,1176,327,1502,10,1509,..,1265,352,1614,17,1631,..,1944,1125,3067,61,3128,..,16138,3720,19854,466,20322,..,79006,13999,93006,1396,94398,..,3135,485,3623,56096,59721,844895,82146,14481,96625,57496,999013
SOS22,0,11,0,11,..,87,31,117,0,118,..,31,7,42,0,42,..,61,30,84,0,86,..,726,107,838,16,849,..,3141,400,3548,51,3597,..,214,20,232,6318,6554,84522,3357,416,3777,6371,94668
SOS23,13,95,0,98,..,357,167,521,11,529,..,281,43,321,0,321,..,298,128,425,3,428,..,3316,424,3740,65,3800,..,15944,2318,18261,230,18488,..,839,81,921,34317,35235,375179,16786,2398,19180,34543,428903
