SOS_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOS27,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
SOS29,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
SOS30,357,6541,68,6606,..,7031,1438,8474,62,8537,..,2174,335,2508,24,2533,..,20805,8110,28914,226,29139,..,83379,15453,98834,1980,100814,..,506982,77775,584757,6427,591182,..,14720,2283,17004,177590,194594,2829217,521703,80062,601764,184015,3614998
SOS31,79,642,5,647,..,1181,281,1463,9,1474,..,172,39,211,0,211,..,1045,522,1565,19,1589,..,15400,2020,17419,472,17888,..,53077,7053,60132,970,61106,..,3167,319,3488,66557,70044,805912,56244,7379,63622,67521,937057
SOS32,0,11,0,11,..,131,28,153,0,150,..,9,0,13,0,13,..,55,16,72,0,74,..,6272,1009,7277,256,7536,..,9299,1275,10578,312,10890,..,506,92,593,11753,12351,117414,9802,1367,11165,12070,140652
SOS33,4,58,0,59,..,360,120,475,5,484,..,33,5,38,0,40,..,321,213,527,12,542,..,4960,624,5580,137,5715,..,15413,1815,17228,265,17493,..,926,89,1020,41398,42413,388665,16347,1904,18254,41660,448574
SOS37,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,21,0,22,..,0,0,0,128,128,32,19,0,21,130,183
SOS39,0,0,0,0,..,13,3,18,0,18,..,5,0,5,0,5,..,21,5,23,0,23,..,272,31,300,7,316,..,1031,135,1163,19,1184,..,56,4,62,3455,3517,9972,1085,140,1226,3475,14670
SOS40,149,3098,26,3123,..,1601,340,1943,19,1966,..,595,80,673,9,678,..,14521,5965,20483,121,20609,..,34680,8805,43485,865,44350,..,242483,42866,285351,2862,288213,..,4910,962,5874,41657,47531,909273,247394,43829,291223,44516,1245011
SOS41,8,171,10,176,..,256,49,306,3,309,..,81,31,107,0,109,..,442,179,616,4,623,..,3457,899,4354,103,4459,..,15920,2488,18418,283,18694,..,986,80,1062,17607,18667,299262,16907,2567,19471,17884,336623
SOS42,0,5,0,5,..,22,10,30,0,30,..,3,0,3,0,3,..,25,4,24,0,24,..,1834,266,2093,84,2183,..,2756,330,3089,95,3184,..,164,17,187,3521,3706,44201,2923,351,3277,3616,51089
SOS43,4,32,0,32,..,105,17,125,4,126,..,62,10,74,0,74,..,317,263,579,7,585,..,1472,172,1642,112,1756,..,5703,1009,6704,173,6880,..,263,27,293,10284,10572,127949,5963,1034,6994,10456,145402
SOS47,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,5,5,0,8,0,8,5,12
SOS49,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,85,10,92,11,105,..,270,33,302,11,314,..,32,6,32,770,806,2261,300,34,334,777,3377
SOS50,564,8333,95,8422,..,5376,909,6284,45,6327,..,1559,365,1925,11,1937,..,15077,6240,21316,158,21475,..,62480,9917,72397,1385,73779,..,379363,53747,433111,4659,437765,..,9585,1373,10962,90703,101668,1504326,388953,55123,444076,95360,2043762
SOS51,9,269,4,272,..,955,160,1111,6,1121,..,49,10,54,0,58,..,550,211,764,4,771,..,7265,966,8231,193,8425,..,29496,3094,32596,468,33065,..,1854,289,2139,33540,35684,315783,31350,3383,34732,34007,384526
SOS52,0,13,0,13,..,72,17,90,0,91,..,0,0,0,0,0,..,51,20,66,0,71,..,4376,401,4773,134,4908,..,6217,574,6792,178,6973,..,255,51,306,6192,6495,46044,6472,625,7094,6367,59508
SOS53,0,25,0,25,..,187,38,226,0,224,..,12,0,12,0,12,..,258,167,426,6,430,..,3798,301,4099,103,4201,..,9617,899,10516,175,10693,..,434,33,466,20192,20657,132299,10051,931,10983,20367,163652
SOS57,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
SOS59,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
SOS60,13,285,3,283,..,253,27,282,6,283,..,49,5,59,0,60,..,887,120,1008,18,1029,..,2443,520,2962,111,3074,..,26662,2834,29498,353,29858,..,633,98,730,8345,9069,158519,27297,2934,30227,8703,197451
SOS61,4,144,0,144,..,198,35,227,0,231,..,11,0,19,0,16,..,298,60,360,5,362,..,2016,480,2489,81,2575,..,12387,1730,14115,190,14305,..,620,71,687,10361,11046,194814,13006,1796,14804,10550,220162
SOS62,0,5,0,5,..,28,5,36,0,36,..,12,5,14,0,14,..,10,5,17,0,18,..,196,18,209,3,217,..,959,69,1027,19,1044,..,73,3,80,1884,1968,28183,1031,72,1101,1905,31196
SOS63,3,31,0,31,..,57,14,78,0,78,..,8,0,10,0,10,..,47,12,58,0,64,..,674,73,743,14,759,..,3087,272,3355,41,3403,..,180,5,186,6405,6595,97368,3266,281,3544,6447,107361
SOS67,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,11,0,0,0,3,19
SOS69,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,27,0,23,..,63,11,73,3,74,..,4,0,4,314,325,978,70,11,77,318,1377
SOS70,39,487,6,488,..,598,160,759,5,767,..,37,5,45,0,45,..,929,260,1183,3,1189,..,3955,555,4512,134,4644,..,28454,3161,31620,391,32009,..,810,126,945,10962,11905,78290,29271,3291,32559,11355,122207
SOS71,5,42,0,42,..,101,20,118,0,118,..,9,3,14,0,14,..,96,29,124,0,124,..,11584,2099,13680,317,14003,..,16115,2505,18619,396,19017,..,461,90,545,3717,4260,25178,16573,2592,19163,4116,48456
SOS72,0,7,0,7,..,28,4,28,0,28,..,4,0,4,0,4,..,13,0,13,0,16,..,13340,1561,14897,303,15203,..,13910,1609,15516,322,15838,..,195,41,248,1375,1618,6713,14105,1658,15767,1694,24165
SOS73,0,0,0,0,..,94,28,120,0,120,..,0,0,0,0,0,..,120,115,238,0,238,..,5237,1147,6389,221,6607,..,6254,1429,7680,225,7906,..,151,30,187,4668,4855,21413,6404,1462,7865,4898,34172
SOS77,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,11,0,11,..,0,0,0,24,24,63,7,4,11,24,99
SOS79,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,310,41,349,36,392,..,454,56,514,42,551,..,109,11,125,1214,1343,1605,567,70,636,1259,3500
SOS80,102,2384,25,2413,..,1059,224,1280,11,1291,..,348,30,384,11,391,..,4036,950,4981,41,5023,..,14209,1743,15954,307,16256,..,99339,11079,110412,1104,111522,..,1773,256,2027,16714,18742,322409,101110,11335,112439,17819,452670
SOS82,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,19,0,19,..,0,0,0,24,24,570,21,0,16,24,615
SOS83,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,14,0,14,..,40,0,41,0,41,..,6,0,6,86,90,481,39,0,45,86,605
SOS87,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,19,0,19,..,71,10,78,0,81,..,5,0,5,125,130,400,76,10,82,127,605
SOS91,0,4,0,4,..,5,3,6,0,6,..,0,0,0,0,0,..,5,4,7,0,7,..,5,0,5,0,5,..,491,150,647,7,661,..,3,3,3,223,233,461,496,159,653,233,1355
SOS92,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,555,16,574,3,578,..,860,137,995,12,1009,..,9,9,21,294,317,1123,874,146,1019,307,2450
SOS93,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,146,5,149,8,153,..,213,56,269,6,276,..,0,0,0,339,339,363,211,56,268,348,976
SOS97,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,3,3,5,3,3,5,3,11
