SOS_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,3,5,0,0,0,0,0,7,138,183,312,806,389,274,199,43,5,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,14,0,0,6,4,0,0,0,0,0,7,0,0,3,3,3,3,6,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,9,30,9,29,13,11,0,97,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,9,4,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,5,0,0,3,0,4,8,47,5,0,0,0,0,60,0,0,0,3,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,13
SOS30,17,186,385,1497,324,139,46,17,3,2612,100199,203627,176674,309693,144150,119670,94255,49367,15031,1212669,12,113,143,802,255,121,48,14,4,1506,0,5,27,612,276,385,265,97,21,1689,26,185,393,4233,401,115,48,20,0,5411,7,52,81,212,192,172,120,34,10,879,90,359,332,1741,871,577,449,219,49,4685,10,51,72,572,253,167,133,95,6,1358,125,1336,3447,10208,2366,2300,1807,640,244,22472,0,6,7,244,134,324,339,356,96,1510,17,151,157,373,145,159,219,170,52,1436,327,3157,5443,13942,12664,14630,11831,8907,2621,73517,9,127,358,2107,1158,1007,654,270,64,5748,25,139,177,1292,393,368,268,142,35,2838,27,132,254,1400,919,997,1580,1349,354,7015,0,35,44,142,122,232,379,434,230,1614,79,468,874,2174,595,757,618,158,42,5762,273,2010,3879,22001,3779,1587,1028,570,164,35294,42,200,374,1019,336,201,340,145,72,2734,18,248,374,2129,663,278,202,88,16,4018
SOS31,0,3,5,32,11,4,0,0,0,59,26047,58224,45708,82823,41866,43020,38468,20237,5884,362282,5,18,10,100,30,13,6,0,0,182,0,4,0,13,6,7,4,8,5,44,0,8,51,161,64,17,5,4,0,316,0,8,5,21,15,0,0,0,0,59,10,55,30,220,103,106,100,55,4,679,0,5,5,106,21,16,12,4,0,169,8,68,80,457,115,66,42,24,12,867,0,0,0,14,11,28,38,52,22,167,8,24,0,48,15,14,28,17,0,157,22,306,543,1542,1820,2972,3350,2642,674,13867,3,24,59,238,103,117,48,31,6,626,0,8,31,149,54,67,58,36,12,407,9,17,37,169,140,225,435,430,112,1570,0,0,8,7,8,22,33,20,21,116,0,9,24,96,20,39,19,5,3,215,43,173,214,1885,283,115,81,71,16,2884,9,19,28,139,22,22,45,18,5,311,3,4,7,75,29,13,5,5,3,143
SOS32,0,0,0,0,0,0,0,0,0,0,3559,8568,6326,11497,7109,8316,7396,3359,668,56801,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,13,3,0,0,4,0,21,0,3,4,0,0,0,0,0,0,7,0,8,3,25,15,19,18,10,0,97,0,0,0,8,5,0,0,4,0,10,0,7,4,14,3,7,6,0,0,33,0,0,0,0,0,10,8,8,0,25,0,0,0,5,0,0,0,0,0,7,0,29,52,204,272,589,639,441,68,2306,0,3,3,19,15,11,7,0,0,63,0,0,9,19,7,7,8,6,0,60,0,5,6,25,25,49,95,78,16,298,0,0,0,0,5,8,3,0,0,17,0,0,0,6,3,0,6,3,0,15,0,5,7,93,15,14,7,11,4,153,0,4,5,15,3,0,7,0,0,35,0,0,0,8,0,3,3,0,0,11
SOS33,0,0,0,6,0,0,0,0,0,12,9978,26713,21347,37167,26074,28621,23128,9855,1841,184733,0,0,0,6,3,0,0,0,0,7,0,0,0,3,5,3,0,0,0,15,0,0,3,41,13,3,0,0,0,74,0,3,7,18,16,10,4,4,0,61,3,28,21,61,70,82,62,31,3,364,0,0,0,23,3,9,6,0,0,45,0,9,14,53,19,20,26,15,5,154,0,0,0,4,6,23,26,27,10,89,0,0,6,7,0,0,18,7,0,34,5,146,298,659,1096,1806,1719,1131,179,7038,0,6,7,51,36,41,18,8,5,176,0,0,16,75,31,47,31,17,3,226,0,9,11,102,106,174,286,202,37,922,0,0,0,0,3,0,14,7,0,30,3,6,9,20,7,14,6,0,0,72,0,18,24,165,63,45,44,25,3,387,0,5,12,33,6,9,35,18,8,133,0,0,0,16,3,5,5,3,0,32
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,3,235,383,447,1358,627,826,806,159,12,4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,22,0,0,0,9,0,0,0,0,0,11,0,0,0,11,4,0,0,0,0,16,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,18,56,27,87,89,45,4,329,0,0,0,5,0,0,5,0,0,11,0,0,4,27,0,3,0,0,0,37,0,0,5,17,11,11,7,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,15,0,0,0,0,0,24,0,0,0,9,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3
SOS40,27,336,790,2175,641,320,117,24,4,4436,32594,62911,57201,107525,51176,45450,34546,17115,5669,414177,17,123,124,637,182,37,20,6,3,1143,0,7,17,353,169,224,158,57,19,1005,3,49,38,703,60,16,11,0,6,885,14,46,115,444,362,301,201,76,15,1569,21,72,80,308,190,151,97,34,10,969,3,10,16,118,66,53,50,28,3,345,51,545,1975,5274,1022,798,712,237,88,10701,0,4,3,183,124,211,256,287,103,1176,8,91,77,257,79,66,132,91,27,830,76,834,1858,4048,4869,8562,6626,4439,1855,33157,0,17,33,191,111,84,58,24,4,523,6,30,40,241,99,104,62,30,9,610,4,38,60,316,267,378,976,739,273,3060,0,25,45,157,145,495,934,1023,646,3462,26,111,550,818,157,167,154,44,10,2047,179,1645,3523,13904,2225,715,453,248,85,22975,14,68,112,348,89,41,69,28,15,785,11,220,373,1192,373,233,137,55,12,2611
SOS41,0,7,21,87,59,33,6,0,0,216,8619,18729,16239,30596,16006,16087,15296,8514,2652,132731,0,9,0,28,0,0,0,0,0,33,0,0,0,0,4,10,4,7,3,33,0,0,0,34,11,0,3,0,0,47,5,3,3,16,3,6,0,0,0,49,0,10,12,40,38,33,31,3,4,170,0,0,0,10,9,7,0,0,0,24,0,32,19,183,52,31,18,4,0,346,0,0,0,5,8,30,40,53,21,155,0,7,3,14,3,5,7,10,0,56,9,105,250,574,997,2336,2105,1631,579,8587,0,0,9,31,6,9,5,3,0,71,0,3,3,27,9,14,17,7,5,88,8,5,3,61,59,97,292,216,82,825,0,0,0,4,11,25,69,70,37,222,3,7,16,26,7,7,5,8,0,69,20,59,99,651,87,45,34,26,10,1034,0,11,11,51,14,3,15,3,11,104,0,3,0,18,22,9,3,0,0,49
