SOS_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SOS42,0,0,0,0,0,0,0,0,0,0,1185,2674,2168,4168,2544,3181,3037,1432,461,20849,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,10,0,0,0,20,0,0,0,0,0,0,0,4,0,5,0,3,3,3,0,4,0,0,0,13,0,0,0,0,0,3,7,11,4,20,0,0,0,0,0,0,0,0,0,3,0,9,19,59,132,345,348,218,67,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,17,0,3,0,6,3,23,62,25,4,123,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,9,47,0,3,4,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS43,0,0,0,20,4,0,0,0,0,29,3228,8758,7213,12413,8939,10214,7963,3136,524,62377,0,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,8,0,3,4,19,18,7,12,0,0,55,0,3,0,12,13,7,14,3,0,56,0,0,0,0,0,0,0,6,0,6,0,8,6,17,3,12,9,3,0,58,0,0,0,4,0,8,15,18,0,50,0,0,0,3,0,0,4,0,0,6,5,48,93,201,457,1007,890,463,108,3272,0,0,0,7,12,8,5,0,0,28,0,0,5,6,10,12,10,4,0,49,0,4,5,15,31,63,137,72,21,338,0,0,0,0,5,29,55,50,22,168,0,3,0,0,0,0,4,0,0,14,0,7,19,89,25,32,23,10,3,208,0,3,5,13,5,3,0,0,0,36,0,0,5,9,3,7,0,0,3,27
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,61,96,129,413,206,194,124,29,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,19,25,21,3,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,9,0,0,3,0,4,15,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6
SOS50,19,147,409,1760,394,227,89,18,3,3074,60716,111081,86153,153197,65902,53596,41639,19956,6369,598604,7,97,124,756,260,74,64,14,0,1399,6,3,20,514,206,307,195,92,13,1359,13,92,98,1347,148,58,13,14,3,1787,4,37,42,157,127,82,68,18,7,555,33,172,203,708,432,367,226,92,22,2243,3,32,44,310,165,137,108,43,8,851,52,620,1532,5288,1676,1245,864,250,118,11641,0,10,11,345,190,334,552,433,162,2037,5,122,157,344,144,141,175,125,35,1251,211,2805,5833,15774,14293,17835,12945,8867,2768,81324,0,11,48,176,106,79,55,21,0,495,14,69,118,905,246,180,126,52,20,1731,16,75,153,922,608,506,875,643,130,3931,0,16,23,61,63,136,238,284,147,965,31,182,396,1215,348,319,292,94,26,2899,226,1838,2908,16741,3472,1998,1682,975,275,30110,68,349,671,2047,743,385,461,182,39,4940,7,175,262,1554,553,330,198,87,27,3200
SOS51,0,6,28,83,26,24,4,0,0,175,11640,23883,16993,34136,16572,15140,12123,5666,1721,137883,0,8,3,49,7,0,4,0,0,63,0,0,0,11,3,0,8,8,0,23,0,4,0,82,9,0,0,0,0,108,3,3,3,12,0,0,0,0,0,27,13,20,17,86,51,45,32,10,7,276,0,0,0,47,8,10,6,4,0,79,3,18,34,250,44,25,12,0,0,389,0,0,3,14,5,14,28,22,0,87,4,11,0,31,0,11,8,13,0,76,12,214,406,1526,1425,2292,1890,1457,413,9628,0,7,16,87,27,12,6,0,0,162,0,3,29,155,25,33,15,5,3,270,0,5,16,119,68,73,195,127,22,637,0,4,6,5,6,5,14,5,6,47,4,6,9,53,6,7,6,0,0,87,14,104,60,809,172,86,43,47,13,1354,4,49,39,95,34,13,12,7,4,258,0,7,3,42,17,9,5,5,0,87
SOS52,0,0,0,5,0,0,0,0,0,4,1697,3429,2558,4834,2663,2967,2607,1152,314,22215,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,7,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,9,9,5,0,30,0,0,0,0,0,0,3,0,0,8,0,0,0,10,7,0,0,0,0,17,0,0,0,0,0,0,4,7,0,8,0,0,0,0,0,0,0,0,0,0,4,20,37,167,208,395,384,258,67,1533,0,0,0,15,4,6,0,0,0,27,0,0,0,12,0,4,5,3,0,22,0,0,3,12,7,12,33,28,4,91,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,3,7,50,15,9,9,0,0,97,0,0,0,5,0,0,0,3,0,16,0,0,0,7,0,0,0,0,0,7
SOS53,0,0,0,34,6,9,0,0,0,47,3465,8994,7465,14203,9108,9148,7090,2623,504,62603,0,0,0,17,3,0,0,0,0,21,0,0,0,5,3,0,0,3,0,18,0,0,0,33,4,0,0,0,0,38,0,0,0,5,0,0,0,0,0,9,0,8,10,40,18,38,15,9,3,146,0,0,0,12,0,5,3,0,0,17,0,0,7,81,28,12,7,5,0,140,0,0,3,8,3,20,21,25,5,75,0,0,0,3,0,0,8,3,0,17,0,65,208,598,889,1548,1149,693,122,5280,0,0,0,41,8,6,0,0,0,59,0,3,15,72,13,14,10,9,0,144,0,5,23,52,51,59,108,56,3,355,0,0,0,4,0,5,10,5,9,24,0,3,3,21,3,5,3,0,0,41,0,0,7,100,33,39,29,29,3,243,0,9,9,27,7,6,11,4,0,73,0,0,3,42,5,7,4,0,0,64
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,7,80,28,10,3,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0
SOS59,0,4,0,11,0,0,0,0,0,11,113,189,278,991,484,358,249,44,6,2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,5,11,54,25,50,45,13,3,210,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,16,0,0,0,10,3,0,3,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,0,16,0,0,0,6,3,0,0,0,0,8,0,0,0,4,4,4,0,0,0,11
SOS60,0,0,11,29,5,0,0,0,0,53,4944,10054,9499,18008,8850,8358,7053,3533,1107,71399,0,7,27,245,8,0,0,0,0,284,0,0,0,16,5,11,9,9,0,37,0,0,0,126,5,4,0,0,0,141,0,5,5,21,0,0,0,0,0,24,4,11,12,65,37,31,17,6,0,191,0,0,4,28,14,12,3,6,0,73,20,90,271,1846,57,46,49,22,3,2396,0,0,0,4,0,12,14,35,14,77,4,5,7,23,3,0,10,4,0,51,11,85,89,394,421,663,698,564,222,3147,0,0,5,11,14,12,10,4,0,53,3,4,0,45,12,13,9,6,0,86,3,9,3,65,29,67,90,92,36,388,0,0,0,12,8,23,36,49,30,165,5,19,44,155,17,22,18,7,0,283,18,91,221,1775,84,32,28,25,8,2281,0,5,24,75,13,5,5,5,8,131,0,20,19,66,13,10,4,6,0,129
SOS61,0,5,7,41,12,9,0,0,0,80,5562,12089,10989,20031,10365,10940,9665,5149,1588,86390,0,5,7,56,0,0,0,0,0,72,0,0,0,0,0,0,6,4,0,16,0,0,0,28,0,3,0,0,0,38,0,0,0,3,0,0,0,0,0,5,5,6,4,55,24,16,25,3,0,132,0,9,6,14,3,11,7,0,3,46,3,19,50,368,15,23,14,7,0,498,0,0,0,3,0,3,5,13,0,29,0,13,4,13,0,3,0,0,0,44,4,45,76,251,348,738,917,857,240,3470,0,0,3,18,6,3,0,0,0,38,0,0,3,25,5,6,6,10,0,60,0,0,7,33,21,47,88,82,31,313,0,0,0,0,0,5,11,14,7,39,0,3,14,47,5,7,7,0,0,86,16,46,110,860,55,37,16,14,7,1159,0,4,16,26,3,4,13,4,0,67,0,33,33,42,5,13,4,0,0,135
SOS62,0,0,0,0,0,0,0,0,0,0,696,1578,1291,2591,1588,1984,1832,856,192,12608,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,5,8,0,0,28,0,0,0,0,6,0,0,0,0,6,0,0,0,12,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,6,52,76,148,240,133,39,705,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,4,4,0,0,13,0,0,0,8,7,10,14,15,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,22,5,5,4,0,0,38,0,0,0,3,0,0,0,5,0,9,0,3,0,0,0,0,0,0,0,9
SOS63,0,0,0,0,0,0,0,0,0,0,2464,6144,5069,9135,6309,7475,5882,2149,388,45018,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,3,0,8,5,21,21,20,25,10,0,109,0,0,0,6,4,3,5,4,0,23,0,5,0,32,9,0,3,3,0,47,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,3,0,10,0,22,47,188,303,646,736,402,73,2417,0,0,0,5,0,4,3,0,0,15,0,0,0,23,8,13,8,0,0,61,0,6,5,28,20,50,87,36,11,241,0,0,0,0,0,6,3,6,0,17,0,0,0,12,0,8,8,0,0,19,0,3,19,76,8,3,7,11,0,124,0,3,0,4,3,0,10,0,0,31,0,0,8,10,0,0,0,0,0,15
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,18,43,90,188,103,61,40,14,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,0,0,5,15,5,0,0,0,0,23,3940,6468,5315,11540,4715,3715,2277,756,137,38865,3,11,60,268,26,12,4,0,0,380,0,3,0,3,0,5,5,4,0,22,0,3,6,55,8,4,0,0,0,73,3,6,4,12,6,5,3,0,0,40,4,11,7,37,15,14,12,4,0,110,0,0,0,4,4,3,7,0,0,23,0,23,79,319,58,32,21,13,0,549,0,0,0,3,0,3,11,4,0,16,0,3,4,22,0,3,3,6,0,34,0,84,112,391,261,372,277,116,17,1627,4,13,10,53,28,21,8,0,0,134,0,3,3,48,12,8,5,4,0,96,0,3,5,45,39,26,43,46,13,216,3,27,62,136,79,91,123,93,16,631,0,3,5,62,15,12,15,7,0,119,29,133,185,1327,197,90,51,19,5,2037,9,47,56,179,43,27,32,11,4,412,0,3,0,38,13,4,0,0,0,59
SOS71,0,0,0,3,0,0,0,0,0,3,1730,3330,2717,5057,1955,1639,886,246,45,17611,0,5,0,29,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,6,0,0,0,15,4,0,0,0,0,20,0,0,0,3,0,0,0,0,0,9,5,0,0,12,4,5,3,0,0,31,0,0,0,5,0,0,0,0,0,6,0,0,8,72,10,4,0,0,0,88,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,13,10,91,69,111,64,37,3,410,0,12,10,33,17,21,8,4,0,102,0,0,0,22,0,0,0,0,0,28,0,0,0,15,3,15,15,7,3,60,0,0,0,7,0,0,6,0,0,16,0,5,4,7,0,0,0,0,0,11,12,43,31,447,45,26,16,0,0,617,0,4,3,17,5,6,0,0,0,36,0,0,0,0,4,0,0,0,0,9
SOS72,0,0,0,0,0,0,0,0,0,0,965,2026,1894,3103,1171,839,429,113,24,10566,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,17,21,17,15,8,3,89,0,0,0,3,10,3,0,0,0,15,0,0,0,5,3,0,0,0,0,12,0,0,0,5,0,0,4,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,21,4,0,0,0,0,25,0,5,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3
SOS73,0,0,0,0,0,0,0,0,0,0,960,2152,2080,3888,2058,1672,977,289,40,14131,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,10,0,0,29,0,0,0,3,4,5,3,0,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,57,58,118,75,44,4,371,0,0,0,3,0,0,0,0,0,11,0,0,3,16,0,4,3,0,0,28,0,0,5,8,7,8,23,9,0,52,0,0,0,5,4,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,4,3,0,29,0,3,4,4,4,3,0,0,0,20,0,0,0,4,0,0,0,0,0,4
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,6,25,7,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,72,141,69,317,188,181,119,19,4,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,12,19,15,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,4,0,6,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,0,17,49,245,73,34,22,7,0,455,12905,24912,22751,43115,18103,13785,10086,4769,1446,151860,15,47,70,577,164,80,41,10,0,1008,0,5,0,46,26,44,33,23,7,191,0,10,18,161,45,21,5,0,0,264,0,14,28,66,46,25,11,9,0,191,10,48,65,209,133,101,58,18,5,633,0,11,8,115,75,78,53,40,0,384,22,141,799,2928,478,479,334,124,33,5336,0,0,9,47,58,109,156,203,49,635,6,43,27,98,36,30,34,19,7,297,25,254,476,1082,1007,1484,1221,863,327,6742,0,9,40,199,92,84,39,19,5,491,9,36,32,143,71,38,20,15,6,367,6,20,55,162,117,128,248,204,63,1011,0,7,15,35,33,53,97,139,71,454,9,47,132,369,102,123,100,31,10,929,78,510,793,5812,1099,382,284,120,44,9108,6,58,68,217,54,36,26,24,3,487,0,30,59,298,92,57,23,11,0,584
SOS82,0,0,0,0,0,0,0,0,0,0,12,53,38,65,42,21,17,10,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,21,22,45,71,27,30,17,5,4,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,11,7,47,79,27,19,10,4,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,36,79,28,90,43,50,21,7,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
