SOS_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,55,669,102,176,22,9,1047,26,1461,218,127,37,12,1884,328,8870,1145,1077,226,108,11755,983,3786,2452,1879,259,98,9461,1323,1531,773,2029,212,43,5911,7704,1824,1099,4697,1138,129,16593,23083,1499,802,10104,1176,114,36779,26525,650,404,8054,863,82,36576,9726,108,62,2465,213,16,12582,2913,15,20,696,63,4,3722,1094,16,16,238,24,0,1385,482,20,3,135,9,0,644,258,13,0,50,3,0,336,319,0,3,126,15,4,478,906,1192,447,1277,332,358,4512,75734,21644,7553,33143,4592,991,143655
SOS41,31,215,33,95,28,5,406,40,526,72,89,48,8,777,462,2699,263,559,376,41,4394,2183,1521,453,1246,487,56,5945,1571,579,166,1240,266,22,3850,4107,541,160,1752,379,32,6970,5177,200,97,1774,200,26,7469,3285,55,38,783,86,13,4256,608,18,11,156,24,3,826,133,5,7,34,12,0,192,41,3,0,12,0,0,63,18,0,0,10,4,0,30,7,6,0,6,4,0,22,13,0,0,14,7,0,42,235,374,79,338,175,112,1311,17911,6744,1381,8097,2089,323,36549
SOS42,4,70,20,37,28,0,161,3,170,39,27,13,5,260,37,199,82,166,74,3,563,178,76,62,426,81,9,841,152,17,21,284,34,0,512,320,20,14,300,27,0,681,235,3,8,170,11,0,428,124,5,3,71,7,0,208,26,0,0,17,0,0,41,5,0,0,5,0,0,11,0,0,0,8,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,0,8,6,40,16,77,65,15,222,1090,609,261,1595,348,41,3950
SOS43,0,51,41,137,153,8,398,0,60,28,95,43,0,232,43,85,28,488,168,6,818,165,26,34,551,158,9,936,143,5,7,412,73,6,637,310,6,4,447,92,7,868,387,0,3,390,56,3,845,290,0,0,237,34,0,565,101,0,0,66,15,0,183,31,0,0,32,0,0,71,17,0,0,7,6,0,28,6,0,0,9,0,0,12,0,0,0,0,0,0,5,4,0,0,11,5,0,20,19,22,34,303,293,22,691,1514,258,185,3178,1104,63,6308
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,126,691,81,233,31,14,1178,29,1134,144,168,34,12,1522,421,7195,604,1423,234,73,9959,1390,3336,1377,2154,344,71,8666,2614,1289,373,2553,310,51,7185,9334,1770,546,5224,1075,59,18008,28709,1284,379,12614,1468,144,44597,45353,553,289,14873,1513,163,62737,19956,97,63,5235,423,43,25811,7155,18,11,1717,106,16,9018,3117,21,15,737,50,7,3949,1656,19,4,390,40,0,2112,922,12,5,194,23,0,1162,1501,8,4,347,45,8,1911,1750,1096,285,2272,497,470,6368,124036,18516,4185,50123,6184,1142,204186
SOS51,80,225,101,64,1874,10,2344,30,307,111,50,234,4,741,195,1957,299,390,1240,35,4110,618,1393,518,659,671,43,3896,818,729,136,943,490,17,3135,2012,1102,206,1523,703,25,5573,4941,805,168,2673,660,28,9270,5901,236,76,2246,397,25,8886,2241,56,8,569,158,10,3042,902,16,0,190,71,4,1178,429,18,0,91,58,0,597,243,14,5,55,34,0,347,164,5,0,36,29,0,234,241,0,0,47,59,0,352,425,479,118,408,732,96,2257,19235,7338,1746,9954,7401,287,45964
SOS52,11,392,189,28,166,7,795,11,238,169,20,97,4,538,19,457,231,160,162,12,1037,122,256,142,270,122,11,924,101,118,30,258,73,4,584,212,135,47,322,89,14,823,276,88,23,280,72,5,742,182,24,11,146,30,5,397,60,5,0,30,12,0,105,15,0,0,19,5,0,38,5,0,0,3,3,0,7,4,0,0,0,0,0,8,0,0,0,3,3,0,8,0,0,0,10,5,0,19,35,139,51,106,203,13,531,1057,1848,897,1645,1030,76,6552
