SOS_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOS10,1753,11708,86163,439126,441448,133424,28932,12904,1155458,792,7497,38716,41486,6811,1049,248,1591,98205,663,9959,39394,87479,29712,4224,803,2278,174513,1454,17459,78112,128970,36526,5272,1055,3869,272714,2694,23880,58144,17916,1997,412,240,2150,107437,2716,24344,109223,22273,1010,127,129,2364,162189,4040,42289,115169,29087,1080,148,86,2534,194443,3384,35353,65311,16487,666,51,47,1638,122931,157,1363,3666,1799,1046,501,192,240,8960,12995,127224,351518,87569,5800,1243,696,8923,595962,460,2671,4096,1769,381,123,45,263,9812,253,966,1261,669,407,160,72,414,4205,16915,160037,521139,658100,484562,140217,30799,26373,2038151
SOS11,794,5967,53284,233146,172771,29037,5482,7314,507797,236,4887,26805,13882,1234,103,56,1384,48579,42,1708,5889,7536,1100,131,41,294,16741,276,6602,32693,21413,2332,234,94,1679,65322,346,5294,14181,3865,408,64,59,741,24958,27,435,2251,596,26,7,3,69,3415,20,341,1563,677,41,0,9,53,2698,5,15,185,143,0,0,0,3,346,28,289,349,220,157,47,20,22,1134,418,6371,18532,5493,638,120,90,887,32546,483,1869,2140,817,249,65,50,491,6166,80,379,511,374,180,45,60,341,1980,2056,21188,107158,261249,176174,29503,5780,10707,613818
SOS12,171,1169,6791,22440,16344,3570,883,978,52345,0,171,410,270,51,8,5,26,943,3,13,174,197,45,6,3,0,443,3,184,586,469,96,15,6,29,1386,14,146,292,93,16,0,4,21,592,0,27,76,23,3,0,0,0,134,0,5,3,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,9,39,13,10,8,0,0,78,16,180,411,142,36,11,3,27,826,85,319,352,137,41,8,5,77,1025,11,44,54,48,37,7,7,38,254,287,1904,8194,23234,16555,3614,912,1148,55835
SOS13,1453,6386,19851,62381,65812,20467,7674,3113,187132,0,69,143,321,228,77,36,21,906,0,18,51,54,88,21,13,3,248,0,83,190,384,317,99,45,31,1151,10,85,85,45,25,3,10,15,285,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,0,5,0,3,5,5,0,5,0,0,13,11,88,111,66,59,24,17,5,378,22,175,197,120,98,31,30,26,692,261,775,564,322,186,54,40,156,2365,54,240,273,330,213,82,44,81,1315,1790,7660,21082,63539,66622,20737,7840,3394,192660
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,1066,7316,100173,572193,442694,81078,12985,14268,1231761,381,13554,85887,56387,10984,1086,257,2798,171329,208,3762,36470,64871,19938,2300,349,1374,129267,586,17314,122352,121260,30924,3386,602,4165,300598,979,19742,47593,16365,1888,204,126,1418,88315,861,15996,30426,4721,285,52,34,675,53057,1015,20367,35502,4975,247,24,26,695,62855,1306,24175,40426,7295,260,23,40,937,74451,16,285,265,171,116,51,22,30,949,4176,80565,154204,33521,2798,350,250,3759,279623,212,1803,2262,960,247,53,29,138,5693,66,385,526,480,262,43,38,137,1934,6109,107380,379505,728415,476916,84910,13907,22471,1819615
SOS21,372,2886,33050,174575,110152,13240,2309,5344,341926,156,4112,15742,5488,562,48,31,938,27077,10,201,944,1714,297,35,9,60,3272,166,4314,16685,7201,860,81,45,996,30348,54,1845,4952,1235,81,12,12,249,8438,5,65,96,37,0,0,0,4,215,0,23,10,7,3,0,0,0,44,0,0,4,0,0,0,0,0,7,8,45,51,22,11,8,0,0,142,65,1980,5111,1300,97,19,18,263,8847,196,825,947,275,117,20,18,173,2566,12,75,120,169,92,24,28,63,586,812,10077,55911,183526,111322,13385,2405,6836,384277
SOS22,87,699,5301,18158,8863,1388,285,616,35398,18,218,211,117,37,0,0,13,620,4,3,11,57,10,3,9,10,99,16,220,225,176,40,3,5,19,719,6,83,82,37,0,0,0,12,228,0,3,6,4,0,0,0,0,20,3,46,117,20,0,0,0,0,186,0,3,3,0,0,0,0,0,9,0,3,4,0,0,0,0,0,20,12,142,217,61,9,0,0,13,457,50,164,89,88,36,7,6,42,487,4,17,20,22,0,0,0,8,67,171,1241,5848,18509,8952,1402,302,701,37124
SOS23,535,3090,14579,61646,49986,11118,3041,2340,146332,4,58,91,168,97,17,8,0,443,0,0,48,55,27,7,3,3,143,4,62,133,219,126,29,9,3,587,5,28,48,19,13,3,4,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,11,31,11,8,3,0,0,64,5,43,82,27,21,5,4,0,189,150,643,479,222,85,11,9,111,1712,20,65,81,96,74,18,19,24,393,708,3895,15350,62205,50294,11183,3085,2486,149218
