SOS_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SOS51,537,5682,502,2047,825,353,163,314,54,10480,756,4916,146,2458,652,228,87,234,46,9534,1828,1630,470,1212,4776,1426,318,847,118,12621,751,1947,266,3701,1219,548,165,621,94,9315,187,482,152,293,298,213,52,145,16,1828,443,142,1144,1029,751,534,196,523,56,4824,4,3,7,27,11,14,3,19,0,88,65,128,60,134,115,44,45,53,17,663,105,152,98,298,242,152,54,236,225,1559,5192,16307,3778,11695,9612,3853,1353,3500,692,55975,370,1113,467,215,233,92,90,192,23,2799,202,316,319,131,169,145,121,217,26,1654,2345,2482,14376,623,792,516,3061,1993,433,26623,881,368,3953,257,236,176,1046,898,113,7926,644,670,700,250,287,226,454,628,69,3921,790,7338,680,2406,894,381,342,418,83,13333,1131,6384,320,2650,701,274,292,320,78,12157,3333,2674,1134,1586,5342,1932,864,1275,226,18360,1082,2706,501,4711,1356,671,423,883,112,12441,296,712,333,387,343,296,131,284,27,2802
SOS52,95,513,33,257,100,31,20,42,10,1107,131,652,12,310,85,35,15,32,4,1282,218,127,39,135,484,102,45,93,14,1252,109,171,33,402,134,62,28,85,13,1049,25,47,7,33,39,11,8,14,0,191,57,16,109,80,66,53,28,59,12,471,0,0,0,5,0,4,0,6,0,7,13,11,4,12,9,3,3,8,0,60,25,23,21,54,37,29,10,36,25,270,765,1679,367,1348,1068,378,199,457,98,6345,55,108,39,37,27,12,20,29,5,324,23,38,20,14,10,4,10,15,0,136,327,220,1516,73,75,58,450,271,53,3041,106,34,315,17,18,19,117,102,24,755,171,104,157,40,66,35,84,137,13,802,125,659,41,315,113,36,47,53,12,1398,197,819,42,332,91,42,37,48,6,1607,407,203,93,175,531,159,90,134,21,1817,143,237,56,551,154,75,45,124,17,1401,37,65,27,37,47,23,23,22,3,282
SOS53,582,1933,252,703,436,115,70,181,32,4299,719,1892,69,796,355,83,58,129,20,4122,1067,651,159,311,1809,361,97,294,53,4811,435,644,113,950,480,154,70,232,52,3128,149,188,70,102,139,84,14,73,15,829,234,36,330,303,299,148,65,193,14,1629,5,4,0,5,8,3,0,4,3,33,51,48,27,53,35,14,12,16,4,256,134,55,45,122,119,66,34,113,108,793,4052,6119,1435,3569,4112,1160,559,1560,343,22908,389,617,169,65,116,44,52,86,12,1561,108,138,72,32,42,21,50,43,3,517,2228,1083,5556,210,286,174,1414,891,186,12018,587,119,1322,80,81,47,370,359,55,3021,1856,428,403,144,213,134,329,606,40,4161,730,2378,312,821,458,130,128,228,40,5231,917,2279,135,843,379,96,133,176,28,4982,2035,1075,412,415,1987,519,306,493,91,7324,648,872,206,1180,537,197,154,354,64,4217,201,291,144,136,152,107,59,129,19,1241
SOS57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6,0,23,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,25,39,0,6,0,10,24,6,110,0,0,5,0,0,0,5,10,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,6,0,3,7,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
SOS59,5,54,6,25,4,4,0,10,3,103,0,7,0,18,7,3,0,8,0,48,17,11,11,15,33,10,3,21,3,124,5,20,0,34,11,3,0,12,3,96,8,12,0,5,5,0,0,7,0,39,0,0,7,7,3,3,0,13,0,41,0,0,0,0,0,0,0,3,0,6,0,0,0,5,0,0,0,0,0,3,0,0,5,5,0,0,0,0,4,9,39,129,29,126,71,28,15,88,10,532,3,13,5,7,0,0,0,12,0,37,5,6,3,0,0,0,0,0,0,14,12,43,105,6,9,3,34,30,0,245,6,3,34,0,4,3,12,17,4,77,0,3,6,4,0,0,0,9,0,26,3,59,9,32,4,4,3,16,3,125,0,14,5,18,7,4,0,9,0,64,31,28,13,19,38,17,8,30,3,190,11,30,7,45,16,8,5,24,3,144,10,19,3,13,10,0,0,8,0,63
SOS60,258,4431,171,984,333,124,22,71,24,6411,320,2453,49,788,270,71,6,45,23,4019,1479,1700,211,1387,2880,880,53,486,158,9236,733,2191,170,2215,905,277,36,228,95,6849,214,670,82,241,240,128,15,52,12,1644,214,84,562,485,354,185,13,171,26,2093,4,4,0,8,8,13,0,9,0,39,85,167,17,92,106,38,4,22,24,546,46,87,39,149,113,69,11,79,94,679,3760,13206,1672,6795,5636,2004,214,1393,478,35159,404,1605,292,230,228,114,55,120,23,3069,387,1095,524,318,257,226,161,345,47,3369,920,1498,2557,335,349,252,494,630,87,7124,712,469,1984,118,123,82,118,218,48,3889,264,319,274,119,103,53,59,163,22,1368,377,5990,232,1317,376,164,63,119,52,8684,499,3361,87,914,316,93,27,76,32,5401,3197,3171,934,2142,3810,1553,577,1255,288,16922,1242,3357,340,3101,1225,408,115,379,136,10311,343,1163,255,374,333,217,40,129,30,2885
SOS61,233,3789,209,1290,345,167,22,107,39,6192,292,2530,48,1073,226,74,8,67,18,4344,1004,1024,164,818,2876,806,67,444,78,7280,408,1251,145,3079,683,312,48,358,75,6359,116,315,73,137,153,88,19,63,8,972,274,92,780,690,359,335,44,330,27,2935,4,0,0,9,4,7,0,5,0,33,25,62,21,78,61,30,5,20,10,319,61,65,49,183,128,102,12,142,109,845,2650,9672,1811,7632,5094,2073,274,1874,394,31471,193,484,232,123,100,46,26,91,12,1300,192,414,282,145,118,97,100,193,26,1575,979,963,4129,350,359,274,1106,977,140,9286,1013,285,2248,120,107,119,293,377,50,4600,313,271,372,115,103,94,172,315,22,1776,331,5012,253,1603,381,194,64,159,58,8059,460,3452,95,1204,266,100,35,114,31,5758,2130,1840,544,1213,3463,1254,510,898,153,12019,646,1835,262,3841,811,392,166,501,101,8548,178,542,175,213,196,153,61,130,23,1663
SOS62,47,442,28,144,44,28,3,16,6,756,49,367,11,119,29,15,0,14,0,618,142,129,26,89,355,96,7,48,9,894,72,164,27,326,99,30,3,46,12,781,26,58,14,18,27,12,0,4,0,160,42,6,86,70,62,44,5,51,3,369,0,0,0,0,0,0,0,0,0,3,11,6,3,8,6,0,0,4,0,49,13,11,5,23,19,15,4,32,13,139,449,1285,251,828,716,272,36,264,54,4153,46,110,30,18,22,3,3,8,7,251,19,43,21,3,12,8,3,22,0,144,174,137,634,46,57,26,196,177,24,1482,176,52,317,10,13,12,40,61,10,697,87,64,85,19,30,12,41,72,12,423,58,587,35,169,47,32,5,23,6,973,79,497,25,136,34,21,6,21,9,828,288,215,84,132,418,132,41,84,15,1409,104,236,41,407,120,38,10,64,16,1034,36,91,41,25,35,9,3,20,5,267
SOS63,258,1723,146,555,205,74,15,69,30,3071,248,1214,34,463,153,39,5,45,11,2205,664,496,90,282,1314,323,45,153,33,3402,328,664,90,1180,373,122,24,174,38,2989,108,211,48,81,75,33,7,34,5,611,146,30,348,241,175,121,20,138,24,1241,4,4,0,3,4,3,0,4,0,17,48,45,8,41,36,10,5,14,13,222,58,44,24,96,76,59,11,76,36,477,2236,4881,1048,3067,2621,874,170,914,204,16024,238,448,128,62,86,20,14,61,9,1074,74,180,95,19,51,15,15,36,4,497,938,599,2706,169,187,139,708,561,113,6120,713,121,1208,60,51,43,180,232,43,2649,1051,289,342,92,106,84,174,439,42,2628,351,2172,180,640,220,88,27,97,34,3813,354,1551,66,509,168,53,29,64,14,2810,1275,797,235,374,1482,431,155,325,84,5151,510,944,157,1457,427,150,58,231,51,3988,163,361,106,124,93,52,17,74,10,1000
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,13,0,3,0,0,0,0,0,21,0,9,0,0,0,0,0,0,0,12,0,3,3,0,8,5,0,0,0,17,0,4,0,0,6,5,0,5,0,20,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,35,10,11,16,3,0,8,5,92,0,0,0,4,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,5,0,3,13,0,0,4,3,14,0,42,3,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,17,0,4,0,0,0,0,0,27,0,9,0,0,0,0,0,0,0,14,0,4,3,4,8,0,0,0,0,21,4,4,0,6,6,5,0,6,0,30,0,4,0,5,0,0,0,0,0,9
SOS70,276,3173,105,713,289,89,18,55,27,4740,298,1679,21,618,220,59,15,58,21,2991,1180,1182,157,726,2191,602,56,254,86,6429,502,1307,80,1274,654,153,29,104,44,4154,115,299,33,96,120,42,9,34,9,749,151,56,319,320,268,119,22,121,10,1398,6,0,0,8,0,0,0,0,0,26,65,66,9,65,63,14,7,23,4,316,56,73,21,108,112,41,11,45,89,552,2941,8553,1012,4188,4249,1267,201,836,322,23569,214,575,154,128,131,35,36,46,19,1331,227,556,270,204,173,161,82,129,26,1833,849,1174,3266,454,362,230,514,425,79,7351,362,173,877,102,107,43,124,178,32,1998,173,226,182,90,109,45,46,108,6,989,415,4222,178,960,335,101,43,91,42,6376,403,2147,81,737,255,75,43,75,38,3859,2270,2021,483,1312,2889,960,349,532,169,10989,858,1978,198,2186,844,217,119,208,88,6698,167,487,114,133,163,54,27,63,13,1223
SOS71,110,1322,30,254,91,28,9,20,15,1861,126,639,4,220,63,15,3,17,13,1091,281,220,30,188,592,129,7,43,18,1509,183,461,28,489,192,39,6,42,28,1466,31,78,10,50,37,11,0,10,5,231,42,26,86,96,96,41,4,41,9,431,0,4,0,3,4,0,0,0,0,10,10,31,0,26,20,4,0,5,0,95,18,45,5,71,40,11,4,27,66,288,864,2991,257,1441,1209,312,38,227,157,7497,49,128,33,32,29,15,3,10,10,306,51,82,50,28,26,19,11,30,7,291,227,275,861,127,78,49,144,108,33,1909,117,38,381,53,25,13,25,60,12,730,47,85,46,46,45,11,14,33,9,339,152,1704,52,374,108,34,15,31,16,2485,184,857,26,262,77,21,18,27,17,1493,539,352,92,359,733,202,53,89,32,2458,295,700,51,926,231,53,32,74,52,2412,53,145,33,77,51,24,10,26,8,423
SOS72,18,160,4,60,18,0,0,9,0,281,39,290,0,60,18,11,0,6,0,423,87,49,6,63,120,26,0,12,0,369,53,83,12,145,50,11,3,21,4,374,14,15,3,9,6,3,0,3,0,53,19,6,19,43,29,7,0,13,0,137,0,0,0,4,0,0,0,0,0,5,0,4,4,7,8,5,0,0,0,22,11,26,4,48,13,12,11,3,16,145,279,679,68,455,287,71,20,79,30,1966,13,19,7,9,9,0,0,0,0,63,5,9,0,10,3,3,0,3,0,32,79,62,228,32,15,4,54,64,12,559,44,16,78,15,11,4,11,30,4,206,28,76,25,33,22,0,12,22,0,225,32,203,13,89,29,7,4,16,3,378,73,376,3,76,22,9,4,9,0,574,156,72,26,111,141,29,11,17,5,570,79,118,14,233,58,13,7,32,5,568,28,33,3,15,12,3,0,6,0,91
SOS73,63,331,42,95,90,14,4,31,6,678,74,346,0,110,57,16,5,13,8,636,243,135,31,100,426,84,15,40,13,1078,88,155,29,214,142,22,3,37,6,695,20,23,8,23,13,3,0,4,0,92,38,20,60,52,68,37,11,31,0,318,0,0,0,0,0,0,0,0,0,4,12,11,5,3,17,5,0,4,0,62,23,31,18,39,34,8,0,28,17,189,661,1193,257,675,936,212,56,272,68,4332,47,76,26,17,18,9,0,8,3,192,15,23,18,9,12,4,4,8,4,96,306,178,1123,101,77,24,237,181,29,2253,141,31,303,22,22,8,47,79,10,663,177,124,69,35,64,22,36,160,13,704,93,403,48,128,96,19,8,35,13,841,107,407,9,131,67,14,11,17,11,769,374,183,74,143,469,106,35,83,20,1489,127,205,48,333,161,24,17,60,9,983,28,37,16,20,19,7,3,10,3,137
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,26,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,4,24,0,7,0,4,0,0,0,44,4,14,0,3,0,0,0,6,0,25,3,5,0,3,11,0,0,5,0,42,4,5,0,8,3,4,0,3,0,28,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,19,22,67,6,30,28,6,6,36,5,196,0,0,3,0,0,0,0,0,0,16,3,4,0,0,0,0,0,0,0,9,7,10,11,4,0,0,3,16,0,58,3,0,3,0,0,0,0,10,0,17,0,0,0,0,0,0,4,0,0,8,5,34,0,4,0,4,0,0,0,54,4,21,0,5,0,0,0,6,0,29,11,9,0,5,13,0,0,7,4,57,4,14,5,14,7,3,0,3,0,49,0,4,0,0,5,0,0,5,0,15
SOS80,966,8145,370,1923,1160,253,15,126,123,13091,1069,5576,84,1648,786,140,9,155,82,9549,5814,5857,378,1770,7163,1327,74,510,420,23306,5317,9538,330,3655,3976,524,51,323,498,24213,1039,2219,243,395,921,281,16,75,69,5254,436,205,928,733,921,306,22,194,60,3803,4,6,0,10,16,9,0,7,0,60,422,520,50,175,362,71,7,47,58,1711,152,227,51,209,274,90,7,70,275,1353,17737,37930,3361,11562,17476,3610,268,1840,1816,95599,2291,5068,647,583,1211,247,66,181,158,10440,2797,8878,1332,791,1096,712,355,635,276,16863,2775,4869,4689,670,1082,471,809,858,277,16503,1577,1097,3640,236,451,196,242,503,111,8045,714,835,687,163,432,90,90,180,69,3259,1388,11084,542,2545,1332,325,66,198,182,17664,1515,7356,177,1944,961,180,80,276,116,12606,11478,11250,1354,2869,9780,2427,683,1240,831,41909,9405,16005,789,5782,5760,834,266,681,865,40387,1643,3836,634,621,1272,481,89,207,121,8894
SOS82,0,11,0,0,0,0,0,0,0,20,0,6,0,3,4,0,0,0,0,13,9,10,0,0,11,0,0,0,0,35,3,10,0,5,5,0,0,0,4,29,0,4,0,0,0,0,0,0,0,7,0,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,51,3,12,27,0,0,0,6,127,0,4,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,0,15,7,4,10,0,0,0,0,0,0,24,8,3,11,0,0,0,0,5,0,26,5,0,4,0,0,0,0,0,0,6,4,19,0,5,0,0,0,0,0,22,0,11,0,3,4,0,0,0,0,25,10,21,0,0,11,0,0,0,0,47,12,17,0,6,3,0,0,0,4,51,0,7,0,0,3,0,0,0,0,9
SOS83,0,8,0,0,7,0,0,0,0,17,0,9,0,6,0,0,0,0,0,11,4,8,0,0,8,0,0,3,0,26,6,11,0,3,5,0,0,0,0,20,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,27,30,7,12,22,0,0,9,0,108,4,3,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,12,4,12,0,5,0,0,0,0,30,13,4,17,0,0,0,0,0,0,33,7,0,5,0,0,0,0,0,0,13,9,8,0,0,7,0,0,0,0,26,3,8,0,6,0,0,0,0,0,14,12,6,0,0,12,0,0,0,3,39,24,8,0,7,5,0,0,0,0,43,6,4,0,0,0,0,0,0,0,13
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,9,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,5,4,0,0,4,0,0,0,0,17,9,12,0,5,6,0,0,0,0,26,0,4,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,25,4,9,14,4,0,7,0,78,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,7,0,4,0,0,0,0,11,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,8,7,0,0,3,0,0,0,0,22,8,11,0,4,6,0,0,4,0,32,0,4,0,0,0,0,0,5,0,13
SOS91,0,15,0,8,5,0,0,0,0,33,0,24,0,4,0,0,0,0,0,37,14,8,0,6,20,3,0,4,0,55,0,10,0,13,3,0,0,0,0,29,0,0,4,0,0,0,0,0,0,5,6,0,4,5,8,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,33,61,7,39,40,6,5,13,0,202,7,5,0,4,0,0,0,4,0,20,3,0,4,0,0,0,0,0,0,8,19,6,56,8,0,0,10,13,0,120,0,0,12,0,0,0,0,6,0,27,3,5,0,0,5,0,4,3,0,13,3,12,0,6,5,0,0,0,0,37,5,32,0,4,0,0,0,0,0,44,21,10,4,12,20,3,0,0,6,75,4,8,0,19,9,0,0,0,0,50,0,4,3,0,0,0,0,0,0,7
SOS92,5,29,0,8,4,0,0,7,0,51,5,37,0,15,7,4,0,0,0,62,19,3,5,24,32,7,0,0,0,96,15,10,0,12,10,5,0,10,0,64,0,8,0,0,3,3,0,0,0,13,3,0,10,10,8,5,0,5,0,42,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,3,0,0,10,9,4,0,5,4,33,72,90,20,87,70,34,3,26,5,405,4,6,0,6,3,0,0,0,0,24,5,6,3,0,0,0,0,0,0,11,21,6,58,4,5,0,3,15,3,124,5,0,39,3,0,0,3,5,0,66,9,0,9,4,7,0,0,0,0,28,5,31,0,10,5,0,0,7,0,62,6,45,0,14,7,4,0,0,0,83,36,11,3,24,34,13,0,3,0,126,20,15,3,18,8,7,0,10,0,88,0,5,4,4,7,3,0,0,0,24
SOS93,0,4,0,0,0,0,0,0,0,11,0,10,0,4,0,0,0,0,0,16,0,3,0,6,12,3,0,0,0,22,6,0,0,3,9,0,0,0,0,16,4,3,0,0,0,0,0,0,0,7,3,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,23,0,16,25,7,6,6,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,8,0,0,4,4,0,0,23,5,0,12,0,0,4,3,6,0,25,0,0,0,0,0,0,0,0,0,6,0,11,0,0,3,0,0,0,0,14,0,12,0,4,0,0,0,0,0,21,4,4,0,5,9,8,0,0,0,31,11,6,0,4,5,0,0,0,0,30,3,3,0,0,0,0,0,0,0,9
