SOS_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOS10,922,2307,12437,5239,1968,11830,3709,15559,918,54892,5934,20523,28527,13686,9882,15314,10847,17078,2809,124604,40050,101202,63253,21068,24501,20009,26957,26594,7597,331234,70299,102826,51401,15355,24254,15676,26361,19256,6911,332341,63946,68632,42821,12741,19679,12667,27482,19447,5450,272866,39718,44640,32328,9140,14725,9657,25612,18156,3552,197532,10493,16657,7669,2522,4492,3281,6477,5323,1143,58066,1801,2869,712,247,575,575,495,586,395,8247,180,213,42,8,45,47,11,34,116,705,233356,359859,239195,80011,100108,89071,127954,122039,28890,1380487,869,3266,1914,13837,4738,25319,1142,6404,816,58300,6073,28503,5743,30573,21471,20806,2579,6254,2129,124134,36469,131900,13110,42120,53086,22216,4709,11156,5914,320679,49401,111909,10533,32855,60555,18110,3972,10411,5439,303188,40983,78471,8798,32580,61973,17722,4460,13215,3855,262055,20467,47228,5968,23769,47939,13345,3696,12915,2380,177709,4123,12584,1301,4750,13146,3194,708,2933,788,43521,446,1136,109,297,1422,350,42,219,276,4284,49,48,11,16,72,35,0,8,96,340,158874,415042,47480,180790,264390,121107,21311,63510,21700,1294204
SOS11,416,228,6011,1641,357,4719,1141,6951,413,21879,1327,1681,10755,3022,926,2898,2638,5857,565,29663,6756,9621,22675,5982,2663,3872,8295,10456,1421,71740,10467,10956,16947,5043,2966,3074,8744,8109,1399,67707,11205,10097,14171,5094,3348,3184,9778,8084,1314,66275,9186,8291,11512,3882,3312,3083,10021,7937,1087,58316,3328,3555,2954,1024,1086,1233,2989,2351,383,18901,776,553,311,81,162,200,342,297,186,2901,96,38,18,9,6,25,18,10,77,306,43558,45008,85349,25764,14842,22286,43965,50050,6858,337677,288,455,977,6219,1263,9582,249,3138,377,22554,1244,3798,1861,9538,3948,4855,495,2459,434,28621,5565,19997,4097,15095,11321,6437,1075,5123,992,69691,7652,19268,3313,12676,12824,5462,901,5023,1012,68140,8130,16761,3016,13068,15264,5978,950,5867,967,69991,5548,12925,2152,11087,13865,5515,809,6003,679,58586,1466,3568,519,2226,3759,1436,202,1365,272,14822,254,223,35,136,375,113,22,125,179,1463,17,6,3,0,29,3,0,8,59,121,30177,77003,15966,70052,62633,39389,4706,29105,4968,334002
SOS12,28,19,565,141,36,374,104,638,62,1974,111,97,968,227,59,207,217,473,49,2410,517,585,1825,381,175,220,651,792,116,5247,1017,853,1661,408,233,232,796,688,122,6013,1259,922,1655,488,307,272,1061,891,175,7026,1102,877,1444,434,313,301,1199,983,140,6788,439,370,379,105,116,113,373,273,59,2232,121,72,31,0,14,17,38,21,19,343,12,0,0,5,0,0,0,4,3,29,4604,3787,8534,2189,1264,1744,4437,4758,748,32064,32,35,93,560,111,781,25,300,41,1981,76,238,165,723,303,349,30,185,36,2106,450,1375,314,1011,872,433,75,349,93,4971,760,1701,307,1035,1251,385,76,413,94,6027,883,1708,351,1319,1671,579,106,537,102,7250,687,1476,257,1244,1394,587,98,624,87,6447,196,401,55,249,396,150,25,117,30,1633,31,24,6,10,49,14,4,17,10,172,4,4,0,0,0,0,0,0,8,19,3119,6972,1553,6153,6058,3275,434,2543,502,30608
SOS13,341,120,3085,723,132,1438,556,2720,212,9329,808,612,3828,807,307,689,977,1990,203,10216,3573,1931,5858,913,484,679,2296,3021,389,19144,6664,2839,5675,1045,678,757,3006,2564,539,23766,9727,4056,6271,1387,1155,1149,4366,3231,650,31999,10518,3796,5492,1247,1126,1113,4337,3507,593,31720,6663,1806,1452,297,427,455,1397,1240,318,14053,2330,307,134,25,54,85,144,250,180,3509,360,14,19,0,3,4,3,26,43,473,40976,15481,31817,6453,4361,6364,17092,18546,3125,144209,167,192,546,2233,556,3020,116,1435,187,8450,420,1072,718,2368,1340,1242,208,991,147,8498,1943,4847,1257,2769,3381,1316,336,1390,289,17524,3872,6656,1201,3026,5228,1398,333,1385,378,23479,5890,7589,1376,4305,7412,2100,479,1971,498,31621,5447,6218,1029,3586,6557,1875,428,2079,428,27648,3102,1769,265,694,1985,470,115,595,237,9232,951,132,31,38,251,52,11,138,150,1744,113,6,4,0,7,7,3,13,24,185,21910,28481,6415,19018,26713,11484,2038,9995,2330,128384
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,8,9,0,14,0,20,0,57,4,9,25,19,3,18,12,32,4,128,27,94,79,33,11,15,69,97,11,435,38,45,57,24,14,7,55,33,12,295,21,47,30,19,15,11,36,40,5,228,33,29,35,13,11,6,32,22,10,187,7,14,7,0,0,4,9,3,4,52,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,133,236,241,122,63,69,216,254,55,1388,4,0,3,21,3,26,0,5,0,66,4,16,6,30,9,19,11,19,0,122,29,94,15,60,41,25,18,87,3,369,25,56,6,33,24,11,0,24,6,195,26,37,3,41,38,10,4,19,8,189,21,40,4,21,44,7,4,16,3,156,0,12,0,4,7,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,264,47,216,168,104,35,165,22,1128
SOS20,743,1266,8725,6246,1700,12240,2513,15879,914,50221,5002,15279,28736,13131,9026,15543,10306,18148,2849,118009,34433,89489,68644,21278,24157,18519,28260,29359,7577,321722,60909,88415,53744,14410,21628,14042,25811,20572,6637,306172,55898,58283,43620,11844,16953,11815,24493,19684,5075,247668,35129,37645,31373,8545,12805,8576,22193,16899,3319,176488,9474,14080,7513,2255,3900,2980,5592,5188,1110,52091,1580,2313,757,219,486,532,372,747,337,7321,132,146,42,14,40,40,11,51,97,581,203297,306911,243149,77944,90694,84283,119550,126530,27906,1280281,738,1619,1324,13099,3358,27611,659,6751,762,55929,5262,21822,5671,28822,18006,24673,2385,7718,2048,116399,30003,120280,15108,44524,47595,21589,4517,13526,5495,302639,40704,101175,11754,36377,50018,15945,3808,11408,4977,276163,35317,68749,9553,33691,52687,16440,4596,13614,3781,238433,17432,40650,5733,23567,40646,12352,3435,12303,2187,158306,3657,10260,1167,4749,10549,2935,613,3107,679,37718,400,873,79,279,904,264,41,355,265,3460,30,52,5,8,35,17,0,13,95,257,133536,365489,50397,185118,223794,121821,20059,68796,20288,1189306
SOS21,243,130,3425,1007,200,2994,489,4291,269,13055,951,1038,7112,1496,705,1788,1660,3769,366,18891,4581,6559,15442,3468,2088,2507,5466,7409,1122,48636,7640,7615,11747,3057,2338,2072,5779,5814,1004,47067,8140,6249,9667,2936,2360,2164,6378,5556,1019,44468,6368,5035,7560,2370,2268,1911,6619,4924,821,37882,2211,2120,1952,630,819,739,1904,1514,300,12183,506,317,185,59,101,121,132,205,107,1741,66,12,9,3,4,6,6,8,39,163,30706,29076,57103,15025,10878,14316,28445,33489,5047,224078,161,135,469,3062,673,6472,152,1928,245,13304,808,2234,1171,5232,2527,3346,388,1681,293,17685,3494,13754,2870,9543,7480,3856,698,3416,725,45837,5017,13291,2406,8385,8729,3348,579,3294,690,45731,5199,10296,2003,8871,9956,4069,736,4001,655,45786,3431,7502,1479,7187,8870,3656,611,4080,430,37245,944,1964,307,1472,2258,814,119,1045,198,9118,141,124,20,68,179,54,13,106,102,794,18,9,3,0,8,0,0,3,46,84,19213,49300,10717,43833,40671,25613,3291,19549,3383,215583
SOS22,30,14,313,82,14,187,38,367,33,1090,78,59,604,113,26,114,145,299,33,1466,432,384,1240,245,106,161,417,578,71,3637,754,521,1197,208,148,164,439,489,94,4012,839,566,1073,294,208,210,686,582,97,4552,851,570,1027,272,198,192,773,634,97,4616,411,291,248,63,92,96,238,177,37,1644,97,39,18,4,14,7,18,12,18,228,10,3,0,0,0,4,0,0,0,22,3497,2445,5715,1287,802,1131,2749,3146,480,21257,14,8,34,318,56,467,21,215,31,1163,56,165,107,378,177,221,33,133,17,1287,296,936,233,703,540,304,47,267,61,3391,430,1115,202,655,793,315,36,281,52,3885,586,1102,231,821,953,383,76,408,61,4627,518,917,180,785,893,389,75,504,64,4323,135,246,39,151,249,107,12,117,19,1078,26,11,3,8,21,4,0,8,5,108,4,0,0,0,0,0,0,0,3,5,2070,4501,1033,3826,3679,2190,294,1936,326,19858
SOS23,282,61,2003,507,77,1112,312,2142,159,6651,746,376,2996,551,202,570,655,1536,179,7807,2846,1404,4580,772,380,482,1477,2341,328,14609,5274,2145,4691,741,558,557,2038,2062,378,18457,7547,2787,5543,1023,824,814,3003,2600,526,24663,8303,2852,4685,1018,841,880,3383,2819,527,25293,5259,1450,1214,291,364,360,1057,1080,263,11331,1927,203,113,23,56,66,96,161,151,2791,278,9,3,0,0,4,9,27,39,370,32471,11286,25825,4919,3296,4836,12026,14772,2541,111976,149,90,288,1595,292,2478,69,1159,154,6268,349,791,583,1793,860,1048,135,850,113,6521,1554,3807,1014,2411,2221,969,231,1198,241,13645,2942,5070,1048,2345,3551,1026,202,1196,279,17665,4398,5747,1169,3455,5260,1610,315,1764,342,24058,4268,4771,927,3135,4715,1491,322,1938,334,21902,2622,1259,217,628,1403,335,61,543,204,7263,772,72,12,33,166,33,3,98,97,1295,71,0,0,0,20,0,0,4,31,127,17130,21609,5256,15385,18481,8995,1336,8761,1787,98750
