SOS_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,6227,12141,8586,6065,7340,2123,942,43417,1678,2113,1437,938,1236,423,187,8009,405,583,384,287,256,85,46,2038,13329,26980,20747,15529,20749,6644,3013,106989,665,1341,922,645,683,167,74,4504,1070,1701,911,583,614,158,62,5094,1735,3043,1833,1227,1296,320,133,9594,15061,30020,22580,16756,22049,6971,3147,116582,13729,14376,8409,6044,5972,1745,932,51208,412,508,313,219,125,47,14,1639,29200,44906,31305,23016,28147,8765,4089,169429
SOS31,1996,4075,2924,1936,2071,238,71,13315,383,464,283,205,212,36,4,1590,157,247,144,104,91,17,0,752,3888,8011,6202,4525,5300,664,224,28812,259,533,347,263,213,23,4,1644,415,644,373,230,174,22,0,1849,678,1180,717,489,376,41,6,3490,4567,9188,6924,5013,5678,704,224,32305,5788,5699,3246,2067,1665,188,68,18715,142,188,100,90,39,3,0,564,10493,15076,10268,7172,7386,895,298,51579
SOS32,230,520,364,229,232,17,4,1595,47,54,48,38,19,0,3,213,23,44,30,27,20,0,0,143,471,1014,760,529,555,63,21,3417,53,110,48,43,34,5,5,298,51,71,56,28,14,0,0,226,105,178,107,69,48,4,3,515,576,1193,865,600,607,67,23,3933,924,943,516,318,243,24,5,2961,49,39,26,26,3,0,0,141,1545,2168,1409,937,856,94,28,7030
SOS33,518,955,732,501,563,87,30,3388,80,114,73,62,54,5,3,400,41,68,39,32,38,10,3,228,977,1902,1566,1217,1383,243,78,7372,42,109,65,65,53,8,0,344,65,129,73,41,43,9,0,361,109,236,136,101,98,17,3,707,1087,2140,1707,1318,1482,256,81,8080,1283,1314,857,568,509,85,27,4646,36,63,35,29,12,0,0,170,2403,3511,2596,1921,2004,344,108,12894
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,1976,4083,2897,2004,2464,1032,578,15032,330,271,177,125,194,89,45,1230,121,140,109,67,67,26,18,535,3608,7705,6041,4479,6086,2751,1657,32327,152,330,227,161,222,84,34,1218,282,580,371,229,240,68,43,1816,435,910,606,391,459,151,83,3036,4038,8616,6650,4868,6544,2902,1739,35358,4537,4745,2862,2078,2139,799,551,17706,84,95,73,72,41,25,4,394,8666,13451,9582,7020,8724,3725,2287,53464
SOS41,743,1521,1055,733,864,175,57,5154,111,106,66,62,73,14,4,437,38,61,33,27,28,11,4,206,1195,2534,1979,1493,1927,456,159,9741,54,133,88,64,61,7,4,415,69,162,95,52,49,7,6,433,129,293,176,122,112,18,7,851,1315,2821,2161,1616,2042,471,167,10591,1753,1624,938,623,571,121,30,5665,37,52,30,26,11,0,0,159,3104,4500,3129,2265,2627,596,194,16413
SOS42,80,169,122,98,109,19,7,599,7,12,10,9,11,0,0,53,0,0,6,3,3,0,0,20,112,268,217,173,206,45,20,1047,9,16,14,5,7,0,0,51,9,25,8,0,11,4,0,62,18,40,19,9,18,7,0,114,131,309,236,185,226,54,20,1157,190,212,119,78,70,11,0,682,3,7,12,6,6,0,0,39,324,533,371,264,303,60,17,1879
SOS43,121,263,221,149,160,31,10,953,20,36,12,12,18,0,0,102,8,12,7,7,14,0,0,54,216,517,435,317,414,94,30,2022,9,25,21,13,14,3,0,86,10,18,12,11,7,0,0,52,21,39,29,17,21,3,0,137,238,557,464,336,434,94,31,2159,302,326,196,148,122,30,14,1141,8,10,10,7,0,0,0,42,551,891,673,491,565,121,41,3341
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,3200,6732,4687,3305,3890,1365,751,23922,441,391,258,204,260,97,68,1714,161,235,154,119,152,51,37,903,5983,12814,10026,7640,10000,3864,2378,52706,272,585,426,288,378,118,76,2142,532,1018,550,374,384,75,60,2989,804,1606,977,657,755,190,138,5133,6791,14419,11005,8302,10754,4055,2510,57839,6900,6845,3823,2682,2669,816,512,24240,181,214,155,94,70,20,17,753,13875,21474,14976,11075,13496,4890,3044,82833
SOS51,691,1550,1099,773,840,62,12,5026,105,84,91,64,63,6,0,408,53,67,32,36,31,0,0,214,1298,2931,2380,1796,2140,167,59,10763,47,138,100,75,62,8,3,429,91,210,107,67,56,3,5,544,141,346,208,144,118,9,8,974,1440,3277,2586,1944,2261,175,63,11737,1908,1843,952,624,525,55,15,5923,58,93,56,36,13,0,0,257,3399,5206,3591,2607,2801,236,74,17917
SOS52,94,186,143,95,87,3,3,610,9,11,20,11,9,0,0,47,3,10,9,10,6,0,0,33,157,342,277,182,198,21,7,1181,15,21,11,8,9,3,0,73,18,37,19,13,9,0,0,98,35,60,33,21,16,3,0,165,190,405,309,204,212,23,7,1353,478,485,277,193,132,13,0,1573,20,33,13,10,10,0,0,84,689,922,602,406,352,36,9,3011
SOS53,132,282,202,143,153,14,5,935,20,26,20,13,12,0,0,86,8,8,11,3,8,4,0,33,234,514,434,316,371,51,24,1951,6,14,17,21,5,0,0,58,14,27,22,14,12,0,0,95,23,45,38,37,17,6,0,156,258,557,474,349,390,54,28,2104,354,379,245,149,136,15,10,1286,15,25,13,13,0,0,0,65,613,959,729,513,526,72,30,3456
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,396,779,577,383,445,139,48,2757,68,57,43,27,38,15,7,258,17,24,19,15,5,0,0,85,682,1372,1132,824,1119,374,173,5679,28,62,56,39,45,10,5,246,71,119,63,48,40,10,0,357,96,184,116,87,84,27,5,600,773,1558,1251,914,1201,398,183,6282,896,927,506,378,343,103,71,3225,15,28,12,9,0,3,0,70,1688,2511,1772,1298,1543,506,251,9575
SOS61,500,969,723,527,580,131,34,3455,73,65,50,35,48,8,3,283,28,32,30,29,22,3,0,146,802,1585,1332,1016,1244,308,100,6383,33,95,56,56,40,4,8,300,77,184,94,56,67,16,0,493,112,281,157,111,111,17,8,796,914,1865,1492,1123,1356,327,103,7177,1369,1444,803,539,512,105,35,4808,21,36,24,13,8,5,0,100,2306,3343,2320,1680,1873,431,139,12092
SOS62,54,111,94,62,53,11,8,391,11,10,5,3,5,0,0,31,3,7,7,7,0,0,0,24,87,189,145,118,116,25,13,692,4,9,15,4,5,0,0,33,7,17,12,4,10,6,0,47,16,21,22,6,16,3,0,78,98,214,168,124,130,27,14,769,122,130,53,44,36,15,0,402,5,4,3,0,5,0,0,16,218,348,228,173,168,41,18,1192
SOS63,116,262,192,149,185,29,7,937,19,10,8,11,17,0,0,74,8,12,17,8,8,0,0,60,209,474,388,312,394,77,22,1867,11,27,19,12,12,5,0,75,13,32,27,10,10,6,0,92,23,53,45,18,22,8,0,172,236,528,429,332,413,85,22,2039,266,266,192,135,132,19,8,1018,10,9,6,6,4,0,0,39,514,808,620,475,548,105,32,3094
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,186,341,189,144,118,28,7,1012,34,37,19,12,15,4,0,125,7,16,9,10,8,4,0,58,504,1019,679,505,578,116,62,3453,20,58,23,25,19,3,0,150,25,53,31,13,10,0,0,132,43,104,53,40,30,3,3,282,544,1120,734,549,608,123,60,3729,485,468,260,181,137,23,12,1574,37,37,10,17,13,0,0,111,1064,1629,1006,744,752,143,76,5414
SOS71,57,95,73,51,54,5,0,336,24,21,9,5,6,0,0,65,16,7,6,6,7,3,0,49,199,336,269,199,195,27,4,1230,29,31,15,21,6,0,0,106,17,30,20,19,9,0,0,92,44,63,36,31,15,0,0,196,248,395,311,227,212,27,4,1422,398,465,288,169,89,12,8,1426,13,23,17,8,8,0,0,68,658,884,608,410,306,39,7,2917
SOS72,50,84,58,26,20,0,0,243,5,10,12,3,3,0,0,29,6,10,8,5,0,0,0,23,97,169,124,72,47,4,0,503,23,32,16,23,10,3,0,105,7,18,4,3,0,0,0,36,31,49,21,27,13,3,0,142,125,218,146,99,60,9,0,652,296,372,232,145,73,10,0,1127,12,13,11,6,0,0,0,41,427,607,383,246,132,13,0,1815
SOS73,25,58,45,30,16,0,0,181,11,19,9,7,0,0,0,42,4,0,4,4,0,0,0,12,72,187,129,76,79,13,0,553,13,17,15,3,7,0,0,53,14,17,12,7,0,0,0,50,23,32,23,10,6,0,0,92,91,219,149,88,81,13,4,651,172,173,126,75,34,0,0,590,14,16,7,14,0,0,0,55,283,409,283,174,121,7,5,1290
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,592,983,664,415,584,180,98,3514,125,106,59,34,54,32,14,424,48,31,18,11,14,8,5,121,1409,2880,2073,1500,2164,819,394,11236,39,67,48,40,42,10,10,256,63,97,56,35,41,17,6,315,96,163,104,74,85,31,20,570,1504,3047,2175,1579,2250,845,410,11813,907,997,575,355,468,156,116,3578,29,28,19,9,8,6,0,99,2440,4071,2765,1944,2732,1012,526,15484
SOS82,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,18
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,16,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,5,5,4,0,0,0,19
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,8,3,3,4,0,0,24,0,5,0,0,3,0,0,10,0,0,0,0,0,0,0,0,6,7,6,3,13,0,0,33
SOS92,6,12,4,3,3,0,0,34,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,9,19,14,10,9,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,17,13,9,0,0,63,0,0,4,4,0,0,0,9,0,0,0,0,0,0,0,0,6,24,21,17,12,0,0,77
SOS93,4,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,7,4,8,3,0,0,0,24
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
