SOS_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,3,0,3,7,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,3,3,3,5,5,6,9,0,0,0,4,0,4,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,13,24,3,27,36,6,38
SOS29,19,25,42,178,153,331,26,15,43,222,189,414,6,14,25,174,144,319,26,22,54,208,181,393,7,14,24,125,139,261,24,20,47,161,175,334,18,14,28,194,188,378,23,31,52,234,229,459,27,20,49,282,278,555,35,28,65,345,321,671,23,22,40,379,381,756,74,52,126,474,450,928,18,21,43,358,351,713,81,51,134,463,425,892,23,22,45,382,328,706,118,59,174,515,416,929,23,20,41,339,253,597,119,45,166,488,321,806,22,20,36,354,183,538,114,40,151,483,238,723,23,5,33,275,183,453,129,47,184,427,242,668,12,9,24,243,179,419,87,26,115,353,212,563,9,4,13,212,189,397,76,31,103,288,217,511,11,9,18,387,238,626,102,54,154,496,300,797,246,214,462,3882,3169,7052,1042,537,1580,5170,3915,9089
SOS30,6774,6577,13358,96550,90607,187158,4510,4207,8712,107838,101391,209228,6935,6560,13493,106778,101137,207917,5285,4952,10241,119002,112654,231653,6948,6852,13799,109524,103546,213069,5171,4799,9974,121644,115199,236843,6249,6162,12414,102449,98716,201160,4764,4555,9321,113461,109435,222896,5637,5857,11496,110382,111240,221620,6929,6216,13145,122950,123314,246265,4874,5148,10023,116492,120146,236646,7874,7393,15265,129243,132685,261924,3983,4194,8174,117167,126078,243239,7245,6682,13931,128396,136953,265350,3266,3668,6934,118191,127038,245231,6718,6291,13008,128182,136994,265166,2809,3234,6049,108836,115899,224740,5815,5060,10879,117472,124197,241667,2852,3253,6102,108612,116467,225081,5853,4863,10724,117323,124585,241908,2524,3001,5526,103250,110990,214235,5413,4385,9799,111191,118377,229566,2098,2437,4536,93774,101018,194792,4659,4042,8697,100527,107499,208024,1622,1892,3511,84970,94139,179111,4047,3568,7611,90637,99601,190234,2562,3339,5902,244048,288364,532406,12064,13902,25958,258675,305599,564268,59147,62170,121314,1621025,1705383,3326403,86356,80920,167276,1766530,1848472,3614998
SOS31,4359,4040,8400,22045,20822,42863,1575,1430,3007,27977,26296,54276,4476,4434,8913,25044,23975,49019,1951,1860,3804,31467,30272,61739,4714,4429,9144,26711,25354,52066,2103,1948,4050,33526,31733,65257,3792,3735,7526,23055,21386,44440,1869,1651,3518,28714,26765,55482,2917,3074,5994,20379,20056,40429,2235,1822,4057,25532,24952,50485,2596,2696,5291,23005,24215,47221,2775,2192,4960,28373,29102,57475,2096,2392,4493,23491,25461,48955,2824,2102,4925,28411,29956,58368,1832,2125,3966,23490,25920,49407,2666,1983,4650,27993,30031,58020,1651,1921,3566,22148,24006,46151,2396,1677,4077,26193,27597,53795,1673,2068,3738,23524,25188,48711,2455,1795,4250,27651,29047,56701,1662,1907,3570,24290,26009,50300,2431,1750,4180,28377,29670,58052,1416,1613,3026,24884,27170,52055,2358,1712,4072,28658,30491,59152,1161,1316,2479,25610,27487,53102,2062,1449,3513,28837,30252,59089,1953,2329,4284,82684,91200,173883,5332,5665,11000,89971,99200,189166,36305,38087,74392,390350,408260,798611,35028,29026,64056,461686,475374,937057
SOS32,1099,1007,2105,2468,2341,4809,274,270,544,3839,3617,7451,1214,1154,2367,3048,2839,5891,362,351,709,4625,4341,8965,1131,1024,2152,3377,3164,6539,415,345,757,4923,4536,9452,857,859,1713,2792,2439,5227,310,297,600,3955,3591,7551,728,727,1451,2268,2035,4303,255,269,524,3252,3028,6285,672,741,1412,2409,2462,4871,317,292,605,3400,3494,6893,622,683,1304,2528,2762,5286,358,316,670,3507,3762,7269,545,614,1154,2812,3071,5879,364,309,675,3719,3996,7717,527,511,1031,2873,3032,5903,332,293,627,3731,3837,7569,502,536,1035,3336,3559,6892,395,326,715,4230,4417,8649,563,569,1131,3858,3945,7804,441,340,772,4853,4848,9706,422,463,893,4364,4628,8995,426,375,805,5220,5467,10689,397,427,817,4954,4956,9909,416,368,783,5763,5749,11515,640,743,1382,14325,13161,27485,1102,986,2087,16065,14888,30952,9912,10056,19964,55408,54394,109802,5753,5130,10879,71072,69579,140652
SOS33,904,874,1777,9103,8611,17712,775,728,1506,10777,10221,20997,1073,957,2025,11503,10759,22262,1089,1062,2149,13662,12779,26437,1290,1111,2397,13392,12312,25707,1329,1140,2470,16015,14561,30578,989,920,1906,11964,10944,22912,1159,1036,2197,14115,12901,27016,872,597,1468,8748,7599,16347,1090,857,1943,10707,9058,19762,869,583,1448,8316,8097,16415,1187,913,2101,10374,9591,19958,714,531,1242,9040,9217,18256,1276,1012,2284,11033,10753,21788,682,529,1209,10559,10966,21524,1366,1005,2374,12606,12502,25105,586,513,1102,11251,11755,23009,1410,1111,2528,13251,13387,26638,664,547,1209,13750,13999,27743,1754,1325,3083,16170,15867,32035,631,565,1195,15426,15645,31068,1905,1379,3285,17962,17584,35544,552,527,1080,16582,16459,33046,1868,1415,3282,19005,18400,37409,500,420,923,17013,15810,32822,1694,1279,2977,19211,17504,36720,755,691,1444,43709,36732,80442,3753,2945,6699,48216,40371,88592,11079,9360,20439,200359,188902,389258,21664,17211,38876,233099,215473,448574
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,14,4,9,16,0,0,0,5,6,6,13,6,21,15,11,25,0,0,0,6,0,6,16,4,17,17,4,24,0,0,0,5,0,5,21,3,32,33,3,34,0,0,0,8,0,10,14,0,17,26,6,26,0,0,0,10,0,10,20,0,20,26,0,26,0,0,0,5,0,5,7,0,8,16,0,18,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,45,3,52,107,27,133,149,28,183
SOS39,52,43,96,197,155,344,34,35,68,277,229,504,32,44,75,206,177,383,27,25,56,260,249,509,34,33,70,155,143,302,24,27,52,219,207,424,55,43,98,177,205,386,40,40,82,272,291,566,54,65,120,298,331,631,90,89,184,444,493,934,55,50,101,452,528,976,135,187,324,642,762,1404,64,52,113,447,426,876,150,103,250,660,582,1242,63,38,99,408,321,734,146,93,240,617,454,1077,68,44,108,375,291,669,138,93,228,575,425,1005,60,26,85,370,286,656,143,92,232,567,408,976,56,31,85,322,363,690,100,78,178,478,484,959,28,17,44,431,426,851,123,77,204,582,521,1101,27,22,52,599,549,1149,93,75,170,715,652,1367,26,20,42,1348,928,2271,187,113,298,1556,1061,2617,652,533,1188,5783,5132,10917,1428,1141,2567,7861,6807,14670
SOS40,1227,1084,2311,32337,30526,62865,942,966,1912,34504,32582,67086,1228,1187,2414,35052,32924,67974,1109,1090,2198,37388,35200,72585,1268,1156,2429,34345,32849,67198,1154,1007,2166,36769,35023,71788,1110,1047,2154,33453,31681,65137,1077,1003,2084,35644,33732,69374,1040,1034,2070,40090,38342,78432,1411,1315,2726,42541,40690,83229,921,922,1844,42688,41672,84357,1736,1476,3208,45339,44072,89409,736,812,1550,41468,43115,84581,1578,1420,2999,43784,45351,89132,611,667,1278,41505,43087,84596,1604,1360,2962,43726,45107,88835,455,534,991,37142,38047,75193,1441,1161,2605,39036,39749,78786,479,579,1060,36331,37161,73490,1397,1107,2499,38207,38841,77050,474,581,1051,36549,38032,74582,1343,1051,2394,38363,39662,78031,345,464,813,35204,37602,72811,1248,994,2244,36800,39061,75864,323,381,705,33244,36771,70015,1120,994,2118,34684,38152,72837,507,587,1091,99463,122795,222261,3393,4271,7659,103363,127655,231016,10726,11036,21761,578877,604605,1183480,20544,19220,39770,610146,634871,1245011
SOS41,800,733,1536,7917,7513,15425,387,373,757,9097,8622,17719,777,709,1486,8701,8520,17221,503,515,1021,9982,9744,19728,753,751,1511,9314,8890,18203,505,503,1008,10577,10143,20721,666,589,1252,8438,7921,16357,443,411,855,9544,8914,18465,511,508,1025,7831,7413,15244,457,365,827,8804,8286,17089,477,498,981,8540,8557,17096,496,477,972,9513,9536,19048,437,449,886,8628,8786,17417,537,454,996,9604,9690,19292,392,372,761,8544,9105,17650,526,488,1019,9456,9965,19422,312,306,613,7934,8407,16340,482,406,891,8724,9124,17848,274,343,617,8738,9420,18159,559,491,1045,9567,10259,19826,316,340,655,9615,10265,19880,564,443,1005,10490,11048,21542,276,305,579,9808,10373,20186,566,474,1036,10650,11154,21800,222,240,467,10226,11058,21282,512,474,985,10965,11775,22741,365,412,776,35519,41226,76744,1789,2068,3865,37674,43710,81390,6577,6554,13140,149753,157457,307209,8325,7952,16275,164653,171968,336623
SOS42,145,161,307,1037,996,2035,58,71,130,1245,1232,2481,161,160,318,1127,1098,2223,94,75,173,1381,1340,2714,151,158,304,1277,1145,2420,95,117,212,1520,1418,2942,172,149,321,1052,978,2025,77,83,155,1300,1205,2509,127,137,267,927,827,1755,70,73,136,1126,1035,2161,121,133,256,953,1006,1957,86,63,145,1158,1199,2362,111,129,244,1094,1148,2239,78,83,157,1284,1361,2642,92,108,198,1118,1125,2242,107,86,188,1313,1316,2634,77,96,174,1040,1114,2160,87,93,185,1207,1306,2512,78,90,177,1222,1284,2505,103,109,214,1403,1486,2895,81,91,169,1499,1469,2965,143,99,245,1724,1660,3380,50,66,119,1713,1820,3539,153,127,277,1915,2013,3933,56,59,117,2000,1922,3924,151,138,288,2207,2116,4326,86,119,208,6213,6268,12474,471,454,928,6771,6837,13612,1518,1658,3174,22265,22204,44472,1776,1674,3445,25555,25533,51089
SOS43,174,186,363,3043,3004,6044,207,193,402,3427,3386,6812,207,194,402,3997,3666,7659,272,240,506,4473,4094,8571,210,249,457,4476,4062,8533,327,267,597,5011,4588,9593,162,175,340,4059,3620,7676,332,281,611,4556,4075,8627,152,143,290,3147,2580,5724,287,192,476,3577,2908,6493,142,116,258,2795,2577,5367,247,185,440,3186,2877,6062,138,122,264,3063,2891,5951,276,218,499,3480,3238,6711,121,102,222,3535,3589,7123,250,214,464,3901,3911,7812,127,101,226,3786,3725,7512,307,235,538,4219,4062,8279,126,116,237,4466,4355,8823,336,318,658,4924,4787,9713,137,134,271,5471,5210,10683,431,341,775,6036,5685,11723,125,112,237,5950,5451,11397,456,369,825,6528,5932,12461,119,100,217,6150,5503,11650,430,378,800,6690,5982,12678,179,124,301,15094,12482,27568,1070,930,2001,16340,13530,29872,2116,1984,4097,69016,62695,131710,5226,4368,9591,76352,69044,145402
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,12,0,12
SOS49,18,13,29,48,40,91,16,4,21,77,56,140,17,9,23,43,50,94,17,11,27,73,71,147,11,14,24,30,45,77,11,11,25,52,70,119,14,15,30,50,82,135,14,18,30,74,112,186,15,9,24,85,71,154,16,16,28,108,95,206,20,19,37,108,112,217,30,28,54,152,153,309,15,21,32,122,101,223,28,24,56,166,149,318,24,28,51,108,92,194,24,25,48,157,137,295,20,16,33,99,65,161,20,18,39,134,101,237,26,11,37,106,54,159,25,11,36,151,80,229,11,19,28,114,66,181,24,11,36,151,99,246,12,9,24,104,76,177,36,14,48,152,97,241,12,7,17,127,86,213,24,10,38,161,106,265,6,0,7,215,152,361,44,21,65,259,171,433,203,180,384,1342,1095,2433,326,233,557,1873,1506,3377
SOS50,2345,2173,4518,60305,57103,117406,2034,1884,3919,64683,61163,125841,2369,2142,4519,62883,60022,122904,2269,2221,4491,67523,64386,131907,2289,2242,4529,62465,58857,121326,2223,2058,4282,66977,63154,130133,2013,1914,3925,56686,54105,110791,1951,1871,3821,60648,57892,118535,1846,1771,3614,60016,59285,119301,2954,2483,5434,64814,63540,128352,1680,1717,3402,63807,65503,129311,4029,3297,7326,69516,70520,140036,1449,1471,2916,69445,75752,145195,4542,3207,7745,75433,80424,155860,1158,1196,2353,72830,76306,149137,4356,3087,7439,78342,80585,158927,936,971,1906,64110,66884,130996,3848,2247,6100,68897,70109,139005,916,975,1887,61335,64282,125619,3596,2285,5875,65843,67538,133387,796,960,1755,60191,62788,122975,3452,2120,5574,64439,65867,130302,695,799,1497,55164,58549,113713,3013,1968,4983,58880,61322,120199,511,605,1113,49856,54389,104244,2391,1735,4124,52759,56717,109480,797,1035,1832,141341,165560,306899,6141,6929,13074,148277,173521,321797,19792,19978,39768,940439,979372,1919812,46791,37389,84184,1007026,1036733,2043762
SOS51,1621,1427,3047,10221,9704,19923,957,833,1786,12798,11963,24762,1664,1516,3184,11271,10703,21967,1153,1109,2263,14094,13324,27419,1593,1633,3227,11190,10482,21675,1109,1049,2163,13889,13172,27057,1347,1336,2686,9318,8713,18029,907,770,1674,11569,10821,22391,1101,1048,2153,7866,7459,15321,923,837,1764,9891,9350,19240,994,1041,2033,9460,9959,19417,1261,1099,2364,11718,12095,23812,975,939,1914,10677,11651,22325,1329,1182,2508,12982,13771,26750,816,860,1677,11042,12024,23057,1351,1160,2510,13206,14043,27250,746,788,1534,10341,10808,21149,1267,952,2217,12351,12547,24899,679,764,1446,10564,10898,21460,1263,900,2166,12508,12566,25066,616,759,1381,10584,10971,21549,1227,911,2136,12423,12644,25059,591,659,1251,10279,10322,20596,1119,830,1951,11990,11806,23795,454,535,991,9960,10394,20352,980,692,1674,11394,11624,23018,692,928,1620,27727,30372,58099,2092,2200,4297,30511,33507,64017,13896,14237,28130,160490,164440,324932,16938,14530,31466,191322,193209,384526
SOS52,552,495,1044,1179,1092,2270,153,162,317,1882,1747,3630,577,541,1114,1257,1144,2400,178,198,377,2015,1881,3894,531,533,1068,1193,1139,2332,190,179,375,1920,1856,3774,534,527,1064,956,876,1831,119,122,245,1607,1531,3135,424,486,911,888,829,1722,142,145,282,1449,1461,2915,388,429,820,1049,1091,2137,177,159,335,1616,1680,3300,354,392,752,1170,1304,2468,198,192,389,1719,1891,3610,323,394,721,1195,1299,2499,208,177,384,1731,1872,3602,296,357,655,1130,1164,2298,179,166,349,1614,1680,3296,297,294,593,1268,1226,2498,219,161,378,1785,1686,3463,258,335,592,1538,1531,3071,274,192,468,2077,2053,4133,223,287,505,1671,1642,3320,254,204,457,2151,2125,4279,218,205,422,1784,1693,3475,252,199,445,2253,2092,4345,285,384,670,5347,4997,10347,588,535,1122,6218,5920,12142,5269,5662,10932,21630,21035,42665,3138,2774,5913,30040,29473,59508
SOS53,299,279,580,3171,2968,6135,264,240,504,3737,3484,7220,370,303,667,4079,3645,7729,406,362,775,4857,4311,9166,391,386,776,4428,4172,8601,416,402,820,5234,4961,10197,430,360,787,3905,3491,7397,401,342,744,4741,4187,8927,449,229,673,3470,2506,5977,725,343,1067,4644,3081,7726,462,215,680,3429,2726,6160,878,384,1260,4775,3324,8097,506,250,757,3893,3307,7194,889,428,1321,5286,3987,9269,432,229,660,4377,3901,8271,912,422,1335,5718,4545,10269,357,214,572,4547,4100,8649,868,452,1317,5773,4765,10534,333,200,527,5215,4837,10054,896,502,1395,6441,5535,11975,260,212,465,6037,5432,11469,1000,504,1511,7297,6149,13444,206,173,376,6341,5782,12125,889,526,1421,7438,6486,13924,176,153,325,6125,5562,11685,727,465,1197,7027,6176,13210,259,247,496,14741,11991,26736,1404,1059,2459,16403,13292,29694,4933,3431,8358,73755,64418,138173,10679,6441,17116,89366,74281,163652
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,7,3,6,0,0,0,9,5,15,13,5,15,25,11,31,0,0,0,26,8,32,22,3,21,49,7,54,0,0,0,28,5,32,22,0,22,48,5,54,4,0,5,44,4,45,40,3,39,85,10,92,0,0,0,46,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
SOS59,36,37,69,92,91,188,25,16,42,149,153,300,17,30,48,103,86,193,8,11,20,132,127,259,18,14,30,83,76,159,13,7,25,116,101,212,28,42,68,74,91,166,18,13,31,118,147,261,61,61,119,194,145,344,43,51,93,295,256,562,59,59,115,248,244,497,77,59,137,385,358,744,61,66,127,291,226,518,80,43,123,433,339,773,87,72,155,286,210,500,74,37,109,449,315,769,121,79,202,277,192,467,76,30,107,476,298,770,99,67,165,260,139,400,83,36,116,433,244,680,87,51,145,249,150,392,71,27,92,404,228,631,43,30,69,227,164,387,60,35,94,330,226,552,47,32,80,231,177,407,59,38,101,339,250,588,46,40,84,434,281,715,94,53,150,578,373,951,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
SOS60,462,397,861,4625,4388,9012,172,171,341,5261,4954,10218,455,431,889,4848,4635,9487,219,234,457,5524,5306,10832,518,483,1000,5097,4763,9865,227,189,411,5844,5437,11277,422,405,823,4728,4527,9255,216,194,413,5357,5121,10486,389,404,791,5640,5537,11180,224,233,457,6254,6173,12423,329,362,690,8092,7863,15957,309,334,648,8735,8561,17293,297,351,644,7776,7706,15485,335,275,618,8405,8341,16745,254,277,527,6306,6492,12801,252,269,521,6809,7037,13844,200,236,438,5105,5533,10638,209,193,399,5513,5961,11481,205,205,409,5090,5564,10654,215,190,408,5509,5965,11472,189,217,408,5134,5586,10715,214,202,413,5537,5995,11536,160,204,361,4951,5517,10468,192,207,397,5305,5926,11229,159,169,322,5006,5771,10783,189,176,370,5357,6122,11479,256,297,554,15473,19517,34995,698,903,1604,16438,20713,37147,4281,4426,8711,87884,93416,181297,3678,3772,7448,95846,101610,197451
SOS61,711,620,1336,4923,4798,9718,251,243,494,5887,5656,11547,724,711,1437,5394,5235,10627,282,258,545,6399,6207,12608,775,757,1536,5728,5354,11079,308,299,608,6809,6410,13220,656,590,1251,5204,5017,10222,318,250,567,6177,5862,12036,571,557,1129,5479,5419,10893,329,300,631,6380,6268,12648,426,502,927,6783,6667,13450,341,310,649,7546,7473,15022,362,440,804,6145,6417,12563,331,313,639,6841,7170,14006,334,451,791,5571,5979,11552,328,301,632,6238,6728,12971,260,384,643,5077,5565,10646,279,238,517,5614,6191,11804,268,354,628,5390,6032,11426,296,271,573,5961,6664,12625,295,377,678,5888,6672,12558,303,272,580,6492,7327,13814,255,339,596,6136,6765,12903,292,254,554,6687,7361,14050,238,283,523,6215,7011,13222,301,311,619,6753,7611,14366,479,582,1061,20767,25321,46087,1074,1229,2306,22319,27138,49449,6361,6964,13328,94697,102240,196933,5039,4855,9898,106104,114062,220162
SOS62,85,82,170,614,547,1160,36,36,77,735,668,1412,106,108,211,673,655,1327,35,44,77,816,805,1621,88,116,208,761,723,1491,51,47,98,911,889,1799,75,78,150,619,581,1199,45,34,83,741,690,1429,62,67,129,566,479,1044,63,34,97,688,578,1264,60,52,109,634,655,1290,41,34,75,732,740,1475,54,69,122,690,704,1391,49,57,107,791,825,1621,49,60,113,734,752,1488,38,40,76,823,857,1677,34,47,83,708,726,1437,44,48,91,783,819,1606,44,50,97,831,855,1693,50,33,86,933,937,1875,45,67,112,923,956,1877,63,70,130,1029,1092,2119,36,48,82,1031,1165,2187,74,67,138,1137,1277,2410,51,51,102,1269,1269,2544,71,76,145,1393,1396,2787,103,81,184,3716,3648,7369,285,261,548,4106,3995,8099,906,974,1880,13757,13729,27492,954,871,1828,15622,15575,31196
SOS63,252,257,508,2213,2061,4268,143,140,287,2610,2452,5065,308,307,620,2596,2457,5061,199,169,366,3106,2933,6040,379,350,729,2961,2802,5759,204,183,390,3540,3336,6875,344,287,631,2683,2370,5050,181,163,340,3202,2821,6019,204,175,380,2076,1830,3898,136,142,277,2414,2146,4564,170,174,340,2153,2002,4159,182,172,352,2508,2347,4852,177,182,355,2321,2374,4699,181,182,367,2675,2736,5415,154,194,343,2592,2802,5398,193,186,382,2942,3187,6131,145,157,302,2724,2850,5572,189,174,366,3058,3183,6242,164,167,333,3238,3210,6443,234,160,401,3634,3538,7172,205,213,416,3644,3805,7450,259,262,518,4103,4275,8379,153,173,325,4230,4067,8291,316,254,571,4702,4494,9190,171,168,339,4472,4322,8789,290,253,543,4937,4738,9675,280,216,496,10945,9001,19948,752,543,1296,11979,9757,21741,3111,3005,6116,48841,45944,94784,3465,2990,6455,55419,51943,107361
