SOS_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SOS10,9,83,151,1769,1186,1255,1278,788,181,6699,330,3205,9208,56164,20860,22367,13704,5783,3143,134762,0,14,36,873,749,1389,1924,1657,632,7283,57,561,498,2364,980,1481,1892,1243,579,9663,393,3352,4343,19565,12477,14243,11969,9359,3917,79616,21,237,742,6358,3945,3818,2254,1045,240,18672,32,264,364,2836,749,457,353,197,121,5372,47,187,402,2746,1258,1115,2290,1829,854,10727,11,132,271,676,633,1657,3816,5585,2281,15064,188,1143,1810,7759,3388,5359,4144,750,294,24838,1175,7281,6459,53837,9091,5779,3954,1798,655,90034,55,376,2291,9292,3409,2141,1695,699,201,20169,33,442,798,6465,1707,1553,1047,415,176,12642,44,1864,2996,10018,4436,3559,2175,978,373,26439,36,394,423,5245,1542,1231,962,698,293,10813,15,135,281,2400,1051,2664,4873,5177,3528,20127,78,394,528,3853,2299,1203,483,231,90,9159,97,783,1993,12339,5928,3698,2042,953,323,28155,137,503,902,6704,6165,7381,5077,2224,767,29864,56,479,1403,6711,2918,2788,2944,1110,280,18691
SOS11,0,0,8,132,69,76,89,43,10,430,16,89,140,1124,486,377,230,81,40,2572,0,0,5,30,41,120,149,127,34,507,4,29,11,106,24,35,81,58,20,364,38,373,523,2364,2462,4521,5376,4385,1748,21801,6,37,47,337,180,171,101,44,10,948,0,16,36,258,92,116,101,57,30,710,12,34,60,433,247,436,968,683,292,3156,0,4,5,22,24,61,114,116,51,395,3,35,23,180,68,115,81,26,6,545,83,427,372,3985,530,400,248,144,71,6257,10,40,49,333,145,97,74,36,13,795,0,16,16,136,28,33,25,14,0,274,29,270,244,337,83,57,38,10,7,1069,0,76,62,259,161,200,211,161,67,1183,4,25,20,187,73,201,395,367,264,1539,11,34,37,331,178,79,49,17,8,744,0,18,31,427,74,50,17,5,4,626,0,9,5,59,53,70,46,14,12,271,23,75,71,482,247,201,140,39,18,1296
SOS12,0,0,0,11,8,11,9,0,0,37,0,5,5,43,33,21,19,0,4,122,0,0,0,0,4,15,7,5,5,37,0,0,0,0,0,5,9,0,0,17,0,42,56,208,273,599,623,384,110,2294,0,0,0,21,11,6,5,0,0,55,0,0,0,28,15,16,13,6,5,79,0,0,4,44,22,52,104,56,10,298,0,0,0,0,0,6,6,8,3,35,0,0,0,12,4,5,0,0,0,29,5,10,4,90,14,22,19,9,5,172,0,0,0,18,19,8,13,4,0,63,0,0,0,5,3,4,5,0,0,19,0,0,0,4,4,0,3,0,0,11,0,6,0,23,16,24,26,6,3,108,0,0,6,4,7,18,29,25,6,95,0,0,0,24,12,5,8,0,0,52,0,0,0,14,3,8,0,0,0,35,0,0,0,5,10,5,4,3,0,22,0,0,0,37,19,24,18,6,0,98
SOS13,0,0,0,36,29,33,28,7,0,136,4,20,26,254,181,187,109,29,6,827,0,0,0,11,28,55,84,40,11,221,0,0,0,11,9,27,28,18,7,102,10,112,198,798,1177,2202,2015,1083,253,7853,0,8,9,53,78,57,29,14,3,247,0,4,12,101,41,53,32,17,4,267,0,11,19,196,159,266,375,201,62,1292,0,0,0,7,11,24,52,44,13,147,0,14,6,33,29,39,24,3,0,157,5,20,40,220,84,93,72,39,15,585,4,7,10,93,37,28,37,9,5,228,0,0,4,36,21,23,15,7,0,99,0,4,7,29,20,23,14,3,0,97,3,10,15,119,79,78,99,31,4,440,0,0,8,37,52,136,289,201,113,840,3,8,15,70,48,41,24,7,0,215,0,3,7,59,26,24,14,3,0,132,0,3,9,84,109,120,64,35,12,439,0,10,10,106,83,87,57,16,7,378
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,7,0,0,5,0,0,9,0,0,0,29,8,6,0,0,0,53,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,12,43,7,37,19,9,0,131,0,0,3,10,3,0,0,0,0,14,0,0,8,11,8,0,0,0,0,23,0,0,5,4,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,4,0,0,0,16,0,0,5,17,3,0,4,0,0,25,0,0,0,9,0,0,0,0,0,16,0,0,3,5,5,0,0,0,0,16,0,0,3,5,0,0,0,0,0,5,0,0,0,11,0,4,0,0,0,20,0,0,0,8,4,0,0,0,0,16,3,0,0,6,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,9,0,0,7,18,3,5,0,0,0,41
SOS20,14,49,77,1188,798,747,706,372,75,4031,299,3583,10396,42947,13932,12203,7069,2638,1295,94362,3,12,33,743,687,1502,1880,1651,619,7126,26,348,506,1490,624,1011,1351,915,430,6690,280,2672,3719,12932,9384,11735,10702,8373,3824,63625,11,102,311,2301,1282,1105,614,260,83,6057,22,138,221,1607,489,335,300,151,110,3370,33,136,366,2087,1040,980,2413,1977,1032,10062,15,219,456,1027,1196,3032,6083,8573,3407,24009,108,741,1145,5120,1754,2107,1566,296,112,12954,1031,6784,10112,69807,8981,6403,4438,1886,704,110157,55,289,1676,5723,1640,732,760,234,69,11181,47,711,1089,5626,1188,743,410,173,50,10042,28,1061,1462,5053,2099,1411,789,397,106,12401,21,297,284,3159,814,809,794,541,301,7006,11,174,315,1839,1042,3832,8173,8707,5556,29655,55,281,434,2943,1414,457,289,94,56,6020,46,329,816,4881,1417,555,229,85,14,8376,47,184,357,2198,1983,2046,1326,505,165,8811,141,1340,3235,12744,4164,4055,3537,1174,304,30692
SOS21,0,0,6,58,57,36,45,30,0,234,3,59,114,840,294,236,108,33,12,1698,0,0,5,56,64,120,149,122,59,564,0,29,41,71,15,29,71,35,17,305,33,287,383,1464,1599,3147,3698,2800,1130,14554,3,12,41,242,143,75,45,12,3,585,0,8,10,106,36,64,43,27,9,308,5,22,29,285,137,230,810,462,223,2204,5,9,9,33,37,73,156,177,59,552,0,18,28,145,24,45,24,3,0,289,73,437,528,5124,418,386,266,105,33,7365,5,27,32,287,119,41,46,13,14,584,0,34,30,90,21,15,4,5,0,190,3,42,45,220,71,43,20,4,0,451,3,48,35,238,117,130,163,109,52,898,4,13,11,103,74,301,678,660,423,2267,5,29,19,173,85,28,22,4,3,354,0,14,14,170,34,14,4,4,0,265,0,9,10,50,27,27,21,12,0,152,7,133,162,917,277,204,95,23,3,1828
SOS22,0,0,0,3,8,8,3,0,0,19,3,3,0,44,6,16,3,7,0,90,0,0,0,0,3,5,3,6,0,28,0,0,0,6,0,0,0,0,0,6,0,29,28,148,179,475,465,262,84,1664,0,0,6,8,8,9,0,0,0,31,0,0,0,10,0,3,7,0,0,30,0,0,7,23,15,44,67,43,11,203,0,0,0,0,4,12,7,12,3,35,0,4,0,9,0,4,3,0,0,21,3,12,11,79,16,15,10,9,0,149,0,3,3,24,13,0,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,11,21,19,7,3,84,0,0,4,4,3,19,35,14,11,83,0,0,0,6,8,8,0,3,0,31,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,3,0,0,0,21,19,16,12,0,0,80
SOS23,0,0,0,23,18,11,6,0,0,65,0,17,38,136,101,72,28,16,6,413,0,0,0,16,15,50,79,49,11,213,0,0,0,6,0,5,24,3,0,35,13,101,159,615,890,1772,1673,793,192,6204,0,5,7,17,27,25,18,0,0,97,0,4,4,53,17,19,19,9,0,135,0,3,13,136,103,166,302,163,52,947,0,0,0,4,13,33,74,58,30,222,0,7,4,31,9,23,4,0,0,85,0,24,32,227,62,81,47,26,7,500,0,9,7,64,23,14,20,9,3,147,0,0,5,10,6,0,0,3,0,32,0,0,0,9,12,7,0,0,0,24,0,6,6,83,38,62,55,36,8,299,0,4,6,22,28,135,302,212,99,813,0,6,5,37,29,20,10,0,0,123,0,5,4,26,7,5,0,0,0,45,0,0,3,28,23,27,13,0,0,95,0,17,36,198,76,71,24,10,0,433
