SOS_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOS10,70,24,57,55,22,131,14,102,102,3377,48,4009,15,15,8,9,3,36,6,70,39,569,3,776,11,21,13,11,3,31,8,180,82,1050,9,1426,5,12,6,8,3,46,3,241,106,928,15,1374,21,54,33,19,3,127,30,506,206,2364,42,3414,18,91,41,60,14,264,24,1089,434,3036,55,5130,59,244,117,159,34,937,111,1904,828,6015,76,10482,104,563,226,290,88,2376,243,2708,1299,6467,120,14493,290,1177,491,982,254,5448,565,3960,1991,9197,142,24504,720,2401,949,3211,917,7779,1168,4713,2359,9313,182,33713,1074,2085,860,4543,1336,8583,1263,3789,1907,6834,105,32382,2346,2481,922,6523,1828,8730,1400,3205,1648,6078,134,35295,11243,5678,2189,19219,5756,21135,3404,5958,2905,10232,250,87968,15878,4712,1911,22952,6775,10004,2844,3764,1696,6223,148,76908,19024,3685,1374,22311,6317,10817,2144,2767,1219,4457,128,74247,19210,2398,923,15567,4978,5051,1396,1626,713,2351,86,54311,89465,6869,2235,56333,15217,29641,2938,4638
SOS11,20,6,4,22,0,23,4,28,10,281,14,413,3,4,0,9,0,8,0,12,5,71,0,111,0,10,5,3,0,9,3,41,13,130,4,206,0,0,0,6,0,13,5,31,10,96,0,169,9,21,4,25,0,12,7,105,16,311,3,520,16,20,5,40,5,66,3,179,32,335,15,720,31,102,3,97,15,220,30,450,84,1004,15,2046,70,217,11,214,31,649,36,649,138,1090,17,3121,151,461,54,610,82,1459,122,952,235,1768,30,5942,417,899,118,2200,285,2411,215,1120,297,1711,60,9739,621,760,98,2951,392,2320,197,824,220,1039,39,9465,1309,793,125,3753,563,2149,220,629,186,886,32,10638,5258,1494,295,9278,1431,4012,544,919,320,1261,55,24885,5652,1084,224,8557,1462,1750,448,523,173,586,47,20497,5580,664,203,6341,1072,1438,308,294,120,355,30,16398,4589,386,115,3620,708,587,163,135,62,173,13,10544,10375,661,234,6695,1298,2053,295,292
SOS12,5,0,0,8,0,3,0,6,0,23,6,47,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,3,0,4,0,18,0,25,0,0,0,0,0,0,0,0,4,15,0,19,4,5,0,3,0,3,0,14,0,37,0,63,4,0,0,8,0,4,0,26,6,34,0,85,9,10,0,16,0,30,7,40,9,85,3,204,6,30,5,28,5,53,3,76,14,108,7,328,26,40,15,88,9,147,3,107,26,201,3,656,54,98,4,216,36,197,17,118,15,168,5,938,61,62,9,289,46,225,23,99,30,136,0,983,104,83,11,371,55,199,26,62,16,97,4,1036,420,172,17,839,124,353,55,93,31,144,4,2254,471,147,24,799,126,172,60,57,31,61,6,1952,537,77,16,601,93,129,32,36,18,55,6,1603,400,52,12,367,56,61,17,16,3,15,0,1011,1048,85,27,665,138,203,30,44
SOS13,82,3,10,42,8,25,0,3,10,128,5,317,18,0,0,10,5,13,0,7,0,32,0,93,18,3,0,16,5,8,0,20,0,66,3,154,10,9,0,15,4,13,0,19,5,53,0,122,24,16,6,30,0,18,9,43,10,118,0,285,28,21,3,56,8,50,6,87,19,138,3,417,77,50,10,105,18,109,12,175,36,336,7,937,99,123,22,187,25,232,19,218,48,351,13,1338,189,201,28,432,55,447,45,306,74,575,29,2377,356,340,56,950,112,669,95,358,97,526,26,3591,340,229,65,1083,128,727,85,281,103,434,20,3498,565,283,73,1326,187,617,106,231,75,347,20,3823,1808,542,154,3111,435,1232,228,398,133,533,24,8615,1945,466,127,2919,481,657,167,238,94,312,22,7425,2100,326,94,2463,366,586,159,163,71,197,5,6531,1831,201,74,1595,281,308,111,96,37,137,4,4673,5964,557,167,4084,700,1341,221,255
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,117,41,48,100,20,174,12,132,107,2585,55,3396,23,23,6,35,10,57,0,120,32,503,8,812,22,46,14,34,7,80,10,273,86,847,9,1427,10,37,5,29,6,93,10,360,47,702,19,1293,40,103,13,51,13,180,16,639,110,1878,25,3077,50,161,17,118,18,591,41,1334,214,2007,45,4585,123,481,40,317,48,1569,91,2368,401,3800,67,9300,214,873,88,729,146,3882,172,3170,544,4110,112,14045,483,1791,157,1840,292,7585,331,4133,787,5824,154,23378,1318,3046,248,6040,802,9887,610,4245,836,5645,177,32855,1704,2422,246,7903,1024,9803,531,3200,715,4312,137,32000,3533,2539,275,10049,1330,9365,612,2453,583,3639,122,34498,14231,5035,736,26542,3828,19589,1318,4218,1014,6105,202,82816,17191,3852,686,28954,4305,8270,1089,2575,544,3437,125,71028,18280,2697,568,25106,3794,8812,887,1736,437,2293,95,64695,17020,1666,391,16016,2847,3625,572,969,233,1171,77,44593,64307,4110,1067,48656,8137,19912,1337,2619
SOS21,22,3,10,17,0,23,0,14,16,263,9,384,4,0,0,4,0,12,0,10,4,46,0,95,0,5,0,9,0,3,3,35,6,85,3,149,0,0,0,3,0,9,0,24,0,69,0,126,5,15,0,6,0,25,4,48,26,231,4,367,12,29,3,25,7,66,12,171,28,244,6,593,25,65,5,65,19,203,12,315,65,633,10,1414,37,139,14,149,34,639,31,466,89,706,23,2321,82,329,28,462,71,1339,88,693,153,1059,19,4326,287,568,64,1679,264,1941,132,754,198,984,43,6914,386,491,69,2334,369,1937,152,542,141,673,20,7106,813,548,79,2919,414,1742,159,444,133,504,21,7763,3240,1016,213,7165,1122,2992,372,630,211,756,37,17764,3625,734,163,6433,996,1251,304,340,120,356,30,14352,3286,402,115,4686,725,1051,180,183,66,197,12,10918,2752,231,85,2568,403,422,106,99,34,94,17,6812,5962,395,155,4789,744,1531,187,190
SOS22,0,0,0,0,0,4,0,0,0,15,0,24,0,0,0,0,0,3,0,3,0,5,0,12,0,0,0,0,0,4,0,3,0,7,0,17,0,0,0,0,0,0,0,7,0,3,0,13,0,4,0,0,0,4,0,11,3,16,0,34,0,10,0,0,0,9,0,11,5,21,0,59,3,11,0,3,5,10,0,28,7,52,5,116,3,18,0,23,0,51,5,36,10,79,3,236,12,34,3,40,11,109,9,50,20,94,0,386,22,68,13,165,24,160,24,70,30,97,7,663,29,57,13,251,34,179,18,50,24,44,9,696,67,50,8,283,43,139,19,38,3,37,3,689,270,93,18,699,94,225,30,72,20,65,3,1582,296,65,16,581,76,82,37,26,15,35,0,1235,260,39,7,411,72,56,22,11,10,15,0,909,200,20,12,212,44,36,12,10,6,6,0,549,475,37,15,389,65,119,17,14
SOS23,40,5,6,16,0,27,7,7,11,106,3,228,12,6,0,11,0,4,0,6,3,27,0,66,11,4,0,15,3,9,0,22,3,35,0,100,8,5,3,4,3,11,0,11,0,36,0,79,28,5,6,26,4,23,0,29,6,73,4,206,23,15,0,35,0,52,3,69,8,88,4,305,59,37,7,100,16,97,10,119,21,202,9,670,102,87,21,161,18,190,20,161,35,245,7,1052,145,150,24,377,52,416,35,220,59,386,13,1884,242,236,34,905,116,621,64,253,82,358,14,2929,251,220,45,1015,121,649,74,174,64,277,20,2902,451,228,61,1324,161,532,83,140,61,221,12,3272,1354,462,89,2967,372,1015,140,274,99,338,33,7142,1503,340,91,2761,346,491,98,173,50,160,17,6030,1546,207,69,2080,251,440,83,98,33,104,17,4920,1264,141,44,1263,190,185,55,48,12,59,3,3261,3662,288,92,3025,414,903,120,154
