SOS_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
SOS29,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
SOS30,13075,13546,26618,15174,19976,35149,856,743,1593,684,1048,1732,2625,2832,5455,552187,476922,1029115,30904,44398,75304,10541,251,10799,11030,1332,12363,10457,3679,14134,6986,3085,10068,18989,20096,39089,673501,587917,1261417,2103,2515,4618,10,5,19,79,78,156,2893,2847,5734,497,750,1249,699,309,1008,6281,6514,12795,179,177,361,182,301,484,1009,1238,2250,520,1317,1837,540,512,1053,2431,3557,5988,6892,4228,11126,15608,14295,29904,1202,1441,2638,448,511,958,359,161,519,2007,2115,4117,127043,152018,279065,77154,121451,198599,3827,3323,7152,899137,881114,1780257
SOS31,179,171,353,2820,1257,4080,209,97,299,5,7,12,383,502,883,139514,129220,268741,11089,12726,23816,3267,92,3363,2020,196,2218,1747,645,2393,1595,787,2381,5721,6519,12233,168556,152214,320766,35,33,69,0,0,0,0,0,0,138,146,281,20,21,41,20,6,30,210,204,414,73,45,120,0,0,0,337,119,455,70,98,167,48,29,79,532,292,821,2085,1198,3289,2829,1693,4525,39,39,74,233,83,319,128,54,185,406,174,578,9305,15731,25031,20080,24766,44843,1283,1165,2453,202456,195748,398196
SOS32,27,16,42,285,150,438,44,45,95,0,0,0,21,16,32,18486,16379,34866,1357,1397,2761,678,30,704,229,37,264,139,79,223,378,126,506,1576,1872,3451,23219,20146,43372,0,0,9,0,0,0,0,0,0,12,25,43,3,0,7,3,0,3,28,28,53,17,17,35,0,0,0,24,15,39,9,15,20,15,6,20,64,50,115,316,249,567,404,326,732,7,3,13,28,15,39,20,8,26,56,23,80,1746,2689,4439,2649,3344,5998,332,270,600,28409,26810,55220
SOS33,175,124,296,1111,423,1531,60,11,66,11,0,7,22,18,43,64200,56830,121024,3848,4017,7872,3644,147,3794,945,140,1085,261,85,347,1555,587,2142,5062,3458,8520,80883,65839,146725,10,13,25,0,0,0,0,0,0,124,117,242,12,16,30,17,3,18,162,150,315,40,5,44,0,0,0,120,59,179,38,28,70,47,9,59,252,105,357,914,355,1264,1322,614,1935,29,24,54,96,22,116,91,27,116,219,75,285,17269,18504,35773,9071,11320,20393,1172,873,2051,109937,97228,207163
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,29
SOS39,13,7,23,35,42,78,8,0,8,0,3,3,5,0,13,808,551,1367,98,154,252,35,4,34,20,0,21,16,12,31,28,30,57,125,155,281,1206,962,2169,9,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,3,3,6,0,0,0,0,5,6,5,6,10,18,13,28,39,20,54,0,0,5,3,5,6,0,0,0,6,8,16,173,208,386,246,305,552,31,15,50,1705,1512,3219
SOS40,2568,2688,5251,10196,13879,24077,60,30,86,970,1318,2286,929,977,1906,207651,170383,378027,9938,16004,25938,2165,59,2221,2313,268,2577,4779,1711,6485,2424,777,3208,5644,5867,11507,249625,213939,463571,479,469,951,0,0,0,59,102,156,485,509,989,64,122,186,84,48,132,1170,1250,2411,0,3,10,182,254,433,866,1106,1970,340,844,1186,259,296,549,1650,2502,4148,2361,2001,4358,5182,5746,10922,285,412,694,244,325,565,104,54,164,636,791,1429,26913,30273,57189,23818,40531,64347,1202,1049,2252,307367,292332,599698
SOS41,41,29,73,907,655,1566,16,5,26,0,8,12,124,131,261,52802,48025,100830,3332,3666,6994,778,33,812,469,51,518,515,134,649,660,179,836,2057,2099,4163,61696,55030,116731,16,8,21,0,0,0,0,0,0,26,33,60,0,4,5,0,0,0,42,51,89,0,0,0,0,5,5,184,147,333,36,40,75,32,7,40,259,204,462,576,324,902,879,574,1456,11,15,26,21,9,28,22,12,33,55,39,92,4055,5639,9688,6800,10025,16826,511,404,919,73997,71715,145710
