SOS_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
SOS69,0,0,0,7,8,12,0,0,0,0,0,0,0,0,0,95,58,158,10,12,26,3,0,3,0,0,0,0,0,0,3,0,3,7,9,21,135,89,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,19,26,24,26,47,0,0,0,174,133,309
SOS70,6,0,6,677,938,1608,18,7,24,3,0,5,130,151,284,23387,20686,44073,1400,2601,4003,228,15,241,674,147,815,753,496,1246,551,207,760,1361,1244,2609,29187,26500,55688,0,5,5,0,0,0,0,0,0,7,9,15,3,0,6,0,0,4,10,16,26,0,0,0,0,0,0,48,40,83,33,96,125,21,25,52,104,160,262,318,217,536,433,395,829,5,0,5,23,37,62,20,12,34,52,49,99,1049,1572,2623,2428,3370,5799,175,134,312,33330,32019,65347
SOS71,0,4,4,197,94,290,0,4,4,5,0,6,33,36,68,6547,6078,12626,632,1100,1730,77,11,81,139,41,182,394,302,697,77,49,122,867,1104,1969,8961,8813,17782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,3,15,0,3,6,0,3,3,22,7,25,120,99,214,134,107,245,0,0,0,5,3,6,9,6,13,9,13,22,217,354,566,661,931,1591,149,124,272,10139,10342,20477
SOS72,0,0,0,81,80,161,0,3,5,0,0,0,0,0,0,1385,1114,2498,295,340,634,19,5,24,18,3,27,55,46,90,39,28,66,888,1153,2039,2779,2770,5547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,4,5,5,0,0,0,11,7,15,62,57,114,69,60,135,0,0,0,6,5,9,4,14,15,9,13,25,54,101,161,153,192,350,88,82,168,3152,3228,6382
SOS73,0,5,5,138,45,179,3,0,3,3,0,3,8,4,12,4515,4026,8542,331,379,711,191,13,204,81,15,98,67,35,105,207,98,303,705,660,1363,6255,5265,11524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,12,15,3,0,7,10,4,18,20,16,39,81,44,121,100,64,168,0,0,0,9,3,11,9,4,6,17,9,24,526,610,1134,585,642,1230,120,78,196,7609,6660,14269
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,3,40,5,0,5,49,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,56,3,56
SOS79,0,0,0,7,10,24,0,0,0,0,0,0,0,0,3,48,42,94,7,14,23,0,0,7,0,0,4,5,5,6,16,6,23,54,71,124,148,151,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,31,61,56,73,128,6,6,14,242,259,500
SOS80,65,42,110,4010,5016,9025,30,7,33,1028,1246,2281,260,305,565,78615,67647,146261,4121,8319,12443,967,33,1000,1589,186,1776,3473,1740,5212,715,309,1018,5033,4875,9906,99906,89728,189639,18,16,31,0,0,0,0,0,0,17,25,42,0,0,4,3,0,5,37,50,84,0,0,0,641,738,1376,252,301,550,149,447,604,160,148,308,1202,1631,2837,1358,1052,2412,2601,2729,5330,8,6,17,172,234,408,72,40,108,253,280,530,12810,14273,27078,9252,15274,24519,350,258,609,125176,122535,247706
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,97,211,4,3,9,3,0,7,0,0,0,0,0,0,0,0,0,4,6,8,125,112,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,26,53,13,24,38,4,0,7,168,166,335
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,77,158,4,4,9,3,0,3,0,0,0,0,0,0,37,8,45,32,12,43,160,95,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,62,12,21,32,0,0,0,209,143,352
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,9,4,15,0,0,0,0,0,0,0,0,5,46,53,98,11,3,13,0,0,3,0,0,0,3,0,5,0,0,0,16,6,23,83,75,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,19,14,17,32,0,0,0,104,111,216
SOS91,0,0,0,14,18,37,0,0,0,0,0,0,0,0,0,285,182,468,8,31,41,3,0,3,11,3,14,3,0,0,0,3,8,8,16,21,337,252,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,14,20,20,31,53,3,3,9,382,300,686
SOS92,0,0,0,0,0,5,14,8,22,0,0,0,0,0,0,287,367,655,12,26,40,65,6,69,37,12,54,13,12,24,3,8,11,62,50,117,493,495,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,9,20,28,17,13,25,26,33,57,0,0,0,4,9,13,5,0,5,8,9,14,32,40,76,40,57,95,0,8,4,595,639,1234
SOS93,0,0,0,5,9,13,0,0,0,0,0,0,0,0,0,106,109,215,5,9,14,12,0,17,5,0,6,0,0,0,0,0,0,3,5,13,145,133,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,16,25,7,13,20,0,4,6,160,166,329
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3
