SOS_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOS10,54892,124604,331234,332341,272866,197532,58066,8247,705,1380487,114,260,665,688,789,581,236,62,5,3405,5,77,402,454,376,224,40,8,0,1589,1528,2740,9229,11273,11429,8045,1684,136,9,46069,27,287,1326,1719,1486,755,125,10,0,5725,508,2254,9131,9460,7645,4581,1157,136,8,34889,358,1828,7151,8790,7886,4800,1059,105,13,31981,15763,20763,27918,22924,20516,15063,3544,343,25,126863,21294,14404,15526,10249,8204,5948,1262,110,6,77000,510,2193,7120,7952,7768,5339,1069,92,6,32057,444,1904,7468,7005,4717,2256,485,54,3,24341,378,5350,23670,27278,18370,8484,1638,142,19,85337,445,2116,6188,6196,5007,2999,973,211,39,24183,1193,11402,40005,33592,22615,12580,3835,498,12,125730,650,3525,11153,10156,9182,6572,1592,155,7,42991,568,4022,16084,19357,17685,11192,2116,112,9,71148,4599,12691,37171,37914,38044,26966,6866,489,19,164762,4898,26614,70948,62530,59475,48034,12078,958,26,285564,1628,2668,4983,3956,3037,1909,634,102,10,18922,1728,4004,10081,8847,8114,5326,1340,151,8,39590
SOS11,21879,29663,71740,67707,66275,58316,18901,2901,306,337677,184,419,1002,812,853,749,412,134,17,4573,23,230,741,603,423,188,21,3,0,2240,765,885,2491,2321,2295,1831,427,38,0,11049,28,77,314,418,485,328,42,3,0,1693,204,522,1796,1819,1612,1334,400,37,5,7737,126,284,759,798,884,718,202,24,0,3807,6868,4672,7408,6697,7166,6362,1648,134,6,40958,8439,4581,5613,4409,4111,3523,880,89,4,31653,94,318,888,1020,1325,1296,416,50,0,5410,130,223,480,495,424,360,116,19,0,2262,86,455,1659,1670,1605,1119,206,32,0,6828,142,427,1110,963,1024,738,294,58,0,4754,254,1059,3552,3623,3237,2430,872,81,8,15111,247,833,2472,2747,2977,2608,590,38,4,12520,269,1131,4564,5554,5772,3628,634,38,0,21588,920,2761,9096,10932,11419,8792,2135,140,0,46192,1852,7041,19737,17975,19409,18868,4236,225,0,89356,443,445,816,768,727,517,182,35,4,3941,749,1280,3105,2516,2355,1708,520,65,8,12302
SOS12,1974,2410,5247,6013,7026,6788,2232,343,29,32064,36,52,105,111,122,115,59,23,3,630,0,15,31,31,38,13,3,0,0,131,67,61,153,175,270,189,38,7,0,944,0,7,24,35,43,32,3,0,0,148,21,50,175,239,216,149,52,0,0,898,10,25,59,79,98,75,19,3,0,376,545,334,481,542,701,704,161,10,0,3481,765,342,475,403,443,397,97,20,4,2940,15,35,83,113,197,167,70,8,0,687,11,19,32,47,34,37,13,0,0,189,12,26,116,166,155,118,22,9,0,613,11,44,71,74,75,88,18,4,0,385,32,70,309,319,358,295,78,12,0,1485,21,53,182,237,291,276,66,7,0,1137,12,71,339,506,579,406,64,4,0,1982,86,223,734,1059,1239,1015,244,15,0,4621,156,478,1143,1406,1810,1942,447,19,0,7397,42,32,73,58,88,76,26,4,0,401,67,98,215,220,255,155,68,3,0,1082
SOS13,9329,10216,19144,23766,31999,31720,14053,3509,473,144209,414,622,1419,1923,2810,3520,2869,1003,129,14706,18,57,204,241,253,106,20,4,0,905,311,284,556,757,1064,922,249,34,7,4182,17,26,85,144,229,124,29,3,0,650,165,245,772,1157,1292,963,269,26,0,4885,75,164,296,381,543,441,134,28,0,2071,2288,1184,1497,1712,2508,2255,558,65,4,12082,2575,954,903,959,1220,1149,310,30,3,8106,73,121,337,468,773,741,226,38,0,2772,30,76,126,147,200,169,55,4,0,800,23,132,390,559,656,419,96,11,0,2298,77,169,292,386,528,350,149,29,3,2002,174,485,1284,1614,1867,1393,477,58,0,7349,97,223,533,730,1017,883,227,31,0,3729,129,336,1121,1830,2454,1528,247,15,0,7663,416,848,2365,4024,5176,4106,1018,66,0,18031,609,1676,3564,4425,6424,6527,1546,77,3,24851,235,197,302,314,393,331,107,21,0,1896,327,362,796,865,1016,789,193,20,0,4362
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,57,128,435,295,228,187,52,6,0,1388,0,3,35,5,6,5,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,4,19,6,3,10,0,0,0,44,0,0,0,0,6,0,0,0,0,9,0,0,11,4,6,3,0,0,0,30,0,0,5,0,0,3,0,0,0,13,15,20,31,11,22,10,3,0,0,113,26,31,43,13,11,7,0,0,0,137,0,7,8,5,3,0,0,0,0,27,0,0,10,3,0,4,0,0,0,14,0,3,12,9,6,3,0,0,0,34,0,3,3,4,0,0,0,0,0,14,0,3,27,21,16,6,3,0,0,87,0,0,19,15,5,10,0,0,0,56,8,7,11,10,15,13,0,0,0,63,4,6,30,12,19,22,7,0,0,94,0,18,61,40,38,32,16,0,0,199,4,5,21,9,6,0,0,0,0,39,5,0,13,12,9,10,0,0,0,42
SOS20,50221,118009,321722,306172,247668,176488,52091,7321,581,1280281,116,386,1190,1174,1178,803,275,71,0,5190,5,42,233,326,303,114,28,3,0,1054,2427,3485,10669,12733,13308,8912,1772,153,7,53477,31,368,2182,2934,1863,815,125,7,0,8321,371,2230,8505,8272,6725,4225,1023,116,0,31473,331,1649,5790,6964,6690,4052,895,90,5,26471,16697,24544,28244,20970,20275,14183,3327,288,12,128547,22512,16894,16607,9582,7759,5005,1042,89,7,79496,346,2012,6368,6625,6227,4071,782,48,5,26482,580,1496,4903,4757,3258,1539,359,40,6,16937,176,2912,15139,17784,11664,5375,1110,89,5,54256,260,1556,5519,4565,3886,2369,780,137,17,19092,585,7788,33703,28751,19427,10388,3081,341,20,104086,537,3483,10894,8994,8359,5593,1480,130,9,39469,377,3431,15936,18127,16286,10601,2126,201,7,67095,2994,10176,36657,37751,35740,25178,5701,414,14,154621,2712,22279,71274,61212,55127,42269,10348,648,20,265894,2171,3250,5388,4439,3462,1963,591,81,8,21352,1200,4082,10992,9351,8157,5326,1289,124,11,40540
SOS21,13055,18891,48636,47067,44468,37882,12183,1741,163,224078,152,356,970,771,691,599,303,103,11,3952,3,17,62,47,69,51,3,0,0,269,715,671,1869,1974,2028,1587,323,17,0,9183,14,91,329,398,371,222,40,4,0,1471,100,404,1381,1390,1292,943,234,21,0,5764,74,193,638,649,713,548,131,11,0,2976,4292,3264,4496,4095,4765,4195,955,58,0,26115,5055,2533,2872,2273,2201,1818,478,33,3,17265,72,314,1060,1070,1203,1036,250,21,0,5022,72,153,355,383,335,247,67,13,0,1615,36,289,1250,1445,1225,747,131,14,0,5136,46,281,659,603,646,407,133,19,0,2800,113,621,2344,2560,2018,1440,514,57,0,9654,158,484,1408,1594,1637,1367,335,36,0,7024,118,643,2859,3586,3679,2712,593,37,0,14215,487,1609,6268,7238,6939,5190,1173,61,0,28958,731,4000,12951,11929,12648,11688,2641,107,4,56703,315,348,637,656,563,412,131,16,0,3076,347,828,2034,1723,1490,1043,326,42,5,7833
SOS22,1090,1466,3637,4012,4552,4616,1644,228,22,21257,24,32,122,110,129,122,61,21,0,624,0,7,3,11,3,5,3,0,0,34,59,47,123,133,211,169,41,5,0,786,0,8,27,29,34,20,3,0,0,117,9,37,124,134,128,108,24,5,0,567,15,23,43,42,57,69,7,0,0,264,342,208,327,372,440,438,115,11,0,2252,438,196,291,217,244,290,67,5,0,1753,18,44,60,77,144,147,38,4,0,530,0,12,24,30,36,25,12,0,0,127,5,14,98,87,123,73,7,0,0,414,7,18,33,50,68,39,14,0,0,226,9,50,186,218,230,173,63,9,0,922,23,31,102,119,150,174,38,6,0,646,4,35,199,312,351,274,57,0,0,1234,38,120,477,670,730,597,134,6,0,2780,72,265,841,929,1182,1323,264,7,0,4882,32,30,67,94,77,69,30,3,0,396,33,69,146,135,136,96,29,4,0,640
SOS23,6651,7807,14609,18457,24663,25293,11331,2791,370,111976,390,494,1308,1673,2264,2926,2364,784,82,12282,4,26,34,56,73,46,12,0,0,260,397,263,548,744,1162,950,274,38,0,4374,10,31,108,169,179,133,19,0,0,649,64,172,550,793,962,744,186,22,3,3482,71,104,247,303,442,383,94,16,7,1665,1711,1027,1085,1263,1955,1719,390,37,3,9191,2022,802,682,660,904,834,250,29,0,6174,45,99,252,352,617,545,173,17,0,2106,21,41,115,127,169,142,39,7,0,661,18,83,295,463,490,362,90,4,0,1797,35,64,181,213,249,205,75,15,0,1032,101,297,789,1211,1340,1014,337,31,0,5113,69,133,354,448,692,607,154,16,3,2483,98,313,778,1287,1649,1267,228,13,0,5638,245,564,1712,2586,3380,2764,686,36,0,11970,315,1274,3196,3774,5522,5613,1274,54,0,21016,212,215,303,316,404,326,82,7,0,1868,180,263,611,622,737,578,172,18,0,3179
