SOS_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS29,0,0,0,0,4,4,5,8,5,4,4,0,0,3,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,12,0,0,0,0,0,9,6,8,4,0,0,0,0,5,0,28,0,0,0,0,3,4,5,3,0,3,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,15,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,13,3,11,40,24,23,21,25,10,0,8,7,15,6,17,3,206,0,0,0,0,0,0,12,3,0,0,0,0,0,11,0,36,0,0,0,0,0,5,3,4,0,5,3,0,0,0,5,38,0,8,14,24,25,20,65,43,0,6,20,30,17,30,16,322,6,34,98,79,101,125,230,164,31,55,80,106,62,133,74,1390
SOS30,6,24,158,1059,5800,5004,10153,7212,1468,1462,1851,2476,786,242,828,38524,202,149,206,435,1647,626,718,423,102,100,89,108,38,14,103,4960,9,63,252,678,756,846,1771,871,230,258,266,329,192,79,143,6742,25,111,415,1631,2847,5702,16264,5808,1244,1406,1268,1539,714,357,507,39836,27,105,357,514,1093,1293,3248,2005,306,359,396,552,220,69,162,10709,0,0,18,75,1630,3872,3381,2459,582,605,795,881,380,42,310,15026,0,3,33,218,881,1151,3485,2254,599,542,561,696,328,64,316,11157,3164,10315,28831,21606,19425,15591,39418,16651,2827,2550,2423,2682,1464,597,4250,171799,73,175,733,1347,1413,1959,3965,2618,582,590,649,795,700,222,302,16109,0,21,55,2590,5517,3150,3729,2992,699,766,720,883,502,121,809,22547,1214,3480,8441,12598,16480,19662,38147,24872,6985,6908,8024,10150,3849,836,3716,165365,8079,26539,55270,68551,106436,114493,251335,146468,31666,32185,36647,44456,18626,6067,22619,969451
SOS31,0,3,25,194,1110,821,2425,2697,623,512,608,732,248,108,280,10401,22,23,32,53,153,50,77,54,5,10,9,8,10,0,6,496,3,8,42,92,43,43,92,67,19,19,15,9,6,10,20,491,7,27,101,239,315,623,2811,985,152,214,233,408,178,49,132,6463,6,26,36,49,55,35,225,280,47,58,51,77,87,28,18,1077,0,0,0,6,8,50,120,214,76,68,207,329,85,0,22,1181,0,0,8,31,117,133,498,445,104,83,92,142,62,13,84,1817,880,3183,8263,4991,3645,2262,5070,1985,328,283,246,386,212,68,1219,33029,15,46,193,295,250,270,524,320,91,80,65,82,61,13,48,2358,4,0,0,45,83,94,459,236,62,74,61,104,48,3,75,1350,313,892,1692,1947,1708,1476,3756,2148,458,516,574,1219,641,419,685,18455,2051,7371,13803,13230,14411,11653,26678,16286,3253,3418,3881,5864,2570,1158,4481,130099
SOS32,0,3,6,21,106,84,187,170,20,31,37,52,11,0,25,741,8,3,6,8,12,9,3,0,0,0,0,0,0,0,4,51,0,0,13,20,9,11,6,0,0,0,0,0,0,3,5,65,3,7,10,35,54,89,276,71,20,19,8,16,9,10,15,641,0,0,7,4,9,11,8,7,0,0,0,0,0,0,0,47,0,0,0,0,0,6,5,10,3,3,0,6,0,0,0,40,0,0,5,6,15,21,39,46,14,15,11,17,0,4,17,198,142,516,1377,899,573,420,737,234,43,55,35,48,28,5,205,5308,3,8,32,62,43,52,72,33,9,9,3,11,3,5,14,376,0,0,0,3,4,4,10,15,7,8,4,0,3,0,6,67,51,160,308,387,306,212,358,193,53,39,49,94,55,34,120,2412,318,1173,2318,2344,2224,1699,2706,1272,259,267,261,361,165,85,684,16127
SOS33,0,0,4,66,303,196,361,348,89,61,77,96,40,22,115,1785,4,12,26,22,81,19,20,13,0,6,0,3,4,0,6,227,3,10,24,45,32,17,34,18,7,4,12,6,9,0,8,229,5,19,67,165,174,393,1173,328,58,63,50,79,29,22,54,2670,0,6,34,22,13,26,22,20,3,0,0,8,5,0,5,167,0,0,0,4,37,48,60,47,19,7,25,23,31,0,8,305,0,0,8,17,74,63,184,153,37,21,29,38,19,7,36,679,346,1332,3970,2413,1933,1400,2804,912,103,97,84,121,57,21,670,16285,9,20,146,195,187,171,287,140,23,38,23,43,33,11,41,1366,0,0,6,43,105,63,76,46,14,21,16,21,14,5,47,467,133,425,1013,1142,1114,787,1329,558,116,132,149,400,196,195,432,8130,862,3248,7087,7005,7855,5647,9562,3915,675,663,725,1193,583,326,2373,51718
SOS37,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,3,3,0,0,23
SOS39,0,0,0,4,8,3,16,5,5,3,4,5,0,0,9,61,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,7,7,9,30,0,0,0,0,0,3,22,0,89,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,3,6,16,4,3,3,45,0,0,0,0,0,0,6,11,0,0,0,6,0,3,0,17,7,40,168,110,75,29,93,44,13,3,23,52,35,15,42,764,0,0,7,6,5,9,8,8,0,0,3,10,8,0,6,62,0,0,0,0,3,0,4,3,0,0,0,4,3,0,0,24,0,4,29,21,37,35,56,41,16,11,39,143,87,35,57,619,15,83,260,264,286,210,365,223,69,47,138,371,213,124,230,2917
SOS40,0,3,22,266,1607,1474,3234,2574,526,508,574,856,304,72,274,12305,200,215,293,285,1925,688,395,146,42,24,28,31,15,3,87,4365,5,27,97,242,276,242,622,347,128,136,133,160,83,20,36,2557,8,30,162,361,406,676,2167,817,215,195,374,445,230,37,83,6208,6,30,65,169,247,258,1068,1139,215,325,429,521,271,23,83,4848,0,0,0,11,98,168,315,424,89,106,116,100,55,5,32,1506,0,4,3,75,549,380,773,436,110,80,102,138,72,29,80,2836,1310,7469,25261,13029,6939,4326,11978,4814,568,521,573,684,401,186,2029,80081,12,35,212,408,414,477,903,594,161,139,166,153,168,56,80,3965,0,6,30,1832,4461,2338,2206,1778,515,509,637,718,399,66,507,15997,1127,2200,3354,3209,5157,6852,12140,7939,2709,2158,2506,2931,1231,245,1139,54900,4966,24480,42447,26631,30493,26921,73391,50611,12930,13497,15961,19276,8300,1664,7709,359273
SOS41,3,6,0,61,204,182,596,744,105,160,113,180,45,16,68,2491,16,8,26,29,100,35,25,15,3,0,3,0,0,0,7,270,0,7,11,26,15,16,23,25,3,6,4,0,5,0,0,164,0,10,39,77,67,135,513,224,56,44,74,81,48,12,27,1413,0,7,4,22,16,14,58,107,26,39,32,34,6,0,11,395,0,0,0,0,3,9,18,44,14,15,13,32,8,4,3,163,0,0,0,11,22,43,165,121,21,37,44,24,13,5,17,542,449,2399,8293,3719,1560,933,2129,830,89,90,58,77,41,14,793,21479,3,16,54,109,90,127,190,122,15,9,24,24,25,6,27,842,0,0,3,48,67,39,119,104,36,45,9,30,13,0,45,564,170,376,590,487,351,345,859,602,178,124,174,238,139,99,236,4972,1074,5072,10557,5712,3611,2726,6841,4498,923,1063,1062,1289,604,236,1745,46997
SOS42,0,0,0,7,23,25,46,64,25,17,15,21,4,3,4,252,4,0,8,4,12,10,6,0,0,0,0,0,0,0,0,45,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,6,6,12,10,14,43,26,3,4,7,25,6,0,3,165,0,0,0,7,0,0,5,0,3,4,0,0,0,0,0,19,0,0,0,0,0,0,4,16,0,0,0,6,0,0,0,30,0,0,0,0,3,9,6,11,4,0,0,9,0,0,3,54,53,377,1124,484,216,112,236,65,5,15,13,10,3,0,128,2837,0,3,8,13,11,8,27,0,0,0,0,0,0,0,0,80,0,0,0,4,3,0,0,9,4,0,5,0,0,0,0,25,20,67,94,61,34,15,54,41,11,10,9,39,61,17,26,558,115,733,1426,759,467,287,574,332,83,85,96,153,88,26,229,5448
SOS43,0,0,5,9,65,38,78,89,25,36,27,25,21,12,33,454,0,4,15,11,47,10,10,4,0,0,0,0,0,0,0,98,0,0,8,12,3,4,5,10,0,4,3,4,0,0,6,60,0,3,12,25,33,45,128,66,15,5,18,23,23,7,11,419,0,0,0,11,5,0,7,13,0,3,3,0,0,0,6,50,0,0,3,0,3,7,10,4,8,0,0,3,0,0,0,36,0,0,0,5,9,13,47,40,8,7,5,20,3,3,18,183,88,829,2841,1205,626,413,858,253,33,25,34,26,19,3,374,7632,0,3,33,55,62,47,58,31,0,6,13,6,9,0,11,335,0,0,0,39,166,90,58,27,9,4,5,7,15,0,19,442,40,163,249,190,198,194,254,127,22,36,40,67,19,14,97,1710,250,1898,3891,2047,1781,1258,2089,998,220,217,237,337,179,52,796,16248
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
