SOS_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
SOS27,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,0,0,0,0,3,6,13,..,..,..,..,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOS29,0,0,..,37,0,41,0,41,..,7,3,14,0,14,..,3,0,4,0,4,..,0,0,3,0,3,..,0,3,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,12,0,13,0,14,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,3,0,3,..,4,4,7,0,7,..,3,5,7,0,7,..,7,4,12,0,12,..,7,3,7,0,11,..,3,0,3,0,3,..,3,0,8,0,8,..,23,9,30,0,33,..,25,0,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,10,7,14,0,14,..,14,7,21,0,21,..,85,25,108,0,112,..,388,94,482,7,492,..,13,0,16,1371,1385,2041,406,94,496,1374,3915,4485,..,..,..,..,4485,..,10,0,10,0,10,..,60,4,66,0,66,..,0,0,0,0,0,..,15,7,22,0,22,..,69,44,111,0,108
SOS30,15,1775,..,39440,3466,42905,397,43308,..,6416,628,7038,72,7109,..,8486,1242,9727,56,9786,..,961,404,1360,14,1371,..,8180,2781,10957,85,11047,..,608,80,695,4,700,..,5428,298,5717,63,5786,..,3449,556,4012,34,4044,..,2550,245,2794,19,2814,..,6633,567,7198,95,7290,..,3593,441,4033,37,4069,..,7586,588,8172,87,8258,..,2168,333,2505,8,2518,..,6523,203,6721,56,6778,..,2741,216,2959,25,2987,..,9786,260,10048,59,10099,..,2420,86,2506,13,2521,..,21466,766,22231,154,22388,..,12496,1305,13797,123,13921,..,2985,210,3195,34,3231,..,4957,1024,5978,31,6008,..,1004,182,1186,11,1195,..,10691,4965,15657,104,15761,..,42859,8267,51122,955,52076,..,266494,43950,310450,3107,313556,..,7612,1229,8836,84495,93327,1441587,274110,45177,319282,87601,1848472,2829217,..,..,..,..,2829217,..,10537,146,10680,51,10735,..,12964,2077,15051,147,15194,..,4009,207,4212,61,4277,..,20791,5220,26010,199,26209,..,60674,17391,78061,716,78782
SOS31,0,90,..,2952,298,3252,40,3290,..,1123,182,1304,19,1325,..,455,71,527,12,534,..,93,22,113,0,113,..,352,152,502,4,505,..,14,0,14,0,14,..,567,44,609,8,613,..,103,13,117,4,120,..,230,18,244,0,244,..,288,68,353,10,361,..,300,35,331,0,337,..,228,27,249,3,250,..,93,4,103,0,101,..,1833,84,1919,13,1935,..,314,27,337,3,345,..,2305,85,2388,25,2417,..,529,53,583,4,585,..,4982,246,5226,51,5278,..,1012,82,1097,8,1106,..,253,30,281,3,285,..,899,207,1104,5,1114,..,72,18,92,0,92,..,528,310,841,9,849,..,8090,835,8928,222,9147,..,28635,3660,32293,466,32758,..,1638,158,1795,29572,31366,411251,30268,3819,34088,30035,475374,805912,..,..,..,..,805912,..,2876,52,2930,21,2950,..,628,104,735,10,748,..,6110,590,6701,195,6890,..,710,242,954,3,958,..,2474,1180,3651,45,3694
SOS32,0,14,..,139,16,153,0,153,..,144,22,161,0,164,..,55,3,62,0,61,..,7,6,10,0,10,..,17,12,28,0,28,..,8,0,8,0,8,..,14,0,11,0,11,..,6,0,6,0,6,..,21,5,20,0,20,..,41,4,50,0,47,..,27,7,29,0,33,..,8,0,8,0,8,..,14,3,14,0,14,..,127,0,126,0,126,..,26,0,27,0,27,..,146,5,156,0,155,..,29,6,36,0,36,..,331,15,348,0,350,..,85,5,85,3,88,..,5,0,5,0,5,..,95,18,113,0,113,..,9,0,4,0,4,..,40,9,48,0,43,..,3268,449,3718,135,3849,..,4964,617,5577,156,5737,..,228,40,266,5158,5425,58417,5194,647,5843,5321,69579,117414,..,..,..,..,117414,..,265,3,273,0,276,..,44,4,52,0,52,..,5335,870,6204,244,6453,..,28,5,36,0,38,..,141,30,172,9,175
SOS33,0,11,..,345,41,377,5,385,..,547,35,582,5,587,..,220,25,237,0,240,..,53,36,86,0,86,..,54,22,72,0,72,..,9,5,8,0,8,..,78,10,90,0,90,..,10,0,10,0,10,..,105,4,104,0,107,..,84,13,99,0,99,..,102,20,118,0,122,..,51,8,57,0,62,..,46,8,50,0,52,..,248,14,256,0,256,..,96,5,100,0,100,..,352,12,365,3,373,..,91,12,111,0,111,..,786,40,829,3,834,..,370,15,390,7,392,..,24,0,27,0,27,..,263,81,338,0,340,..,18,0,23,0,23,..,159,111,275,4,283,..,2399,263,2661,58,2721,..,8066,909,8967,110,9081,..,444,32,479,17240,17715,188673,8508,941,9444,17347,215473,388665,..,..,..,..,388665,..,1013,16,1032,0,1031,..,139,14,154,4,155,..,1696,99,1797,33,1834,..,185,26,209,4,213,..,631,192,830,13,836
SOS37,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,24,24,0,3,0,3,24,28,32,..,..,..,..,32,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOS39,0,0,..,21,6,27,0,27,..,31,0,31,0,31,..,8,0,8,0,8,..,0,0,0,0,0,..,6,4,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,14,0,14,0,14,..,7,0,7,0,7,..,4,3,4,0,4,..,0,0,0,0,0,..,7,0,6,0,6,..,8,3,13,0,13,..,6,0,6,0,6,..,10,0,10,0,8,..,33,0,34,0,37,..,82,0,82,0,82,..,0,0,0,0,0,..,8,3,14,0,14,..,0,0,0,0,0,..,12,3,20,0,20,..,125,20,143,4,145,..,548,78,623,7,630,..,27,0,29,1383,1411,4768,571,74,653,1392,6807,9972,..,..,..,..,9972,..,11,0,16,0,16,..,24,0,27,0,23,..,40,0,47,0,47,..,15,3,19,0,19,..,82,38,119,0,119
SOS40,13,844,..,24288,2816,27106,240,27347,..,9842,1830,11673,97,11767,..,1049,81,1137,8,1145,..,1458,824,2284,14,2300,..,1516,365,1877,9,1889,..,245,35,283,4,284,..,2146,127,2276,18,2295,..,1995,560,2561,17,2578,..,2280,344,2626,21,2646,..,1180,94,1276,14,1286,..,1570,275,1841,14,1856,..,85,6,84,0,92,..,1678,413,2094,10,2101,..,2169,58,2227,18,2242,..,822,71,894,3,895,..,3061,104,3168,16,3181,..,956,48,1006,12,1019,..,7014,277,7290,44,7339,..,3112,360,3469,25,3497,..,1396,80,1472,12,1482,..,1106,251,1352,5,1362,..,311,39,353,0,350,..,7419,3655,11079,56,11135,..,17026,4609,21633,386,22018,..,123226,24424,147650,1331,148981,..,2569,526,3101,19922,23020,462865,125797,24950,150748,21254,634871,909273,..,..,..,..,909273,..,1908,29,1945,13,1955,..,9043,1479,10523,89,10614,..,930,38,969,9,976,..,7886,1895,9783,71,9849,..,24307,6093,30400,274,30679
SOS41,0,25,..,919,101,1023,11,1036,..,619,71,689,11,695,..,130,3,141,3,141,..,47,25,69,0,69,..,59,9,65,0,65,..,17,5,17,0,17,..,67,9,77,0,75,..,50,4,55,0,55,..,124,17,142,4,142,..,65,15,76,0,76,..,83,10,92,0,92,..,4,0,4,0,4,..,46,6,53,0,53,..,490,16,504,9,507,..,82,9,88,0,92,..,529,24,555,4,554,..,235,31,269,4,271,..,1337,76,1416,12,1428,..,203,23,228,0,225,..,76,0,81,0,83,..,192,39,224,0,227,..,36,17,51,0,51,..,236,102,343,0,346,..,1721,385,2100,49,2152,..,8332,1293,9627,131,9756,..,520,36,560,8107,8666,153551,8853,1329,10180,8235,171968,299262,..,..,..,..,299262,..,634,12,646,3,651,..,275,22,299,6,304,..,730,28,762,22,783,..,185,41,228,4,232,..,772,343,1113,16,1132
SOS42,0,4,..,50,0,47,0,51,..,33,0,32,0,32,..,13,0,13,0,13,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,18,4,19,0,19,..,4,4,9,0,9,..,8,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,32,0,36,0,36,..,7,0,7,0,7,..,45,4,50,0,50,..,20,0,20,0,20,..,107,9,112,0,112,..,6,0,6,0,6,..,0,0,0,0,0,..,17,7,25,0,25,..,0,0,0,0,0,..,18,0,22,0,22,..,957,117,1077,44,1120,..,1447,159,1608,50,1660,..,82,16,94,1712,1801,22073,1526,177,1706,1757,25533,44201,..,..,..,..,44201,..,79,0,80,0,80,..,16,0,18,0,18,..,1556,220,1776,65,1840,..,10,3,10,3,13,..,70,16,81,3,85
SOS43,0,0,..,151,42,192,4,199,..,277,42,319,0,320,..,29,0,28,0,28,..,51,24,74,0,74,..,8,0,12,0,14,..,4,5,8,3,6,..,3,0,3,0,3,..,10,5,11,0,11,..,39,4,42,0,44,..,19,0,18,0,20,..,39,6,42,0,43,..,0,0,0,0,0,..,18,6,23,0,23,..,80,0,80,0,80,..,36,3,35,0,35,..,79,6,84,0,84,..,36,17,51,0,51,..,230,25,253,0,253,..,72,0,76,0,76,..,13,0,11,0,11,..,75,11,85,0,87,..,27,5,31,0,31,..,145,144,289,5,289,..,766,64,836,55,892,..,2899,502,3406,83,3490,..,110,8,120,4227,4349,61211,3012,511,3528,4313,69044,127949,..,..,..,..,127949,..,202,5,211,7,212,..,70,3,72,0,72,..,679,36,714,94,806,..,41,7,48,0,48,..,160,59,214,0,215
SOS47,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOS49,0,0,..,10,0,10,0,10,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,43,6,50,6,53,..,142,13,153,6,167,..,11,0,8,297,306,1034,155,11,167,301,1506,2261,..,..,..,..,2261,..,4,0,4,0,4,..,15,10,23,0,21,..,28,0,26,10,39,..,18,4,19,0,19,..,19,4,23,0,23
SOS50,6,1293,..,28212,2684,30898,317,31210,..,10591,1355,11947,97,12039,..,2880,446,3325,21,3341,..,603,262,867,6,871,..,2556,886,3440,23,3459,..,2469,420,2893,18,2914,..,4114,264,4371,44,4413,..,3082,549,3627,24,3656,..,2632,273,2906,19,2930,..,3650,429,4076,39,4116,..,1912,226,2141,11,2150,..,337,17,360,0,359,..,2345,406,2751,10,2760,..,5357,157,5515,41,5554,..,5940,616,6551,59,6616,..,7681,294,7975,41,8015,..,4055,304,4362,35,4395,..,23032,1371,24402,174,24573,..,5656,565,6218,64,6286,..,3822,319,4137,36,4174,..,3767,698,4464,21,4490,..,721,213,935,7,944,..,7795,3800,11596,78,11673,..,32257,5385,37649,662,38309,..,197322,30969,228297,2226,230519,..,5059,777,5843,40114,45954,760255,202383,31750,234135,42344,1036733,1504326,..,..,..,..,1504326,..,11170,164,11329,62,11398,..,13246,2047,15291,110,15400,..,1779,48,1828,26,1856,..,15231,3737,18964,151,19118,..,38350,10541,48891,479,49372
SOS51,0,55,..,1081,112,1193,12,1209,..,782,83,866,18,880,..,175,22,195,0,196,..,35,6,43,0,43,..,138,40,181,0,177,..,57,9,58,0,58,..,282,27,307,3,310,..,62,12,74,0,74,..,192,10,201,0,201,..,211,16,229,0,234,..,125,20,144,0,144,..,52,3,56,0,60,..,48,7,50,0,50,..,1052,37,1088,15,1093,..,388,26,416,7,428,..,1245,52,1294,11,1305,..,671,107,773,11,787,..,3361,217,3576,34,3614,..,418,18,435,9,440,..,123,3,133,0,133,..,714,131,841,5,851,..,21,3,22,0,22,..,311,134,449,3,448,..,3713,405,4118,80,4205,..,15599,1652,17254,219,17465,..,953,155,1110,15048,16156,159584,16560,1802,18358,15264,193209,315783,..,..,..,..,315783,..,2293,35,2324,12,2336,..,402,49,449,4,453,..,2337,87,2426,48,2473,..,354,95,449,4,456,..,1315,406,1720,16,1734
SOS52,0,0,..,48,4,52,0,52,..,59,4,65,0,66,..,7,0,10,0,10,..,6,0,11,0,11,..,15,0,16,0,16,..,0,0,0,0,0,..,33,0,39,0,39,..,4,0,4,0,4,..,8,5,12,0,12,..,18,0,18,0,18,..,16,0,17,0,17,..,4,0,4,0,4,..,4,0,4,0,3,..,111,3,117,6,118,..,27,0,25,0,25,..,114,4,121,5,122,..,40,0,40,0,40,..,285,5,295,4,299,..,42,0,46,0,46,..,4,0,3,0,3,..,57,8,69,0,74,..,0,0,0,0,0,..,31,10,38,0,38,..,2318,194,2508,65,2571,..,3343,288,3635,86,3718,..,125,18,142,2910,3050,22703,3464,310,3772,2995,29473,46044,..,..,..,..,46044,..,167,3,172,0,174,..,21,6,27,0,28,..,3967,350,4314,122,4439,..,15,3,20,0,22,..,103,43,147,5,149
SOS53,0,6,..,74,13,84,0,84,..,408,29,443,5,449,..,53,7,60,0,60,..,7,0,4,0,4,..,19,3,20,0,20,..,31,3,33,0,33,..,4,0,5,0,5,..,4,0,6,0,6,..,56,3,57,0,57,..,66,3,70,3,75,..,21,0,20,0,20,..,3,0,3,0,3,..,24,6,22,0,22,..,76,4,84,0,82,..,62,3,63,0,63,..,107,0,107,0,111,..,80,13,96,0,94,..,320,24,347,5,351,..,148,4,150,0,154,..,6,0,6,0,6,..,146,32,177,0,183,..,4,0,6,0,6,..,111,87,205,5,208,..,1833,119,1950,44,1996,..,4672,422,5094,77,5178,..,210,15,226,6410,6634,62474,4883,440,5316,6492,74281,132299,..,..,..,..,132299,..,783,15,799,3,799,..,83,10,96,0,97,..,2460,177,2642,56,2697,..,69,15,85,0,85,..,373,78,455,8,461
SOS57,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,19,25,29,7,0,7,19,58,232,..,..,..,..,232,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
SOS59,0,0,..,8,0,9,0,3,..,13,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,20,0,20,..,29,0,29,0,29,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,48,10,53,3,59,..,215,26,236,7,244,..,30,0,25,1247,1280,1896,241,28,263,1253,3416,4079,..,..,..,..,4079,..,23,0,23,0,23,..,15,4,21,0,21,..,21,3,23,0,24,..,8,0,8,0,8,..,19,8,29,0,29
SOS60,0,57,..,3845,358,4202,34,4239,..,270,23,286,0,291,..,174,14,184,0,187,..,30,0,30,0,30,..,179,44,218,0,218,..,6,0,6,0,6,..,182,12,193,0,194,..,96,19,119,5,119,..,203,28,227,0,229,..,168,9,175,0,175,..,93,5,103,3,99,..,3,0,3,0,3,..,43,3,54,0,50,..,181,4,184,4,188,..,129,8,138,0,137,..,236,12,247,0,244,..,81,0,84,0,84,..,631,22,653,4,659,..,431,36,470,0,468,..,124,4,128,0,128,..,174,21,195,3,201,..,27,3,32,0,32,..,493,68,559,6,563,..,1212,284,1493,55,1544,..,13352,1522,14873,163,15039,..,336,54,393,3981,4376,82189,13688,1578,15265,4149,101610,158519,..,..,..,..,158519,..,265,5,267,0,264,..,533,84,619,5,626,..,76,0,77,0,77,..,979,149,1127,8,1139,..,5401,701,6107,47,6158
SOS61,0,25,..,1803,348,2149,32,2182,..,114,10,123,3,128,..,74,10,79,0,79,..,11,0,14,0,14,..,82,12,90,0,90,..,0,0,9,0,9,..,103,7,117,0,117,..,78,29,108,0,109,..,70,0,73,0,73,..,45,0,44,0,44,..,49,3,54,0,54,..,11,0,11,0,11,..,11,0,14,0,15,..,160,0,167,5,170,..,60,5,63,0,62,..,235,4,239,4,242,..,96,0,100,0,100,..,552,11,560,6,571,..,210,17,221,7,226,..,63,3,63,0,63,..,145,24,172,0,172,..,8,0,8,0,8,..,167,39,205,0,205,..,1023,226,1243,41,1283,..,6202,915,7121,103,7226,..,314,38,351,5119,5468,101367,6516,957,7473,5222,114062,194814,..,..,..,..,194814,..,226,3,230,0,230,..,276,33,305,12,316,..,75,3,79,0,79,..,276,56,331,6,333,..,1405,207,1608,10,1619
SOS62,0,0,..,63,0,65,0,65,..,3,0,3,4,10,..,12,0,12,0,12,..,0,0,0,0,0,..,8,0,12,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,8,0,8,0,8,..,6,0,6,0,6,..,11,0,19,0,19,..,0,0,0,0,0,..,4,0,4,0,4,..,20,0,20,0,20,..,0,0,0,0,9,..,17,0,17,0,17,..,14,0,15,0,15,..,50,0,51,0,55,..,17,0,25,0,25,..,0,0,0,0,0,..,19,3,21,0,21,..,5,3,8,0,8,..,10,5,12,0,13,..,94,4,99,3,104,..,508,38,543,14,560,..,32,5,32,907,944,14070,543,38,578,918,15575,28183,..,..,..,..,28183,..,38,0,38,0,38,..,6,0,10,0,10,..,11,0,11,0,11,..,5,0,4,0,4,..,94,6,105,4,104
SOS63,0,9,..,140,11,147,0,149,..,41,0,44,0,44,..,56,0,59,6,57,..,0,0,0,0,0,..,25,8,31,0,31,..,0,0,0,0,0,..,4,0,4,0,4,..,3,4,7,0,7,..,40,0,39,0,39,..,22,0,26,0,26,..,42,4,44,0,44,..,0,0,0,0,5,..,4,0,4,0,4,..,35,0,36,0,41,..,25,0,25,0,25,..,46,0,44,0,44,..,28,5,34,0,37,..,135,8,146,0,149,..,93,5,97,4,102,..,11,0,8,0,8,..,41,16,52,0,52,..,0,0,0,0,0,..,36,5,47,0,46,..,372,27,400,8,404,..,1599,128,1727,24,1746,..,84,0,90,2982,3066,47127,1685,127,1812,3004,51943,97368,..,..,..,..,97368,..,113,3,116,0,116,..,19,3,17,0,17,..,25,0,25,0,25,..,47,9,52,0,52,..,210,38,244,0,244
