SOS_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS60,204,1367,3208,1875,1410,1490,1922,1075,425,12975,155,1428,4312,2479,1887,1948,1623,793,287,14914,64,1238,4968,3153,2564,2518,1548,615,166,16834,19,669,3308,2458,2182,1855,916,278,80,11764,8,271,2355,2263,2194,1757,670,232,75,9829,10,84,1515,1773,1822,1245,397,108,24,6972,3,53,1676,2967,3054,2034,526,147,48,10499,3,15,204,454,590,414,128,55,10,1875,12,28,269,798,1090,789,310,115,38,3457,560,673,1895,1297,1029,985,1053,1025,823,9336,10486,12423,34039,25323,23007,22706,20305,11961,4881,165131
SOS61,344,1638,2966,2140,2109,2203,2134,1298,400,15233,214,1916,3952,2692,2663,2644,1525,623,222,16455,82,1332,4303,3181,3163,3068,1373,389,114,16998,20,692,2824,2391,2354,1979,646,204,38,11146,13,303,2095,2038,2015,1683,506,198,64,8914,3,134,1216,1472,1612,1263,294,62,11,6067,0,92,1203,1991,2248,1636,379,81,29,7653,0,9,147,293,355,283,85,22,10,1212,19,25,187,461,626,484,219,106,29,2159,777,819,1658,1307,1373,1432,1669,1534,1003,11577,12036,12648,29031,24774,26444,28412,26785,16431,6236,182793
SOS62,48,159,286,277,303,385,414,180,35,2086,28,185,393,312,382,431,261,115,19,2130,16,144,426,433,441,514,263,86,9,2326,3,62,303,318,334,320,137,35,0,1511,0,31,221,277,305,281,94,33,8,1254,0,18,157,197,228,204,69,13,6,889,0,10,154,293,352,283,91,15,3,1195,0,0,22,55,66,43,24,3,0,214,0,3,24,57,85,91,39,13,5,310,117,96,211,186,253,342,388,302,170,2067,1429,1264,3096,3281,3990,5201,4914,2475,703,26369
SOS63,248,637,967,964,1154,1387,1135,437,62,6993,124,671,1188,1286,1400,1602,841,299,61,7461,57,541,1500,1454,1897,1896,839,210,30,8423,12,235,983,1193,1307,1282,471,94,3,5591,8,120,778,1069,1238,1161,372,79,23,4840,7,40,465,812,894,833,236,31,9,3330,0,28,511,1094,1409,1084,252,52,10,4441,0,11,63,200,242,192,84,26,5,823,6,16,78,291,422,364,174,59,5,1412,474,327,767,843,1020,1274,1138,522,159,6526,6019,4564,10269,12366,15552,18867,14821,5751,1169,89376
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
SOS69,0,10,17,15,15,10,3,0,0,65,3,5,22,13,15,6,4,0,0,65,0,3,11,15,9,6,8,0,0,56,0,4,7,0,9,7,4,0,0,35,0,0,8,0,5,3,0,0,0,16,0,0,0,3,7,0,0,0,0,15,0,0,6,3,9,10,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,16,18,34,24,32,52,64,4,0,247,95,119,228,198,203,199,163,31,3,1248
SOS70,212,745,1422,877,588,524,499,222,54,5148,209,969,2336,1383,987,793,605,206,32,7521,164,1211,3344,2123,1509,1143,584,160,22,10249,74,1034,2860,1952,1363,930,388,87,12,8702,26,477,2642,2055,1518,1042,331,80,14,8184,3,201,1776,1652,1314,850,258,41,5,6108,7,134,2208,3213,2824,1778,385,59,6,10614,0,11,271,603,570,419,118,13,0,2006,4,18,242,770,875,612,180,35,8,2744,635,998,2728,2052,1550,1066,687,308,133,10160,6547,8228,23991,19618,15409,12042,7784,3088,749,97454
SOS71,94,185,343,289,176,177,142,56,16,1475,101,286,663,427,309,254,153,54,21,2272,53,286,1055,620,503,451,172,29,3,3170,20,214,914,616,469,379,116,11,0,2741,8,132,835,647,494,390,104,4,0,2614,8,52,585,482,421,329,92,10,0,1970,0,42,667,866,772,621,149,9,0,3126,0,3,108,171,150,115,36,3,0,583,0,3,76,211,213,199,53,4,0,760,468,292,983,770,567,476,268,99,24,3942,3309,3051,9148,7503,5898,4924,2535,852,231,37454
SOS72,30,90,169,163,139,82,43,13,5,734,24,66,175,119,113,95,47,7,0,648,19,61,192,143,147,143,43,5,0,755,6,48,162,126,124,94,39,0,0,595,3,21,123,115,102,123,33,0,0,526,0,14,79,85,85,79,27,4,0,367,0,10,124,201,190,191,47,5,0,771,0,0,18,38,41,42,7,0,0,148,0,0,16,38,46,37,6,0,0,139,295,189,419,310,279,248,140,38,5,1924,1958,2039,4211,3334,2892,2248,1152,311,48,18192
SOS73,110,144,214,180,178,211,156,49,4,1244,97,232,336,210,274,247,149,44,11,1600,66,239,452,334,393,390,121,38,0,2029,18,167,379,348,369,262,98,14,0,1664,3,78,382,389,432,327,71,17,0,1704,8,33,261,281,358,237,53,6,0,1227,0,36,348,600,726,412,91,3,0,2220,0,6,57,106,134,90,22,9,0,427,3,3,58,119,182,92,39,6,0,507,407,490,988,928,884,711,409,145,18,4977,2273,2283,4862,4771,5154,4426,2704,856,123,27458
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,5,4,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,0,6,4,7,3,0,0,0,25,4,6,23,22,19,17,0,0,0,94
SOS79,0,9,38,25,16,25,16,3,0,136,0,19,46,23,28,15,5,0,0,130,0,9,47,24,20,21,14,0,0,127,0,7,27,20,8,14,5,0,0,84,0,5,27,8,10,11,0,0,0,62,0,0,18,17,13,7,6,0,0,54,0,0,22,29,19,10,0,0,0,88,0,0,3,9,3,0,0,0,0,12,0,0,4,11,0,7,0,0,0,26,24,50,147,89,108,130,70,9,0,625,95,183,661,573,591,579,318,49,7,3052
SOS80,825,3257,4350,2359,1772,2056,2814,1785,611,19824,738,3899,6601,3776,2727,2800,3148,1752,600,26049,345,4164,9448,5642,4040,3882,3417,1599,475,33002,142,3509,9703,5839,3955,3597,2710,1093,339,30887,54,1835,10202,7012,5151,3985,2349,902,237,31731,16,566,6981,6917,5175,3598,1620,502,140,25509,24,430,10602,16822,14094,7857,2248,638,167,52873,3,54,1260,3358,3187,1866,545,141,45,10461,14,61,1371,5565,6314,3863,1009,270,96,18560,1305,2133,4022,2874,2101,1668,1569,1283,1042,18000,26191,34073,77465,69135,55949,45186,35529,19303,7174,370000
SOS82,3,0,0,3,3,5,5,0,0,20,0,3,0,0,9,3,8,0,0,28,0,4,11,3,12,8,8,0,0,48,0,0,4,11,11,4,7,0,0,35,0,0,9,10,7,10,0,0,0,37,0,0,7,12,11,5,0,0,0,32,0,0,14,28,27,11,0,0,0,79,0,0,3,3,4,4,0,0,0,14,0,0,0,11,14,6,4,0,0,33,5,7,0,3,4,5,10,6,0,34,45,25,49,96,100,73,58,30,6,481
SOS83,3,6,3,0,3,4,0,0,0,20,3,15,12,7,0,4,5,0,3,49,6,18,31,8,0,9,10,0,0,86,4,11,12,5,6,10,0,0,0,44,0,3,14,4,14,4,0,3,0,40,0,0,6,6,6,0,0,0,0,17,0,0,7,10,12,10,0,0,0,30,0,0,0,0,3,3,6,0,0,10,0,0,0,8,5,6,4,0,0,20,9,18,20,6,17,14,7,0,0,89,51,75,115,61,75,72,52,9,5,519
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,4,4,3,8,4,0,0,0,29,0,7,5,3,6,6,4,4,0,33,0,7,16,3,0,4,0,0,0,41,0,4,8,0,4,3,0,0,0,19,0,8,7,0,0,4,0,0,0,15,0,0,3,3,5,4,0,0,0,13,0,0,6,6,10,0,0,0,0,24,0,0,0,4,0,4,0,0,0,7,0,0,4,0,0,3,0,0,0,11,7,7,17,27,26,20,10,5,0,121,58,82,108,104,77,78,34,10,4,560
SOS91,3,0,5,8,4,10,9,0,0,39,3,3,11,10,18,8,6,0,0,56,0,9,30,18,21,10,12,0,0,94,0,4,23,12,17,12,10,0,0,85,0,0,20,26,17,17,15,0,0,92,0,6,16,23,19,15,8,0,0,80,0,3,18,34,43,24,10,0,0,134,0,0,3,5,8,13,0,0,0,29,0,0,3,6,6,6,3,0,0,16,8,9,52,43,41,29,23,0,0,214,51,45,202,206,209,181,150,26,4,1074
SOS92,9,13,25,28,26,46,32,9,3,188,0,24,28,37,60,61,21,14,0,244,4,12,34,34,43,44,16,4,0,187,0,7,14,28,23,30,16,0,0,115,0,4,3,15,16,27,3,5,0,75,0,0,6,17,12,21,10,0,0,65,0,0,15,33,22,34,5,0,0,102,0,0,0,4,3,4,5,0,0,19,0,0,0,6,9,4,5,0,0,14,19,19,32,43,41,57,26,29,5,273,106,118,202,311,296,471,314,162,48,2017
SOS93,3,10,3,7,9,7,4,3,0,52,0,5,7,4,3,13,6,0,0,46,0,0,9,5,12,12,3,0,0,52,0,0,4,4,9,5,0,4,0,26,0,0,9,4,7,7,10,0,0,35,0,0,0,5,10,3,4,0,0,17,0,0,0,8,12,8,0,0,0,24,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,8,9,25,123,65,53,29,13,13,0,329,31,52,173,125,158,119,119,66,15,859
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,11
