SOS_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
SOS29,9,31,110,51,56,36,29,5,0,332,13,37,129,52,48,48,16,8,0,344,9,34,116,59,48,36,13,0,0,323,0,18,61,34,27,31,17,0,0,189,5,3,69,37,31,22,6,6,0,180,0,7,39,21,16,19,3,0,0,107,0,0,48,42,26,13,5,0,0,141,0,0,3,17,6,8,3,0,0,41,0,0,15,35,21,12,0,0,0,85,174,214,655,823,616,405,194,37,14,3132,459,671,1819,1736,1393,1074,613,152,29,7946
SOS30,7026,31137,43368,32996,28703,27181,25387,13797,3948,213542,4409,34256,63508,46202,42123,35015,21319,8914,2492,258249,1940,26426,72697,57790,51542,42075,19884,6420,1552,280322,654,14965,57161,47726,41914,30956,11860,3339,810,209385,271,7014,48380,45602,39600,27138,9155,2823,818,180800,122,2647,30576,36973,33413,21304,6063,1591,361,133040,93,2229,40523,67789,62409,35191,8239,2033,524,219028,44,348,6360,15022,14558,8149,2201,636,186,47505,122,477,6519,24251,29139,16654,5315,1856,552,84885,12734,17703,38687,31087,26653,21172,18781,16715,13738,197263,222896,246265,527278,506832,471471,398262,318021,178459,67791,2937275
SOS31,2302,6568,9988,8211,8337,8248,8007,4325,1136,57116,1546,7692,14057,10948,10792,9899,5802,2319,633,63680,721,5479,14314,12344,12420,11303,5001,1559,305,63441,252,3238,10145,9662,9173,7788,2743,688,162,43838,142,1825,8666,8818,8708,6725,2044,722,237,37894,58,985,5977,6988,7068,5123,1241,278,71,27792,52,1246,9014,12164,12390,8463,1695,333,75,45431,13,126,1643,2838,2820,1898,415,107,36,9888,42,125,1375,3015,3393,2420,820,332,102,11618,4859,5209,12260,10503,10204,9280,8161,7100,4456,72029,55482,50485,115851,111813,114752,118238,105974,61295,21899,755788
SOS32,288,700,1205,1168,1397,1588,1353,601,111,8417,178,801,1520,1429,1599,1843,957,346,70,8736,107,615,1594,1613,1896,2045,872,239,38,9016,39,330,1158,1212,1455,1354,477,106,19,6140,14,223,855,1089,1287,1089,365,120,20,5068,10,98,645,805,945,799,205,43,6,3551,3,122,802,1351,1636,1152,285,66,8,5423,0,11,162,308,305,268,62,18,0,1138,8,20,140,357,411,361,154,46,19,1511,1000,793,1877,1761,1896,2079,1799,1207,398,12806,7551,6285,14159,15279,18350,22201,19263,9429,2259,114777
SOS33,1232,2430,3350,3569,4546,5151,3973,1737,265,26257,774,2797,4414,4510,5938,6172,3380,1059,183,29223,419,2265,4966,5279,6795,6844,3133,898,134,30735,122,1184,3525,4066,5093,4638,1802,427,48,20895,57,619,2941,3980,5073,4213,1422,380,79,18766,27,323,1928,2963,3897,2967,909,201,47,13262,22,334,2631,5313,6494,4558,1185,271,33,20833,3,32,525,1274,1627,1110,343,125,17,5054,17,52,496,1777,2813,2031,816,295,34,8336,2992,2762,6377,6556,7841,7681,5836,3103,761,43919,27016,19762,41750,51750,67583,74122,58073,25367,5145,370559
SOS37,0,5,3,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,52,36,8,0,0,0,136,0,16,49,64,45,5,3,0,0,183
SOS39,12,79,182,98,85,130,143,27,5,765,12,103,303,112,106,131,103,12,0,886,9,47,230,115,95,119,70,12,0,690,0,17,126,90,66,93,28,0,0,421,0,16,105,75,46,70,26,6,0,351,0,3,52,48,42,46,17,0,0,217,0,12,75,94,58,63,13,0,0,310,0,3,14,19,16,12,0,0,0,64,0,0,21,36,29,29,3,6,0,121,113,243,661,545,470,410,298,70,13,2817,566,934,2649,2077,1929,2468,2124,444,44,13234
SOS40,1421,9268,14845,11791,10144,10163,10298,5797,2221,75940,826,9832,21698,16527,14494,13011,8447,3947,1493,90271,426,8075,26674,21031,18254,16005,8001,2901,813,102171,124,4204,19960,16859,14456,11552,4820,1473,399,73850,75,1819,15658,15053,12880,9817,3574,1154,423,60455,26,696,9264,11862,10386,7392,2247,668,195,42751,26,476,11057,19203,18023,11862,3167,890,243,64936,15,89,1536,3724,3756,2471,791,268,90,12730,37,182,1581,5614,7175,5224,1994,725,257,22795,2984,3913,8724,7363,6567,5938,5601,5312,4575,50970,69374,83229,178542,167621,155078,148698,124690,73023,33293,1033551
SOS41,603,2217,3542,2967,3148,3361,3710,2335,722,22605,355,2591,4867,4038,4139,4071,2632,1315,397,24407,190,1927,5293,4550,4967,4627,2365,796,217,24932,47,1024,3759,3402,3676,3188,1402,371,108,16984,25,461,3056,3029,3231,2666,955,396,117,13927,10,232,1975,2330,2506,1967,553,129,30,9728,8,203,2271,3696,4196,2784,740,193,43,14136,8,30,326,692,783,530,173,68,17,2623,14,46,351,847,1149,909,366,156,67,3904,1284,1135,2755,2532,2625,2600,2618,2551,1634,19739,18465,17089,38345,37268,41370,44540,43474,27229,10681,278457
