SOS_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SOS50,44,482,804,2113,1136,1011,881,331,86,6889,78,994,2637,5931,3905,2688,1438,549,120,18343,21,252,483,1847,774,430,379,189,49,4433,20,65,58,794,96,39,49,11,0,1144,37,478,627,768,160,62,47,8,3,2200,7,36,44,302,146,118,51,27,6,736,116,464,542,1200,574,618,477,202,44,4229,46,321,518,2095,1629,1462,835,241,99,7245,9,90,205,695,538,540,471,306,87,2939,4,157,617,1693,1115,887,406,133,34,5046,235,2410,3635,14006,5474,4663,3465,2061,590,36550,2049,4506,5053,17532,7384,5785,3883,2766,1617,50572,64683,134500,125463,292188,130284,111637,86701,46197,15377,1007026,10,146,370,1185,304,167,83,35,0,2305,57397,105712,84012,153556,67890,57105,47418,25016,11432,609524,5,120,102,774,132,64,54,11,0,1265,0,8,24,521,254,387,208,70,28,1505,16,94,110,1809,238,108,53,24,4,2461,7,37,47,362,156,118,74,14,10,829,35,162,234,1225,488,411,223,79,33,2896
SOS51,4,14,20,55,41,33,28,12,3,214,12,175,311,729,556,340,160,75,26,2390,3,26,11,118,46,22,10,4,0,241,3,4,7,124,0,0,3,0,0,143,4,86,108,76,16,9,4,0,0,299,0,0,0,14,5,5,0,3,0,34,7,37,31,121,78,88,86,38,5,492,0,22,19,115,46,28,16,5,0,254,0,4,14,61,48,78,66,41,8,317,0,34,77,248,200,158,87,18,3,823,25,149,182,1015,437,386,314,213,60,2780,954,2267,1889,5452,2655,2336,1474,827,345,18200,12798,27985,21461,50261,24926,23384,18206,9393,2912,191322,0,8,16,53,14,4,0,0,0,86,10914,22573,15989,34820,16932,15354,12606,6433,2832,138450,0,0,6,30,7,5,0,0,0,52,0,0,0,10,3,3,4,0,0,29,0,8,11,103,22,7,4,0,0,157,0,4,4,35,3,0,0,0,0,58,6,16,28,204,64,66,35,6,3,430
SOS52,0,0,0,0,11,0,5,0,0,15,6,17,13,48,45,37,20,8,4,197,0,0,0,10,4,0,0,4,0,16,0,0,0,19,0,0,0,0,0,19,4,3,6,10,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,10,10,5,0,49,0,3,4,5,3,0,0,0,0,18,0,0,0,7,13,12,13,6,3,47,0,0,4,19,11,12,9,6,0,57,0,9,14,118,36,45,59,38,4,333,168,365,311,853,551,582,424,245,69,3564,1882,3932,3061,6677,3862,4401,3853,1868,498,30040,0,0,0,0,0,0,0,0,0,0,1566,3220,2480,5063,2598,2774,2317,1163,418,21601,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,0,0,0,0,10,0,0,0,9,0,0,0,0,0,10,0,0,0,17,3,9,12,0,0,45
SOS53,0,9,11,19,27,18,19,8,0,96,6,45,92,268,209,165,92,31,6,914,0,0,4,24,5,5,7,0,0,53,0,0,0,25,0,5,0,0,0,31,0,15,11,12,3,0,0,0,0,44,0,0,0,9,4,4,0,0,0,13,5,12,23,46,30,68,57,22,6,264,0,8,11,79,64,47,22,4,0,236,0,0,6,17,24,42,37,13,0,143,0,6,14,80,69,75,49,12,0,302,0,19,76,521,205,296,235,111,20,1479,241,798,1148,3676,1988,1766,1145,490,95,11338,3737,10087,9381,21551,13733,14468,11045,4509,841,89366,0,0,0,9,0,0,0,0,0,9,3230,8246,6008,11519,7886,7947,5587,2082,475,52983,0,0,0,4,0,6,0,0,0,5,0,0,0,9,0,0,0,3,0,19,0,0,0,23,6,0,3,0,0,32,0,0,0,3,0,0,0,0,0,6,0,8,12,68,34,46,26,3,0,194
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,14,0,0,14,110,46,25,4,0,0,197,0,0,30,262,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,3,0,3,0,14,8,4,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,4,0,0,21,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,0,3,6,0,0,0,0,6,3,0,10,49,9,15,7,3,0,102,31,31,87,456,250,169,93,35,9,1156,149,244,414,1753,842,667,444,118,14,4639,5,0,0,0,0,0,0,0,0,13,119,194,247,755,298,267,167,20,4,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,13
SOS60,0,11,25,43,17,13,6,0,0,130,0,27,48,146,84,48,41,35,5,434,5,14,22,325,29,10,11,8,0,422,4,9,8,130,5,7,0,0,0,162,0,29,33,60,11,4,5,0,0,135,0,0,0,10,7,0,0,0,0,28,13,32,32,112,61,68,59,24,7,412,0,27,64,292,22,14,8,6,0,432,0,4,0,12,14,23,20,23,6,104,0,6,14,24,20,10,8,0,3,92,18,133,151,797,243,224,183,133,64,1949,176,432,445,1199,481,488,460,357,150,4174,5261,11367,11613,29465,11047,10655,9363,5279,1795,95846,0,0,7,20,9,0,5,0,0,58,4654,9483,9165,18643,9555,9538,8325,4772,2115,76244,0,8,16,135,3,0,0,0,0,170,0,0,0,8,5,7,8,0,3,26,0,3,0,154,4,0,0,0,0,170,0,0,0,24,4,0,0,0,0,32,0,7,12,78,46,29,28,8,0,215
SOS61,0,8,11,37,11,11,7,3,0,85,0,4,31,95,59,45,28,19,8,292,4,18,19,158,31,6,4,0,0,249,0,5,0,78,4,0,0,0,0,87,0,13,10,26,4,0,0,0,0,60,0,0,0,6,4,0,6,0,0,10,3,22,23,66,48,35,41,21,7,266,0,19,16,81,10,4,3,0,0,138,0,0,0,10,15,15,19,30,13,98,0,0,5,18,8,10,6,5,0,60,16,86,96,519,212,168,198,160,58,1517,241,548,655,1436,719,793,842,613,246,6086,5887,13209,12554,26236,12457,13438,12536,7423,2359,106104,0,6,16,47,15,9,4,0,0,88,5342,11528,10624,21533,11746,12271,11078,6511,2934,93568,0,4,8,39,3,3,0,0,0,52,0,0,0,4,5,0,0,0,0,12,0,4,0,37,4,3,6,0,0,46,0,0,0,6,3,0,0,0,0,12,0,6,11,64,33,30,20,15,3,185
SOS62,0,0,0,0,4,4,0,0,0,8,0,5,8,13,14,12,13,4,0,68,0,3,0,7,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,6,0,4,0,13,8,4,13,6,0,58,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,4,6,3,0,20,0,0,0,3,0,4,0,0,0,13,0,0,8,47,24,40,29,25,3,174,38,94,101,193,156,191,224,139,50,1175,735,1723,1432,3133,1964,2529,2535,1266,303,15622,0,0,0,0,0,0,0,0,0,0,627,1580,1146,2644,1631,2080,1734,819,279,12533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,11,0,0,35
SOS63,0,5,0,4,9,4,5,0,0,24,0,10,13,46,47,45,45,5,0,210,3,0,8,19,0,3,3,0,0,43,0,0,0,16,0,0,0,0,0,19,5,11,3,4,0,3,0,0,0,17,0,0,0,3,0,5,0,0,0,10,0,12,15,53,33,51,52,30,4,244,0,0,0,12,0,0,0,0,0,14,0,0,0,12,12,17,19,5,0,71,0,0,0,3,17,8,12,0,0,42,6,12,25,162,70,101,118,78,14,588,128,359,303,845,614,794,705,294,75,4117,2610,6649,5613,11184,7739,9634,8133,3249,600,55419,0,0,0,0,0,0,0,0,0,4,2296,5791,4481,9292,6283,7024,4824,1677,393,42059,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,41,21,30,22,4,0,127
