SOS_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,66642,133759,335398,315456,272208,185314,44746,4363,357,1358243,83665,41819,87257,90621,85001,130379,201950,136819,61597,919108,6469,9467,25279,20314,14857,12596,11912,12269,13668,126828,156776,185044,447933,426387,372072,328291,258614,153451,75619,2404189,16253,101804,412132,414841,352255,218533,41566,2985,165,1560533,68803,102427,160014,159043,135798,115422,46558,7573,579,796217,26333,38945,65609,51573,40235,36839,12064,1539,155,273285,1805,5566,14165,10070,6633,4449,1395,441,138,44661,113196,248737,651915,635529,534916,375240,101583,12535,1043,2674698,3984,11148,21587,17007,14965,11177,1547,78,15,81511,13921,11994,11534,7991,6624,6945,2146,225,24,61406,17902,23145,33124,24995,21587,18128,3699,309,35,142917,131100,271882,685036,660525,556502,393370,105277,12841,1081,2817615,178650,87634,148536,141798,140916,220155,363738,249742,101010,1632178,13647,20546,52543,42225,31350,26558,23022,21745,20475,252112,323396,380065,886113,844555,728772,640078,492032,284326,122562,4701906
SOS11,25208,30686,72568,70615,72449,60854,15209,1495,131,349219,15493,7570,18014,15948,17786,39731,81734,58817,26436,281533,2684,2729,6275,5600,5005,5037,5434,5763,4615,43141,43386,40991,96855,92164,95246,105625,102377,66075,31185,673895,10961,31973,87471,85288,88523,65292,12448,995,77,383037,28970,21660,41677,42099,40219,43015,18204,2761,201,238811,3486,3196,9292,6295,5658,7012,2485,328,49,37794,1014,1451,2988,2160,1861,1577,594,292,101,12042,44433,58283,141430,135847,136267,116899,33727,4367,425,671681,2051,2959,4218,3285,3411,2874,385,13,5,19197,3812,2029,2399,1882,1869,2249,707,66,22,15032,5863,4990,6617,5166,5276,5120,1087,80,27,34225,50298,63271,148049,141013,141536,122022,34810,4447,450,705907,33271,13903,28444,26519,31873,68876,151236,108038,42522,504679,5642,5786,12724,11341,10615,10371,10688,10003,7012,84187,89210,82964,189220,178869,184025,201269,196736,122487,49987,1294773
SOS12,2184,2225,5182,6227,7468,6721,1667,168,20,31878,1575,587,1445,1338,1868,4510,8205,4420,1474,25421,291,229,562,569,582,670,694,488,279,4366,4052,3043,7190,8140,9922,11906,10562,5084,1773,61664,984,2430,6078,7369,8910,7031,1423,145,13,34384,2494,1679,3206,3838,4470,5063,2033,306,25,23125,366,289,685,608,666,925,311,37,5,3889,110,120,249,226,241,210,94,24,11,1277,3955,4511,10222,12044,14285,13237,3861,508,48,62678,159,237,322,240,321,381,43,6,0,1703,269,118,164,160,168,285,83,6,0,1254,427,352,483,407,491,670,127,8,0,2956,4378,4867,10703,12446,14773,13905,3990,518,51,65633,3339,1037,2171,2158,3259,8105,16163,8972,2572,47782,609,474,1143,1147,1270,1454,1466,971,456,8997,8333,6375,14020,15750,19306,23458,21622,10458,3080,122413
SOS13,9196,8945,18130,24048,32327,28398,9347,1756,184,132337,6840,1988,4725,4986,6496,14805,23676,12153,3453,79115,1213,947,1984,2514,3065,3379,2739,1585,578,18000,17250,11874,24836,31539,41886,46587,35755,15494,4215,229449,5386,10809,22495,29509,41454,34148,11175,2233,214,157425,10126,6045,10486,14291,18109,20699,10174,2362,319,92599,1660,1367,2784,2473,2895,3452,1393,283,51,16360,609,500,904,968,1161,1070,542,374,79,6212,17786,18723,36665,47243,63617,59369,23286,5252,658,272591,432,634,914,772,1031,1061,150,4,0,5007,1037,405,515,494,551,819,247,24,5,4096,1470,1039,1427,1268,1587,1883,397,31,5,9103,19250,19758,38097,48511,65208,61248,23679,5282,662,281693,14520,4061,8200,8520,11626,26768,47605,25349,6488,153135,2652,2123,4192,5110,6334,7298,5998,3342,1071,38114,36426,25946,50478,62140,83164,95316,77284,33967,8221,472950
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,95,154,428,259,226,183,41,0,0,1382,105,130,265,203,242,371,298,88,19,1722,87,134,331,282,204,147,61,21,7,1273,279,418,1022,749,666,698,404,104,32,4381,31,112,408,278,214,148,25,4,0,1229,66,97,287,141,133,136,50,0,0,910,17,24,91,51,49,39,5,0,0,284,6,10,23,15,18,9,6,5,0,87,123,245,809,492,412,338,86,6,0,2511,22,50,98,111,85,47,8,0,0,419,26,41,48,35,32,36,7,0,0,224,46,86,148,147,116,80,18,4,0,647,169,336,963,640,530,423,103,8,0,3161,186,224,484,446,514,772,759,216,33,3630,175,266,745,770,637,460,190,58,18,3319,532,829,2187,1859,1678,1648,1055,277,49,10112
SOS20,67381,126461,317009,287793,247957,164966,38782,3545,268,1254160,62542,30287,66613,70039,64093,101115,171025,120353,57081,743155,5100,7699,20982,16229,12223,9818,9572,8855,7895,98372,135024,164449,404599,374061,324269,275902,219376,132756,65245,2095680,12840,93953,410917,389332,328912,202951,37166,2528,137,1478734,80174,119854,168681,160275,136190,112492,45501,6948,447,830566,11574,15505,32105,23971,15129,15628,5898,882,105,120800,1564,5104,12661,8757,5876,3723,1241,427,149,39491,106152,234410,624358,582336,486105,334795,89813,10781,837,2469590,3073,10188,19758,14334,12706,8929,1206,67,14,70272,20516,13088,11130,8233,6714,6314,1835,202,22,68061,23587,23278,30886,22564,19421,15246,3045,270,41,138333,129737,257687,655245,604904,505526,350037,92856,11054,874,2607921,136395,61928,103103,100755,99843,162782,300692,215942,92705,1274146,10583,16658,44139,33658,25648,20260,18033,15827,12063,196865,276713,336276,802484,739313,631012,533084,411584,242825,105646,4078935
SOS21,15010,18863,47735,47375,47297,38599,9323,819,91,225109,9982,4202,12462,11577,11737,24005,49932,33234,15103,172239,1453,1417,3770,3552,3146,3073,3511,3352,2550,25834,26444,24480,63972,62512,62187,65674,62767,37403,17740,423180,5441,19664,59748,57433,57862,41377,7717,572,51,249860,17848,13957,26628,29463,27427,27837,11411,1554,105,156233,2430,2007,6035,4280,3534,4879,1736,234,34,25172,639,949,2056,1624,1423,1028,436,175,61,8401,26359,36573,94473,92798,90250,75121,21300,2533,246,439658,944,1711,2658,2011,2040,1679,234,11,3,11306,2761,1181,1546,1298,1122,1324,363,45,12,9641,3708,2893,4209,3311,3161,3001,595,54,12,20948,30065,39471,98685,96104,93413,78128,21896,2591,263,460605,21763,7872,18161,17316,19516,40121,90902,61238,24244,301128,3038,3066,7543,7115,6538,6261,6838,5936,3961,50301,54868,50407,124388,120541,119458,124510,119641,69758,28468,812034
SOS22,1262,1351,3504,3993,4783,4477,1106,107,5,20598,936,291,854,934,1083,2812,5166,2916,1157,16148,170,145,289,377,381,493,400,327,250,2826,2365,1790,4639,5302,6247,7792,6668,3349,1415,39569,530,1488,4187,4614,5633,4579,965,100,3,22103,1389,1010,2119,2672,2957,3582,1438,183,13,15363,245,168,529,439,408,628,242,32,5,2694,87,83,191,169,179,143,69,25,3,948,2253,2753,7025,7891,9181,8938,2720,335,24,41112,61,103,177,133,217,233,38,0,0,963,133,64,94,87,112,160,44,5,0,702,199,169,274,219,328,390,82,5,0,1664,2447,2918,7297,8116,9506,9329,2804,336,26,42782,2004,545,1222,1443,1892,5031,10272,5810,1945,30170,335,316,617,731,845,1031,949,629,398,5846,4788,3776,9144,10289,12240,15387,14017,6783,2369,78795
SOS23,6819,6818,14028,18025,24569,22478,7347,1305,129,101508,4895,1298,2943,3598,4607,10575,18112,8809,2464,57304,903,647,1422,1803,2207,2451,2036,1208,438,13123,12624,8759,18401,23422,31378,35508,27492,11317,3033,171931,3356,8170,17725,22409,31094,26615,8427,1696,157,119657,7859,4989,7860,11379,14515,16806,8441,1857,237,73932,1219,742,1904,1578,2073,2868,1135,209,38,11764,491,430,765,760,1041,912,595,321,70,5376,12922,14329,28255,36121,48723,47196,18600,4083,499,210724,247,428,588,467,702,741,94,4,4,3267,874,299,303,272,403,614,173,23,0,2963,1120,729,886,738,1109,1349,266,29,0,6227,14043,15048,29141,36857,49824,48548,18867,4113,507,216956,10452,2710,5589,6343,8330,18765,36292,18653,4634,111759,1875,1437,2931,3648,4614,5173,4543,2523,822,27568,26374,19202,37655,46846,62773,72485,59700,25286,5963,356286
