SOS_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOS50,35,45,32,110,88,99,190,298,1196,18,1512,18,92,8,124,40,34,71,194,301,0,494,20,217,26,253,99,98,197,457,617,5,1078,42,395,38,473,176,179,350,820,1094,14,1930,76,674,53,810,172,259,431,1239,2052,22,3315,214,1700,166,2079,277,423,703,2779,2985,16,5786,561,2386,203,3148,207,271,483,3632,2738,13,6375,1435,2642,217,4298,138,191,340,4633,3347,29,8004,2610,2790,209,5608,143,140,281,5885,2938,22,8848,2952,2253,204,5401,130,100,229,5635,2156,19,7802,2890,1426,188,4501,90,65,149,4649,1493,16,6157,2774,1033,155,3962,53,45,97,4057,1124,11,5193,5189,1609,283,7082,77,48,128,7209,1588,16,8816,2156,665,137,2962,39,42,86,3049,829,3,3881,1823,415,110,2350,27,18,45,2396,340,7,2740,680,149,38,868,7,4,17,882,199,0,1079,2192,413,94,2703,36,17,51,2754,447,10,3208,2413,1303,316,4045,136,97,236,4276,1909,131,6317,88,57
SOS51,9,11,3,19,16,12,27,43,176,10,225,3,22,0,24,6,4,14,31,56,0,87,5,45,7,55,27,24,59,115,147,0,261,4,90,3,99,40,36,83,181,277,9,473,16,165,18,202,48,48,93,293,533,7,830,49,386,47,481,51,97,140,623,707,9,1337,156,617,55,833,35,40,77,907,597,5,1516,339,558,44,941,35,29,62,1002,681,10,1691,570,576,60,1206,24,16,45,1250,566,9,1818,591,381,38,1011,18,23,42,1052,379,0,1435,546,252,37,837,0,9,9,846,208,0,1058,513,144,37,694,9,7,12,708,153,0,862,877,191,66,1134,9,6,16,1150,228,5,1385,293,96,27,423,0,3,7,430,100,4,533,287,54,26,360,4,0,4,373,40,0,411,116,14,6,135,6,0,4,140,18,0,152,221,38,20,281,4,0,3,283,58,0,341,511,270,72,853,27,17,42,894,409,33,1333,19,13
SOS52,0,0,0,0,0,4,4,5,26,0,31,0,3,0,7,0,0,0,6,31,0,33,4,10,0,14,8,5,11,25,109,0,134,0,15,0,19,7,9,16,36,106,3,147,4,28,4,35,8,12,14,46,119,3,170,12,68,5,90,13,15,26,116,140,0,254,20,72,6,96,9,9,23,114,154,5,274,49,71,6,131,3,4,9,134,169,0,312,61,54,10,127,3,5,8,130,117,0,257,60,33,7,102,4,4,8,111,72,0,179,48,13,5,69,7,3,3,77,36,0,112,37,16,6,62,5,0,4,68,29,0,93,77,25,6,108,0,0,0,110,20,0,128,31,8,5,46,0,0,0,46,23,0,64,16,5,5,29,0,0,0,29,4,0,29,14,0,0,15,0,0,0,15,5,0,18,24,3,6,32,0,0,0,32,12,0,46,66,53,9,124,3,0,7,133,115,8,264,0,0
SOS53,4,6,0,11,0,0,3,13,41,0,53,0,0,0,3,0,0,0,4,19,0,23,6,15,0,23,0,4,3,27,50,0,83,6,22,3,36,5,8,15,49,82,0,129,12,45,3,59,11,6,21,85,147,0,227,20,66,11,93,13,10,23,117,131,0,255,34,95,9,134,5,4,12,148,124,3,275,66,105,7,183,5,3,10,191,171,3,358,92,98,4,204,7,6,8,213,134,4,347,106,73,8,196,5,0,3,199,107,0,304,107,52,9,163,4,3,8,169,50,0,220,89,40,13,140,3,0,3,143,52,3,200,149,59,16,216,3,4,10,225,68,3,292,82,31,7,116,0,0,3,117,36,0,153,58,14,4,77,0,0,0,77,13,0,89,26,8,7,43,0,0,0,43,9,0,58,70,17,7,94,0,0,3,95,16,0,111,156,103,15,273,3,12,12,288,144,10,444,7,7
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,0,4,4,4,15,8,22,27,87,3,114,0,11,0,11,0,5,4,16,30,0,44,4,22,5,28,17,4,15,43,75,4,118,0,44,3,48,20,19,41,92,118,3,209,9,77,11,94,28,30,59,151,303,6,458,24,233,20,281,33,53,88,370,452,0,818,76,318,31,416,23,38,61,474,398,3,872,149,316,25,491,19,21,43,533,535,6,1072,326,383,43,758,15,15,28,782,392,5,1179,330,295,30,658,16,3,16,672,283,4,969,326,167,31,525,14,7,14,534,157,3,697,304,125,27,454,3,4,9,460,131,3,597,519,154,27,704,7,6,13,712,187,0,899,180,71,12,266,3,4,5,269,64,0,334,132,37,4,177,0,0,0,182,25,0,209,45,9,8,58,0,0,0,58,15,0,71,143,38,7,192,0,0,0,192,38,6,235,302,156,26,488,7,15,22,504,179,15,705,7,0
SOS61,6,0,5,12,7,7,11,21,89,4,118,0,8,4,11,3,4,12,22,33,0,56,3,22,4,29,8,12,27,52,82,0,133,5,53,12,69,27,26,54,123,203,0,321,11,108,19,135,36,48,78,215,426,5,645,26,293,43,365,58,81,138,503,630,3,1134,98,471,39,612,38,59,99,709,597,3,1316,249,488,36,775,26,31,52,828,740,14,1577,374,434,47,848,16,25,41,892,534,7,1432,456,307,33,801,7,15,16,819,356,3,1180,363,184,17,566,6,11,20,581,193,3,777,270,121,25,411,9,5,12,427,142,6,569,421,163,34,612,5,4,11,621,164,0,786,156,60,16,229,0,6,6,234,46,0,278,93,30,4,126,0,0,0,126,17,0,141,29,9,0,36,0,0,0,36,6,0,41,65,19,4,85,3,0,3,88,40,3,127,295,196,36,527,20,14,28,557,252,23,828,7,10
SOS62,0,0,5,4,0,0,0,4,6,0,9,0,0,0,0,0,0,0,0,7,0,8,0,7,0,7,0,0,0,8,8,0,15,0,16,0,16,0,5,4,14,20,0,38,0,13,4,16,0,10,7,28,34,0,60,3,26,3,36,6,10,12,53,73,0,123,10,58,9,81,4,3,10,83,47,3,134,22,55,5,81,3,7,9,90,60,0,147,40,35,8,78,0,3,6,80,67,0,152,35,34,7,73,0,0,0,73,28,0,106,25,18,0,45,0,0,0,47,22,0,71,19,14,6,35,0,0,0,36,11,0,56,40,19,5,66,0,0,0,66,19,0,88,12,6,0,28,0,0,0,28,9,0,35,16,0,0,19,0,0,0,19,3,0,24,0,0,0,5,0,0,0,5,0,0,5,9,0,0,9,0,0,0,8,0,0,10,43,21,7,74,3,4,7,80,42,0,121,0,0
SOS63,5,0,0,7,4,0,4,12,31,0,45,0,4,0,10,0,0,0,6,4,0,16,0,9,0,12,4,3,11,20,35,0,54,4,19,0,21,7,4,13,40,50,0,87,7,38,11,52,3,5,11,65,94,0,155,16,89,15,113,11,6,20,137,149,0,289,32,119,10,159,3,14,17,176,117,3,297,84,104,11,197,8,9,12,212,192,5,406,115,137,18,266,5,0,6,277,158,0,434,110,93,15,213,4,3,7,222,114,4,336,98,42,11,150,0,0,0,150,59,0,206,73,30,6,103,0,0,0,108,48,0,155,137,47,7,192,3,0,3,192,49,0,244,63,18,0,81,0,0,0,82,19,0,109,43,0,5,48,0,0,0,48,8,0,60,15,4,0,27,0,0,0,27,10,0,31,33,18,3,46,0,0,0,46,7,0,56,135,77,15,223,4,4,7,232,104,12,345,3,3
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,5,0,3,3,3,6,9,19,58,0,72,0,0,0,5,0,0,3,10,18,0,24,0,14,0,16,3,3,9,21,42,5,67,5,21,0,25,8,14,23,50,91,4,142,4,30,3,39,14,6,18,55,113,15,191,10,83,8,102,16,18,30,129,160,7,294,39,106,11,147,6,18,25,176,149,5,329,93,82,10,181,8,8,17,197,139,9,346,194,111,12,318,6,4,13,330,115,3,448,229,83,14,322,3,0,7,333,119,0,450,278,57,15,350,4,3,7,356,66,3,426,234,53,10,298,3,0,6,303,53,0,355,455,74,27,557,9,6,8,563,90,3,651,193,11,9,216,0,0,0,215,52,0,271,140,20,6,166,0,0,0,163,23,0,187,64,7,3,75,0,0,0,75,8,0,87,164,15,12,192,0,0,0,192,35,0,232,176,50,20,243,12,4,14,264,116,12,392,11,3
SOS71,0,0,0,0,0,0,0,4,22,0,25,3,9,0,9,0,0,4,19,62,3,83,4,9,0,17,18,11,33,48,165,0,219,4,7,0,15,6,4,12,30,103,0,132,14,13,5,29,8,4,18,50,133,4,187,15,17,6,45,4,6,13,53,102,3,156,16,22,5,40,11,4,16,61,121,3,181,27,27,5,60,6,0,4,69,87,0,161,76,37,4,117,4,4,10,122,78,3,209,72,30,14,109,0,0,7,112,54,0,170,78,13,4,91,0,0,7,93,19,0,120,65,14,3,84,5,0,9,91,20,0,115,118,17,7,143,0,0,3,147,24,0,170,53,6,5,64,0,0,0,64,11,0,81,38,7,0,50,0,0,0,57,3,0,59,21,3,0,29,0,0,0,31,0,0,32,34,12,0,46,0,0,0,45,6,0,53,54,11,6,79,0,6,6,83,88,5,181,6,4
SOS72,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,8,0,8,8,56,0,67,0,23,0,22,14,5,20,43,204,0,245,3,19,0,15,9,6,13,33,76,0,106,8,11,3,24,13,0,16,42,132,0,175,10,20,0,26,5,6,8,35,54,0,95,16,20,5,37,4,0,4,46,87,0,128,19,14,5,35,4,3,9,41,88,0,126,15,19,0,36,0,0,4,40,51,0,92,18,7,7,34,3,0,3,40,48,0,87,14,5,5,25,0,0,0,22,25,0,46,16,6,0,18,0,0,3,22,19,0,39,23,4,3,29,0,0,0,29,19,0,47,3,0,0,5,0,0,0,5,3,0,11,7,0,3,13,0,0,0,13,0,0,12,0,0,0,0,0,0,0,4,0,0,4,7,0,0,8,0,0,0,8,0,0,8,26,18,5,46,8,4,10,48,62,4,119,0,7
SOS73,0,0,0,0,3,0,3,0,9,0,13,0,0,0,3,0,0,0,3,10,0,16,4,9,0,6,4,4,9,16,86,0,103,0,6,5,11,4,0,4,18,42,0,58,5,9,0,14,4,0,6,25,57,0,79,5,13,0,21,0,0,0,25,34,0,60,5,16,0,20,6,3,8,27,46,0,77,15,15,0,35,0,4,4,40,48,0,94,34,16,5,52,6,0,9,56,46,0,98,27,16,0,42,0,0,5,46,37,0,88,26,4,5,37,3,0,0,43,13,0,53,34,3,4,40,6,0,6,44,11,0,56,53,6,10,70,0,0,0,70,19,5,92,22,8,4,32,0,0,0,32,17,0,46,16,0,0,22,0,0,0,22,3,0,22,17,0,0,17,0,0,0,17,0,0,19,23,0,0,22,0,0,0,22,9,0,36,42,15,9,68,3,3,7,79,42,0,123,0,0
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,4,5,3,17,8,10,21,33,157,0,196,0,11,3,16,12,7,19,29,53,0,80,4,22,6,35,13,19,30,59,108,0,170,3,44,4,58,20,17,42,99,166,0,266,4,73,12,89,25,25,53,144,336,0,477,39,165,16,225,14,31,48,273,423,5,697,74,260,37,370,17,23,40,417,348,0,760,190,292,27,501,19,9,27,530,440,3,973,384,377,40,807,15,18,30,836,444,0,1279,500,337,46,885,13,9,22,903,401,0,1312,731,277,44,1056,15,13,25,1079,290,3,1375,721,234,50,1001,0,5,12,1010,257,4,1274,1824,366,84,2273,12,4,19,2294,418,4,2717,658,146,40,840,12,0,14,853,273,0,1128,665,109,33,809,3,0,3,812,125,0,938,263,44,14,328,0,0,3,329,88,0,422,935,110,33,1079,14,6,21,1095,133,6,1237,625,203,56,880,25,15,34,917,240,19,1181,8,7
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,5,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,0,0,0,4,0,0,3,3,0,0,8,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,3,0,7,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,0,0,0,3,0,0,3,6,5,0,13,0,0,0,13,0,0,13,3,8,0,14,0,0,0,10,3,0,18,0,4,0,4,0,0,0,4,0,0,3,0,0,0,6,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,9,0,0,7,0,0
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
