SOS_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS42,141,200,200,165,437,601,280,906,37,2962,177,308,352,314,506,560,182,387,40,2829,140,303,296,234,686,842,255,541,39,3335,191,661,577,363,399,233,88,133,50,2694,101,381,397,305,525,317,80,113,19,2234,68,488,331,156,246,160,52,102,23,1621,110,135,149,81,323,332,155,502,37,1826,177,825,426,300,546,453,151,248,81,3213,46,39,25,23,58,50,7,50,125,431,1154,3340,2752,1947,3722,3551,1252,2969,450,21143
SOS43,553,1316,1345,1092,1807,3679,1489,7085,329,18693,599,1255,1416,1167,1721,1915,597,1316,127,10107,380,818,804,620,1940,2329,708,1639,163,9399,431,1820,1461,830,857,690,193,354,157,6799,278,1412,1396,893,1532,1006,252,405,75,7246,202,1514,779,388,608,491,153,293,103,4527,282,356,350,254,676,846,392,1363,111,4628,464,2173,1163,768,1425,1652,442,1020,205,9308,125,158,102,56,172,166,51,174,423,1434,3306,10822,8812,6061,10726,12779,4274,13648,1692,72129
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOS49,7,8,7,4,17,17,3,9,0,66,19,12,8,13,25,19,4,18,3,123,7,11,9,3,20,19,7,22,6,106,4,23,16,11,12,3,0,7,7,76,8,13,5,5,11,5,3,9,0,64,7,15,7,3,8,5,0,3,0,57,11,9,6,0,10,15,6,14,3,66,5,41,20,16,17,14,3,17,6,141,8,0,0,0,4,0,5,3,15,27,70,122,87,60,133,94,31,93,38,724
SOS50,3445,5811,7119,6139,21759,32158,12776,30970,804,120974,10604,24326,25555,20068,50406,62676,18005,32952,1535,246123,6166,10450,10563,8047,29585,37490,12516,31969,2209,148990,5765,31701,25056,14213,18891,14187,4051,7749,1765,123372,5052,17607,18410,11215,34424,25602,6065,8613,932,127920,2842,28890,15215,6334,11574,8867,2484,4482,881,81572,4177,5962,5531,3608,12252,12128,5477,19780,1418,70332,3702,24912,14309,7151,12644,11106,3347,9761,1585,88524,759,1683,1177,784,2608,2689,708,1978,4489,16875,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
SOS51,722,949,993,882,2757,4038,1791,5384,166,17687,1622,2682,2767,2520,5167,6049,2141,4219,201,27373,1864,1941,1819,1457,4924,7442,3294,10084,542,33376,1210,4368,3875,2702,3471,2954,848,1683,326,21435,982,2793,2760,1845,4788,3506,958,1622,156,19407,634,4472,2477,1341,2330,1648,541,852,176,14474,1524,1107,976,580,1806,2634,1839,7868,358,18692,1067,5115,2988,1776,3004,3005,1076,3063,470,21559,221,291,171,130,361,465,171,579,846,3235,9854,23718,18831,13231,28616,31740,12660,35352,3241,177243
SOS52,172,183,163,157,337,569,280,1020,41,2921,167,288,279,225,465,693,208,537,36,2897,205,271,264,200,534,760,347,1087,87,3756,206,492,460,329,431,433,117,259,70,2796,138,393,359,205,459,404,124,186,29,2286,68,357,231,121,197,182,56,136,25,1381,243,217,157,82,315,414,233,1161,72,2909,176,716,454,257,392,497,173,415,99,3169,58,47,26,11,42,66,22,70,208,540,1442,2971,2393,1584,3166,4013,1554,4866,661,22648
SOS53,743,1338,1380,992,1336,3260,1397,8213,332,18991,704,1355,1303,930,1474,1994,711,1770,81,10329,779,973,857,661,1652,2505,989,4261,223,12899,438,1597,1250,734,821,780,237,545,107,6510,370,1582,1356,793,1410,1216,298,735,80,7848,197,1350,737,351,494,455,144,369,72,4167,765,548,472,255,671,1038,560,3742,170,8214,460,2032,1083,684,1012,1289,540,1995,228,9320,128,134,102,75,125,173,51,256,468,1511,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
SOS57,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
SOS59,21,16,5,4,20,25,6,17,5,107,42,42,31,15,25,49,15,24,3,257,30,20,21,16,33,38,13,98,5,272,11,42,44,18,34,24,7,27,5,223,24,27,8,13,27,32,7,12,4,150,9,17,13,3,10,13,0,4,0,77,25,16,7,13,7,20,10,104,6,213,18,35,30,22,48,48,14,80,3,292,0,3,0,0,6,0,3,8,5,33,181,208,163,110,217,250,70,370,33,1614
SOS60,342,649,838,772,2643,2739,1080,2315,79,11452,1140,2615,3078,2647,6061,4478,1438,2318,131,23906,328,896,1201,862,3265,3341,626,940,159,11618,703,3241,2957,1838,2261,1233,420,668,222,13539,579,1474,1769,1302,4184,1757,470,589,73,12205,345,2773,1567,633,1415,677,233,276,96,8022,183,451,461,265,881,833,330,498,72,3979,310,2495,1564,706,1486,1024,298,412,140,8428,82,193,162,91,346,223,60,122,380,1668,4015,14787,13598,9125,22546,16299,4954,8142,1357,94821
SOS61,337,555,630,533,2069,2536,1017,2292,85,10061,824,1688,2021,1793,3902,3387,1024,1765,101,16513,475,1062,1050,890,3581,3952,1025,1570,185,13779,843,3109,3200,1956,2215,1323,427,750,193,14011,525,1426,1727,1176,3264,1689,410,562,74,10863,429,3111,1636,848,1586,927,329,356,124,9344,408,582,632,411,1535,1456,678,1471,133,7318,577,3120,1863,1115,2358,1629,462,704,222,12040,120,182,119,125,286,226,76,150,434,1720,4544,14832,12880,8846,20801,17120,5452,9622,1550,95653
SOS62,78,112,149,108,269,411,140,387,27,1682,140,292,317,264,406,405,142,237,26,2230,68,190,206,156,466,556,131,276,47,2087,132,417,357,202,205,142,42,89,33,1603,72,253,273,169,361,195,43,67,8,1450,52,331,188,110,172,98,22,57,19,1045,49,74,68,50,198,218,106,268,27,1051,136,472,245,147,279,297,64,142,41,1827,32,28,25,13,40,45,9,25,68,293,755,2168,1829,1216,2391,2366,712,1547,293,13276
SOS63,312,749,695,609,1200,1916,701,2860,143,9188,490,1119,1263,935,1528,1445,455,911,74,8211,317,704,697,533,1785,2229,527,1014,141,7948,416,1338,1287,693,756,474,167,266,77,5479,274,948,939,621,1281,694,157,277,43,5224,173,1068,647,315,519,334,108,168,58,3406,231,293,313,193,639,812,398,872,99,3850,381,1510,887,565,1010,979,293,542,158,6313,68,131,87,51,131,143,39,118,265,1033,2667,7866,6808,4520,8841,9020,2849,7018,1060,50648
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
SOS69,3,5,0,0,5,6,0,0,0,24,8,7,8,7,10,7,4,0,0,50,6,5,8,0,10,16,7,0,0,48,5,12,8,3,0,3,0,0,0,39,0,4,7,4,6,0,0,0,0,27,0,9,8,0,3,0,0,0,0,21,0,5,0,0,9,9,4,5,0,37,3,13,9,6,9,9,0,4,0,50,0,0,0,0,4,3,0,0,6,11,26,48,49,24,56,56,18,23,10,309
SOS70,341,236,283,349,1820,2115,835,2253,60,8280,819,936,1011,1087,4130,3769,1024,1970,122,14866,352,429,519,436,2194,2504,724,1588,163,8906,481,1236,1260,882,2114,2050,663,1151,185,10020,457,647,730,662,3369,1893,503,755,100,9119,176,1190,835,424,964,560,154,303,51,4654,194,209,329,181,605,647,259,801,50,3284,157,997,800,451,967,736,191,566,111,4979,73,73,77,55,257,213,26,117,342,1228,3052,5959,5842,4532,16408,14488,4387,9502,1183,65347
SOS71,105,71,70,83,640,574,268,572,24,2410,306,318,330,402,1433,1274,336,631,58,5084,94,134,116,103,622,713,285,452,31,2554,201,374,325,303,1094,652,221,537,68,3774,128,185,203,147,1010,478,109,204,36,2500,45,277,160,86,272,181,62,105,16,1204,32,49,50,35,177,162,94,190,19,808,65,244,163,113,351,297,70,181,36,1528,46,26,23,23,115,95,23,49,216,614,1023,1679,1440,1298,5722,4424,1469,2921,510,20477
SOS72,40,34,28,28,170,180,79,252,7,804,89,125,130,74,355,303,79,220,32,1397,43,55,64,40,118,174,44,160,9,700,65,179,181,161,343,203,55,134,28,1349,40,54,48,54,190,130,28,50,12,599,14,73,74,36,62,45,3,14,7,330,20,24,37,15,47,70,10,102,9,331,33,103,80,54,171,123,22,72,20,691,24,8,3,3,13,9,0,7,114,181,355,653,647,462,1467,1233,316,1014,238,6382
SOS73,92,88,79,83,345,459,190,900,41,2286,162,157,160,165,491,458,144,336,28,2104,136,121,139,121,483,644,186,665,51,2543,110,208,200,139,340,288,112,167,34,1602,96,153,186,129,576,396,96,178,25,1829,35,201,97,61,130,103,33,58,8,729,92,71,54,40,122,159,81,447,25,1093,46,271,147,107,298,244,84,525,41,1764,20,21,5,9,39,52,8,56,106,317,798,1297,1071,858,2823,2797,943,3325,363,14269
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,18,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,13,3,26,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,42,3,56
SOS79,15,5,3,3,3,11,3,6,0,54,28,16,7,8,18,17,6,9,3,107,8,5,3,0,8,6,0,19,3,49,12,3,6,4,13,15,4,3,4,62,12,7,9,3,4,5,0,5,0,46,6,3,0,5,0,3,3,3,0,19,0,0,0,0,0,0,5,13,3,31,9,18,7,8,25,13,5,23,8,107,0,3,0,0,3,0,0,0,13,22,92,62,38,34,83,59,22,82,27,500
SOS80,2011,1445,2164,2393,10141,12331,4883,8616,187,44172,3313,5846,6150,5341,22370,21252,5202,8113,379,77965,812,1750,1905,1399,6068,6962,1845,2712,303,23759,1448,6950,4698,2608,4960,3270,1099,1722,305,27051,1648,3373,3843,2658,13473,7323,1655,1844,231,36048,714,5483,2708,1029,2444,1464,457,747,112,15159,254,739,722,391,1090,1215,502,968,121,5994,519,3431,2243,829,2035,1839,423,788,205,12315,226,401,363,274,1330,1099,240,530,781,5253,10950,29416,24781,16911,63919,56757,16302,26038,2631,247706
SOS82,5,6,4,5,12,16,7,12,0,62,5,11,10,16,14,25,7,11,0,96,5,0,3,0,3,23,5,3,0,42,0,9,4,4,6,4,0,3,0,29,0,6,10,6,17,9,3,0,0,46,0,3,6,0,0,5,0,0,0,13,0,0,0,0,3,3,0,0,0,13,0,5,4,0,0,9,0,0,0,21,0,0,0,3,4,0,0,0,5,10,20,41,37,30,62,87,21,34,7,335
SOS83,3,4,4,8,13,21,4,71,0,132,0,5,7,3,11,10,3,11,0,58,0,3,0,0,11,17,4,11,0,49,5,0,0,3,0,3,0,11,0,29,4,3,7,4,8,11,0,5,0,37,0,4,6,0,4,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,6,0,4,4,7,4,0,0,30,0,0,0,0,0,0,0,3,0,6,20,31,24,26,42,64,21,122,0,352
