SOS_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,6,4,0,13,0,0,11,28,9,13,5,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,10,0,0,0,0,0,10,0,0,0,4,0,5,0,0,0,11,0,0,0,6,3,3,0,0,0,17,0,0,0,8,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,5,0,0,0,9,3,0,0,0,0,11
SOS30,3,8,13,34,42,132,296,236,72,831,0,4,40,228,102,156,142,68,36,784,6,58,214,943,288,204,137,67,29,1944,14,146,1240,3192,99,89,22,6,0,4800,12,73,148,613,455,574,1333,999,444,4650,541,5161,9399,26932,15970,13258,8941,3881,1068,85161,0,3,13,145,104,136,101,38,22,560,40,332,319,1449,223,114,91,20,3,2590,27,293,809,2038,2062,1314,826,252,101,7725,88,1051,2327,10307,4624,4040,2350,623,133,25547,8,32,50,937,402,416,595,257,173,2875,10,170,385,1115,956,890,538,197,30,4290,19,246,430,1514,1318,1832,1791,1218,515,8884,48,306,487,1213,600,515,401,95,25,3693,90,1139,2404,6822,4234,2743,1670,739,232,20074,19,267,516,2022,867,720,543,254,96,5311,74,314,571,5033,1057,864,702,133,34,8784,44,478,860,4041,1526,694,294,60,15,8018,15,41,36,327,168,109,65,35,6,803,178,758,1046,3166,1036,953,803,287,51,8288
SOS31,0,0,0,4,6,25,89,86,27,240,0,0,0,26,7,15,18,15,5,95,0,4,9,94,11,15,9,0,0,139,0,11,105,335,11,9,0,0,0,473,0,6,22,96,99,173,437,278,97,1208,71,494,898,3264,2478,2676,2025,858,186,12960,0,0,0,3,3,3,0,0,0,16,0,38,17,116,12,12,6,5,0,203,5,46,110,313,346,246,115,22,9,1211,47,512,602,2619,1210,1085,704,164,18,6952,0,4,3,77,44,41,76,31,18,294,0,8,14,65,36,26,17,9,0,180,0,23,37,184,177,341,453,319,88,1626,6,15,35,63,75,44,53,7,0,286,40,251,370,1074,706,422,284,117,30,3296,16,48,39,215,64,45,37,18,4,482,3,14,47,636,18,13,5,0,0,740,12,82,115,641,379,160,40,11,0,1438,0,3,3,18,12,8,10,3,0,60,14,86,77,386,157,204,221,79,24,1239
SOS32,0,0,0,0,0,8,14,9,0,21,0,0,0,3,0,4,0,4,0,10,0,0,0,0,3,0,0,0,0,6,0,0,0,11,0,0,0,0,0,14,0,0,0,22,12,39,78,45,8,207,6,46,60,326,320,423,336,113,23,1651,0,0,0,3,0,6,5,0,0,9,0,0,0,4,0,0,0,0,0,4,0,13,9,48,70,59,34,5,0,245,5,15,32,198,119,100,75,16,0,559,0,0,0,10,3,0,6,5,0,27,0,0,0,0,4,0,3,0,0,8,0,4,0,30,39,50,55,34,4,221,0,0,0,7,18,12,4,0,0,41,4,8,32,92,71,72,28,19,4,324,0,0,0,10,3,0,5,0,0,19,0,3,3,20,0,0,0,0,0,29,4,13,3,67,49,21,6,0,0,170,0,0,0,0,0,0,0,0,0,3,0,6,12,58,24,44,49,20,6,216
SOS33,0,4,0,3,0,7,39,26,11,96,0,0,3,6,4,5,9,4,0,28,0,0,0,3,0,7,4,0,0,13,0,0,5,13,0,0,0,0,0,20,0,12,13,68,84,120,198,116,18,630,12,98,214,1061,1176,1350,875,241,45,5066,0,0,0,3,4,4,0,0,0,9,0,0,0,13,4,12,0,0,0,37,0,13,23,91,186,154,70,8,5,549,7,66,80,479,270,272,181,25,4,1377,0,0,0,42,25,19,31,7,0,130,0,0,5,18,11,10,14,3,0,52,0,18,15,69,105,183,162,71,17,647,0,7,8,27,45,27,14,0,0,132,6,62,130,396,321,238,115,49,11,1337,0,0,10,17,7,20,19,3,0,73,0,6,4,124,20,24,22,6,0,200,0,24,23,215,142,67,20,3,0,502,0,0,4,4,5,0,3,0,0,18,8,43,45,195,109,140,146,35,12,726
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,3,6,4,5,8,11,3,0,32,3,0,21,68,46,56,63,13,0,265,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,3,0,8,3,4,3,0,0,22,0,4,10,18,4,4,4,0,0,40,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,14,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,3,7,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,26,0,0,0,0,0,34,0,0,0,10,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,15,4,4,0,0,0,22
SOS40,0,0,0,12,26,53,234,178,71,580,0,3,14,50,16,19,7,5,3,124,0,56,187,521,127,53,32,18,9,998,16,202,773,2351,52,45,9,0,0,3450,4,17,32,142,113,229,727,492,239,2004,36,231,365,1238,845,841,640,254,81,4511,0,0,0,28,22,32,34,40,16,179,63,444,434,1137,154,66,44,11,4,2354,0,12,26,97,148,65,31,10,6,392,28,347,737,3246,1352,1128,699,212,54,7806,0,12,27,506,302,506,599,285,246,2479,0,0,4,13,5,6,8,0,0,47,10,82,150,471,472,955,1054,790,356,4333,12,105,221,452,225,171,159,45,8,1391,37,260,394,1055,662,385,255,137,34,3214,26,230,244,1152,346,149,120,67,22,2352,7,36,65,611,94,62,42,6,0,913,15,102,151,1038,396,155,83,9,0,1948,7,19,15,97,55,37,39,23,10,296,41,201,238,716,218,238,204,106,17,1967
SOS41,0,0,0,0,3,11,28,18,11,64,0,0,0,4,4,0,0,0,0,16,0,3,14,63,24,14,4,4,0,126,0,0,19,68,0,0,0,0,0,85,0,4,6,22,50,65,343,206,61,755,10,46,105,341,261,312,177,102,21,1366,0,0,0,3,0,0,6,0,6,17,3,16,11,50,8,3,3,0,0,95,0,0,4,23,41,11,11,0,4,91,10,109,169,629,292,239,151,47,6,1651,0,0,0,39,21,19,36,17,17,141,0,0,0,0,0,0,0,0,0,0,4,12,30,72,119,283,314,250,102,1186,0,8,9,28,20,16,12,6,0,110,7,78,58,229,156,96,68,37,9,737,0,12,19,103,25,3,14,0,0,181,0,4,6,93,6,7,0,0,0,116,3,35,55,153,88,23,12,0,0,368,0,0,0,7,3,4,7,0,0,25,8,34,28,128,56,88,77,16,5,446
SOS42,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,13,0,0,3,9,9,22,41,16,9,102,0,8,0,50,31,50,47,20,3,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,8,6,5,0,0,20,0,8,8,65,31,33,13,4,0,173,0,0,0,4,3,4,10,4,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,17,9,26,31,21,11,115,0,0,0,7,0,0,3,0,0,7,0,10,0,24,17,8,10,4,0,82,0,0,0,4,0,4,0,0,0,14,0,0,0,15,0,0,0,0,0,24,0,4,0,16,16,7,0,0,0,46,0,0,0,0,0,0,0,0,0,4,0,0,3,13,8,6,12,0,0,48
